,NERVOUS,OVARY,HAEMATOPOIETIC,PROSTATE,THYROID,SKIN,PLEURA,KIDNEY,SOFT_TISSUE,GANGLIA,ENDOMETRIUM,BONE,BILIARY,SALIVARY,URINARY,STOMACH,BREAST,PANCREAS,AERODIGESTIVE,LARGE_INTESTINE,OESOPHAGUS,LIVER,LUNG
1366,7.0,2.0,8.0,10.0,3.0,4.0,6.0,9.0,5.0,15.0,1.0,11.0,12.0,13.0,14.0,0.0,16.0,17.0,22.0,18.0,19.0,20.0,21.0
1415,0.0,1.0,2.0,8.0,3.0,4.0,5.0,6.0,7.0,21.0,13.0,9.0,10.0,12.0,17.0,11.0,18.0,14.0,19.0,20.0,22.0,16.0,15.0
1464,0.0,1.0,2.0,7.0,3.0,4.0,8.0,12.0,6.0,18.0,5.0,20.0,10.0,9.0,14.0,11.0,15.0,16.0,21.0,17.0,22.0,13.0,19.0
1513,7.0,1.0,8.0,0.0,3.0,4.0,9.0,2.0,5.0,10.0,11.0,6.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
1562,2.0,3.0,4.0,0.0,6.0,7.0,5.0,13.0,8.0,9.0,1.0,10.0,11.0,12.0,14.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
1611,2.0,3.0,4.0,8.0,6.0,1.0,7.0,5.0,14.0,0.0,10.0,11.0,12.0,13.0,15.0,17.0,19.0,18.0,16.0,9.0,20.0,21.0,22.0
1660,7.0,2.0,8.0,0.0,4.0,5.0,9.0,3.0,6.0,1.0,16.0,11.0,12.0,13.0,19.0,15.0,17.0,14.0,18.0,10.0,22.0,20.0,21.0
1709,2.0,3.0,4.0,0.0,6.0,7.0,9.0,5.0,8.0,1.0,10.0,11.0,12.0,13.0,15.0,20.0,17.0,16.0,18.0,19.0,14.0,21.0,22.0
1758,0.0,1.0,2.0,6.0,3.0,4.0,5.0,9.0,10.0,7.0,11.0,14.0,12.0,13.0,15.0,22.0,20.0,21.0,17.0,8.0,16.0,19.0,18.0
1807,3.0,4.0,5.0,0.0,7.0,14.0,9.0,6.0,8.0,1.0,11.0,16.0,12.0,13.0,2.0,15.0,18.0,19.0,20.0,10.0,21.0,17.0,22.0
1856,6.0,1.0,2.0,4.0,3.0,11.0,0.0,7.0,8.0,5.0,16.0,13.0,10.0,9.0,14.0,21.0,17.0,18.0,19.0,20.0,22.0,12.0,15.0
1905,4.0,5.0,6.0,2.0,7.0,8.0,10.0,1.0,14.0,0.0,9.0,11.0,12.0,13.0,16.0,3.0,17.0,18.0,19.0,15.0,20.0,21.0,22.0
1954,3.0,4.0,5.0,0.0,6.0,7.0,9.0,1.0,8.0,2.0,10.0,11.0,12.0,13.0,14.0,17.0,18.0,19.0,15.0,16.0,20.0,21.0,22.0
2003,14.0,1.0,2.0,0.0,4.0,5.0,7.0,3.0,6.0,8.0,10.0,11.0,12.0,13.0,15.0,19.0,9.0,16.0,17.0,18.0,20.0,21.0,22.0
2052,5.0,1.0,2.0,0.0,3.0,7.0,8.0,6.0,4.0,9.0,11.0,15.0,12.0,13.0,18.0,14.0,17.0,19.0,20.0,10.0,21.0,16.0,22.0
2101,1.0,2.0,3.0,0.0,5.0,6.0,4.0,13.0,7.0,8.0,9.0,10.0,11.0,12.0,15.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2150,1.0,2.0,3.0,0.0,5.0,6.0,8.0,4.0,7.0,9.0,11.0,21.0,12.0,13.0,18.0,19.0,15.0,16.0,17.0,10.0,20.0,14.0,22.0
2199,2.0,3.0,4.0,0.0,6.0,7.0,9.0,5.0,8.0,11.0,12.0,10.0,13.0,14.0,16.0,17.0,15.0,18.0,19.0,1.0,20.0,21.0,22.0
2248,0.0,1.0,2.0,6.0,3.0,4.0,10.0,8.0,5.0,7.0,14.0,13.0,11.0,12.0,15.0,19.0,9.0,16.0,17.0,18.0,20.0,21.0,22.0
2297,6.0,7.0,8.0,5.0,1.0,2.0,4.0,0.0,3.0,9.0,15.0,11.0,12.0,13.0,17.0,14.0,10.0,18.0,19.0,16.0,20.0,21.0,22.0
2346,0.0,5.0,6.0,2.0,7.0,8.0,10.0,1.0,9.0,3.0,4.0,11.0,12.0,13.0,15.0,14.0,16.0,17.0,20.0,18.0,21.0,19.0,22.0
2395,1.0,2.0,3.0,0.0,5.0,6.0,11.0,4.0,7.0,9.0,10.0,8.0,12.0,13.0,14.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2444,3.0,4.0,1.0,7.0,5.0,2.0,0.0,8.0,6.0,19.0,9.0,10.0,11.0,12.0,14.0,15.0,13.0,16.0,17.0,18.0,20.0,21.0,22.0
2493,3.0,4.0,5.0,1.0,7.0,8.0,6.0,12.0,11.0,0.0,2.0,9.0,10.0,15.0,13.0,14.0,18.0,19.0,20.0,21.0,16.0,17.0,22.0
2542,1.0,2.0,3.0,0.0,5.0,6.0,8.0,4.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2591,4.0,0.0,5.0,2.0,1.0,7.0,9.0,6.0,8.0,10.0,11.0,14.0,12.0,13.0,3.0,21.0,18.0,19.0,20.0,15.0,16.0,17.0,22.0
2640,5.0,1.0,2.0,4.0,7.0,3.0,0.0,6.0,8.0,20.0,9.0,10.0,11.0,12.0,15.0,13.0,16.0,17.0,18.0,19.0,21.0,14.0,22.0
2689,2.0,3.0,4.0,0.0,6.0,7.0,1.0,5.0,8.0,19.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2738,2.0,3.0,4.0,0.0,6.0,7.0,1.0,5.0,8.0,9.0,15.0,10.0,11.0,12.0,14.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2787,1.0,2.0,3.0,0.0,5.0,6.0,8.0,4.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2836,2.0,3.0,4.0,10.0,6.0,7.0,1.0,5.0,8.0,0.0,14.0,9.0,11.0,12.0,13.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2885,2.0,3.0,4.0,0.0,6.0,7.0,10.0,5.0,8.0,11.0,9.0,14.0,12.0,13.0,15.0,1.0,17.0,18.0,22.0,19.0,20.0,16.0,21.0
2934,0.0,1.0,2.0,4.0,11.0,3.0,6.0,5.0,12.0,7.0,8.0,13.0,10.0,9.0,14.0,17.0,20.0,15.0,21.0,16.0,18.0,19.0,22.0
2983,6.0,1.0,2.0,5.0,3.0,4.0,0.0,7.0,8.0,9.0,15.0,13.0,10.0,11.0,14.0,20.0,16.0,17.0,18.0,19.0,21.0,12.0,22.0
3032,0.0,1.0,2.0,4.0,6.0,3.0,8.0,5.0,7.0,9.0,10.0,15.0,11.0,12.0,13.0,19.0,16.0,14.0,17.0,18.0,20.0,21.0,22.0
3081,7.0,0.0,1.0,6.0,5.0,2.0,4.0,8.0,9.0,3.0,12.0,14.0,10.0,11.0,15.0,20.0,16.0,17.0,18.0,19.0,21.0,13.0,22.0
3130,1.0,2.0,3.0,5.0,6.0,4.0,0.0,11.0,7.0,8.0,15.0,13.0,10.0,9.0,14.0,20.0,16.0,17.0,18.0,19.0,21.0,12.0,22.0
3179,1.0,2.0,3.0,6.0,4.0,5.0,0.0,7.0,8.0,9.0,14.0,10.0,11.0,12.0,13.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
3228,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,14.0,12.0,18.0,10.0,9.0,16.0,19.0,20.0,13.0,21.0,22.0,15.0,11.0,17.0
3277,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,9.0,15.0,13.0,10.0,11.0,14.0,20.0,16.0,17.0,18.0,19.0,21.0,12.0,22.0
3326,4.0,0.0,1.0,8.0,5.0,2.0,3.0,6.0,7.0,9.0,15.0,10.0,11.0,12.0,13.0,20.0,16.0,17.0,18.0,19.0,21.0,22.0,14.0
3375,3.0,0.0,1.0,6.0,4.0,2.0,5.0,7.0,13.0,9.0,10.0,15.0,11.0,12.0,14.0,20.0,16.0,17.0,18.0,19.0,8.0,21.0,22.0
3424,6.0,1.0,2.0,5.0,3.0,4.0,0.0,7.0,8.0,14.0,11.0,19.0,10.0,9.0,16.0,20.0,21.0,12.0,22.0,13.0,15.0,18.0,17.0
3473,0.0,1.0,2.0,5.0,3.0,4.0,6.0,8.0,9.0,20.0,15.0,7.0,10.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,12.0,22.0
3522,1.0,2.0,3.0,6.0,4.0,5.0,0.0,8.0,11.0,20.0,15.0,9.0,10.0,12.0,14.0,7.0,16.0,17.0,18.0,19.0,21.0,13.0,22.0
3571,0.0,1.0,2.0,4.0,6.0,3.0,7.0,5.0,15.0,21.0,12.0,10.0,9.0,8.0,17.0,11.0,13.0,19.0,14.0,20.0,22.0,18.0,16.0
3620,1.0,2.0,3.0,6.0,4.0,5.0,0.0,7.0,11.0,22.0,19.0,8.0,10.0,9.0,18.0,13.0,20.0,21.0,14.0,15.0,16.0,12.0,17.0
3669,0.0,4.0,5.0,6.0,1.0,2.0,3.0,7.0,11.0,8.0,16.0,9.0,10.0,13.0,15.0,12.0,17.0,18.0,19.0,20.0,21.0,14.0,22.0
3718,1.0,2.0,3.0,6.0,4.0,5.0,0.0,8.0,11.0,21.0,16.0,7.0,10.0,9.0,14.0,15.0,17.0,18.0,19.0,20.0,13.0,12.0,22.0
3767,1.0,2.0,3.0,6.0,4.0,5.0,0.0,7.0,10.0,19.0,14.0,13.0,9.0,8.0,11.0,21.0,15.0,16.0,17.0,18.0,22.0,12.0,20.0
3816,1.0,2.0,3.0,6.0,4.0,5.0,0.0,7.0,11.0,8.0,15.0,9.0,10.0,12.0,14.0,20.0,16.0,17.0,18.0,19.0,21.0,13.0,22.0
3865,1.0,2.0,3.0,5.0,6.0,4.0,0.0,10.0,11.0,20.0,15.0,7.0,9.0,8.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,12.0,22.0
3914,1.0,2.0,3.0,7.0,4.0,5.0,0.0,6.0,11.0,20.0,8.0,9.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,13.0,22.0
3963,2.0,3.0,4.0,0.0,6.0,7.0,9.0,5.0,8.0,11.0,1.0,10.0,12.0,13.0,16.0,14.0,17.0,18.0,22.0,19.0,15.0,20.0,21.0
4012,5.0,6.0,2.0,4.0,8.0,3.0,10.0,7.0,9.0,0.0,1.0,11.0,12.0,13.0,19.0,18.0,15.0,16.0,20.0,17.0,14.0,21.0,22.0
4061,3.0,4.0,5.0,0.0,7.0,8.0,2.0,6.0,9.0,14.0,1.0,10.0,11.0,12.0,18.0,16.0,19.0,17.0,20.0,13.0,15.0,21.0,22.0
4110,2.0,3.0,4.0,0.0,5.0,6.0,9.0,1.0,7.0,12.0,8.0,10.0,13.0,14.0,16.0,17.0,15.0,20.0,21.0,22.0,11.0,18.0,19.0
4159,0.0,4.0,5.0,10.0,6.0,7.0,9.0,1.0,8.0,11.0,3.0,2.0,12.0,13.0,14.0,19.0,22.0,16.0,17.0,18.0,15.0,20.0,21.0
4208,2.0,3.0,4.0,0.0,6.0,7.0,5.0,12.0,11.0,9.0,1.0,8.0,10.0,13.0,15.0,20.0,16.0,17.0,18.0,19.0,21.0,14.0,22.0
4257,5.0,6.0,1.0,3.0,8.0,2.0,10.0,7.0,9.0,4.0,0.0,11.0,12.0,13.0,16.0,15.0,17.0,18.0,19.0,20.0,14.0,21.0,22.0
4306,3.0,4.0,5.0,0.0,7.0,8.0,1.0,6.0,9.0,11.0,2.0,10.0,12.0,13.0,14.0,18.0,20.0,17.0,15.0,21.0,16.0,22.0,19.0
4355,3.0,4.0,5.0,0.0,7.0,8.0,2.0,6.0,9.0,14.0,1.0,10.0,11.0,12.0,18.0,16.0,13.0,19.0,20.0,17.0,15.0,21.0,22.0
4404,2.0,3.0,4.0,0.0,6.0,7.0,1.0,5.0,8.0,10.0,14.0,9.0,11.0,12.0,13.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
4453,2.0,0.0,1.0,4.0,7.0,3.0,5.0,11.0,12.0,8.0,17.0,6.0,10.0,9.0,16.0,13.0,18.0,19.0,20.0,21.0,14.0,15.0,22.0
4502,2.0,7.0,8.0,0.0,4.0,5.0,3.0,13.0,6.0,15.0,14.0,9.0,11.0,12.0,19.0,1.0,16.0,17.0,22.0,18.0,10.0,20.0,21.0
4551,2.0,0.0,1.0,4.0,12.0,3.0,5.0,11.0,7.0,8.0,16.0,6.0,10.0,9.0,15.0,20.0,14.0,17.0,18.0,19.0,21.0,13.0,22.0
4600,3.0,4.0,5.0,0.0,7.0,8.0,2.0,11.0,9.0,1.0,15.0,6.0,10.0,12.0,14.0,20.0,16.0,17.0,18.0,19.0,21.0,13.0,22.0
4649,0.0,1.0,2.0,8.0,5.0,3.0,4.0,13.0,6.0,9.0,10.0,7.0,11.0,12.0,14.0,17.0,15.0,20.0,21.0,16.0,18.0,22.0,19.0
4698,2.0,0.0,1.0,4.0,7.0,3.0,5.0,11.0,12.0,8.0,17.0,6.0,10.0,9.0,16.0,14.0,18.0,19.0,20.0,13.0,21.0,15.0,22.0
4747,0.0,1.0,2.0,4.0,5.0,3.0,10.0,13.0,6.0,9.0,14.0,7.0,11.0,12.0,18.0,21.0,15.0,20.0,16.0,17.0,8.0,22.0,19.0
4796,0.0,1.0,2.0,7.0,3.0,8.0,5.0,14.0,4.0,9.0,15.0,6.0,12.0,13.0,20.0,16.0,18.0,11.0,19.0,10.0,17.0,21.0,22.0
4845,0.0,1.0,2.0,4.0,5.0,3.0,8.0,11.0,6.0,21.0,7.0,9.0,10.0,12.0,14.0,15.0,16.0,19.0,20.0,17.0,18.0,13.0,22.0
4894,1.0,2.0,3.0,5.0,7.0,4.0,0.0,11.0,8.0,9.0,16.0,6.0,10.0,12.0,15.0,13.0,17.0,18.0,19.0,20.0,21.0,14.0,22.0
