,OVARY,THYROID,HAEMATOPOIETIC,SKIN,PLEURA,NERVOUS,PROSTATE,KIDNEY,SOFT_TISSUE,BILIARY,SALIVARY,BONE,ENDOMETRIUM,GANGLIA,STOMACH,LARGE_INTESTINE,URINARY,BREAST,PANCREAS,OESOPHAGUS,LUNG,LIVER,AERODIGESTIVE
44,0.0,1.0,3.0,2.0,4.0,7.0,5.0,6.0,8.0,10.0,11.0,12.0,13.0,17.0,14.0,9.0,15.0,19.0,20.0,18.0,21.0,22.0,16.0
93,0.0,2.0,3.0,1.0,9.0,6.0,4.0,5.0,8.0,12.0,13.0,14.0,15.0,7.0,10.0,11.0,18.0,16.0,21.0,19.0,17.0,20.0,22.0
142,0.0,1.0,4.0,2.0,3.0,8.0,5.0,6.0,12.0,10.0,11.0,13.0,14.0,7.0,9.0,15.0,17.0,16.0,21.0,18.0,20.0,19.0,22.0
191,3.0,0.0,4.0,6.0,5.0,2.0,9.0,7.0,1.0,10.0,11.0,12.0,14.0,8.0,13.0,15.0,17.0,16.0,20.0,22.0,18.0,19.0,21.0
240,0.0,2.0,3.0,1.0,6.0,7.0,4.0,5.0,9.0,11.0,12.0,13.0,14.0,8.0,15.0,10.0,19.0,16.0,21.0,18.0,17.0,20.0,22.0
289,1.0,2.0,3.0,0.0,4.0,7.0,5.0,6.0,9.0,12.0,13.0,10.0,14.0,8.0,15.0,11.0,18.0,20.0,21.0,17.0,19.0,16.0,22.0
338,0.0,6.0,2.0,1.0,3.0,9.0,4.0,5.0,8.0,11.0,12.0,13.0,15.0,7.0,16.0,10.0,17.0,22.0,20.0,18.0,19.0,14.0,21.0
387,3.0,2.0,1.0,0.0,4.0,9.0,5.0,6.0,12.0,10.0,11.0,13.0,14.0,8.0,15.0,7.0,16.0,22.0,19.0,17.0,18.0,21.0,20.0
436,1.0,3.0,4.0,0.0,6.0,5.0,7.0,14.0,9.0,12.0,13.0,15.0,10.0,2.0,11.0,8.0,20.0,16.0,21.0,17.0,19.0,18.0,22.0
485,0.0,7.0,2.0,1.0,3.0,8.0,4.0,6.0,10.0,12.0,13.0,16.0,11.0,9.0,14.0,15.0,19.0,17.0,21.0,5.0,18.0,20.0,22.0
534,0.0,2.0,3.0,4.0,1.0,5.0,6.0,7.0,11.0,10.0,9.0,16.0,8.0,12.0,14.0,15.0,13.0,22.0,18.0,17.0,19.0,21.0,20.0
583,0.0,3.0,5.0,2.0,1.0,6.0,7.0,8.0,4.0,10.0,11.0,15.0,9.0,12.0,13.0,14.0,18.0,20.0,17.0,16.0,21.0,22.0,19.0
632,0.0,7.0,4.0,3.0,1.0,2.0,5.0,6.0,8.0,10.0,9.0,14.0,11.0,12.0,13.0,17.0,19.0,20.0,15.0,22.0,18.0,21.0,16.0
681,0.0,5.0,2.0,6.0,1.0,12.0,3.0,4.0,8.0,10.0,9.0,15.0,7.0,11.0,13.0,14.0,17.0,21.0,16.0,18.0,19.0,22.0,20.0
730,0.0,2.0,3.0,4.0,1.0,6.0,9.0,5.0,7.0,10.0,11.0,12.0,8.0,13.0,14.0,15.0,19.0,22.0,16.0,18.0,17.0,20.0,21.0
779,1.0,2.0,3.0,4.0,0.0,5.0,6.0,7.0,8.0,11.0,12.0,16.0,10.0,13.0,9.0,18.0,15.0,22.0,14.0,17.0,19.0,21.0,20.0
828,0.0,2.0,3.0,7.0,1.0,6.0,4.0,5.0,8.0,10.0,11.0,15.0,9.0,12.0,13.0,16.0,14.0,21.0,18.0,19.0,17.0,22.0,20.0
877,0.0,2.0,5.0,3.0,1.0,4.0,7.0,8.0,12.0,10.0,11.0,15.0,9.0,13.0,6.0,14.0,19.0,22.0,17.0,16.0,18.0,21.0,20.0
926,0.0,3.0,2.0,4.0,1.0,5.0,6.0,7.0,8.0,10.0,11.0,15.0,9.0,16.0,12.0,13.0,14.0,22.0,17.0,19.0,20.0,21.0,18.0
975,1.0,3.0,4.0,5.0,2.0,0.0,6.0,11.0,8.0,10.0,12.0,17.0,9.0,7.0,16.0,14.0,13.0,21.0,15.0,18.0,19.0,22.0,20.0
1024,0.0,1.0,2.0,5.0,7.0,3.0,9.0,6.0,8.0,10.0,11.0,12.0,4.0,15.0,13.0,17.0,20.0,19.0,21.0,16.0,14.0,18.0,22.0
1073,0.0,6.0,2.0,4.0,8.0,1.0,11.0,5.0,7.0,12.0,13.0,16.0,3.0,10.0,9.0,14.0,17.0,20.0,19.0,15.0,18.0,22.0,21.0
1122,0.0,5.0,3.0,1.0,6.0,2.0,11.0,4.0,10.0,12.0,13.0,9.0,7.0,16.0,8.0,15.0,14.0,21.0,22.0,18.0,17.0,19.0,20.0
1171,0.0,2.0,4.0,1.0,10.0,3.0,11.0,5.0,6.0,12.0,13.0,8.0,7.0,9.0,14.0,15.0,16.0,17.0,20.0,19.0,18.0,21.0,22.0
1220,0.0,1.0,2.0,7.0,5.0,3.0,8.0,4.0,11.0,10.0,9.0,12.0,6.0,15.0,13.0,14.0,17.0,16.0,21.0,20.0,18.0,22.0,19.0
1269,0.0,3.0,4.0,5.0,1.0,7.0,9.0,6.0,8.0,10.0,11.0,2.0,12.0,20.0,13.0,14.0,15.0,18.0,19.0,17.0,16.0,21.0,22.0
1318,0.0,2.0,1.0,7.0,5.0,4.0,9.0,3.0,6.0,10.0,11.0,12.0,8.0,15.0,13.0,18.0,17.0,14.0,19.0,20.0,16.0,21.0,22.0
1367,4.0,0.0,7.0,2.0,8.0,3.0,10.0,6.0,1.0,11.0,12.0,13.0,9.0,15.0,5.0,17.0,14.0,16.0,21.0,19.0,18.0,20.0,22.0
1416,0.0,1.0,3.0,4.0,6.0,2.0,10.0,5.0,7.0,11.0,12.0,9.0,15.0,16.0,8.0,14.0,20.0,13.0,18.0,19.0,17.0,21.0,22.0
1465,0.0,1.0,2.0,3.0,8.0,4.0,9.0,11.0,5.0,10.0,12.0,13.0,6.0,14.0,7.0,20.0,15.0,16.0,17.0,22.0,18.0,19.0,21.0
1514,0.0,1.0,3.0,4.0,2.0,5.0,6.0,7.0,8.0,12.0,13.0,9.0,10.0,11.0,15.0,16.0,14.0,21.0,17.0,20.0,18.0,22.0,19.0
1563,1.0,2.0,3.0,7.0,0.0,5.0,4.0,11.0,6.0,10.0,9.0,13.0,8.0,12.0,16.0,14.0,15.0,18.0,17.0,21.0,19.0,22.0,20.0
1612,0.0,2.0,3.0,6.0,5.0,7.0,8.0,4.0,11.0,10.0,9.0,12.0,14.0,1.0,16.0,15.0,13.0,18.0,19.0,21.0,20.0,22.0,17.0
1661,0.0,1.0,2.0,6.0,9.0,3.0,4.0,5.0,8.0,12.0,13.0,11.0,18.0,7.0,15.0,10.0,17.0,16.0,14.0,20.0,21.0,22.0,19.0
1710,0.0,1.0,2.0,9.0,3.0,6.0,4.0,5.0,8.0,10.0,11.0,12.0,13.0,7.0,16.0,19.0,15.0,17.0,18.0,14.0,20.0,22.0,21.0
1759,0.0,1.0,4.0,9.0,3.0,2.0,5.0,6.0,8.0,12.0,13.0,14.0,10.0,7.0,17.0,11.0,15.0,19.0,21.0,16.0,18.0,22.0,20.0
1808,0.0,6.0,2.0,16.0,3.0,7.0,4.0,5.0,1.0,10.0,11.0,12.0,14.0,8.0,13.0,15.0,9.0,18.0,17.0,21.0,19.0,22.0,20.0
1857,0.0,1.0,3.0,9.0,2.0,8.0,4.0,5.0,7.0,10.0,11.0,15.0,13.0,6.0,12.0,14.0,16.0,21.0,17.0,20.0,18.0,22.0,19.0
1906,0.0,5.0,2.0,7.0,1.0,6.0,3.0,4.0,14.0,11.0,12.0,13.0,9.0,8.0,10.0,15.0,16.0,17.0,18.0,21.0,19.0,22.0,20.0
1955,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,10.0,11.0,12.0,14.0,8.0,16.0,15.0,13.0,19.0,18.0,20.0,22.0,21.0,17.0
2004,0.0,2.0,3.0,1.0,7.0,12.0,4.0,6.0,5.0,9.0,8.0,13.0,14.0,11.0,16.0,15.0,17.0,10.0,18.0,19.0,20.0,21.0,22.0
2053,0.0,2.0,6.0,1.0,7.0,8.0,4.0,5.0,3.0,10.0,9.0,12.0,13.0,11.0,14.0,15.0,17.0,16.0,20.0,19.0,21.0,18.0,22.0
2102,0.0,5.0,3.0,1.0,7.0,6.0,4.0,10.0,2.0,9.0,8.0,11.0,13.0,12.0,14.0,16.0,20.0,15.0,17.0,18.0,19.0,21.0,22.0
2151,3.0,1.0,4.0,0.0,8.0,7.0,5.0,6.0,2.0,10.0,9.0,15.0,12.0,11.0,16.0,13.0,19.0,14.0,18.0,17.0,22.0,21.0,20.0
2200,1.0,5.0,2.0,0.0,8.0,7.0,3.0,4.0,6.0,11.0,12.0,9.0,14.0,13.0,17.0,10.0,16.0,15.0,20.0,18.0,19.0,22.0,21.0
2249,0.0,1.0,4.0,3.0,11.0,7.0,5.0,6.0,2.0,10.0,9.0,15.0,14.0,8.0,13.0,17.0,18.0,12.0,19.0,16.0,20.0,21.0,22.0
2298,3.0,1.0,6.0,0.0,8.0,7.0,4.0,5.0,2.0,10.0,9.0,12.0,16.0,11.0,13.0,15.0,17.0,14.0,19.0,18.0,20.0,22.0,21.0
2347,1.0,3.0,5.0,2.0,10.0,0.0,7.0,8.0,4.0,11.0,12.0,13.0,6.0,9.0,14.0,17.0,16.0,15.0,18.0,19.0,20.0,21.0,22.0
2396,0.0,3.0,2.0,1.0,11.0,7.0,5.0,6.0,4.0,10.0,9.0,8.0,13.0,12.0,18.0,15.0,17.0,14.0,19.0,16.0,20.0,21.0,22.0
2445,5.0,2.0,4.0,0.0,1.0,6.0,7.0,8.0,3.0,11.0,12.0,10.0,9.0,21.0,15.0,13.0,14.0,17.0,20.0,16.0,19.0,18.0,22.0
2494,0.0,5.0,2.0,1.0,3.0,8.0,4.0,11.0,13.0,10.0,9.0,12.0,7.0,6.0,15.0,17.0,14.0,19.0,21.0,16.0,18.0,20.0,22.0
2543,0.0,5.0,2.0,1.0,7.0,8.0,3.0,4.0,6.0,12.0,13.0,11.0,9.0,10.0,15.0,14.0,17.0,18.0,19.0,21.0,16.0,22.0,20.0
2592,0.0,6.0,2.0,1.0,7.0,3.0,4.0,5.0,8.0,10.0,11.0,13.0,14.0,12.0,20.0,15.0,9.0,19.0,22.0,17.0,16.0,18.0,21.0
2641,0.0,6.0,3.0,2.0,1.0,8.0,4.0,5.0,7.0,10.0,9.0,11.0,12.0,14.0,13.0,15.0,22.0,20.0,17.0,18.0,16.0,19.0,21.0
2690,0.0,7.0,2.0,1.0,3.0,4.0,5.0,6.0,8.0,10.0,9.0,11.0,13.0,16.0,14.0,18.0,12.0,20.0,22.0,17.0,15.0,19.0,21.0
2739,0.0,5.0,7.0,1.0,2.0,6.0,3.0,4.0,8.0,10.0,9.0,11.0,15.0,12.0,13.0,18.0,14.0,19.0,17.0,20.0,16.0,21.0,22.0
2788,0.0,6.0,3.0,1.0,2.0,8.0,4.0,5.0,7.0,12.0,13.0,9.0,11.0,10.0,14.0,17.0,15.0,19.0,21.0,18.0,16.0,20.0,22.0
2837,0.0,5.0,1.0,2.0,3.0,6.0,10.0,4.0,8.0,11.0,12.0,9.0,15.0,7.0,14.0,20.0,13.0,22.0,19.0,18.0,17.0,21.0,16.0
2886,0.0,7.0,4.0,2.0,3.0,8.0,5.0,6.0,1.0,11.0,12.0,13.0,10.0,14.0,9.0,16.0,15.0,22.0,20.0,17.0,18.0,19.0,21.0
2935,1.0,11.0,0.0,2.0,6.0,3.0,4.0,5.0,9.0,10.0,12.0,14.0,7.0,8.0,16.0,17.0,13.0,20.0,21.0,15.0,18.0,19.0,22.0
2984,0.0,1.0,3.0,4.0,2.0,7.0,5.0,6.0,8.0,10.0,11.0,15.0,13.0,9.0,17.0,14.0,12.0,19.0,20.0,18.0,21.0,16.0,22.0
3033,0.0,5.0,1.0,6.0,8.0,2.0,3.0,4.0,7.0,11.0,12.0,15.0,10.0,9.0,17.0,16.0,13.0,19.0,14.0,18.0,21.0,22.0,20.0
3082,0.0,2.0,3.0,5.0,4.0,9.0,6.0,7.0,8.0,10.0,11.0,20.0,12.0,1.0,17.0,13.0,16.0,18.0,14.0,22.0,19.0,15.0,21.0
3131,0.0,6.0,1.0,3.0,2.0,4.0,5.0,11.0,7.0,10.0,9.0,15.0,13.0,8.0,18.0,19.0,12.0,20.0,17.0,16.0,21.0,14.0,22.0
3180,0.0,1.0,3.0,7.0,2.0,4.0,5.0,6.0,8.0,11.0,12.0,10.0,17.0,9.0,18.0,16.0,13.0,22.0,15.0,19.0,20.0,14.0,21.0
3229,0.0,1.0,2.0,3.0,7.0,4.0,5.0,6.0,8.0,10.0,9.0,15.0,14.0,16.0,13.0,21.0,11.0,20.0,17.0,18.0,19.0,12.0,22.0
3278,0.0,1.0,2.0,3.0,7.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,13.0,9.0,18.0,17.0,12.0,21.0,15.0,19.0,20.0,16.0,22.0
3327,0.0,2.0,6.0,4.0,3.0,1.0,11.0,5.0,7.0,12.0,13.0,10.0,16.0,9.0,14.0,17.0,8.0,22.0,15.0,19.0,20.0,18.0,21.0
3376,0.0,2.0,7.0,6.0,1.0,5.0,3.0,4.0,11.0,9.0,8.0,15.0,12.0,13.0,19.0,16.0,14.0,20.0,17.0,10.0,21.0,18.0,22.0
