,Caveolin-1,RAD51,Rb,FRA1,Beclin,Transglutaminase,beta-Catenin,VEGFR2,INPP4B,Cyclin_E1,PRDX1,Paxillin,p14 Arf(BetA300-340A),p27_pT157,GSK3_pS9,PEA15,Rictor_pT1135,Lck,HSP70,Cyclin_D1,PI3K-p85,PAI-1,MYH11,GSK3-alpha-beta_pS21_S9,PDCD4,Smad4,Src_pY527,VAV1,P-Cadherin,CD31
5,0.0,5.0,12.0,11.0,20.0,39.0,60.0,24.0,36.0,32.0,105.0,4.0,31.0,49.0,44.0,25.0,75.0,48.0,158.0,19.0,121.0,10.0,3.0,61.0,146.0,15.0,47.0,100.0,13.0,56.0
54,1.0,5.0,38.0,4.0,14.0,10.0,11.0,30.0,50.0,7.0,2.0,44.0,42.0,89.0,139.0,13.0,78.0,25.0,54.0,53.0,22.0,8.0,9.0,140.0,154.0,29.0,51.0,0.0,161.0,72.0
103,0.0,14.0,10.0,79.0,80.0,26.0,33.0,31.0,86.0,6.0,21.0,35.0,64.0,82.0,15.0,28.0,61.0,48.0,63.0,148.0,99.0,73.0,3.0,42.0,85.0,5.0,121.0,84.0,13.0,59.0
152,0.0,9.0,27.0,8.0,37.0,62.0,4.0,30.0,56.0,14.0,155.0,1.0,16.0,98.0,15.0,25.0,65.0,19.0,34.0,157.0,102.0,24.0,5.0,140.0,145.0,28.0,104.0,126.0,60.0,88.0
201,0.0,11.0,21.0,1.0,3.0,45.0,146.0,60.0,27.0,48.0,5.0,37.0,41.0,147.0,33.0,15.0,40.0,44.0,28.0,76.0,91.0,158.0,52.0,47.0,39.0,36.0,98.0,34.0,133.0,157.0
250,0.0,13.0,70.0,12.0,49.0,85.0,87.0,42.0,151.0,10.0,2.0,1.0,21.0,62.0,8.0,24.0,39.0,15.0,36.0,43.0,3.0,159.0,27.0,46.0,74.0,75.0,55.0,47.0,131.0,154.0
299,0.0,34.0,39.0,19.0,164.0,85.0,155.0,122.0,60.0,10.0,6.0,7.0,13.0,55.0,142.0,8.0,72.0,70.0,102.0,83.0,152.0,51.0,41.0,27.0,68.0,30.0,126.0,45.0,17.0,12.0
348,0.0,20.0,12.0,32.0,129.0,31.0,131.0,30.0,65.0,33.0,34.0,145.0,38.0,57.0,11.0,16.0,40.0,60.0,89.0,36.0,37.0,5.0,7.0,53.0,146.0,13.0,49.0,68.0,25.0,61.0
397,0.0,16.0,12.0,3.0,34.0,33.0,29.0,10.0,44.0,36.0,20.0,30.0,19.0,17.0,11.0,77.0,59.0,162.0,86.0,61.0,120.0,9.0,14.0,122.0,147.0,63.0,56.0,5.0,155.0,18.0
446,0.0,18.0,31.0,19.0,9.0,98.0,46.0,22.0,27.0,6.0,51.0,3.0,20.0,66.0,84.0,79.0,21.0,78.0,37.0,14.0,60.0,77.0,138.0,65.0,61.0,109.0,116.0,126.0,56.0,49.0
495,0.0,7.0,95.0,43.0,11.0,87.0,16.0,36.0,83.0,34.0,74.0,25.0,15.0,19.0,10.0,17.0,41.0,38.0,4.0,65.0,149.0,141.0,31.0,138.0,143.0,6.0,29.0,48.0,42.0,160.0
544,0.0,12.0,15.0,67.0,78.0,58.0,24.0,47.0,20.0,49.0,36.0,1.0,30.0,19.0,76.0,146.0,43.0,155.0,96.0,10.0,48.0,75.0,63.0,150.0,88.0,44.0,38.0,77.0,9.0,7.0
593,0.0,18.0,17.0,29.0,8.0,52.0,3.0,55.0,50.0,37.0,13.0,150.0,22.0,25.0,61.0,120.0,43.0,26.0,11.0,30.0,57.0,12.0,73.0,135.0,44.0,32.0,111.0,36.0,160.0,24.0
642,0.0,13.0,9.0,49.0,54.0,27.0,161.0,37.0,11.0,10.0,3.0,16.0,65.0,32.0,2.0,26.0,39.0,38.0,99.0,28.0,163.0,21.0,130.0,70.0,66.0,33.0,34.0,55.0,18.0,7.0
691,3.0,12.0,11.0,74.0,26.0,30.0,51.0,58.0,25.0,10.0,28.0,24.0,49.0,53.0,33.0,157.0,36.0,23.0,2.0,42.0,163.0,161.0,93.0,29.0,160.0,37.0,111.0,116.0,62.0,154.0
740,0.0,12.0,19.0,95.0,65.0,30.0,13.0,44.0,8.0,37.0,159.0,55.0,71.0,42.0,162.0,35.0,41.0,40.0,93.0,10.0,94.0,28.0,87.0,92.0,150.0,31.0,23.0,97.0,26.0,3.0
789,0.0,39.0,12.0,72.0,50.0,45.0,60.0,64.0,6.0,29.0,155.0,15.0,142.0,34.0,58.0,23.0,51.0,30.0,114.0,33.0,149.0,18.0,46.0,127.0,85.0,49.0,52.0,62.0,75.0,163.0
838,1.0,11.0,6.0,24.0,0.0,20.0,7.0,55.0,12.0,23.0,5.0,146.0,38.0,13.0,21.0,36.0,42.0,17.0,9.0,152.0,158.0,37.0,58.0,92.0,61.0,22.0,29.0,49.0,47.0,45.0
887,0.0,38.0,24.0,39.0,8.0,69.0,12.0,33.0,6.0,22.0,5.0,68.0,37.0,52.0,9.0,78.0,36.0,46.0,31.0,155.0,65.0,49.0,40.0,19.0,156.0,63.0,122.0,26.0,131.0,151.0
936,0.0,34.0,10.0,54.0,20.0,38.0,84.0,51.0,1.0,136.0,14.0,7.0,61.0,79.0,129.0,6.0,28.0,123.0,88.0,18.0,5.0,152.0,17.0,56.0,52.0,78.0,117.0,53.0,55.0,125.0
