,1-methylnicotinamide,C22:6 CE,urate,oxalate,creatinine,C20:4 CE,C56:5 TAG,dCMP,PEP,leucine,malondialdehyde,C16:0 LPE,C18:0 LPC,cotinine,UMP,uracil,C18:0 LPE,alpha-glycerophosphate,palmitoylcarnitine,niacinamide,pantothenate,C22:6 LPE,3-phosphoglycerate,phosphocreatine,C36:1 DAG,C34:4 PC,GABA,cytidine,inositol,SDMA/ADMA
21,0.0,1.0,2.0,3.0,4.0,17.0,5.0,21.0,12.0,27.0,31.0,7.0,9.0,6.0,26.0,41.0,54.0,20.0,42.0,13.0,16.0,11.0,14.0,10.0,19.0,62.0,23.0,48.0,32.0,25.0
70,0.0,1.0,5.0,3.0,8.0,6.0,9.0,12.0,11.0,14.0,18.0,4.0,48.0,7.0,47.0,16.0,58.0,35.0,29.0,13.0,2.0,39.0,23.0,10.0,32.0,21.0,27.0,15.0,25.0,20.0
119,0.0,1.0,9.0,3.0,12.0,2.0,17.0,10.0,4.0,11.0,48.0,28.0,23.0,6.0,8.0,18.0,35.0,7.0,43.0,22.0,20.0,46.0,50.0,5.0,13.0,14.0,31.0,26.0,44.0,19.0
168,0.0,1.0,15.0,3.0,7.0,8.0,23.0,14.0,6.0,24.0,11.0,10.0,13.0,2.0,26.0,27.0,17.0,42.0,38.0,9.0,5.0,61.0,16.0,21.0,25.0,40.0,57.0,12.0,62.0,44.0
217,0.0,1.0,10.0,8.0,3.0,15.0,20.0,18.0,2.0,26.0,16.0,14.0,23.0,41.0,9.0,13.0,27.0,6.0,11.0,17.0,5.0,34.0,7.0,12.0,32.0,22.0,38.0,43.0,64.0,48.0
266,0.0,1.0,6.0,2.0,4.0,3.0,11.0,18.0,5.0,12.0,35.0,10.0,26.0,9.0,29.0,20.0,24.0,7.0,21.0,8.0,25.0,60.0,36.0,19.0,15.0,55.0,59.0,39.0,40.0,13.0
315,0.0,1.0,3.0,4.0,9.0,5.0,50.0,22.0,2.0,42.0,18.0,6.0,15.0,8.0,11.0,10.0,13.0,25.0,20.0,7.0,12.0,32.0,16.0,28.0,34.0,41.0,38.0,35.0,44.0,14.0
364,0.0,1.0,8.0,4.0,20.0,7.0,32.0,6.0,2.0,11.0,22.0,13.0,21.0,23.0,5.0,3.0,38.0,26.0,10.0,14.0,9.0,31.0,44.0,18.0,15.0,25.0,17.0,29.0,59.0,19.0
413,0.0,1.0,2.0,5.0,3.0,6.0,10.0,9.0,7.0,13.0,34.0,12.0,44.0,8.0,24.0,11.0,17.0,42.0,19.0,15.0,14.0,16.0,64.0,35.0,36.0,27.0,28.0,25.0,38.0,4.0
462,0.0,1.0,2.0,3.0,4.0,8.0,9.0,7.0,11.0,6.0,19.0,5.0,59.0,12.0,14.0,43.0,44.0,16.0,10.0,15.0,32.0,33.0,52.0,28.0,54.0,47.0,31.0,20.0,61.0,13.0
