,XBP1,4E-BP1,AMPK_pT172,BRCA2,RSK1-2-3,Bax,HER2_pY1248,Transglutaminase,STAT5-alpha,IRS1,VEGFR2,Rictor_pT1135,Acetyl-a-Tubulin (Lys40),Chk1_pS345,Bcl-xL,PRDX1,Akt_pS473,MAPK_pT202_Y204,Bcl-2,CD49b,Claudin-7,Chk2,SHP-2_pY542,Collagen_VI,HER3,beta-Catenin_pT41_S45,Porin,YAP_pS127,Tuberin_pT1462,B-Raf
985,19.0,25.0,1.0,18.0,33.0,71.0,12.0,7.0,15.0,51.0,114.0,13.0,66.0,129.0,92.0,45.0,73.0,70.0,35.0,120.0,53.0,103.0,69.0,27.0,41.0,46.0,102.0,48.0,28.0,126.0
1034,32.0,43.0,29.0,22.0,41.0,49.0,24.0,45.0,47.0,99.0,113.0,13.0,80.0,5.0,2.0,11.0,78.0,20.0,15.0,77.0,21.0,73.0,44.0,74.0,159.0,134.0,65.0,31.0,58.0,8.0
1083,16.0,17.0,14.0,121.0,47.0,42.0,29.0,81.0,7.0,69.0,65.0,53.0,107.0,5.0,10.0,78.0,102.0,49.0,87.0,109.0,38.0,163.0,23.0,28.0,25.0,92.0,30.0,54.0,1.0,12.0
1132,6.0,17.0,69.0,59.0,63.0,155.0,31.0,104.0,79.0,16.0,95.0,46.0,116.0,72.0,152.0,45.0,5.0,50.0,26.0,128.0,25.0,15.0,40.0,71.0,156.0,57.0,11.0,136.0,4.0,47.0
1181,20.0,12.0,3.0,8.0,43.0,22.0,40.0,28.0,25.0,51.0,112.0,34.0,62.0,18.0,100.0,50.0,113.0,143.0,83.0,99.0,61.0,158.0,29.0,7.0,114.0,17.0,45.0,111.0,66.0,109.0
1230,12.0,7.0,108.0,152.0,42.0,22.0,40.0,49.0,24.0,28.0,29.0,32.0,15.0,109.0,162.0,80.0,31.0,66.0,10.0,117.0,50.0,41.0,30.0,23.0,145.0,56.0,71.0,8.0,62.0,21.0
1279,50.0,72.0,27.0,28.0,118.0,139.0,86.0,51.0,49.0,43.0,0.0,64.0,18.0,54.0,76.0,34.0,29.0,65.0,58.0,25.0,21.0,73.0,59.0,63.0,115.0,101.0,79.0,61.0,14.0,137.0
1328,19.0,24.0,21.0,52.0,38.0,135.0,85.0,48.0,14.0,77.0,109.0,47.0,125.0,114.0,50.0,87.0,95.0,31.0,53.0,26.0,56.0,22.0,37.0,27.0,142.0,30.0,33.0,28.0,17.0,76.0
1377,15.0,18.0,43.0,150.0,65.0,25.0,42.0,87.0,9.0,47.0,86.0,22.0,117.0,19.0,60.0,59.0,52.0,41.0,33.0,147.0,10.0,12.0,39.0,90.0,69.0,51.0,13.0,57.0,66.0,61.0
1426,5.0,17.0,13.0,23.0,83.0,120.0,72.0,37.0,92.0,75.0,100.0,52.0,89.0,21.0,64.0,71.0,47.0,58.0,114.0,91.0,66.0,51.0,45.0,40.0,73.0,78.0,25.0,36.0,16.0,79.0
