,CORO2A,TSTD1,AKR1E2,C1orf186,ZBED6CL,SLFN13,OCIAD2,FZD6,RP11-390F4.3,RAB3D,PLAGL1,ADRB2,ZNF185,LXN,RP11-2B6.3,SYTL1,XDH,S100A2,GALNT14,LAMB3,RP11-330L19.1,CCDC120,ZDHHC12,PRSS16,APOL1,HNF1B,ANKS6,PTPN3,MLK4,RIN2
9,0.0,11.0,3.0,9.0,5.0,6.0,12.0,29.0,66.0,2.0,19.0,4.0,77.0,25.0,31.0,7.0,110.0,23.0,1.0,35.0,20.0,32.0,28.0,44.0,14.0,56.0,24.0,18.0,59.0,34.0
58,0.0,2.0,3.0,18.0,45.0,5.0,103.0,65.0,172.0,4.0,67.0,71.0,7.0,1.0,25.0,13.0,32.0,24.0,6.0,21.0,95.0,57.0,39.0,59.0,11.0,128.0,34.0,31.0,51.0,8.0
107,0.0,3.0,35.0,30.0,9.0,1.0,19.0,41.0,39.0,7.0,65.0,2.0,67.0,112.0,32.0,4.0,169.0,75.0,26.0,13.0,15.0,12.0,17.0,43.0,6.0,122.0,5.0,18.0,60.0,20.0
156,0.0,3.0,11.0,7.0,29.0,4.0,25.0,6.0,75.0,10.0,1.0,2.0,77.0,62.0,55.0,15.0,38.0,8.0,5.0,33.0,108.0,12.0,21.0,20.0,18.0,184.0,23.0,28.0,92.0,72.0
205,0.0,54.0,7.0,2.0,42.0,8.0,10.0,4.0,725.0,3.0,39.0,11.0,47.0,18.0,125.0,21.0,41.0,32.0,1.0,19.0,12.0,77.0,55.0,57.0,5.0,140.0,16.0,17.0,33.0,50.0
254,0.0,8.0,1.0,21.0,32.0,2.0,4.0,10.0,20.0,31.0,24.0,3.0,117.0,83.0,15.0,7.0,43.0,97.0,23.0,69.0,122.0,16.0,26.0,28.0,29.0,778.0,39.0,14.0,34.0,125.0
303,0.0,6.0,2.0,15.0,24.0,5.0,7.0,16.0,23.0,11.0,75.0,1.0,87.0,30.0,42.0,8.0,13.0,4.0,3.0,9.0,497.0,83.0,60.0,35.0,70.0,63.0,21.0,55.0,62.0,369.0
352,0.0,12.0,11.0,6.0,8.0,9.0,27.0,126.0,59.0,2.0,7.0,4.0,18.0,19.0,35.0,24.0,15.0,39.0,1.0,3.0,21.0,53.0,5.0,16.0,20.0,92.0,10.0,14.0,104.0,45.0
401,0.0,1.0,49.0,18.0,5.0,8.0,6.0,53.0,117.0,51.0,1283.0,38.0,7.0,33.0,26.0,4.0,14.0,10.0,9.0,11.0,59.0,78.0,15.0,31.0,12.0,63.0,37.0,23.0,203.0,16.0
450,0.0,1.0,3.0,7.0,4.0,12.0,10.0,36.0,49.0,6.0,40.0,11.0,64.0,318.0,25.0,16.0,67.0,32.0,52.0,2.0,18.0,14.0,17.0,8.0,23.0,322.0,39.0,19.0,212.0,146.0
499,1.0,13.0,0.0,52.0,6.0,9.0,5.0,4.0,45.0,15.0,2.0,11.0,31.0,3.0,47.0,37.0,7.0,12.0,50.0,14.0,59.0,38.0,43.0,80.0,42.0,87.0,35.0,51.0,63.0,66.0
548,1.0,3.0,0.0,49.0,10.0,25.0,9.0,17.0,33.0,7.0,4.0,23.0,87.0,8.0,31.0,32.0,5.0,144.0,63.0,60.0,2.0,11.0,14.0,43.0,91.0,39.0,22.0,19.0,59.0,27.0
597,3.0,6.0,0.0,21.0,19.0,9.0,4.0,30.0,70.0,8.0,1.0,14.0,63.0,11.0,23.0,20.0,31.0,292.0,12.0,184.0,2.0,10.0,56.0,46.0,73.0,170.0,22.0,36.0,189.0,69.0
646,2.0,1.0,0.0,67.0,22.0,26.0,12.0,43.0,17.0,4.0,6.0,28.0,73.0,3.0,11.0,9.0,5.0,27.0,51.0,15.0,7.0,33.0,24.0,14.0,86.0,47.0,21.0,56.0,168.0,85.0
695,0.0,10.0,1.0,32.0,6.0,41.0,44.0,25.0,12.0,4.0,5.0,7.0,51.0,54.0,33.0,15.0,43.0,34.0,311.0,23.0,17.0,3.0,133.0,137.0,46.0,58.0,40.0,107.0,91.0,69.0
744,4.0,5.0,0.0,85.0,14.0,22.0,10.0,26.0,20.0,2.0,1.0,15.0,60.0,8.0,12.0,58.0,9.0,350.0,29.0,72.0,6.0,13.0,11.0,64.0,31.0,46.0,47.0,37.0,234.0,99.0
793,0.0,3.0,2.0,53.0,12.0,14.0,6.0,38.0,10.0,5.0,1.0,16.0,92.0,4.0,94.0,27.0,19.0,35.0,20.0,76.0,17.0,11.0,28.0,51.0,59.0,31.0,30.0,21.0,66.0,334.0
842,0.0,4.0,1.0,60.0,28.0,14.0,13.0,132.0,76.0,9.0,5.0,93.0,53.0,3.0,99.0,19.0,2.0,43.0,27.0,21.0,56.0,38.0,74.0,101.0,57.0,33.0,114.0,65.0,136.0,18.0
891,0.0,1.0,3.0,115.0,161.0,2.0,22.0,36.0,13.0,5.0,20.0,11.0,111.0,8.0,25.0,12.0,4.0,104.0,54.0,16.0,73.0,51.0,10.0,79.0,24.0,14.0,121.0,34.0,58.0,255.0
940,0.0,2.0,1.0,37.0,29.0,53.0,7.0,15.0,51.0,6.0,10.0,20.0,115.0,11.0,40.0,34.0,8.0,132.0,31.0,46.0,4.0,3.0,19.0,44.0,17.0,22.0,18.0,72.0,268.0,83.0
989,0.0,4.0,1.0,8.0,30.0,3.0,15.0,38.0,6.0,39.0,22.0,10.0,18.0,2.0,48.0,60.0,13.0,83.0,93.0,26.0,34.0,28.0,56.0,150.0,44.0,14.0,45.0,49.0,42.0,162.0
1038,0.0,1.0,2.0,17.0,6.0,5.0,9.0,40.0,3.0,20.0,33.0,13.0,14.0,26.0,10.0,51.0,30.0,8.0,133.0,12.0,464.0,76.0,24.0,104.0,38.0,4.0,261.0,72.0,56.0,124.0
1087,0.0,2.0,12.0,3.0,58.0,18.0,133.0,49.0,5.0,4.0,1.0,13.0,6.0,11.0,23.0,42.0,14.0,45.0,885.0,29.0,19.0,22.0,39.0,89.0,20.0,21.0,27.0,25.0,75.0,38.0
1136,0.0,2.0,5.0,7.0,9.0,1.0,13.0,106.0,3.0,17.0,6.0,18.0,30.0,47.0,12.0,22.0,26.0,15.0,74.0,10.0,54.0,90.0,20.0,130.0,14.0,4.0,48.0,38.0,63.0,84.0
1185,0.0,8.0,4.0,26.0,44.0,1.0,35.0,47.0,20.0,6.0,34.0,90.0,3.0,2.0,17.0,12.0,13.0,39.0,264.0,9.0,38.0,87.0,49.0,53.0,28.0,24.0,31.0,45.0,52.0,22.0
1234,0.0,5.0,13.0,30.0,20.0,1.0,11.0,44.0,3.0,7.0,34.0,19.0,73.0,2.0,21.0,77.0,9.0,36.0,65.0,10.0,70.0,37.0,26.0,61.0,17.0,4.0,83.0,8.0,53.0,49.0
1283,0.0,7.0,12.0,14.0,21.0,3.0,4.0,79.0,2.0,88.0,1.0,17.0,159.0,5.0,13.0,50.0,61.0,53.0,155.0,109.0,199.0,30.0,74.0,181.0,24.0,228.0,118.0,10.0,41.0,215.0
1332,0.0,5.0,4.0,12.0,101.0,11.0,8.0,6.0,2.0,32.0,145.0,21.0,18.0,3.0,29.0,14.0,1.0,10.0,13.0,31.0,166.0,87.0,124.0,322.0,49.0,9.0,39.0,123.0,74.0,83.0
1381,0.0,12.0,9.0,3.0,6.0,1.0,54.0,2.0,25.0,20.0,18.0,46.0,44.0,49.0,8.0,81.0,47.0,67.0,84.0,14.0,32.0,92.0,21.0,88.0,10.0,7.0,27.0,31.0,38.0,86.0
1430,0.0,1.0,6.0,15.0,14.0,20.0,40.0,29.0,2.0,21.0,11.0,22.0,161.0,470.0,57.0,9.0,247.0,44.0,285.0,3.0,27.0,36.0,31.0,85.0,67.0,23.0,66.0,86.0,80.0,183.0
1479,0.0,7.0,20.0,2.0,27.0,83.0,4.0,14.0,5.0,12.0,9.0,64.0,18.0,31.0,25.0,112.0,11.0,10.0,1.0,29.0,174.0,41.0,17.0,49.0,26.0,13.0,267.0,235.0,77.0,68.0
1528,0.0,8.0,6.0,5.0,68.0,108.0,19.0,17.0,46.0,2.0,41.0,10.0,9.0,1.0,4.0,300.0,22.0,12.0,3.0,58.0,169.0,20.0,37.0,175.0,51.0,53.0,16.0,212.0,25.0,18.0
1577,0.0,1.0,2.0,9.0,10.0,12.0,5.0,58.0,4.0,54.0,11.0,98.0,44.0,3.0,22.0,35.0,76.0,13.0,6.0,65.0,549.0,8.0,33.0,14.0,49.0,15.0,46.0,303.0,254.0,187.0
1626,0.0,3.0,2.0,4.0,6.0,16.0,8.0,12.0,1.0,14.0,13.0,10.0,22.0,18.0,17.0,37.0,20.0,9.0,5.0,45.0,136.0,26.0,23.0,51.0,21.0,11.0,41.0,571.0,48.0,470.0
1675,0.0,1.0,2.0,9.0,6.0,34.0,8.0,12.0,5.0,11.0,51.0,7.0,13.0,46.0,16.0,211.0,10.0,4.0,3.0,94.0,519.0,14.0,47.0,143.0,43.0,18.0,67.0,2838.0,173.0,62.0
1724,0.0,9.0,5.0,3.0,1.0,21.0,2.0,8.0,4.0,11.0,102.0,7.0,13.0,88.0,15.0,201.0,70.0,6.0,48.0,46.0,255.0,24.0,22.0,169.0,19.0,16.0,367.0,303.0,51.0,73.0
1773,0.0,1.0,11.0,2.0,4.0,6.0,17.0,22.0,3.0,101.0,13.0,10.0,136.0,152.0,5.0,45.0,272.0,31.0,63.0,25.0,42.0,9.0,7.0,15.0,28.0,8.0,204.0,176.0,84.0,169.0
1822,0.0,5.0,15.0,2.0,7.0,13.0,3.0,9.0,27.0,8.0,28.0,10.0,16.0,4.0,11.0,68.0,32.0,6.0,1.0,105.0,24.0,21.0,58.0,19.0,59.0,23.0,25.0,111.0,35.0,43.0
1871,0.0,29.0,6.0,1.0,108.0,31.0,18.0,4.0,3.0,8.0,98.0,5.0,50.0,237.0,10.0,99.0,56.0,2.0,11.0,54.0,306.0,24.0,38.0,33.0,73.0,9.0,30.0,912.0,84.0,41.0
1920,0.0,15.0,1.0,6.0,2.0,8.0,4.0,18.0,3.0,10.0,65.0,13.0,36.0,39.0,5.0,155.0,122.0,11.0,9.0,29.0,294.0,22.0,49.0,19.0,25.0,27.0,45.0,392.0,23.0,40.0
1969,0.0,3.0,5.0,13.0,1.0,6.0,7.0,2.0,58.0,112.0,214.0,44.0,484.0,9.0,57.0,124.0,145.0,113.0,246.0,34.0,18.0,33.0,68.0,134.0,21.0,342.0,286.0,27.0,115.0,66.0
2018,0.0,1.0,6.0,11.0,2.0,3.0,5.0,4.0,34.0,50.0,196.0,41.0,97.0,26.0,9.0,59.0,278.0,58.0,190.0,23.0,30.0,51.0,19.0,66.0,20.0,173.0,160.0,8.0,49.0,76.0
2067,0.0,1.0,5.0,11.0,2.0,3.0,6.0,4.0,7.0,67.0,175.0,43.0,111.0,75.0,25.0,60.0,295.0,52.0,219.0,12.0,9.0,48.0,21.0,54.0,10.0,124.0,136.0,22.0,53.0,16.0
2116,0.0,1.0,8.0,34.0,2.0,3.0,4.0,5.0,10.0,42.0,150.0,64.0,26.0,35.0,23.0,22.0,160.0,151.0,111.0,18.0,32.0,73.0,60.0,37.0,11.0,147.0,360.0,17.0,193.0,14.0
2165,0.0,1.0,11.0,21.0,2.0,23.0,20.0,6.0,22.0,69.0,199.0,98.0,52.0,15.0,10.0,18.0,44.0,60.0,446.0,43.0,51.0,9.0,35.0,67.0,4.0,87.0,582.0,14.0,30.0,28.0
2214,0.0,4.0,28.0,10.0,2.0,1.0,5.0,3.0,15.0,35.0,97.0,39.0,220.0,18.0,16.0,100.0,167.0,37.0,187.0,12.0,8.0,110.0,41.0,48.0,7.0,79.0,172.0,14.0,106.0,42.0
2263,0.0,4.0,76.0,8.0,3.0,2.0,22.0,16.0,72.0,5.0,18.0,92.0,28.0,33.0,49.0,19.0,373.0,29.0,39.0,7.0,34.0,277.0,12.0,56.0,6.0,58.0,282.0,24.0,9.0,20.0
2312,0.0,1.0,60.0,4.0,47.0,19.0,25.0,2.0,31.0,35.0,97.0,184.0,124.0,107.0,27.0,37.0,66.0,45.0,450.0,23.0,38.0,87.0,75.0,8.0,17.0,33.0,113.0,20.0,15.0,53.0
2361,0.0,2.0,39.0,25.0,1.0,4.0,11.0,7.0,13.0,30.0,151.0,17.0,127.0,1123.0,23.0,18.0,177.0,35.0,224.0,3.0,24.0,113.0,42.0,53.0,8.0,221.0,375.0,50.0,129.0,63.0
2410,0.0,3.0,5.0,23.0,2.0,1.0,13.0,11.0,9.0,28.0,29.0,44.0,244.0,104.0,33.0,4.0,226.0,152.0,249.0,8.0,6.0,27.0,41.0,39.0,20.0,149.0,165.0,30.0,111.0,50.0
2459,0.0,7.0,2.0,43.0,15.0,17.0,18.0,26.0,10.0,44.0,33.0,289.0,4.0,1.0,36.0,30.0,73.0,438.0,124.0,19.0,13.0,35.0,8.0,14.0,42.0,6.0,84.0,20.0,5.0,22.0
2508,6.0,45.0,0.0,15.0,25.0,4.0,17.0,9.0,27.0,164.0,29.0,228.0,1.0,2.0,187.0,5.0,18.0,291.0,3.0,76.0,31.0,51.0,34.0,16.0,69.0,105.0,121.0,411.0,47.0,13.0
2557,0.0,4.0,15.0,6.0,678.0,85.0,163.0,53.0,23.0,41.0,9.0,322.0,3.0,52.0,32.0,2.0,43.0,336.0,11.0,147.0,20.0,18.0,16.0,40.0,51.0,25.0,109.0,264.0,14.0,82.0
2606,3.0,10.0,15.0,13.0,16.0,18.0,47.0,34.0,2.0,20.0,14.0,231.0,0.0,1.0,592.0,4.0,7.0,693.0,33.0,24.0,6.0,22.0,11.0,9.0,19.0,43.0,129.0,79.0,27.0,21.0
2655,9.0,6.0,1.0,10.0,17.0,48.0,23.0,34.0,69.0,20.0,72.0,695.0,14.0,0.0,137.0,3.0,27.0,1046.0,35.0,26.0,2.0,30.0,25.0,21.0,50.0,37.0,11.0,140.0,15.0,36.0
2704,0.0,4.0,3.0,10.0,14.0,18.0,82.0,16.0,29.0,84.0,12.0,234.0,9.0,2.0,38.0,32.0,177.0,282.0,31.0,19.0,5.0,132.0,8.0,50.0,45.0,25.0,30.0,111.0,6.0,15.0
2753,3.0,10.0,2.0,4.0,15.0,7.0,12.0,26.0,19.0,82.0,22.0,274.0,1.0,0.0,149.0,5.0,32.0,336.0,8.0,44.0,24.0,34.0,42.0,18.0,46.0,17.0,74.0,99.0,11.0,6.0
2802,0.0,5.0,13.0,7.0,6.0,15.0,29.0,88.0,20.0,54.0,4.0,12.0,2.0,51.0,186.0,3.0,82.0,328.0,65.0,40.0,9.0,70.0,30.0,34.0,46.0,36.0,213.0,129.0,11.0,142.0
2851,1.0,2.0,10.0,7.0,26.0,4.0,9.0,30.0,17.0,27.0,21.0,528.0,5.0,0.0,98.0,6.0,19.0,196.0,15.0,42.0,8.0,38.0,14.0,23.0,12.0,41.0,179.0,74.0,11.0,32.0
2900,1.0,8.0,0.0,3.0,6.0,60.0,13.0,67.0,4.0,113.0,97.0,51.0,10.0,94.0,26.0,15.0,77.0,179.0,90.0,73.0,25.0,29.0,37.0,17.0,56.0,28.0,238.0,567.0,24.0,11.0
2949,0.0,2.0,10.0,3.0,41.0,32.0,43.0,17.0,8.0,6.0,1.0,12.0,11.0,68.0,20.0,22.0,24.0,15.0,67.0,34.0,42.0,54.0,19.0,30.0,181.0,7.0,21.0,23.0,4.0,35.0
2998,0.0,4.0,14.0,5.0,150.0,549.0,32.0,18.0,8.0,26.0,1.0,41.0,37.0,28.0,15.0,117.0,12.0,9.0,31.0,62.0,127.0,42.0,34.0,35.0,313.0,16.0,29.0,23.0,6.0,97.0
3047,0.0,2.0,129.0,4.0,39.0,91.0,60.0,3.0,13.0,15.0,1.0,20.0,178.0,298.0,77.0,26.0,76.0,8.0,9.0,6.0,105.0,70.0,14.0,10.0,16.0,5.0,59.0,46.0,11.0,233.0
3096,0.0,1.0,10.0,5.0,189.0,33.0,102.0,18.0,20.0,7.0,2.0,125.0,4.0,26.0,35.0,23.0,9.0,22.0,13.0,39.0,83.0,122.0,12.0,16.0,98.0,15.0,37.0,53.0,8.0,27.0
3145,1.0,6.0,17.0,5.0,163.0,13.0,66.0,9.0,20.0,26.0,0.0,22.0,21.0,53.0,10.0,8.0,7.0,16.0,32.0,14.0,257.0,81.0,37.0,86.0,78.0,58.0,24.0,34.0,11.0,55.0
3194,0.0,2.0,5.0,7.0,89.0,29.0,20.0,12.0,9.0,6.0,1.0,30.0,16.0,49.0,22.0,32.0,8.0,19.0,64.0,43.0,206.0,84.0,26.0,25.0,69.0,17.0,51.0,15.0,4.0,75.0
3243,0.0,1.0,28.0,8.0,64.0,39.0,27.0,5.0,2.0,18.0,3.0,84.0,25.0,43.0,34.0,42.0,17.0,48.0,55.0,22.0,81.0,220.0,11.0,68.0,36.0,9.0,73.0,26.0,7.0,487.0
3292,0.0,2.0,5.0,7.0,32.0,43.0,14.0,18.0,3.0,41.0,1.0,30.0,23.0,60.0,132.0,15.0,17.0,9.0,8.0,21.0,175.0,95.0,87.0,35.0,154.0,10.0,56.0,45.0,16.0,141.0
3341,0.0,1.0,16.0,6.0,37.0,24.0,196.0,9.0,8.0,10.0,2.0,50.0,11.0,104.0,7.0,18.0,23.0,17.0,75.0,185.0,499.0,66.0,41.0,21.0,71.0,19.0,36.0,51.0,13.0,28.0
3390,2.0,1.0,39.0,3.0,423.0,32.0,64.0,52.0,4.0,70.0,0.0,114.0,24.0,20.0,11.0,16.0,14.0,28.0,38.0,91.0,417.0,34.0,9.0,40.0,41.0,8.0,27.0,57.0,12.0,137.0
3439,1.0,5.0,2.0,25.0,20.0,9.0,10.0,22.0,42.0,0.0,49.0,4.0,6.0,3.0,278.0,27.0,8.0,14.0,29.0,18.0,36.0,69.0,91.0,57.0,48.0,167.0,39.0,89.0,13.0,87.0
3488,0.0,53.0,3.0,36.0,2.0,31.0,12.0,34.0,6.0,22.0,5.0,20.0,4.0,37.0,70.0,7.0,73.0,11.0,50.0,72.0,32.0,41.0,78.0,24.0,29.0,152.0,104.0,187.0,10.0,38.0
3537,1.0,2.0,0.0,10.0,72.0,11.0,8.0,4.0,15.0,39.0,35.0,6.0,33.0,31.0,7.0,18.0,12.0,52.0,24.0,320.0,23.0,20.0,108.0,45.0,207.0,127.0,5.0,77.0,42.0,34.0
3586,0.0,5.0,1.0,24.0,3.0,13.0,2.0,15.0,4.0,10.0,9.0,8.0,6.0,19.0,48.0,12.0,140.0,27.0,70.0,51.0,7.0,11.0,14.0,18.0,81.0,265.0,30.0,38.0,28.0,44.0
3635,0.0,4.0,1.0,19.0,5.0,8.0,7.0,37.0,3.0,14.0,18.0,32.0,22.0,2.0,51.0,33.0,28.0,50.0,17.0,275.0,20.0,10.0,59.0,25.0,77.0,206.0,36.0,60.0,134.0,6.0
3684,0.0,1.0,15.0,55.0,4.0,6.0,20.0,2.0,5.0,68.0,31.0,43.0,72.0,30.0,51.0,18.0,100.0,325.0,275.0,63.0,22.0,16.0,17.0,27.0,41.0,66.0,13.0,23.0,25.0,19.0
3733,1.0,2.0,0.0,20.0,22.0,91.0,14.0,5.0,16.0,15.0,8.0,4.0,7.0,27.0,10.0,65.0,54.0,50.0,11.0,120.0,19.0,13.0,26.0,12.0,127.0,339.0,9.0,85.0,36.0,43.0
3782,1.0,3.0,2.0,12.0,10.0,11.0,9.0,21.0,5.0,44.0,0.0,66.0,7.0,59.0,30.0,19.0,60.0,89.0,73.0,269.0,8.0,28.0,42.0,13.0,91.0,1216.0,45.0,97.0,98.0,14.0
3831,1.0,0.0,2.0,12.0,5.0,14.0,10.0,4.0,6.0,13.0,3.0,25.0,32.0,34.0,79.0,68.0,51.0,69.0,16.0,76.0,28.0,40.0,20.0,7.0,59.0,120.0,57.0,121.0,23.0,53.0
3880,1.0,3.0,0.0,33.0,10.0,5.0,4.0,32.0,15.0,12.0,2.0,13.0,9.0,6.0,16.0,44.0,11.0,18.0,14.0,21.0,17.0,54.0,30.0,8.0,81.0,225.0,25.0,48.0,89.0,34.0
3929,2.0,0.0,1.0,4.0,11.0,106.0,28.0,43.0,3.0,17.0,15.0,32.0,12.0,5.0,74.0,91.0,26.0,7.0,145.0,70.0,18.0,27.0,173.0,22.0,136.0,46.0,97.0,10.0,53.0,8.0
3978,4.0,0.0,1.0,12.0,15.0,23.0,8.0,22.0,14.0,57.0,6.0,31.0,40.0,2.0,73.0,97.0,36.0,18.0,153.0,141.0,59.0,7.0,89.0,9.0,137.0,237.0,46.0,5.0,35.0,25.0
4027,1.0,0.0,4.0,7.0,13.0,33.0,17.0,19.0,27.0,84.0,53.0,26.0,6.0,2.0,11.0,81.0,10.0,3.0,32.0,403.0,249.0,14.0,69.0,45.0,95.0,55.0,74.0,16.0,62.0,23.0
4076,1.0,0.0,3.0,9.0,21.0,6.0,47.0,10.0,25.0,111.0,61.0,17.0,13.0,2.0,5.0,199.0,29.0,14.0,98.0,97.0,27.0,7.0,54.0,15.0,42.0,163.0,62.0,8.0,83.0,18.0
4125,2.0,0.0,1.0,6.0,36.0,15.0,30.0,17.0,24.0,76.0,11.0,32.0,23.0,4.0,22.0,194.0,33.0,37.0,20.0,292.0,80.0,3.0,77.0,34.0,168.0,208.0,14.0,19.0,65.0,209.0
4174,2.0,0.0,1.0,19.0,9.0,10.0,24.0,21.0,5.0,99.0,31.0,4.0,14.0,91.0,13.0,84.0,18.0,20.0,156.0,183.0,46.0,7.0,45.0,55.0,161.0,69.0,73.0,32.0,111.0,30.0
4223,1.0,0.0,15.0,39.0,2.0,3.0,161.0,8.0,17.0,70.0,34.0,25.0,41.0,92.0,106.0,120.0,250.0,71.0,323.0,9.0,19.0,28.0,52.0,5.0,16.0,18.0,32.0,23.0,78.0,96.0
4272,1.0,0.0,6.0,3.0,10.0,4.0,99.0,27.0,54.0,59.0,136.0,8.0,9.0,5.0,16.0,249.0,63.0,11.0,12.0,131.0,25.0,15.0,29.0,46.0,68.0,37.0,14.0,43.0,26.0,13.0
4321,1.0,0.0,22.0,6.0,10.0,57.0,32.0,16.0,30.0,67.0,98.0,38.0,45.0,23.0,11.0,211.0,28.0,4.0,14.0,139.0,58.0,3.0,13.0,26.0,40.0,24.0,72.0,2.0,46.0,47.0
4370,0.0,1.0,2.0,13.0,9.0,4.0,19.0,97.0,10.0,29.0,134.0,15.0,12.0,3.0,21.0,129.0,30.0,7.0,65.0,94.0,133.0,6.0,50.0,52.0,109.0,95.0,79.0,16.0,74.0,26.0
