,MSH6,Akt_pS473,HER3,PRAS40_pT246,AR,YB-1_pS102,CDK1,Acetyl-a-Tubulin (Lys40),FRA1,INPP4B,BRCA2,C-Raf(MP05-739),MEK1_pS217_S221,JNK2,IGFBP2,PRDX1,14-3-3_zeta,RSK1-2-3,TFRC,Caspase-7_cleavedD198,PKC-pan_BetaII_pS660,Heregulin,PDK1_pS241,TIGAR,MIG-6,RBM15,Chk2_pT68,c-Jun_pS73,Src_pY527,Lck
5,156.0,32.0,2.0,3.0,19.0,24.0,29.0,37.0,62.0,8.0,65.0,9.0,21.0,49.0,41.0,61.0,48.0,55.0,59.0,11.0,42.0,67.0,145.0,110.0,94.0,28.0,39.0,81.0,40.0,159.0
54,51.0,3.0,1.0,18.0,68.0,33.0,12.0,36.0,94.0,110.0,135.0,4.0,29.0,16.0,21.0,2.0,13.0,32.0,55.0,150.0,155.0,34.0,11.0,35.0,14.0,38.0,75.0,95.0,54.0,59.0
103,5.0,11.0,2.0,8.0,21.0,56.0,40.0,47.0,60.0,22.0,132.0,46.0,6.0,29.0,66.0,32.0,50.0,79.0,30.0,71.0,144.0,14.0,12.0,112.0,16.0,37.0,78.0,38.0,109.0,49.0
152,128.0,3.0,13.0,72.0,14.0,21.0,149.0,27.0,26.0,131.0,43.0,58.0,17.0,31.0,38.0,32.0,91.0,20.0,84.0,154.0,39.0,53.0,23.0,63.0,48.0,87.0,45.0,51.0,82.0,8.0
201,130.0,18.0,7.0,1.0,41.0,37.0,79.0,50.0,29.0,24.0,15.0,54.0,12.0,3.0,68.0,69.0,4.0,102.0,59.0,13.0,48.0,58.0,152.0,94.0,82.0,87.0,53.0,39.0,110.0,10.0
250,54.0,3.0,2.0,13.0,18.0,38.0,48.0,47.0,23.0,8.0,29.0,79.0,5.0,0.0,16.0,40.0,6.0,116.0,15.0,45.0,17.0,93.0,24.0,1.0,36.0,27.0,88.0,39.0,30.0,78.0
299,4.0,5.0,0.0,16.0,37.0,15.0,49.0,36.0,21.0,22.0,156.0,88.0,3.0,28.0,48.0,70.0,17.0,20.0,43.0,61.0,54.0,91.0,68.0,125.0,55.0,83.0,60.0,79.0,121.0,140.0
348,0.0,3.0,6.0,53.0,15.0,13.0,47.0,17.0,55.0,22.0,14.0,31.0,79.0,24.0,39.0,37.0,46.0,78.0,20.0,154.0,73.0,85.0,28.0,19.0,80.0,8.0,42.0,48.0,16.0,58.0
397,93.0,9.0,2.0,11.0,65.0,38.0,32.0,62.0,50.0,77.0,29.0,61.0,0.0,21.0,36.0,56.0,60.0,120.0,19.0,73.0,46.0,82.0,45.0,37.0,31.0,41.0,28.0,58.0,23.0,43.0
446,133.0,5.0,0.0,13.0,17.0,11.0,28.0,73.0,51.0,16.0,59.0,69.0,39.0,23.0,58.0,24.0,25.0,56.0,42.0,155.0,86.0,83.0,67.0,121.0,134.0,93.0,38.0,153.0,27.0,19.0
495,0.0,13.0,75.0,10.0,54.0,48.0,71.0,67.0,26.0,66.0,40.0,18.0,44.0,50.0,92.0,58.0,70.0,79.0,57.0,51.0,32.0,72.0,60.0,11.0,43.0,14.0,64.0,89.0,16.0,94.0
544,1.0,8.0,80.0,7.0,21.0,52.0,31.0,56.0,26.0,9.0,34.0,29.0,79.0,40.0,77.0,39.0,25.0,70.0,43.0,57.0,10.0,49.0,22.0,118.0,78.0,15.0,68.0,93.0,4.0,45.0
593,0.0,6.0,44.0,37.0,19.0,60.0,13.0,41.0,39.0,55.0,5.0,40.0,33.0,38.0,81.0,29.0,138.0,36.0,45.0,46.0,28.0,31.0,86.0,117.0,18.0,2.0,47.0,25.0,11.0,17.0
642,0.0,8.0,7.0,4.0,78.0,23.0,57.0,33.0,29.0,143.0,151.0,22.0,40.0,42.0,53.0,58.0,13.0,20.0,88.0,63.0,15.0,44.0,157.0,31.0,55.0,52.0,65.0,83.0,77.0,37.0
691,55.0,9.0,56.0,14.0,20.0,18.0,33.0,28.0,104.0,6.0,38.0,63.0,53.0,79.0,43.0,84.0,35.0,126.0,86.0,96.0,66.0,65.0,95.0,99.0,67.0,7.0,46.0,77.0,113.0,74.0
740,0.0,8.0,11.0,22.0,21.0,34.0,35.0,55.0,27.0,32.0,99.0,3.0,61.0,53.0,26.0,33.0,128.0,2.0,48.0,84.0,70.0,100.0,39.0,7.0,17.0,15.0,75.0,47.0,42.0,64.0
789,0.0,7.0,6.0,12.0,32.0,57.0,35.0,21.0,20.0,1.0,31.0,34.0,36.0,80.0,26.0,65.0,78.0,47.0,45.0,44.0,52.0,130.0,9.0,76.0,50.0,79.0,15.0,55.0,24.0,18.0
838,160.0,8.0,0.0,15.0,11.0,39.0,70.0,45.0,28.0,2.0,48.0,53.0,61.0,44.0,68.0,84.0,9.0,26.0,35.0,67.0,126.0,60.0,34.0,29.0,58.0,25.0,81.0,69.0,121.0,96.0
887,1.0,6.0,13.0,69.0,84.0,82.0,32.0,43.0,28.0,57.0,2.0,55.0,70.0,83.0,14.0,20.0,35.0,12.0,38.0,50.0,86.0,90.0,47.0,8.0,98.0,16.0,19.0,71.0,45.0,41.0
936,0.0,7.0,67.0,16.0,8.0,69.0,45.0,47.0,10.0,71.0,126.0,62.0,48.0,20.0,76.0,43.0,139.0,13.0,39.0,41.0,57.0,66.0,55.0,109.0,37.0,21.0,61.0,64.0,114.0,23.0
985,0.0,12.0,10.0,3.0,27.0,46.0,33.0,52.0,75.0,18.0,63.0,96.0,58.0,32.0,17.0,15.0,90.0,54.0,47.0,43.0,73.0,42.0,153.0,30.0,82.0,66.0,31.0,68.0,65.0,29.0
1034,0.0,5.0,4.0,41.0,19.0,13.0,25.0,28.0,54.0,132.0,42.0,40.0,21.0,26.0,66.0,1.0,18.0,120.0,53.0,92.0,35.0,133.0,8.0,101.0,39.0,81.0,56.0,106.0,33.0,73.0
1083,0.0,12.0,54.0,9.0,35.0,23.0,47.0,43.0,21.0,22.0,135.0,62.0,20.0,136.0,59.0,48.0,33.0,24.0,106.0,90.0,77.0,34.0,70.0,126.0,51.0,148.0,65.0,98.0,26.0,7.0
1132,0.0,30.0,63.0,3.0,17.0,42.0,23.0,18.0,78.0,69.0,128.0,19.0,107.0,102.0,37.0,52.0,33.0,61.0,94.0,34.0,60.0,92.0,21.0,53.0,44.0,58.0,9.0,101.0,54.0,14.0
1181,2.0,10.0,18.0,22.0,45.0,44.0,50.0,27.0,12.0,30.0,53.0,143.0,35.0,16.0,65.0,41.0,96.0,13.0,95.0,23.0,60.0,20.0,14.0,107.0,64.0,111.0,57.0,68.0,121.0,71.0
1230,0.0,7.0,15.0,33.0,22.0,8.0,55.0,29.0,50.0,16.0,41.0,66.0,28.0,72.0,20.0,32.0,102.0,37.0,62.0,45.0,56.0,51.0,11.0,110.0,86.0,105.0,71.0,95.0,99.0,12.0
1279,25.0,4.0,0.0,13.0,39.0,7.0,22.0,69.0,17.0,8.0,40.0,14.0,101.0,81.0,28.0,155.0,98.0,15.0,45.0,93.0,43.0,9.0,59.0,125.0,140.0,57.0,132.0,65.0,24.0,1.0
1328,0.0,6.0,4.0,8.0,42.0,75.0,25.0,33.0,59.0,36.0,86.0,5.0,19.0,28.0,41.0,15.0,60.0,85.0,47.0,76.0,34.0,32.0,143.0,123.0,45.0,100.0,44.0,68.0,62.0,1.0
1377,3.0,23.0,52.0,2.0,32.0,8.0,35.0,33.0,17.0,29.0,6.0,22.0,7.0,71.0,55.0,42.0,81.0,18.0,19.0,38.0,24.0,36.0,14.0,86.0,37.0,68.0,59.0,78.0,48.0,131.0
1426,1.0,7.0,23.0,3.0,25.0,35.0,30.0,28.0,40.0,54.0,49.0,9.0,4.0,89.0,24.0,58.0,70.0,103.0,46.0,47.0,37.0,45.0,15.0,29.0,38.0,101.0,77.0,71.0,21.0,41.0
1475,30.0,11.0,83.0,2.0,90.0,15.0,56.0,20.0,12.0,36.0,22.0,34.0,81.0,48.0,49.0,28.0,136.0,13.0,24.0,26.0,66.0,38.0,93.0,58.0,85.0,4.0,78.0,41.0,74.0,0.0
1524,49.0,2.0,13.0,16.0,4.0,14.0,81.0,44.0,72.0,141.0,143.0,90.0,97.0,51.0,27.0,71.0,38.0,12.0,22.0,28.0,41.0,34.0,18.0,36.0,29.0,6.0,31.0,43.0,42.0,24.0
