,EGFR,TAZ,Rb,VEGFR2,Annexin 1,MDMX_MDM4(BetIHC-00108),MAPK_pT202_Y204,IGFBP2,Src_pY416,Bax,YAP_pS127,beta-Catenin_pT41_S45,4E-BP1,Bap1 c-4,Akt_pS473,RAD51,Tuberin_pT1462,c-Jun_pS73,Caveolin-1,YB-1_pS102,p21,Heregulin,Rb_pS807_S811,AMPK_pT172,Annexin_VII,G6PD,GATA3,MSH6,FRA1,Cyclin_E1
5,45.0,9.0,70.0,0.0,4.0,7.0,134.0,26.0,34.0,36.0,73.0,28.0,2.0,20.0,31.0,78.0,82.0,162.0,137.0,15.0,6.0,61.0,21.0,37.0,24.0,77.0,75.0,1.0,48.0,66.0
54,7.0,122.0,11.0,5.0,10.0,19.0,0.0,16.0,8.0,13.0,27.0,46.0,108.0,12.0,43.0,53.0,127.0,52.0,57.0,93.0,21.0,69.0,22.0,71.0,130.0,141.0,39.0,18.0,26.0,55.0
103,137.0,26.0,33.0,0.0,28.0,40.0,147.0,13.0,24.0,16.0,10.0,46.0,134.0,29.0,78.0,8.0,3.0,119.0,25.0,107.0,44.0,34.0,7.0,90.0,126.0,157.0,19.0,30.0,15.0,57.0
152,28.0,92.0,7.0,3.0,2.0,10.0,130.0,21.0,34.0,23.0,4.0,38.0,31.0,60.0,25.0,26.0,119.0,106.0,13.0,84.0,142.0,57.0,15.0,82.0,24.0,45.0,39.0,41.0,157.0,86.0
201,42.0,66.0,57.0,0.0,7.0,2.0,36.0,162.0,64.0,8.0,16.0,24.0,79.0,151.0,39.0,18.0,22.0,80.0,4.0,10.0,63.0,73.0,25.0,110.0,89.0,47.0,54.0,11.0,122.0,92.0
250,38.0,99.0,17.0,0.0,30.0,74.0,20.0,15.0,13.0,5.0,47.0,28.0,119.0,72.0,40.0,4.0,121.0,44.0,25.0,53.0,33.0,21.0,32.0,111.0,110.0,36.0,60.0,134.0,151.0,39.0
299,29.0,2.0,15.0,0.0,60.0,39.0,141.0,16.0,49.0,33.0,5.0,66.0,100.0,116.0,43.0,74.0,32.0,17.0,71.0,18.0,157.0,45.0,10.0,61.0,6.0,36.0,31.0,42.0,57.0,84.0
348,3.0,33.0,13.0,1.0,8.0,15.0,158.0,10.0,30.0,16.0,79.0,42.0,44.0,27.0,39.0,38.0,19.0,128.0,46.0,22.0,11.0,48.0,49.0,54.0,135.0,50.0,23.0,18.0,141.0,55.0
397,85.0,23.0,100.0,0.0,37.0,42.0,72.0,45.0,14.0,6.0,56.0,28.0,118.0,30.0,18.0,10.0,66.0,1.0,5.0,2.0,63.0,60.0,8.0,107.0,126.0,70.0,77.0,24.0,135.0,49.0
446,161.0,28.0,2.0,0.0,25.0,18.0,79.0,24.0,39.0,10.0,9.0,56.0,90.0,22.0,30.0,65.0,85.0,1.0,3.0,164.0,48.0,38.0,16.0,14.0,31.0,154.0,33.0,17.0,57.0,26.0
495,1.0,92.0,5.0,24.0,25.0,19.0,0.0,132.0,27.0,8.0,11.0,14.0,113.0,10.0,65.0,64.0,22.0,26.0,2.0,81.0,47.0,43.0,108.0,17.0,119.0,18.0,44.0,55.0,148.0,45.0
544,6.0,9.0,7.0,125.0,3.0,15.0,14.0,12.0,62.0,50.0,24.0,58.0,0.0,60.0,55.0,48.0,16.0,27.0,23.0,40.0,52.0,42.0,129.0,8.0,117.0,25.0,56.0,5.0,150.0,36.0
