,MAGEA1,NGEF,GPX3,ACKR3,TNNI3K,BTBD11,LINC00942,FAM21B,RP11-157G21.2,MYEF2,VAMP5,PTEN,SLC12A7,IGF1R,MGC10955,TAF7,HTATSF1P2,SLC2A12,RP4-605O3.4,IGF2,PDE9A,PDLIM4,GREM1,SPAST,SGK1,ITGA9,MBOAT1,TMPRSS11E,ZNF502,GLB1L2
9,2.0,27.0,0.0,7.0,8.0,6.0,13.0,1.0,107.0,17.0,3.0,10.0,95.0,236.0,26.0,116.0,53.0,73.0,33.0,81.0,139.0,40.0,21.0,23.0,87.0,91.0,160.0,665.0,22.0,141.0
58,2.0,1.0,6.0,4.0,5.0,33.0,10.0,13.0,16.0,8.0,3.0,19.0,35.0,82.0,24.0,11.0,67.0,54.0,31.0,15.0,25.0,0.0,63.0,40.0,89.0,57.0,74.0,1166.0,47.0,49.0
107,0.0,15.0,1.0,11.0,6.0,16.0,3.0,5.0,34.0,21.0,28.0,65.0,40.0,57.0,10.0,27.0,9.0,566.0,84.0,19.0,70.0,4.0,2.0,36.0,342.0,55.0,66.0,196.0,636.0,23.0
156,7.0,2.0,0.0,16.0,9.0,14.0,1.0,17.0,32.0,6.0,8.0,12.0,10.0,68.0,3.0,15.0,66.0,18.0,31.0,119.0,4.0,176.0,38.0,52.0,86.0,175.0,143.0,209.0,171.0,239.0
205,2.0,22.0,1.0,3.0,19.0,13.0,8.0,4.0,27.0,10.0,72.0,26.0,41.0,50.0,23.0,29.0,44.0,106.0,28.0,34.0,30.0,0.0,37.0,24.0,442.0,31.0,65.0,423.0,246.0,61.0
254,7.0,0.0,1.0,2.0,5.0,9.0,10.0,8.0,27.0,19.0,3.0,14.0,160.0,33.0,646.0,53.0,17.0,153.0,45.0,92.0,73.0,43.0,29.0,13.0,184.0,63.0,379.0,97.0,530.0,88.0
303,2.0,1.0,0.0,3.0,11.0,6.0,7.0,4.0,22.0,32.0,5.0,40.0,49.0,21.0,63.0,31.0,14.0,71.0,17.0,48.0,8.0,27.0,51.0,55.0,93.0,30.0,103.0,1054.0,98.0,47.0
352,0.0,1.0,9.0,3.0,6.0,42.0,21.0,4.0,13.0,7.0,5.0,40.0,25.0,33.0,61.0,16.0,36.0,2061.0,11.0,32.0,28.0,12.0,130.0,62.0,156.0,54.0,48.0,145.0,1278.0,8.0
401,3.0,6.0,1.0,2.0,5.0,81.0,0.0,57.0,31.0,19.0,54.0,21.0,93.0,51.0,48.0,8.0,10.0,119.0,23.0,35.0,7.0,9.0,45.0,37.0,260.0,26.0,64.0,219.0,126.0,15.0
450,3.0,4.0,0.0,6.0,2.0,11.0,5.0,1.0,14.0,49.0,47.0,23.0,19.0,24.0,62.0,10.0,9.0,191.0,13.0,15.0,7.0,18.0,815.0,72.0,376.0,729.0,378.0,158.0,33.0,28.0
