,GABA,UMP,C18:0 LPC,alpha-glycerophosphate,C56:5 TAG,2-deoxyadenosine,pantothenate,DHAP/glyceraldehyde 3P,serotonin,glutamine,niacinamide,C36:4 PC-B,beta-alanine,dCMP,asparagine,serine,C18:0 LPE,taurodeoxycholate,valerylcarnitine,adenosine,C16:0 LPE,putrescine,oxalate,alpha-glycerophosphocholine,cytidine,cystathionine,palmitoylcarnitine,cotinine,butyrylcarnitine/isobutyrylcarnitine,cis/trans-hydroxyproline
23,1.0,2.0,0.0,10.0,18.0,3.0,11.0,7.0,4.0,6.0,9.0,13.0,8.0,5.0,23.0,19.0,22.0,15.0,14.0,24.0,16.0,38.0,41.0,20.0,35.0,25.0,17.0,21.0,29.0,45.0
72,0.0,5.0,1.0,9.0,10.0,6.0,13.0,4.0,3.0,7.0,8.0,21.0,2.0,16.0,24.0,11.0,14.0,35.0,12.0,23.0,15.0,18.0,19.0,26.0,30.0,20.0,22.0,17.0,47.0,51.0
121,0.0,3.0,1.0,5.0,11.0,7.0,15.0,4.0,2.0,6.0,8.0,16.0,20.0,10.0,29.0,14.0,22.0,26.0,30.0,19.0,13.0,9.0,18.0,17.0,39.0,27.0,23.0,12.0,24.0,48.0
170,0.0,2.0,4.0,3.0,7.0,1.0,5.0,8.0,11.0,6.0,10.0,22.0,9.0,13.0,15.0,17.0,20.0,21.0,14.0,18.0,12.0,24.0,31.0,25.0,40.0,23.0,16.0,19.0,26.0,51.0
219,2.0,6.0,1.0,14.0,16.0,5.0,4.0,3.0,9.0,10.0,8.0,12.0,0.0,11.0,26.0,15.0,25.0,32.0,20.0,13.0,17.0,34.0,18.0,21.0,27.0,29.0,30.0,7.0,19.0,52.0
268,0.0,1.0,6.0,4.0,13.0,2.0,9.0,11.0,5.0,7.0,8.0,12.0,16.0,3.0,22.0,10.0,20.0,27.0,30.0,31.0,14.0,17.0,25.0,21.0,52.0,18.0,23.0,19.0,42.0,26.0
317,0.0,3.0,2.0,9.0,5.0,1.0,24.0,8.0,13.0,6.0,10.0,20.0,15.0,4.0,16.0,17.0,18.0,33.0,19.0,22.0,7.0,14.0,26.0,27.0,38.0,23.0,21.0,11.0,30.0,50.0
366,0.0,1.0,5.0,3.0,7.0,6.0,9.0,2.0,4.0,11.0,20.0,30.0,10.0,12.0,19.0,13.0,21.0,31.0,16.0,14.0,8.0,17.0,27.0,22.0,47.0,35.0,29.0,15.0,23.0,54.0
415,0.0,3.0,4.0,5.0,8.0,1.0,11.0,2.0,9.0,10.0,12.0,17.0,21.0,14.0,19.0,6.0,22.0,26.0,13.0,29.0,20.0,23.0,24.0,27.0,36.0,16.0,7.0,18.0,34.0,33.0
464,2.0,9.0,3.0,8.0,19.0,1.0,4.0,0.0,5.0,11.0,15.0,13.0,14.0,12.0,17.0,6.0,7.0,24.0,21.0,26.0,10.0,31.0,18.0,22.0,41.0,23.0,20.0,16.0,30.0,51.0
513,0.0,1.0,10.0,2.0,6.0,25.0,14.0,4.0,7.0,3.0,11.0,16.0,21.0,12.0,24.0,5.0,17.0,19.0,23.0,9.0,26.0,18.0,38.0,28.0,8.0,20.0,31.0,32.0,15.0,29.0
562,1.0,0.0,11.0,3.0,13.0,22.0,12.0,2.0,5.0,15.0,18.0,10.0,4.0,17.0,8.0,7.0,26.0,29.0,14.0,6.0,9.0,32.0,20.0,30.0,24.0,42.0,27.0,16.0,19.0,41.0
611,0.0,1.0,4.0,11.0,14.0,18.0,8.0,7.0,3.0,20.0,24.0,2.0,13.0,19.0,6.0,5.0,31.0,10.0,21.0,9.0,25.0,42.0,43.0,32.0,23.0,16.0,12.0,35.0,27.0,34.0
660,1.0,5.0,9.0,10.0,3.0,14.0,2.0,17.0,4.0,6.0,15.0,0.0,7.0,18.0,11.0,34.0,21.0,16.0,12.0,28.0,8.0,24.0,31.0,22.0,27.0,49.0,30.0,23.0,26.0,29.0
709,0.0,10.0,4.0,2.0,9.0,6.0,15.0,1.0,3.0,23.0,21.0,17.0,7.0,16.0,13.0,14.0,18.0,20.0,8.0,11.0,5.0,37.0,29.0,38.0,25.0,48.0,41.0,31.0,27.0,22.0
758,1.0,0.0,16.0,9.0,6.0,10.0,7.0,2.0,4.0,3.0,26.0,22.0,17.0,12.0,5.0,14.0,8.0,11.0,23.0,18.0,19.0,44.0,30.0,33.0,15.0,34.0,24.0,28.0,35.0,25.0
