,leucine,inosine,uracil,cis/trans-hydroxyproline,asparagine,alpha-glycerophosphate,putrescine,DHAP/glyceraldehyde 3P,beta-alanine,hexoses (HILIC neg),C22:6 LPC,C22:6 LPE,pantothenate,alpha-hydroxybutyrate,alpha-glycerophosphocholine,serotonin,5-HIAA,2-deoxyadenosine,uridine,dCMP,2-deoxycytidine,C34:4 PC,hypoxanthine,adenosine,glutamine,valerylcarnitine,C16:0 LPE,sarcosine,taurodeoxycholate,inositol
26,18.0,8.0,29.0,30.0,56.0,14.0,19.0,62.0,5.0,0.0,10.0,23.0,38.0,26.0,11.0,2.0,40.0,15.0,44.0,31.0,54.0,35.0,36.0,50.0,25.0,61.0,7.0,9.0,3.0,16.0
75,13.0,43.0,28.0,5.0,29.0,3.0,48.0,34.0,35.0,1.0,46.0,12.0,39.0,11.0,10.0,66.0,23.0,30.0,42.0,21.0,64.0,25.0,8.0,40.0,49.0,37.0,14.0,55.0,16.0,15.0
124,18.0,26.0,6.0,16.0,43.0,0.0,37.0,54.0,7.0,1.0,20.0,9.0,57.0,66.0,5.0,38.0,32.0,39.0,21.0,15.0,58.0,33.0,27.0,51.0,29.0,23.0,10.0,25.0,34.0,40.0
173,9.0,59.0,3.0,6.0,40.0,12.0,4.0,52.0,31.0,2.0,50.0,16.0,20.0,0.0,7.0,47.0,32.0,18.0,36.0,25.0,38.0,56.0,19.0,48.0,39.0,61.0,15.0,64.0,24.0,13.0
222,1.0,5.0,26.0,54.0,12.0,19.0,43.0,4.0,66.0,22.0,48.0,13.0,27.0,23.0,21.0,2.0,37.0,40.0,52.0,62.0,9.0,41.0,14.0,49.0,18.0,0.0,11.0,60.0,42.0,7.0
271,4.0,63.0,12.0,5.0,56.0,40.0,3.0,10.0,19.0,0.0,59.0,21.0,25.0,9.0,13.0,22.0,48.0,17.0,44.0,6.0,54.0,41.0,15.0,62.0,35.0,23.0,16.0,64.0,24.0,11.0
320,0.0,45.0,6.0,22.0,23.0,16.0,4.0,10.0,3.0,32.0,39.0,29.0,26.0,2.0,37.0,1.0,15.0,11.0,31.0,30.0,33.0,5.0,57.0,7.0,61.0,34.0,12.0,48.0,50.0,8.0
369,16.0,11.0,7.0,23.0,9.0,5.0,28.0,30.0,34.0,12.0,56.0,15.0,41.0,0.0,52.0,26.0,8.0,4.0,13.0,22.0,51.0,53.0,64.0,59.0,37.0,39.0,19.0,46.0,36.0,1.0
418,1.0,14.0,11.0,35.0,16.0,21.0,64.0,55.0,4.0,6.0,15.0,29.0,43.0,8.0,20.0,3.0,31.0,37.0,49.0,10.0,47.0,44.0,62.0,59.0,28.0,41.0,19.0,13.0,9.0,39.0
467,46.0,5.0,12.0,13.0,31.0,11.0,0.0,37.0,60.0,3.0,15.0,33.0,7.0,16.0,50.0,14.0,45.0,21.0,1.0,22.0,47.0,24.0,6.0,29.0,35.0,41.0,30.0,38.0,28.0,48.0
516,13.0,66.0,9.0,24.0,11.0,60.0,42.0,29.0,19.0,22.0,6.0,12.0,37.0,8.0,10.0,2.0,35.0,20.0,0.0,15.0,1.0,16.0,33.0,39.0,53.0,46.0,26.0,61.0,50.0,21.0
565,4.0,0.0,3.0,6.0,8.0,36.0,10.0,5.0,11.0,22.0,43.0,51.0,15.0,55.0,45.0,12.0,20.0,44.0,9.0,50.0,17.0,26.0,66.0,56.0,35.0,65.0,32.0,34.0,39.0,27.0
614,59.0,65.0,6.0,17.0,12.0,9.0,2.0,36.0,13.0,31.0,37.0,34.0,56.0,1.0,23.0,20.0,4.0,24.0,3.0,21.0,26.0,40.0,57.0,62.0,60.0,42.0,22.0,53.0,61.0,33.0
663,4.0,12.0,14.0,2.0,8.0,3.0,16.0,52.0,46.0,43.0,55.0,15.0,36.0,0.0,19.0,18.0,20.0,38.0,7.0,45.0,6.0,26.0,35.0,28.0,34.0,32.0,31.0,56.0,30.0,17.0
