,hsa-miR-34a,hsa-miR-222,hsa-miR-582-5p,hsa-miR-10a,hsa-miR-1307,hsa-miR-483-3p,hsa-miR-135b,hsa-miR-223,hsa-miR-877,hsa-miR-770-5p,hsa-miR-219-2-3p,hsa-miR-574-5p,hsa-miR-581,hsa-miR-31,hsa-miR-1197,hsa-miR-302f,hsa-miR-628-5p,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-1256,hsa-miR-1252,hsa-miR-192,hsa-miR-591,hsa-miR-616,hsa-miR-92a,hsa-miR-204,ebv-miR-BART20-5p,hsa-miR-215,hsa-miR-1276,hsa-miR-652,hsa-miR-492
16,1.0,0.0,2.0,5.0,3.0,11.0,6.0,28.0,9.0,15.0,7.0,4.0,25.0,14.0,20.0,40.0,23.0,24.0,21.0,38.0,12.0,30.0,10.0,18.0,22.0,8.0,29.0,19.0,31.0,35.0
65,0.0,1.0,2.0,5.0,4.0,6.0,12.0,62.0,13.0,9.0,18.0,3.0,10.0,17.0,24.0,44.0,33.0,34.0,7.0,38.0,8.0,29.0,21.0,22.0,16.0,14.0,19.0,27.0,42.0,45.0
114,1.0,0.0,2.0,5.0,8.0,11.0,14.0,13.0,41.0,23.0,6.0,3.0,7.0,18.0,28.0,52.0,25.0,10.0,21.0,15.0,4.0,40.0,22.0,24.0,16.0,35.0,31.0,56.0,33.0,46.0
163,0.0,1.0,5.0,9.0,2.0,3.0,8.0,63.0,12.0,28.0,20.0,4.0,7.0,13.0,22.0,38.0,11.0,35.0,10.0,45.0,16.0,24.0,14.0,31.0,15.0,19.0,42.0,25.0,18.0,33.0
212,1.0,0.0,2.0,13.0,3.0,7.0,14.0,25.0,21.0,9.0,12.0,5.0,4.0,10.0,17.0,175.0,28.0,18.0,65.0,19.0,35.0,29.0,6.0,31.0,8.0,37.0,44.0,52.0,67.0,51.0
261,1.0,0.0,2.0,6.0,9.0,16.0,4.0,17.0,27.0,29.0,11.0,3.0,7.0,19.0,23.0,32.0,37.0,24.0,8.0,18.0,5.0,43.0,39.0,34.0,12.0,15.0,31.0,51.0,52.0,28.0
310,1.0,0.0,2.0,11.0,5.0,24.0,4.0,16.0,31.0,23.0,15.0,3.0,14.0,9.0,96.0,19.0,32.0,21.0,35.0,44.0,13.0,30.0,7.0,37.0,20.0,28.0,87.0,27.0,6.0,43.0
359,1.0,0.0,2.0,3.0,6.0,4.0,14.0,27.0,16.0,9.0,11.0,7.0,13.0,22.0,23.0,43.0,17.0,30.0,18.0,28.0,5.0,53.0,12.0,21.0,33.0,62.0,32.0,26.0,41.0,52.0
408,1.0,0.0,2.0,4.0,3.0,5.0,42.0,50.0,25.0,18.0,20.0,6.0,7.0,22.0,15.0,45.0,8.0,29.0,21.0,17.0,10.0,12.0,9.0,14.0,19.0,34.0,48.0,52.0,46.0,26.0
457,0.0,1.0,2.0,11.0,3.0,16.0,4.0,32.0,20.0,18.0,14.0,7.0,5.0,12.0,38.0,39.0,8.0,23.0,29.0,31.0,6.0,40.0,13.0,10.0,42.0,15.0,65.0,68.0,27.0,25.0
506,1.0,0.0,2.0,8.0,5.0,3.0,15.0,4.0,9.0,7.0,26.0,12.0,14.0,16.0,112.0,6.0,13.0,31.0,28.0,23.0,56.0,34.0,35.0,22.0,73.0,55.0,42.0,51.0,10.0,25.0
555,0.0,1.0,2.0,5.0,3.0,9.0,17.0,4.0,15.0,31.0,12.0,16.0,24.0,10.0,20.0,19.0,55.0,32.0,43.0,22.0,71.0,6.0,8.0,21.0,42.0,51.0,69.0,29.0,7.0,74.0
604,0.0,1.0,2.0,7.0,4.0,8.0,9.0,5.0,15.0,3.0,11.0,25.0,21.0,52.0,54.0,6.0,13.0,23.0,14.0,29.0,82.0,12.0,40.0,30.0,44.0,110.0,38.0,18.0,16.0,79.0
653,1.0,0.0,2.0,5.0,4.0,3.0,9.0,6.0,7.0,8.0,18.0,19.0,11.0,35.0,57.0,10.0,39.0,26.0,27.0,25.0,29.0,24.0,32.0,15.0,52.0,59.0,22.0,23.0,17.0,54.0
702,0.0,1.0,2.0,4.0,5.0,3.0,8.0,6.0,9.0,11.0,23.0,7.0,15.0,31.0,22.0,34.0,13.0,20.0,10.0,55.0,89.0,21.0,16.0,37.0,12.0,66.0,43.0,53.0,19.0,28.0
751,1.0,0.0,2.0,3.0,4.0,9.0,22.0,5.0,13.0,25.0,21.0,11.0,54.0,39.0,18.0,7.0,43.0,16.0,23.0,12.0,65.0,27.0,14.0,37.0,20.0,30.0,24.0,15.0,10.0,63.0
800,0.0,1.0,2.0,26.0,3.0,9.0,6.0,5.0,21.0,7.0,10.0,15.0,23.0,28.0,27.0,11.0,19.0,16.0,4.0,12.0,51.0,47.0,49.0,18.0,36.0,48.0,20.0,33.0,54.0,56.0
849,1.0,0.0,2.0,7.0,3.0,4.0,6.0,10.0,21.0,19.0,12.0,22.0,5.0,8.0,65.0,42.0,9.0,16.0,24.0,14.0,80.0,28.0,23.0,15.0,49.0,70.0,33.0,34.0,11.0,47.0
898,1.0,0.0,2.0,3.0,4.0,6.0,11.0,8.0,5.0,7.0,26.0,9.0,17.0,65.0,25.0,10.0,28.0,24.0,16.0,19.0,72.0,18.0,13.0,12.0,59.0,85.0,20.0,37.0,14.0,67.0
947,1.0,0.0,4.0,2.0,3.0,6.0,7.0,10.0,8.0,5.0,37.0,16.0,15.0,24.0,33.0,11.0,28.0,38.0,36.0,23.0,92.0,26.0,31.0,20.0,74.0,34.0,40.0,14.0,9.0,93.0
996,0.0,1.0,3.0,9.0,10.0,4.0,2.0,5.0,12.0,7.0,30.0,11.0,15.0,46.0,14.0,44.0,6.0,63.0,109.0,8.0,18.0,13.0,28.0,24.0,49.0,23.0,73.0,39.0,26.0,17.0
1045,1.0,0.0,4.0,5.0,11.0,3.0,2.0,9.0,8.0,6.0,26.0,20.0,40.0,16.0,7.0,15.0,13.0,17.0,75.0,21.0,28.0,12.0,23.0,29.0,56.0,18.0,63.0,41.0,27.0,19.0
1094,0.0,1.0,2.0,4.0,5.0,9.0,3.0,11.0,8.0,16.0,15.0,25.0,14.0,10.0,43.0,26.0,19.0,22.0,110.0,7.0,67.0,21.0,20.0,35.0,38.0,24.0,63.0,12.0,18.0,13.0
1143,0.0,1.0,2.0,7.0,5.0,4.0,3.0,9.0,6.0,40.0,28.0,12.0,19.0,17.0,13.0,29.0,10.0,27.0,56.0,15.0,65.0,22.0,21.0,48.0,23.0,52.0,76.0,47.0,32.0,16.0
