,hsa-miR-34a,hsa-miR-222,hsa-miR-582-5p,hsa-miR-10a,hsa-miR-1307,hsa-miR-483-3p,hsa-miR-135b,hsa-miR-223,hsa-miR-877,hsa-miR-770-5p,hsa-miR-219-2-3p,hsa-miR-574-5p,hsa-miR-581,hsa-miR-31,hsa-miR-1197,hsa-miR-302f,hsa-miR-628-5p,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-1256,hsa-miR-1252,hsa-miR-192,hsa-miR-591,hsa-miR-616,hsa-miR-92a,hsa-miR-204,ebv-miR-BART20-5p,hsa-miR-215,hsa-miR-1276,hsa-miR-652,hsa-miR-492
1192,0.0,1.0,4.0,6.0,7.0,3.0,2.0,8.0,13.0,12.0,33.0,15.0,75.0,30.0,5.0,37.0,9.0,18.0,17.0,35.0,51.0,21.0,24.0,16.0,23.0,127.0,80.0,40.0,111.0,25.0
1241,0.0,1.0,5.0,4.0,8.0,3.0,2.0,6.0,21.0,7.0,25.0,9.0,35.0,17.0,11.0,24.0,27.0,23.0,45.0,13.0,36.0,12.0,18.0,38.0,19.0,52.0,65.0,15.0,20.0,22.0
1290,1.0,0.0,2.0,5.0,4.0,8.0,3.0,6.0,13.0,65.0,10.0,7.0,15.0,26.0,11.0,21.0,66.0,14.0,48.0,24.0,54.0,25.0,33.0,19.0,18.0,35.0,62.0,41.0,53.0,37.0
1339,0.0,1.0,2.0,10.0,6.0,3.0,4.0,8.0,17.0,11.0,26.0,23.0,102.0,12.0,14.0,38.0,9.0,47.0,48.0,32.0,22.0,25.0,7.0,18.0,42.0,15.0,45.0,28.0,16.0,20.0
1388,0.0,1.0,3.0,8.0,5.0,7.0,2.0,4.0,6.0,9.0,32.0,22.0,19.0,25.0,11.0,12.0,21.0,20.0,101.0,29.0,31.0,28.0,14.0,40.0,43.0,55.0,45.0,13.0,37.0,33.0
1437,0.0,1.0,3.0,6.0,4.0,5.0,2.0,7.0,8.0,11.0,20.0,25.0,19.0,40.0,12.0,17.0,10.0,15.0,43.0,77.0,140.0,56.0,33.0,67.0,9.0,80.0,55.0,14.0,66.0,22.0
1486,1.0,0.0,2.0,3.0,9.0,6.0,20.0,22.0,4.0,8.0,7.0,59.0,12.0,5.0,37.0,26.0,24.0,19.0,30.0,15.0,167.0,65.0,43.0,76.0,66.0,10.0,42.0,27.0,23.0,16.0
1535,1.0,0.0,6.0,2.0,5.0,7.0,48.0,4.0,9.0,23.0,13.0,19.0,81.0,11.0,20.0,53.0,35.0,16.0,25.0,28.0,29.0,36.0,17.0,69.0,55.0,10.0,41.0,12.0,72.0,21.0
1584,0.0,1.0,2.0,3.0,5.0,4.0,8.0,17.0,6.0,7.0,10.0,57.0,13.0,11.0,22.0,32.0,30.0,39.0,27.0,111.0,54.0,40.0,24.0,82.0,86.0,20.0,33.0,16.0,88.0,25.0
1633,0.0,1.0,7.0,2.0,9.0,3.0,8.0,4.0,10.0,5.0,13.0,28.0,19.0,17.0,6.0,29.0,38.0,23.0,27.0,21.0,25.0,52.0,31.0,65.0,18.0,24.0,26.0,45.0,204.0,39.0
1682,0.0,1.0,2.0,4.0,3.0,5.0,14.0,17.0,8.0,7.0,9.0,33.0,21.0,10.0,11.0,36.0,20.0,39.0,25.0,37.0,27.0,42.0,6.0,45.0,30.0,12.0,18.0,24.0,91.0,19.0
1731,0.0,1.0,5.0,3.0,2.0,7.0,41.0,9.0,4.0,12.0,8.0,46.0,22.0,11.0,6.0,77.0,19.0,26.0,21.0,59.0,58.0,57.0,15.0,34.0,30.0,35.0,31.0,43.0,61.0,23.0
1780,0.0,1.0,2.0,4.0,3.0,5.0,10.0,8.0,12.0,7.0,6.0,33.0,13.0,14.0,21.0,22.0,32.0,35.0,26.0,24.0,51.0,62.0,20.0,66.0,30.0,28.0,31.0,15.0,59.0,11.0
1829,1.0,0.0,4.0,2.0,3.0,5.0,12.0,7.0,10.0,6.0,18.0,15.0,34.0,16.0,33.0,35.0,29.0,8.0,42.0,31.0,24.0,20.0,46.0,60.0,43.0,22.0,36.0,11.0,28.0,17.0
1878,0.0,1.0,3.0,5.0,6.0,7.0,9.0,4.0,8.0,2.0,12.0,24.0,26.0,15.0,17.0,39.0,66.0,36.0,14.0,23.0,27.0,57.0,81.0,38.0,47.0,13.0,35.0,40.0,50.0,19.0
1927,0.0,1.0,3.0,5.0,7.0,12.0,10.0,4.0,6.0,9.0,8.0,27.0,15.0,13.0,48.0,41.0,21.0,24.0,11.0,34.0,79.0,53.0,25.0,70.0,19.0,2.0,71.0,38.0,35.0,22.0
1976,1.0,0.0,2.0,4.0,56.0,5.0,3.0,9.0,11.0,22.0,28.0,10.0,7.0,40.0,19.0,23.0,39.0,18.0,25.0,12.0,6.0,53.0,45.0,37.0,15.0,32.0,64.0,68.0,41.0,35.0
2025,0.0,1.0,2.0,7.0,5.0,6.0,3.0,4.0,10.0,17.0,44.0,8.0,14.0,30.0,33.0,21.0,20.0,23.0,15.0,27.0,9.0,65.0,63.0,40.0,16.0,48.0,60.0,29.0,19.0,11.0
2074,1.0,0.0,4.0,3.0,29.0,25.0,2.0,6.0,17.0,101.0,35.0,48.0,22.0,11.0,77.0,23.0,39.0,7.0,44.0,30.0,5.0,46.0,98.0,69.0,19.0,52.0,53.0,8.0,9.0,21.0
2123,0.0,1.0,2.0,7.0,49.0,14.0,3.0,8.0,4.0,19.0,22.0,60.0,36.0,10.0,50.0,11.0,31.0,24.0,5.0,18.0,9.0,56.0,162.0,38.0,17.0,12.0,28.0,58.0,44.0,15.0
2172,1.0,0.0,2.0,16.0,9.0,12.0,3.0,5.0,25.0,41.0,10.0,19.0,22.0,20.0,15.0,26.0,76.0,8.0,4.0,13.0,6.0,106.0,59.0,35.0,11.0,23.0,55.0,17.0,21.0,14.0
2221,0.0,1.0,2.0,8.0,16.0,4.0,3.0,6.0,5.0,17.0,23.0,12.0,7.0,32.0,50.0,15.0,42.0,31.0,21.0,36.0,14.0,59.0,58.0,18.0,10.0,38.0,43.0,33.0,13.0,11.0
2270,0.0,1.0,2.0,5.0,8.0,7.0,3.0,6.0,9.0,18.0,29.0,13.0,19.0,10.0,25.0,23.0,51.0,31.0,17.0,22.0,4.0,50.0,47.0,30.0,36.0,32.0,45.0,39.0,12.0,11.0
2319,0.0,1.0,3.0,26.0,11.0,4.0,2.0,5.0,33.0,32.0,22.0,19.0,15.0,20.0,52.0,21.0,73.0,28.0,14.0,12.0,6.0,27.0,30.0,9.0,8.0,18.0,37.0,59.0,16.0,17.0
2368,1.0,0.0,3.0,4.0,11.0,6.0,2.0,7.0,5.0,18.0,22.0,26.0,19.0,35.0,15.0,9.0,56.0,28.0,17.0,45.0,10.0,40.0,36.0,16.0,12.0,8.0,62.0,32.0,23.0,20.0
2417,0.0,1.0,2.0,3.0,12.0,8.0,4.0,6.0,27.0,17.0,35.0,14.0,5.0,33.0,42.0,9.0,45.0,26.0,106.0,15.0,11.0,19.0,32.0,46.0,20.0,31.0,40.0,7.0,10.0,23.0
2466,1.0,0.0,2.0,3.0,10.0,9.0,16.0,20.0,5.0,4.0,15.0,6.0,23.0,43.0,75.0,14.0,7.0,18.0,21.0,12.0,37.0,11.0,63.0,42.0,29.0,28.0,8.0,25.0,62.0,33.0
2515,0.0,2.0,1.0,3.0,5.0,17.0,19.0,4.0,18.0,10.0,9.0,15.0,8.0,30.0,16.0,40.0,26.0,35.0,33.0,43.0,82.0,36.0,24.0,22.0,23.0,69.0,14.0,21.0,54.0,118.0
2564,0.0,1.0,2.0,3.0,9.0,21.0,13.0,6.0,11.0,4.0,12.0,27.0,18.0,31.0,50.0,19.0,5.0,58.0,8.0,37.0,20.0,52.0,82.0,44.0,28.0,15.0,23.0,24.0,41.0,46.0
2613,0.0,1.0,4.0,3.0,12.0,13.0,40.0,14.0,2.0,6.0,10.0,7.0,9.0,16.0,60.0,42.0,5.0,20.0,38.0,71.0,22.0,11.0,46.0,27.0,26.0,35.0,23.0,19.0,33.0,36.0
2662,0.0,1.0,2.0,3.0,9.0,24.0,18.0,22.0,4.0,11.0,12.0,16.0,13.0,62.0,44.0,28.0,5.0,35.0,25.0,29.0,47.0,19.0,34.0,15.0,39.0,32.0,31.0,7.0,26.0,51.0
2711,0.0,1.0,2.0,4.0,27.0,20.0,16.0,12.0,3.0,10.0,9.0,24.0,28.0,23.0,66.0,5.0,13.0,25.0,19.0,31.0,100.0,37.0,39.0,30.0,22.0,6.0,8.0,15.0,29.0,41.0
2760,1.0,0.0,2.0,3.0,5.0,18.0,46.0,13.0,4.0,39.0,9.0,17.0,26.0,8.0,172.0,21.0,37.0,16.0,35.0,30.0,45.0,20.0,24.0,27.0,38.0,11.0,19.0,14.0,31.0,55.0
2809,0.0,1.0,3.0,2.0,5.0,10.0,6.0,8.0,4.0,9.0,11.0,18.0,36.0,23.0,14.0,16.0,7.0,25.0,32.0,22.0,35.0,19.0,34.0,28.0,70.0,24.0,29.0,12.0,26.0,54.0
2858,0.0,1.0,2.0,3.0,6.0,18.0,4.0,8.0,7.0,5.0,12.0,11.0,15.0,10.0,49.0,64.0,46.0,42.0,24.0,20.0,62.0,26.0,60.0,21.0,33.0,30.0,29.0,28.0,16.0,27.0
2907,1.0,0.0,2.0,3.0,4.0,13.0,18.0,6.0,7.0,8.0,26.0,5.0,22.0,20.0,48.0,16.0,21.0,49.0,80.0,33.0,85.0,12.0,17.0,25.0,30.0,50.0,31.0,10.0,53.0,43.0
2956,0.0,1.0,2.0,6.0,4.0,3.0,5.0,8.0,15.0,9.0,10.0,25.0,57.0,20.0,12.0,7.0,17.0,18.0,13.0,53.0,24.0,63.0,93.0,22.0,71.0,47.0,32.0,41.0,16.0,51.0
3005,1.0,0.0,4.0,16.0,7.0,5.0,3.0,14.0,11.0,19.0,10.0,15.0,80.0,32.0,13.0,38.0,43.0,12.0,2.0,59.0,22.0,104.0,40.0,27.0,9.0,17.0,29.0,36.0,83.0,47.0
3054,1.0,0.0,2.0,4.0,23.0,6.0,5.0,8.0,9.0,19.0,13.0,76.0,30.0,11.0,10.0,21.0,15.0,20.0,3.0,100.0,18.0,28.0,143.0,32.0,36.0,55.0,17.0,33.0,49.0,48.0
3103,0.0,1.0,2.0,9.0,3.0,6.0,4.0,15.0,10.0,8.0,16.0,28.0,60.0,75.0,5.0,18.0,34.0,17.0,7.0,61.0,12.0,57.0,42.0,47.0,32.0,26.0,20.0,39.0,31.0,30.0
3152,1.0,0.0,4.0,9.0,2.0,3.0,6.0,12.0,13.0,5.0,15.0,18.0,66.0,24.0,17.0,33.0,28.0,16.0,7.0,26.0,38.0,55.0,57.0,44.0,36.0,23.0,29.0,53.0,73.0,61.0
3201,1.0,0.0,3.0,5.0,12.0,4.0,6.0,17.0,21.0,8.0,14.0,9.0,44.0,23.0,20.0,10.0,13.0,11.0,7.0,66.0,2.0,32.0,87.0,52.0,41.0,27.0,33.0,34.0,39.0,42.0
3250,1.0,0.0,2.0,55.0,4.0,7.0,5.0,6.0,21.0,23.0,24.0,14.0,40.0,9.0,15.0,41.0,29.0,10.0,8.0,30.0,3.0,51.0,81.0,11.0,58.0,12.0,37.0,33.0,36.0,32.0
3299,1.0,0.0,2.0,9.0,11.0,3.0,5.0,6.0,7.0,10.0,18.0,13.0,27.0,34.0,4.0,19.0,17.0,15.0,8.0,88.0,12.0,23.0,42.0,41.0,16.0,28.0,29.0,50.0,47.0,25.0
3348,0.0,1.0,4.0,25.0,8.0,2.0,3.0,35.0,49.0,24.0,5.0,13.0,7.0,11.0,6.0,18.0,15.0,16.0,32.0,69.0,51.0,22.0,68.0,12.0,41.0,92.0,20.0,21.0,28.0,74.0
3397,0.0,1.0,2.0,14.0,3.0,12.0,5.0,9.0,20.0,4.0,11.0,17.0,30.0,7.0,6.0,70.0,23.0,27.0,13.0,59.0,56.0,103.0,63.0,36.0,8.0,98.0,40.0,60.0,79.0,49.0
3446,1.0,0.0,2.0,5.0,3.0,4.0,22.0,6.0,7.0,19.0,9.0,10.0,14.0,25.0,17.0,18.0,56.0,57.0,30.0,8.0,44.0,13.0,16.0,21.0,43.0,54.0,24.0,85.0,46.0,26.0
3495,1.0,0.0,3.0,4.0,5.0,6.0,8.0,20.0,7.0,11.0,15.0,27.0,18.0,51.0,33.0,25.0,16.0,30.0,49.0,9.0,45.0,34.0,29.0,22.0,43.0,13.0,44.0,62.0,47.0,17.0
3544,0.0,1.0,2.0,9.0,3.0,4.0,13.0,14.0,6.0,7.0,25.0,17.0,18.0,83.0,50.0,5.0,20.0,72.0,30.0,10.0,31.0,26.0,16.0,19.0,33.0,15.0,23.0,62.0,59.0,35.0
3593,0.0,1.0,2.0,25.0,3.0,5.0,14.0,13.0,4.0,10.0,11.0,15.0,39.0,48.0,36.0,8.0,7.0,9.0,18.0,26.0,17.0,37.0,41.0,6.0,16.0,23.0,21.0,45.0,22.0,19.0
3642,1.0,0.0,3.0,4.0,2.0,5.0,6.0,20.0,10.0,29.0,23.0,8.0,7.0,46.0,17.0,39.0,13.0,25.0,27.0,19.0,32.0,33.0,21.0,15.0,36.0,48.0,35.0,63.0,47.0,41.0
3691,0.0,1.0,2.0,18.0,3.0,11.0,5.0,25.0,6.0,12.0,13.0,20.0,8.0,35.0,37.0,38.0,16.0,61.0,19.0,15.0,10.0,23.0,7.0,14.0,33.0,4.0,21.0,55.0,28.0,26.0
3740,0.0,1.0,2.0,7.0,6.0,26.0,4.0,5.0,3.0,15.0,14.0,22.0,10.0,23.0,8.0,25.0,30.0,32.0,36.0,13.0,27.0,18.0,16.0,40.0,37.0,11.0,17.0,34.0,24.0,61.0
3789,0.0,1.0,2.0,4.0,6.0,7.0,12.0,15.0,3.0,10.0,23.0,13.0,11.0,112.0,24.0,14.0,27.0,36.0,45.0,29.0,34.0,19.0,9.0,16.0,25.0,21.0,28.0,84.0,37.0,47.0
3838,0.0,1.0,2.0,4.0,8.0,6.0,3.0,5.0,9.0,7.0,47.0,21.0,71.0,14.0,51.0,16.0,11.0,19.0,61.0,18.0,12.0,10.0,28.0,29.0,37.0,25.0,60.0,64.0,158.0,73.0
3887,1.0,0.0,2.0,8.0,13.0,25.0,4.0,5.0,3.0,17.0,9.0,14.0,15.0,55.0,81.0,12.0,43.0,29.0,59.0,22.0,27.0,44.0,10.0,19.0,31.0,11.0,32.0,83.0,41.0,21.0
3936,0.0,1.0,2.0,3.0,6.0,20.0,12.0,7.0,4.0,5.0,23.0,39.0,16.0,62.0,14.0,26.0,11.0,43.0,29.0,21.0,24.0,17.0,8.0,82.0,18.0,89.0,28.0,22.0,33.0,32.0
3985,0.0,1.0,2.0,11.0,8.0,31.0,15.0,4.0,5.0,10.0,34.0,42.0,24.0,19.0,46.0,13.0,16.0,27.0,47.0,17.0,41.0,30.0,29.0,44.0,6.0,9.0,96.0,22.0,14.0,33.0
4034,0.0,1.0,2.0,4.0,5.0,16.0,3.0,9.0,8.0,6.0,28.0,12.0,7.0,57.0,56.0,23.0,30.0,21.0,46.0,13.0,33.0,35.0,100.0,78.0,26.0,24.0,34.0,18.0,19.0,11.0
4083,1.0,0.0,2.0,3.0,9.0,21.0,44.0,13.0,6.0,7.0,10.0,16.0,5.0,47.0,24.0,42.0,8.0,26.0,31.0,37.0,19.0,23.0,28.0,65.0,18.0,14.0,45.0,32.0,43.0,12.0
4132,0.0,1.0,3.0,2.0,6.0,8.0,7.0,5.0,4.0,9.0,18.0,23.0,11.0,17.0,12.0,24.0,10.0,26.0,27.0,43.0,25.0,16.0,15.0,31.0,30.0,77.0,45.0,74.0,22.0,47.0
4181,1.0,0.0,5.0,4.0,8.0,22.0,3.0,25.0,2.0,14.0,15.0,30.0,19.0,7.0,13.0,39.0,10.0,36.0,45.0,32.0,34.0,16.0,56.0,129.0,24.0,74.0,28.0,21.0,54.0,23.0
4230,1.0,0.0,6.0,4.0,2.0,10.0,28.0,5.0,3.0,8.0,30.0,22.0,27.0,69.0,7.0,9.0,15.0,19.0,46.0,21.0,45.0,24.0,48.0,60.0,16.0,14.0,20.0,12.0,41.0,39.0
4279,1.0,0.0,2.0,3.0,4.0,6.0,18.0,7.0,10.0,35.0,5.0,40.0,14.0,17.0,22.0,20.0,52.0,11.0,25.0,8.0,23.0,9.0,16.0,45.0,43.0,38.0,26.0,31.0,15.0,49.0
4328,0.0,1.0,2.0,4.0,13.0,16.0,9.0,21.0,6.0,5.0,11.0,27.0,22.0,23.0,73.0,36.0,3.0,56.0,34.0,30.0,12.0,28.0,62.0,79.0,10.0,41.0,32.0,31.0,25.0,19.0
4377,0.0,1.0,2.0,4.0,3.0,13.0,9.0,7.0,5.0,8.0,16.0,18.0,11.0,42.0,23.0,45.0,28.0,37.0,49.0,20.0,33.0,21.0,40.0,56.0,6.0,48.0,26.0,70.0,31.0,25.0
4426,1.0,0.0,3.0,5.0,36.0,4.0,8.0,2.0,24.0,34.0,7.0,11.0,117.0,12.0,22.0,15.0,31.0,23.0,9.0,19.0,14.0,18.0,63.0,20.0,28.0,50.0,29.0,53.0,113.0,46.0
4475,0.0,1.0,8.0,9.0,19.0,25.0,5.0,3.0,6.0,37.0,11.0,20.0,24.0,10.0,2.0,54.0,27.0,39.0,28.0,34.0,21.0,43.0,40.0,56.0,59.0,113.0,12.0,13.0,22.0,36.0
4524,0.0,1.0,7.0,9.0,5.0,2.0,4.0,8.0,13.0,122.0,11.0,34.0,101.0,19.0,17.0,22.0,154.0,38.0,25.0,23.0,20.0,14.0,6.0,26.0,35.0,85.0,36.0,29.0,52.0,30.0
4573,0.0,1.0,2.0,6.0,28.0,3.0,14.0,5.0,12.0,32.0,17.0,4.0,44.0,19.0,8.0,16.0,53.0,48.0,10.0,25.0,7.0,18.0,29.0,22.0,33.0,82.0,9.0,13.0,41.0,80.0
4622,0.0,1.0,8.0,2.0,19.0,5.0,3.0,11.0,10.0,26.0,7.0,15.0,61.0,21.0,23.0,30.0,89.0,44.0,6.0,39.0,14.0,37.0,9.0,18.0,36.0,46.0,34.0,17.0,71.0,48.0
4671,0.0,1.0,4.0,6.0,29.0,10.0,3.0,5.0,82.0,28.0,16.0,23.0,55.0,17.0,39.0,19.0,33.0,42.0,27.0,25.0,2.0,61.0,52.0,7.0,54.0,35.0,36.0,46.0,51.0,31.0
4720,0.0,1.0,3.0,2.0,4.0,5.0,9.0,13.0,7.0,23.0,6.0,8.0,47.0,18.0,28.0,17.0,24.0,20.0,10.0,68.0,34.0,46.0,31.0,19.0,36.0,107.0,22.0,38.0,29.0,32.0
4769,0.0,1.0,5.0,3.0,19.0,4.0,12.0,6.0,15.0,37.0,8.0,23.0,62.0,13.0,7.0,14.0,20.0,22.0,10.0,40.0,11.0,59.0,25.0,9.0,58.0,87.0,21.0,61.0,31.0,91.0
4818,0.0,1.0,19.0,2.0,6.0,3.0,38.0,5.0,9.0,47.0,8.0,15.0,20.0,4.0,11.0,26.0,33.0,31.0,24.0,28.0,14.0,37.0,58.0,10.0,50.0,53.0,51.0,39.0,45.0,34.0
4867,0.0,1.0,13.0,2.0,12.0,7.0,16.0,6.0,9.0,30.0,10.0,5.0,69.0,15.0,4.0,24.0,78.0,35.0,8.0,50.0,11.0,45.0,14.0,19.0,60.0,108.0,18.0,28.0,77.0,130.0
