,hsa-miR-630,hsa-miR-584,hsa-miR-181c,hsa-miR-608,hsa-miR-627,hsa-miR-339-5p,hsa-miR-24,hsa-miR-301b,hsa-miR-338-5p,hsa-miR-103,hsa-miR-2276,hsa-miR-494,hsa-miR-1825,hsa-miR-616,hsa-miR-1204,hsa-miR-155,ebv-miR-BART7,hsa-miR-564,hsa-miR-563,hsa-miR-592,hsv1-miR-H8,hsa-miR-329,hsa-miR-1277,hsa-miR-2052,hsa-miR-448,hsa-miR-15b,hsa-miR-1231,hsa-miR-423-5p,hsa-miR-137,hsa-miR-126
14,12.0,63.0,8.0,71.0,1.0,386.0,24.0,3.0,201.0,218.0,7.0,214.0,2.0,359.0,280.0,87.0,105.0,21.0,4.0,66.0,302.0,16.0,286.0,99.0,116.0,6.0,5.0,235.0,92.0,160.0
63,1.0,3.0,0.0,481.0,86.0,436.0,10.0,228.0,88.0,20.0,2.0,75.0,4.0,81.0,576.0,45.0,450.0,43.0,5.0,55.0,265.0,115.0,72.0,123.0,80.0,289.0,611.0,66.0,8.0,580.0
112,168.0,433.0,27.0,3.0,7.0,22.0,15.0,2.0,11.0,138.0,161.0,45.0,6.0,192.0,264.0,9.0,104.0,564.0,1.0,21.0,165.0,44.0,283.0,235.0,512.0,4.0,182.0,36.0,46.0,594.0
161,1.0,50.0,29.0,44.0,0.0,14.0,31.0,32.0,158.0,202.0,67.0,623.0,5.0,249.0,62.0,45.0,338.0,120.0,223.0,59.0,41.0,74.0,89.0,69.0,75.0,106.0,25.0,178.0,547.0,354.0
210,15.0,10.0,14.0,19.0,43.0,35.0,1.0,129.0,60.0,2.0,4.0,192.0,22.0,7.0,466.0,5.0,184.0,525.0,17.0,46.0,90.0,44.0,194.0,20.0,16.0,52.0,391.0,333.0,185.0,168.0
259,239.0,3.0,4.0,197.0,80.0,316.0,16.0,2.0,94.0,0.0,104.0,154.0,9.0,28.0,82.0,10.0,165.0,535.0,11.0,12.0,149.0,478.0,13.0,207.0,172.0,1.0,173.0,151.0,403.0,578.0
308,275.0,51.0,77.0,23.0,71.0,484.0,172.0,4.0,56.0,14.0,1.0,164.0,9.0,3.0,180.0,2.0,78.0,253.0,99.0,285.0,576.0,72.0,17.0,508.0,214.0,20.0,10.0,246.0,108.0,21.0
357,1.0,2.0,38.0,4.0,12.0,104.0,40.0,70.0,20.0,7.0,277.0,207.0,457.0,9.0,320.0,0.0,6.0,10.0,33.0,554.0,226.0,279.0,555.0,90.0,17.0,5.0,105.0,107.0,15.0,64.0
406,302.0,0.0,39.0,286.0,5.0,14.0,27.0,519.0,7.0,2.0,1.0,356.0,107.0,48.0,272.0,72.0,46.0,10.0,95.0,71.0,147.0,626.0,25.0,617.0,21.0,256.0,236.0,12.0,268.0,98.0
455,27.0,0.0,34.0,42.0,37.0,89.0,168.0,295.0,8.0,16.0,3.0,164.0,4.0,54.0,74.0,6.0,46.0,52.0,363.0,437.0,483.0,9.0,57.0,355.0,102.0,115.0,14.0,501.0,478.0,1.0
504,53.0,303.0,456.0,304.0,39.0,78.0,0.0,364.0,127.0,532.0,245.0,317.0,138.0,606.0,627.0,358.0,96.0,60.0,430.0,248.0,3.0,11.0,164.0,98.0,175.0,208.0,76.0,326.0,94.0,585.0
553,257.0,15.0,54.0,80.0,235.0,48.0,92.0,112.0,132.0,59.0,413.0,75.0,34.0,36.0,27.0,199.0,580.0,4.0,239.0,21.0,19.0,170.0,117.0,17.0,173.0,3.0,72.0,133.0,0.0,564.0
602,10.0,33.0,11.0,142.0,0.0,112.0,37.0,131.0,189.0,510.0,43.0,28.0,127.0,175.0,376.0,15.0,415.0,113.0,562.0,381.0,16.0,164.0,216.0,129.0,119.0,30.0,75.0,93.0,19.0,40.0
651,28.0,10.0,43.0,9.0,24.0,4.0,183.0,11.0,38.0,239.0,171.0,26.0,6.0,22.0,61.0,95.0,29.0,121.0,110.0,452.0,8.0,107.0,486.0,62.0,86.0,119.0,1.0,5.0,35.0,103.0
700,11.0,20.0,33.0,176.0,3.0,92.0,108.0,493.0,4.0,10.0,255.0,103.0,50.0,472.0,114.0,40.0,49.0,6.0,443.0,182.0,19.0,613.0,619.0,104.0,267.0,5.0,442.0,117.0,25.0,154.0
749,14.0,40.0,38.0,0.0,36.0,238.0,23.0,560.0,21.0,242.0,62.0,91.0,172.0,49.0,48.0,157.0,149.0,30.0,288.0,211.0,19.0,66.0,420.0,329.0,82.0,226.0,13.0,393.0,5.0,20.0
798,7.0,73.0,6.0,50.0,486.0,20.0,27.0,175.0,45.0,24.0,242.0,1.0,23.0,440.0,22.0,10.0,250.0,295.0,0.0,60.0,147.0,16.0,445.0,235.0,213.0,5.0,57.0,408.0,21.0,367.0
847,46.0,9.0,128.0,301.0,5.0,26.0,32.0,173.0,523.0,10.0,183.0,8.0,235.0,53.0,98.0,255.0,105.0,7.0,125.0,62.0,96.0,145.0,602.0,408.0,6.0,129.0,277.0,71.0,209.0,211.0
896,186.0,22.0,5.0,128.0,36.0,25.0,13.0,108.0,94.0,121.0,272.0,133.0,56.0,202.0,75.0,120.0,370.0,78.0,61.0,447.0,4.0,51.0,35.0,150.0,16.0,143.0,488.0,21.0,63.0,24.0
945,174.0,9.0,5.0,192.0,22.0,11.0,15.0,82.0,0.0,26.0,450.0,1.0,232.0,3.0,10.0,399.0,178.0,36.0,24.0,385.0,16.0,384.0,128.0,40.0,609.0,19.0,282.0,47.0,70.0,69.0
994,5.0,10.0,196.0,57.0,142.0,24.0,68.0,336.0,16.0,7.0,384.0,357.0,304.0,538.0,2.0,82.0,18.0,143.0,21.0,54.0,364.0,76.0,117.0,429.0,293.0,110.0,403.0,432.0,34.0,8.0
1043,178.0,4.0,50.0,31.0,169.0,0.0,302.0,151.0,3.0,19.0,2.0,553.0,6.0,262.0,59.0,27.0,45.0,244.0,547.0,58.0,143.0,21.0,563.0,426.0,107.0,16.0,164.0,576.0,285.0,10.0
1092,1.0,3.0,162.0,80.0,41.0,2.0,232.0,174.0,45.0,26.0,121.0,102.0,219.0,19.0,258.0,16.0,5.0,17.0,63.0,124.0,391.0,68.0,27.0,0.0,321.0,199.0,36.0,47.0,137.0,10.0
1141,1.0,294.0,12.0,53.0,225.0,3.0,530.0,198.0,34.0,65.0,0.0,43.0,47.0,390.0,85.0,21.0,91.0,27.0,6.0,152.0,8.0,31.0,467.0,71.0,166.0,24.0,154.0,417.0,133.0,456.0
1190,51.0,60.0,22.0,0.0,563.0,2.0,100.0,65.0,206.0,46.0,23.0,21.0,352.0,172.0,16.0,344.0,59.0,75.0,8.0,202.0,54.0,303.0,99.0,17.0,153.0,227.0,10.0,276.0,76.0,438.0
1239,139.0,28.0,21.0,3.0,57.0,226.0,99.0,45.0,74.0,87.0,203.0,40.0,9.0,33.0,46.0,234.0,25.0,10.0,118.0,235.0,152.0,15.0,315.0,0.0,127.0,215.0,429.0,338.0,575.0,158.0
1288,51.0,5.0,46.0,1.0,36.0,0.0,13.0,19.0,53.0,82.0,428.0,78.0,44.0,123.0,23.0,125.0,178.0,27.0,28.0,203.0,104.0,128.0,166.0,47.0,21.0,323.0,119.0,63.0,281.0,310.0
1337,22.0,0.0,212.0,85.0,239.0,19.0,176.0,31.0,15.0,14.0,51.0,328.0,48.0,209.0,26.0,108.0,325.0,376.0,115.0,315.0,490.0,2.0,399.0,28.0,59.0,444.0,10.0,50.0,54.0,556.0
1386,69.0,232.0,55.0,0.0,30.0,63.0,29.0,37.0,158.0,333.0,192.0,66.0,36.0,100.0,86.0,54.0,18.0,374.0,1.0,109.0,298.0,14.0,471.0,252.0,3.0,191.0,12.0,42.0,60.0,73.0
1435,149.0,4.0,111.0,9.0,206.0,11.0,12.0,26.0,263.0,580.0,86.0,10.0,46.0,105.0,56.0,626.0,3.0,167.0,347.0,16.0,119.0,28.0,133.0,18.0,34.0,429.0,115.0,127.0,63.0,440.0
1484,41.0,2.0,9.0,5.0,0.0,18.0,1.0,103.0,131.0,12.0,67.0,14.0,561.0,466.0,430.0,40.0,3.0,310.0,167.0,271.0,56.0,80.0,140.0,530.0,220.0,23.0,381.0,36.0,135.0,4.0
