,GSK3-alpha-beta,GATA3,Lck,PREX1,Collagen_VI,alpha-Catenin,PAI-1,RAD51,Claudin-7,MDMX_MDM4(BetIHC-00108),Caspase-7_cleavedD198,Cyclin_B1,Chk2,XBP1,Gab2,4E-BP1_pT37_T46,Raptor,YB-1_pS102,Chk1_pS345,Porin,Cyclin_E1,Bap1 c-4,p90RSK_pT359_S363,p27_pT157,PDCD4,PDK1_pS241,NDRG1_pT346,ACC_pS79,CDK1,PKC-pan_BetaII_pS660
1,0.0,1.0,4.0,15.0,6.0,10.0,5.0,19.0,13.0,7.0,14.0,31.0,12.0,21.0,27.0,22.0,30.0,2.0,8.0,36.0,18.0,9.0,37.0,20.0,26.0,23.0,16.0,17.0,34.0,99.0
50,3.0,1.0,0.0,9.0,2.0,10.0,23.0,26.0,45.0,6.0,8.0,19.0,15.0,11.0,5.0,4.0,37.0,7.0,14.0,28.0,54.0,53.0,71.0,20.0,18.0,29.0,22.0,21.0,25.0,41.0
99,2.0,3.0,0.0,8.0,1.0,6.0,7.0,10.0,12.0,4.0,16.0,45.0,18.0,15.0,19.0,21.0,55.0,20.0,9.0,41.0,32.0,5.0,60.0,42.0,31.0,14.0,22.0,13.0,46.0,68.0
148,3.0,1.0,0.0,9.0,2.0,78.0,12.0,8.0,13.0,33.0,21.0,11.0,20.0,7.0,44.0,10.0,22.0,30.0,6.0,18.0,38.0,17.0,76.0,15.0,56.0,23.0,4.0,62.0,34.0,27.0
197,4.0,3.0,0.0,5.0,9.0,1.0,7.0,37.0,34.0,15.0,6.0,29.0,20.0,8.0,21.0,13.0,57.0,28.0,14.0,42.0,10.0,87.0,91.0,105.0,41.0,23.0,19.0,36.0,18.0,56.0
246,0.0,2.0,1.0,8.0,3.0,5.0,4.0,33.0,23.0,13.0,10.0,32.0,36.0,67.0,21.0,12.0,27.0,11.0,28.0,9.0,14.0,16.0,42.0,26.0,41.0,17.0,30.0,25.0,19.0,29.0
295,1.0,2.0,0.0,10.0,3.0,34.0,5.0,8.0,22.0,6.0,7.0,12.0,11.0,16.0,23.0,17.0,21.0,15.0,14.0,20.0,28.0,18.0,77.0,27.0,31.0,42.0,19.0,32.0,25.0,39.0
344,0.0,2.0,1.0,7.0,4.0,3.0,10.0,17.0,11.0,13.0,16.0,8.0,15.0,20.0,18.0,12.0,63.0,30.0,6.0,19.0,22.0,5.0,48.0,31.0,44.0,27.0,23.0,28.0,68.0,77.0
393,2.0,3.0,0.0,16.0,11.0,12.0,5.0,15.0,43.0,30.0,6.0,4.0,8.0,45.0,19.0,13.0,22.0,61.0,10.0,44.0,1.0,47.0,52.0,29.0,55.0,24.0,7.0,33.0,37.0,109.0
442,1.0,2.0,0.0,8.0,5.0,3.0,4.0,24.0,30.0,11.0,12.0,16.0,23.0,13.0,7.0,14.0,18.0,26.0,54.0,9.0,22.0,33.0,37.0,49.0,19.0,39.0,34.0,48.0,21.0,87.0
491,4.0,3.0,5.0,0.0,1.0,20.0,2.0,12.0,33.0,9.0,8.0,43.0,13.0,7.0,26.0,16.0,18.0,22.0,52.0,27.0,53.0,36.0,47.0,11.0,21.0,37.0,113.0,31.0,6.0,55.0
540,2.0,5.0,9.0,0.0,3.0,1.0,6.0,50.0,28.0,16.0,34.0,25.0,19.0,13.0,7.0,18.0,24.0,31.0,52.0,20.0,37.0,41.0,14.0,12.0,49.0,33.0,68.0,17.0,10.0,46.0
589,1.0,0.0,3.0,4.0,5.0,7.0,23.0,11.0,12.0,15.0,31.0,29.0,2.0,10.0,9.0,6.0,13.0,20.0,67.0,24.0,25.0,42.0,16.0,14.0,44.0,54.0,76.0,27.0,48.0,33.0
