,LARGE_INTESTINE,GANGLIA,HAEMATOPOIETIC,BONE,OESOPHAGUS,THYROID,PANCREAS,SKIN,KIDNEY,SOFT_TISSUE,PLEURA,LUNG,STOMACH,LIVER,URINARY,PROSTATE,SALIVARY,BILIARY,ENDOMETRIUM,AERODIGESTIVE,BREAST,OVARY,NERVOUS
1612,1.0,0.0,2.0,6.0,3.0,5.0,7.0,9.0,4.0,11.0,10.0,14.0,13.0,8.0,12.0,17.0,18.0,19.0,15.0,16.0,20.0,21.0,22.0
1661,1.0,0.0,2.0,7.0,3.0,6.0,4.0,8.0,5.0,10.0,11.0,14.0,9.0,13.0,19.0,17.0,16.0,12.0,15.0,18.0,21.0,20.0,22.0
1710,1.0,0.0,3.0,2.0,4.0,7.0,5.0,8.0,6.0,11.0,10.0,9.0,14.0,13.0,15.0,16.0,17.0,18.0,12.0,19.0,21.0,20.0,22.0
1759,1.0,0.0,2.0,4.0,3.0,7.0,5.0,9.0,6.0,13.0,10.0,17.0,11.0,8.0,19.0,14.0,16.0,15.0,12.0,18.0,22.0,21.0,20.0
1808,1.0,0.0,4.0,2.0,5.0,7.0,8.0,12.0,6.0,3.0,10.0,16.0,14.0,13.0,15.0,9.0,17.0,18.0,11.0,19.0,20.0,22.0,21.0
1857,1.0,0.0,3.0,2.0,4.0,7.0,5.0,8.0,6.0,13.0,10.0,15.0,11.0,9.0,12.0,16.0,17.0,18.0,14.0,19.0,20.0,21.0,22.0
1906,1.0,0.0,3.0,2.0,4.0,12.0,6.0,7.0,5.0,10.0,11.0,13.0,20.0,8.0,9.0,15.0,16.0,17.0,14.0,18.0,22.0,19.0,21.0
1955,2.0,0.0,3.0,1.0,8.0,7.0,4.0,5.0,6.0,11.0,12.0,14.0,10.0,9.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0
2004,1.0,0.0,3.0,2.0,6.0,5.0,7.0,11.0,8.0,10.0,16.0,14.0,9.0,12.0,4.0,15.0,17.0,18.0,22.0,13.0,19.0,21.0,20.0
2053,0.0,1.0,3.0,6.0,5.0,2.0,4.0,7.0,9.0,13.0,16.0,10.0,12.0,11.0,8.0,15.0,17.0,18.0,22.0,14.0,20.0,21.0,19.0
2102,2.0,0.0,1.0,5.0,3.0,4.0,6.0,10.0,17.0,8.0,9.0,12.0,13.0,11.0,7.0,15.0,16.0,18.0,22.0,14.0,21.0,20.0,19.0
2151,0.0,1.0,6.0,5.0,2.0,3.0,4.0,13.0,10.0,11.0,15.0,12.0,14.0,8.0,7.0,9.0,17.0,18.0,22.0,16.0,19.0,21.0,20.0
2200,1.0,0.0,4.0,2.0,5.0,3.0,6.0,8.0,10.0,9.0,17.0,15.0,13.0,16.0,7.0,18.0,12.0,11.0,22.0,14.0,21.0,20.0,19.0
2249,0.0,1.0,2.0,5.0,4.0,6.0,3.0,7.0,10.0,8.0,16.0,14.0,12.0,11.0,9.0,15.0,17.0,18.0,22.0,13.0,21.0,19.0,20.0
2298,1.0,0.0,2.0,6.0,4.0,3.0,5.0,13.0,9.0,8.0,16.0,11.0,12.0,14.0,7.0,15.0,17.0,18.0,22.0,10.0,19.0,21.0,20.0
2347,0.0,1.0,4.0,6.0,2.0,3.0,5.0,8.0,10.0,9.0,16.0,12.0,13.0,11.0,7.0,15.0,17.0,18.0,21.0,14.0,20.0,19.0,22.0
