,hsa-miR-631,hsa-miR-205,hsa-miR-296-5p,hsa-miR-944,hsa-miR-517b,hsa-miR-1307,hsa-miR-24,hsa-miR-31,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-323-5p,hsa-miR-451,hsa-miR-1910,hsa-miR-30a,hcmv-miR-UL70-5p,hsa-miR-1913,hsa-miR-513b,hsa-miR-320d,hsa-miR-136,hsa-miR-216a,hsa-miR-302a,hsa-miR-604,hsa-miR-153,hsa-miR-616,hsa-miR-891a,hsa-miR-2054,hsa-miR-1179,hsa-miR-122,hsa-miR-766,ebv-miR-BART12,hsa-miR-1282
3052,0.0,1.0,134.0,28.0,23.0,47.0,27.0,185.0,51.0,12.0,67.0,241.0,115.0,2.0,157.0,9.0,200.0,33.0,13.0,44.0,296.0,137.0,31.0,32.0,390.0,18.0,49.0,166.0,55.0,4.0
3101,0.0,12.0,11.0,1.0,36.0,502.0,2.0,47.0,107.0,41.0,109.0,19.0,164.0,6.0,61.0,7.0,17.0,50.0,71.0,46.0,146.0,118.0,97.0,62.0,142.0,26.0,555.0,408.0,594.0,4.0
3150,4.0,1.0,0.0,6.0,34.0,70.0,2.0,9.0,140.0,137.0,151.0,106.0,301.0,3.0,410.0,29.0,31.0,115.0,24.0,130.0,7.0,167.0,240.0,494.0,539.0,17.0,149.0,298.0,395.0,57.0
3199,1.0,0.0,57.0,3.0,93.0,48.0,5.0,12.0,45.0,13.0,14.0,4.0,46.0,10.0,16.0,33.0,71.0,177.0,11.0,301.0,204.0,83.0,91.0,199.0,581.0,2.0,446.0,185.0,104.0,19.0
3248,0.0,1.0,111.0,12.0,10.0,4.0,25.0,16.0,31.0,14.0,22.0,62.0,9.0,3.0,279.0,5.0,271.0,115.0,43.0,477.0,34.0,8.0,36.0,32.0,208.0,29.0,141.0,407.0,30.0,44.0
3297,1.0,7.0,2.0,4.0,66.0,206.0,8.0,15.0,78.0,5.0,22.0,63.0,20.0,301.0,36.0,0.0,289.0,97.0,12.0,124.0,54.0,68.0,32.0,423.0,112.0,96.0,160.0,167.0,607.0,62.0
3346,1.0,0.0,4.0,6.0,10.0,8.0,14.0,7.0,478.0,3.0,15.0,30.0,56.0,239.0,18.0,2.0,133.0,389.0,13.0,90.0,327.0,132.0,29.0,80.0,92.0,128.0,194.0,43.0,285.0,192.0
3395,2.0,0.0,155.0,60.0,17.0,1.0,4.0,24.0,97.0,28.0,21.0,29.0,103.0,40.0,26.0,12.0,7.0,110.0,62.0,64.0,31.0,6.0,18.0,3.0,414.0,11.0,91.0,226.0,196.0,83.0
3444,0.0,2.0,28.0,423.0,64.0,18.0,137.0,1.0,9.0,115.0,4.0,291.0,144.0,26.0,496.0,19.0,11.0,43.0,34.0,93.0,88.0,17.0,80.0,237.0,46.0,182.0,12.0,3.0,559.0,31.0
3493,2.0,0.0,8.0,64.0,7.0,9.0,19.0,35.0,5.0,10.0,277.0,528.0,3.0,113.0,17.0,59.0,4.0,56.0,1.0,205.0,397.0,66.0,57.0,23.0,339.0,38.0,132.0,97.0,151.0,457.0
3542,0.0,1.0,3.0,136.0,99.0,7.0,18.0,50.0,2.0,306.0,8.0,267.0,23.0,37.0,287.0,220.0,32.0,44.0,29.0,86.0,164.0,58.0,259.0,36.0,57.0,484.0,59.0,4.0,92.0,314.0
3591,0.0,5.0,7.0,14.0,79.0,56.0,16.0,171.0,10.0,28.0,6.0,291.0,9.0,178.0,18.0,68.0,2.0,4.0,1.0,15.0,75.0,50.0,138.0,100.0,102.0,19.0,350.0,39.0,103.0,71.0
3640,1.0,6.0,2.0,14.0,26.0,3.0,15.0,79.0,13.0,166.0,0.0,178.0,74.0,208.0,27.0,184.0,5.0,62.0,113.0,198.0,7.0,373.0,488.0,75.0,57.0,37.0,33.0,70.0,50.0,266.0
