,dCMP,cotinine,creatine,C34:2 DAG,hypoxanthine,C36:1 DAG,niacinamide,C56:3 TAG,C18:0 LPC,C56:5 TAG,carnitine,glutamine,taurodeoxycholate,NADP,phosphocreatine,malondialdehyde,butyrylcarnitine/isobutyrylcarnitine,homocysteine,guanosine,adenosine,acetylcholine,2-deoxycytidine,C36:4 PC-B,isocitrate,pyroglutamic acid,C22:6 CE,alpha-hydroxybutyrate,N-carbamoyl-beta-alanine,alpha-glycerophosphate,C16:0 LPE
26,41.0,1.0,34.0,17.0,4.0,14.0,36.0,42.0,12.0,61.0,16.0,43.0,7.0,13.0,63.0,6.0,33.0,5.0,11.0,48.0,25.0,2.0,3.0,59.0,55.0,64.0,30.0,32.0,22.0,29.0
75,50.0,22.0,14.0,48.0,1.0,7.0,32.0,11.0,12.0,49.0,19.0,15.0,33.0,27.0,53.0,25.0,4.0,23.0,42.0,3.0,43.0,16.0,6.0,64.0,61.0,8.0,0.0,39.0,46.0,36.0
124,46.0,0.0,16.0,11.0,41.0,7.0,15.0,1.0,27.0,10.0,54.0,17.0,4.0,40.0,32.0,8.0,28.0,13.0,43.0,9.0,6.0,48.0,2.0,30.0,3.0,36.0,64.0,24.0,57.0,21.0
173,64.0,30.0,21.0,20.0,13.0,16.0,2.0,38.0,10.0,9.0,35.0,42.0,19.0,31.0,66.0,37.0,24.0,25.0,55.0,8.0,5.0,4.0,1.0,15.0,11.0,62.0,28.0,22.0,3.0,36.0
222,55.0,3.0,22.0,9.0,5.0,42.0,49.0,2.0,8.0,0.0,13.0,57.0,38.0,39.0,59.0,34.0,37.0,10.0,17.0,43.0,14.0,6.0,65.0,36.0,63.0,66.0,54.0,26.0,44.0,25.0
271,27.0,43.0,29.0,8.0,18.0,19.0,44.0,38.0,11.0,28.0,24.0,6.0,12.0,49.0,65.0,13.0,60.0,46.0,53.0,4.0,59.0,1.0,55.0,21.0,5.0,40.0,42.0,25.0,10.0,32.0
320,33.0,42.0,26.0,30.0,22.0,32.0,10.0,27.0,12.0,50.0,7.0,41.0,56.0,20.0,3.0,34.0,6.0,29.0,14.0,25.0,53.0,23.0,5.0,58.0,63.0,38.0,43.0,8.0,37.0,2.0
369,17.0,13.0,15.0,50.0,4.0,3.0,29.0,16.0,31.0,9.0,37.0,27.0,43.0,39.0,48.0,34.0,10.0,30.0,55.0,1.0,42.0,56.0,32.0,24.0,0.0,45.0,60.0,61.0,65.0,44.0
418,20.0,14.0,43.0,33.0,32.0,9.0,15.0,8.0,10.0,0.0,29.0,11.0,38.0,6.0,7.0,19.0,51.0,26.0,34.0,21.0,23.0,25.0,59.0,48.0,5.0,53.0,57.0,31.0,27.0,12.0
467,53.0,16.0,49.0,7.0,60.0,58.0,33.0,2.0,24.0,10.0,14.0,27.0,25.0,0.0,8.0,21.0,37.0,45.0,44.0,47.0,20.0,22.0,1.0,3.0,4.0,54.0,35.0,46.0,9.0,43.0
516,14.0,5.0,37.0,36.0,3.0,16.0,26.0,56.0,27.0,64.0,23.0,15.0,18.0,39.0,0.0,50.0,13.0,35.0,24.0,43.0,46.0,51.0,57.0,1.0,49.0,31.0,10.0,53.0,4.0,45.0
565,13.0,6.0,57.0,27.0,54.0,19.0,22.0,10.0,51.0,5.0,58.0,66.0,23.0,55.0,62.0,8.0,17.0,16.0,18.0,52.0,28.0,30.0,59.0,40.0,26.0,2.0,20.0,37.0,33.0,32.0
614,4.0,10.0,20.0,9.0,8.0,24.0,7.0,2.0,48.0,11.0,28.0,37.0,16.0,65.0,59.0,38.0,17.0,14.0,54.0,36.0,19.0,41.0,1.0,47.0,29.0,34.0,5.0,21.0,3.0,56.0
663,12.0,2.0,56.0,10.0,0.0,36.0,11.0,38.0,23.0,28.0,15.0,41.0,3.0,65.0,1.0,40.0,24.0,33.0,17.0,21.0,64.0,22.0,31.0,7.0,25.0,9.0,18.0,51.0,13.0,52.0
712,5.0,7.0,39.0,23.0,49.0,36.0,43.0,61.0,15.0,42.0,25.0,35.0,17.0,20.0,38.0,26.0,13.0,2.0,9.0,4.0,48.0,28.0,1.0,55.0,64.0,50.0,21.0,24.0,3.0,11.0
761,8.0,3.0,17.0,22.0,11.0,28.0,13.0,7.0,6.0,35.0,29.0,47.0,40.0,25.0,20.0,38.0,19.0,57.0,32.0,16.0,43.0,30.0,64.0,4.0,65.0,45.0,27.0,58.0,0.0,54.0
810,7.0,10.0,33.0,6.0,5.0,48.0,12.0,11.0,15.0,1.0,21.0,9.0,51.0,22.0,36.0,26.0,4.0,0.0,17.0,42.0,63.0,38.0,43.0,2.0,45.0,13.0,8.0,56.0,24.0,62.0
859,4.0,6.0,24.0,16.0,10.0,9.0,33.0,57.0,3.0,20.0,35.0,36.0,30.0,23.0,65.0,26.0,5.0,1.0,12.0,29.0,25.0,60.0,62.0,18.0,15.0,40.0,8.0,34.0,17.0,58.0
908,9.0,10.0,43.0,33.0,17.0,4.0,35.0,12.0,3.0,2.0,38.0,37.0,50.0,15.0,19.0,13.0,39.0,52.0,28.0,22.0,57.0,65.0,62.0,44.0,14.0,51.0,8.0,54.0,1.0,6.0
957,1.0,4.0,16.0,7.0,3.0,25.0,35.0,19.0,14.0,18.0,33.0,17.0,66.0,26.0,15.0,39.0,28.0,10.0,49.0,55.0,61.0,6.0,62.0,44.0,65.0,9.0,11.0,45.0,20.0,34.0
1006,3.0,46.0,2.0,38.0,21.0,51.0,26.0,11.0,32.0,48.0,8.0,19.0,31.0,28.0,64.0,41.0,30.0,58.0,49.0,54.0,60.0,1.0,56.0,0.0,20.0,16.0,27.0,25.0,22.0,43.0
1055,8.0,31.0,16.0,30.0,10.0,5.0,52.0,13.0,1.0,27.0,58.0,17.0,48.0,25.0,14.0,33.0,55.0,57.0,26.0,43.0,28.0,11.0,50.0,2.0,66.0,19.0,21.0,42.0,47.0,29.0
1104,3.0,18.0,4.0,14.0,12.0,22.0,13.0,50.0,20.0,30.0,39.0,0.0,46.0,35.0,7.0,45.0,32.0,64.0,27.0,43.0,1.0,44.0,2.0,17.0,60.0,25.0,5.0,16.0,29.0,38.0
1153,26.0,28.0,7.0,18.0,37.0,9.0,40.0,58.0,4.0,48.0,38.0,25.0,29.0,16.0,21.0,3.0,27.0,31.0,42.0,24.0,11.0,52.0,59.0,17.0,44.0,12.0,13.0,54.0,0.0,66.0
1202,56.0,14.0,7.0,28.0,23.0,21.0,6.0,44.0,60.0,45.0,27.0,3.0,22.0,9.0,49.0,34.0,5.0,47.0,51.0,20.0,16.0,40.0,64.0,19.0,24.0,17.0,35.0,48.0,2.0,0.0
1251,2.0,6.0,19.0,30.0,4.0,5.0,29.0,12.0,36.0,43.0,49.0,42.0,50.0,35.0,39.0,17.0,9.0,60.0,7.0,52.0,27.0,3.0,18.0,31.0,0.0,25.0,13.0,51.0,23.0,40.0
1300,13.0,5.0,11.0,38.0,24.0,20.0,42.0,1.0,48.0,39.0,2.0,25.0,26.0,53.0,12.0,8.0,27.0,57.0,18.0,34.0,52.0,36.0,40.0,21.0,62.0,3.0,19.0,47.0,10.0,22.0
1349,2.0,12.0,1.0,38.0,48.0,14.0,25.0,46.0,55.0,33.0,19.0,8.0,7.0,52.0,36.0,28.0,32.0,51.0,10.0,5.0,62.0,58.0,11.0,3.0,59.0,24.0,13.0,54.0,6.0,26.0
1398,23.0,47.0,5.0,11.0,36.0,28.0,21.0,43.0,19.0,58.0,1.0,24.0,3.0,38.0,66.0,18.0,31.0,55.0,53.0,39.0,50.0,41.0,2.0,10.0,64.0,40.0,7.0,29.0,35.0,34.0
1447,14.0,31.0,6.0,16.0,25.0,13.0,4.0,30.0,7.0,38.0,15.0,9.0,23.0,66.0,57.0,29.0,48.0,2.0,58.0,40.0,18.0,12.0,26.0,35.0,3.0,37.0,49.0,22.0,0.0,1.0
1496,19.0,56.0,5.0,12.0,48.0,7.0,16.0,20.0,8.0,66.0,13.0,50.0,6.0,26.0,22.0,25.0,41.0,31.0,34.0,14.0,18.0,63.0,42.0,27.0,11.0,32.0,51.0,57.0,43.0,3.0
1545,15.0,21.0,8.0,12.0,53.0,24.0,18.0,9.0,14.0,57.0,10.0,1.0,22.0,19.0,43.0,31.0,17.0,5.0,3.0,28.0,45.0,27.0,55.0,6.0,16.0,59.0,61.0,39.0,42.0,0.0
1594,11.0,59.0,17.0,23.0,4.0,3.0,27.0,6.0,8.0,18.0,13.0,9.0,20.0,21.0,5.0,45.0,0.0,36.0,28.0,22.0,2.0,30.0,37.0,33.0,12.0,43.0,35.0,19.0,58.0,10.0
1643,3.0,5.0,27.0,16.0,1.0,24.0,4.0,7.0,26.0,45.0,20.0,31.0,28.0,29.0,54.0,30.0,13.0,38.0,23.0,33.0,19.0,25.0,14.0,6.0,66.0,21.0,58.0,61.0,17.0,60.0
1692,8.0,23.0,6.0,37.0,9.0,7.0,27.0,33.0,25.0,18.0,4.0,54.0,40.0,13.0,15.0,32.0,43.0,39.0,20.0,3.0,45.0,57.0,31.0,60.0,61.0,24.0,55.0,21.0,14.0,11.0
1741,16.0,12.0,2.0,28.0,20.0,7.0,10.0,14.0,17.0,18.0,13.0,46.0,58.0,25.0,5.0,47.0,29.0,21.0,26.0,4.0,66.0,49.0,19.0,39.0,60.0,41.0,62.0,0.0,50.0,32.0
1790,9.0,26.0,2.0,35.0,51.0,42.0,10.0,27.0,37.0,15.0,5.0,6.0,24.0,64.0,4.0,48.0,12.0,28.0,30.0,43.0,32.0,59.0,8.0,45.0,21.0,62.0,63.0,36.0,65.0,7.0
1839,25.0,54.0,23.0,40.0,32.0,33.0,11.0,27.0,24.0,6.0,17.0,4.0,30.0,55.0,12.0,46.0,52.0,3.0,45.0,43.0,2.0,34.0,66.0,21.0,10.0,37.0,51.0,22.0,62.0,64.0
1888,8.0,22.0,1.0,25.0,61.0,2.0,3.0,48.0,26.0,30.0,19.0,42.0,15.0,45.0,43.0,27.0,35.0,31.0,20.0,17.0,32.0,37.0,55.0,9.0,5.0,40.0,38.0,13.0,52.0,0.0
1937,6.0,33.0,20.0,9.0,2.0,5.0,14.0,28.0,37.0,42.0,23.0,10.0,0.0,11.0,19.0,24.0,38.0,13.0,8.0,12.0,53.0,65.0,15.0,25.0,3.0,36.0,57.0,27.0,44.0,43.0
1986,6.0,42.0,7.0,15.0,61.0,35.0,27.0,0.0,19.0,2.0,41.0,21.0,24.0,13.0,38.0,46.0,22.0,12.0,20.0,32.0,58.0,36.0,16.0,10.0,63.0,52.0,44.0,30.0,8.0,29.0
2035,9.0,30.0,6.0,13.0,4.0,21.0,12.0,1.0,63.0,51.0,2.0,20.0,0.0,7.0,33.0,15.0,16.0,58.0,18.0,19.0,34.0,53.0,43.0,32.0,60.0,10.0,55.0,64.0,45.0,52.0
2084,14.0,7.0,18.0,23.0,6.0,3.0,34.0,17.0,15.0,21.0,32.0,42.0,51.0,63.0,61.0,16.0,44.0,9.0,11.0,12.0,27.0,36.0,13.0,2.0,0.0,22.0,52.0,66.0,39.0,24.0
2133,19.0,4.0,42.0,41.0,58.0,32.0,33.0,50.0,53.0,0.0,13.0,15.0,63.0,45.0,2.0,49.0,5.0,31.0,27.0,11.0,36.0,22.0,35.0,9.0,8.0,7.0,24.0,38.0,23.0,30.0
2182,12.0,57.0,24.0,15.0,63.0,35.0,19.0,40.0,4.0,60.0,14.0,32.0,5.0,0.0,26.0,28.0,21.0,1.0,6.0,47.0,43.0,29.0,2.0,22.0,62.0,18.0,9.0,38.0,50.0,36.0
2231,25.0,15.0,44.0,27.0,61.0,22.0,21.0,8.0,39.0,0.0,9.0,10.0,7.0,13.0,3.0,41.0,14.0,31.0,51.0,24.0,2.0,42.0,18.0,36.0,23.0,4.0,16.0,54.0,6.0,56.0
2280,18.0,56.0,20.0,11.0,6.0,41.0,13.0,8.0,37.0,3.0,12.0,40.0,21.0,26.0,39.0,1.0,19.0,0.0,34.0,36.0,30.0,2.0,28.0,54.0,57.0,5.0,42.0,7.0,32.0,53.0
2329,18.0,47.0,10.0,27.0,40.0,5.0,11.0,41.0,26.0,54.0,14.0,25.0,15.0,6.0,2.0,16.0,9.0,21.0,29.0,3.0,24.0,36.0,28.0,60.0,57.0,58.0,55.0,1.0,42.0,4.0
2378,6.0,60.0,36.0,10.0,20.0,12.0,7.0,48.0,42.0,15.0,53.0,3.0,41.0,51.0,16.0,17.0,34.0,21.0,37.0,9.0,14.0,5.0,64.0,18.0,66.0,65.0,55.0,44.0,23.0,62.0
2427,39.0,55.0,8.0,34.0,61.0,37.0,1.0,14.0,15.0,16.0,21.0,2.0,43.0,6.0,51.0,35.0,23.0,66.0,41.0,26.0,29.0,30.0,18.0,19.0,5.0,47.0,22.0,3.0,58.0,54.0
2476,12.0,0.0,26.0,13.0,2.0,34.0,38.0,66.0,19.0,10.0,48.0,46.0,36.0,64.0,51.0,11.0,14.0,4.0,53.0,60.0,58.0,18.0,41.0,55.0,62.0,8.0,6.0,15.0,45.0,24.0
2525,10.0,37.0,12.0,20.0,50.0,30.0,38.0,52.0,16.0,0.0,6.0,44.0,58.0,15.0,32.0,41.0,22.0,17.0,49.0,40.0,24.0,48.0,56.0,18.0,19.0,25.0,26.0,55.0,64.0,23.0
