,hsa-miR-582-5p,hsa-miR-579,hsa-miR-205,hsa-miR-499-3p,hsa-miR-638,hsa-miR-744,hsa-miR-548a-3p,hsa-miR-140-5p,ebv-miR-BART16,hsa-miR-1979,hsa-miR-583,hsa-miR-1197,hsv1-miR-H8,hsa-miR-1257,hsa-miR-612,hsv1-miR-H7,hsa-miR-924,hsa-miR-620,hsa-miR-1977,hsa-miR-31,hsa-miR-34a,hsa-miR-1276,kshv-miR-K12-4-3p,hsa-miR-657,hsa-miR-551b,hsa-miR-770-5p,hsa-miR-651,kshv-miR-K12-8,hsa-miR-604,kshv-miR-K12-6-5p
2761,0.0,2.0,1.0,3.0,10.0,45.0,4.0,11.0,9.0,27.0,41.0,13.0,31.0,7.0,20.0,59.0,14.0,26.0,74.0,19.0,8.0,21.0,121.0,60.0,6.0,23.0,28.0,12.0,24.0,15.0
2810,0.0,1.0,20.0,10.0,12.0,5.0,30.0,3.0,13.0,9.0,39.0,2.0,11.0,32.0,55.0,82.0,16.0,24.0,40.0,4.0,19.0,21.0,28.0,67.0,18.0,23.0,8.0,33.0,25.0,26.0
2859,2.0,0.0,1.0,3.0,4.0,250.0,15.0,88.0,14.0,27.0,45.0,7.0,12.0,8.0,36.0,23.0,42.0,11.0,22.0,24.0,38.0,9.0,131.0,99.0,41.0,30.0,17.0,10.0,6.0,31.0
2908,0.0,2.0,1.0,9.0,8.0,23.0,7.0,5.0,20.0,41.0,18.0,17.0,24.0,19.0,4.0,59.0,33.0,14.0,71.0,3.0,26.0,31.0,84.0,54.0,27.0,10.0,63.0,6.0,21.0,13.0
2957,4.0,0.0,3.0,19.0,7.0,5.0,70.0,11.0,40.0,30.0,10.0,1.0,20.0,23.0,57.0,13.0,25.0,94.0,394.0,461.0,59.0,31.0,37.0,33.0,29.0,12.0,61.0,15.0,9.0,38.0
3006,2.0,1.0,3.0,11.0,5.0,68.0,12.0,13.0,8.0,20.0,18.0,0.0,9.0,4.0,19.0,22.0,24.0,31.0,21.0,26.0,45.0,28.0,86.0,10.0,7.0,14.0,55.0,50.0,16.0,40.0
3055,1.0,0.0,13.0,11.0,2.0,6.0,4.0,30.0,22.0,29.0,5.0,3.0,18.0,19.0,17.0,21.0,16.0,103.0,45.0,61.0,23.0,27.0,54.0,15.0,9.0,10.0,58.0,95.0,24.0,32.0
3104,0.0,1.0,6.0,34.0,3.0,24.0,30.0,9.0,21.0,8.0,18.0,2.0,17.0,11.0,33.0,10.0,12.0,39.0,19.0,16.0,26.0,61.0,50.0,4.0,22.0,13.0,78.0,52.0,5.0,51.0
3153,2.0,0.0,5.0,12.0,3.0,26.0,49.0,18.0,10.0,46.0,8.0,1.0,30.0,7.0,20.0,25.0,21.0,302.0,89.0,4.0,15.0,53.0,48.0,24.0,14.0,6.0,122.0,22.0,9.0,27.0
3202,0.0,1.0,5.0,23.0,3.0,20.0,13.0,4.0,14.0,59.0,15.0,2.0,28.0,31.0,18.0,25.0,10.0,68.0,398.0,6.0,64.0,47.0,40.0,16.0,9.0,86.0,52.0,26.0,7.0,22.0
