,CD49b,Caspase-7_cleavedD198,Transglutaminase,Porin,eEF2,C-Raf_pS338,GATA3,Src,VAV1,p90RSK_pT359_S363,TTF1,Akt_pS473,Acetyl-a-Tubulin (Lys40),STAT5-alpha,Beclin,RAD51,AMPK_pT172,p27_pT157,ADAR1,AR,Rad50,Rb_pS807_S811,p21,A-Raf_pS299,P-Cadherin,Cyclin_E2,Chk1_pS345,4E-BP1_pT70,B-Raf,alpha-Catenin
0,85.0,58.0,6.0,2.0,0.0,9.0,3.0,12.0,18.0,42.0,14.0,1.0,101.0,20.0,37.0,21.0,87.0,65.0,33.0,57.0,50.0,10.0,22.0,150.0,49.0,26.0,28.0,7.0,61.0,31.0
49,0.0,5.0,8.0,6.0,10.0,2.0,9.0,13.0,3.0,17.0,40.0,49.0,30.0,76.0,90.0,44.0,84.0,23.0,7.0,102.0,51.0,11.0,107.0,50.0,4.0,29.0,80.0,28.0,87.0,108.0
98,1.0,5.0,8.0,0.0,34.0,9.0,78.0,2.0,108.0,44.0,152.0,117.0,113.0,6.0,17.0,154.0,134.0,52.0,47.0,16.0,23.0,13.0,39.0,33.0,11.0,80.0,10.0,3.0,70.0,67.0
147,20.0,3.0,31.0,0.0,9.0,6.0,10.0,5.0,46.0,29.0,62.0,139.0,101.0,44.0,93.0,2.0,112.0,106.0,57.0,33.0,91.0,19.0,102.0,8.0,38.0,81.0,43.0,35.0,121.0,13.0
196,1.0,3.0,22.0,4.0,8.0,7.0,6.0,10.0,21.0,61.0,93.0,112.0,128.0,30.0,157.0,2.0,63.0,43.0,20.0,27.0,14.0,47.0,111.0,127.0,5.0,29.0,134.0,9.0,84.0,11.0
245,1.0,119.0,10.0,4.0,2.0,0.0,15.0,73.0,14.0,11.0,56.0,19.0,104.0,6.0,53.0,40.0,28.0,63.0,42.0,36.0,9.0,8.0,46.0,114.0,13.0,43.0,16.0,3.0,111.0,35.0
294,0.0,8.0,6.0,1.0,2.0,9.0,7.0,27.0,12.0,11.0,73.0,117.0,3.0,17.0,4.0,35.0,53.0,13.0,48.0,75.0,29.0,136.0,51.0,41.0,25.0,87.0,72.0,85.0,147.0,59.0
343,0.0,15.0,17.0,1.0,73.0,11.0,12.0,2.0,3.0,8.0,106.0,97.0,65.0,66.0,29.0,31.0,129.0,25.0,7.0,13.0,120.0,24.0,85.0,37.0,9.0,98.0,147.0,19.0,114.0,113.0
392,3.0,13.0,14.0,0.0,2.0,1.0,108.0,114.0,16.0,6.0,44.0,19.0,56.0,30.0,24.0,7.0,11.0,107.0,38.0,9.0,86.0,90.0,77.0,36.0,4.0,106.0,64.0,15.0,26.0,8.0
441,9.0,30.0,1.0,0.0,4.0,2.0,73.0,12.0,35.0,36.0,76.0,8.0,54.0,7.0,83.0,81.0,34.0,53.0,15.0,50.0,159.0,109.0,18.0,80.0,3.0,38.0,6.0,14.0,100.0,56.0
