,SKIN,LARGE_INTESTINE,PANCREAS,THYROID,STOMACH,AERODIGESTIVE,GANGLIA,HAEMATOPOIETIC,URINARY,SOFT_TISSUE,BILIARY,KIDNEY,SALIVARY,PROSTATE,OVARY,PLEURA,LUNG,ENDOMETRIUM,OESOPHAGUS,BONE,NERVOUS,LIVER,BREAST
44,2.0,0.0,1.0,3.0,6.0,5.0,9.0,4.0,8.0,10.0,12.0,14.0,13.0,11.0,7.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
93,2.0,0.0,1.0,3.0,4.0,6.0,9.0,5.0,7.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,18.0,17.0,19.0,22.0,20.0,21.0
142,2.0,0.0,1.0,4.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,17.0,20.0,18.0,22.0,19.0,21.0
191,2.0,0.0,1.0,5.0,6.0,10.0,9.0,4.0,3.0,7.0,11.0,12.0,13.0,14.0,8.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
240,2.0,0.0,1.0,3.0,6.0,4.0,7.0,9.0,8.0,5.0,10.0,11.0,12.0,16.0,15.0,13.0,18.0,14.0,17.0,19.0,22.0,20.0,21.0
289,0.0,1.0,2.0,3.0,8.0,5.0,4.0,7.0,9.0,6.0,10.0,11.0,12.0,14.0,13.0,15.0,17.0,16.0,18.0,19.0,22.0,20.0,21.0
338,1.0,2.0,0.0,3.0,4.0,9.0,6.0,5.0,8.0,7.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
387,2.0,1.0,0.0,3.0,6.0,7.0,8.0,4.0,5.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,19.0,18.0,17.0,22.0,20.0,21.0
436,1.0,0.0,2.0,3.0,5.0,7.0,4.0,9.0,8.0,6.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,18.0,17.0,19.0,22.0,20.0,21.0
485,2.0,0.0,1.0,3.0,4.0,5.0,7.0,9.0,6.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,18.0,17.0,19.0,22.0,20.0,21.0
534,1.0,0.0,2.0,5.0,6.0,4.0,3.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,20.0,19.0,18.0,21.0,22.0
583,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,9.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,19.0,18.0,21.0,20.0,22.0
632,1.0,0.0,2.0,4.0,5.0,15.0,3.0,7.0,12.0,6.0,8.0,9.0,10.0,16.0,13.0,11.0,14.0,17.0,21.0,18.0,20.0,19.0,22.0
681,1.0,0.0,2.0,5.0,3.0,7.0,4.0,8.0,12.0,6.0,9.0,10.0,11.0,14.0,13.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0,22.0
730,0.0,1.0,2.0,4.0,8.0,5.0,3.0,6.0,7.0,9.0,11.0,13.0,12.0,10.0,16.0,15.0,14.0,17.0,19.0,18.0,22.0,20.0,21.0
779,1.0,0.0,2.0,5.0,4.0,6.0,3.0,8.0,13.0,7.0,9.0,10.0,11.0,16.0,12.0,15.0,14.0,17.0,20.0,18.0,22.0,19.0,21.0
828,0.0,1.0,2.0,3.0,6.0,5.0,4.0,7.0,9.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,21.0,20.0,17.0,19.0,18.0,22.0
877,2.0,1.0,0.0,6.0,5.0,4.0,3.0,7.0,8.0,9.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,20.0,19.0,18.0,21.0,22.0
926,1.0,2.0,0.0,4.0,6.0,5.0,3.0,7.0,10.0,8.0,11.0,12.0,13.0,14.0,9.0,15.0,16.0,17.0,21.0,19.0,18.0,20.0,22.0
