,cytidine,pyroglutamic acid,2-deoxyadenosine,1-methylnicotinamide,pantothenate,acetylcholine,creatinine,hippurate,alpha-glycerophosphate,cis/trans-hydroxyproline,3-phosphoglycerate,beta-alanine,uracil,taurodeoxycholate,isocitrate,guanosine,urate,alpha-glycerophosphocholine,valerylcarnitine,C16:0 LPE,serotonin,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,N-carbamoyl-beta-alanine,uridine,sarcosine,2-deoxycytidine,C36:1 DAG,C22:6 CE,GABA
1202,2.0,3.0,5.0,8.0,6.0,9.0,0.0,43.0,54.0,32.0,61.0,4.0,15.0,24.0,25.0,48.0,63.0,29.0,18.0,16.0,23.0,20.0,17.0,65.0,36.0,37.0,27.0,31.0,22.0,12.0
1251,13.0,2.0,5.0,17.0,8.0,4.0,65.0,51.0,40.0,29.0,60.0,10.0,15.0,23.0,49.0,19.0,20.0,11.0,52.0,14.0,36.0,33.0,1.0,21.0,25.0,6.0,45.0,28.0,50.0,30.0
1300,19.0,0.0,3.0,20.0,9.0,30.0,28.0,6.0,47.0,10.0,31.0,11.0,22.0,27.0,53.0,1.0,34.0,50.0,13.0,23.0,38.0,14.0,2.0,45.0,16.0,21.0,52.0,64.0,7.0,36.0
1349,34.0,11.0,7.0,40.0,1.0,26.0,66.0,61.0,17.0,22.0,39.0,3.0,12.0,43.0,9.0,6.0,2.0,21.0,15.0,10.0,18.0,41.0,32.0,46.0,48.0,19.0,35.0,42.0,4.0,28.0
1398,23.0,5.0,22.0,24.0,2.0,39.0,40.0,45.0,64.0,26.0,48.0,3.0,20.0,37.0,4.0,6.0,10.0,14.0,16.0,19.0,0.0,15.0,31.0,1.0,53.0,35.0,47.0,30.0,34.0,36.0
1447,8.0,21.0,24.0,15.0,42.0,35.0,22.0,1.0,56.0,20.0,17.0,14.0,30.0,6.0,62.0,41.0,31.0,37.0,12.0,34.0,47.0,13.0,33.0,2.0,9.0,7.0,36.0,44.0,43.0,26.0
1496,6.0,16.0,1.0,28.0,25.0,8.0,4.0,3.0,42.0,19.0,34.0,56.0,36.0,32.0,65.0,10.0,11.0,37.0,38.0,22.0,18.0,20.0,17.0,21.0,41.0,12.0,26.0,27.0,29.0,35.0
1545,7.0,12.0,1.0,15.0,18.0,11.0,52.0,2.0,19.0,4.0,38.0,50.0,29.0,44.0,23.0,21.0,0.0,56.0,22.0,24.0,37.0,40.0,16.0,55.0,5.0,61.0,35.0,10.0,58.0,17.0
1594,12.0,1.0,4.0,22.0,34.0,15.0,32.0,13.0,20.0,66.0,16.0,8.0,30.0,26.0,3.0,44.0,10.0,35.0,29.0,24.0,39.0,59.0,27.0,11.0,58.0,50.0,42.0,25.0,60.0,57.0
1643,32.0,6.0,3.0,10.0,9.0,17.0,5.0,0.0,14.0,31.0,42.0,24.0,33.0,46.0,44.0,30.0,27.0,52.0,29.0,20.0,37.0,59.0,19.0,41.0,18.0,15.0,22.0,34.0,36.0,38.0
