,hsa-miR-222,hsa-miR-34a,hsa-miR-223,hsa-miR-582-5p,hsa-miR-10a,hsa-miR-483-3p,hsa-miR-1307,hsa-miR-135b,hsa-miR-584,hsa-miR-1252,hsa-miR-204,hsa-miR-30d,hsa-miR-616,hsa-miR-219-2-3p,hsa-miR-26a,hsa-miR-132,hsa-miR-383,hsa-miR-34c-5p,hsa-miR-662,hsa-miR-508-3p,hsa-miR-612,hsa-miR-574-5p,hsa-miR-2054,hsa-miR-298,hsa-miR-654-3p,hsa-miR-186,hsa-miR-205,hsa-miR-591,hsa-miR-10b,hsa-miR-412
16,0.0,1.0,2.0,4.0,3.0,15.0,7.0,9.0,6.0,5.0,34.0,22.0,12.0,18.0,13.0,24.0,23.0,63.0,84.0,20.0,8.0,38.0,19.0,28.0,21.0,29.0,68.0,11.0,31.0,69.0
65,0.0,1.0,3.0,4.0,2.0,5.0,6.0,31.0,7.0,9.0,19.0,96.0,10.0,14.0,16.0,26.0,11.0,21.0,95.0,30.0,17.0,27.0,103.0,23.0,12.0,83.0,45.0,8.0,64.0,80.0
114,0.0,2.0,1.0,3.0,12.0,5.0,4.0,16.0,8.0,14.0,13.0,9.0,7.0,15.0,10.0,45.0,17.0,28.0,20.0,27.0,11.0,68.0,33.0,6.0,39.0,29.0,156.0,18.0,48.0,56.0
163,0.0,1.0,3.0,2.0,5.0,6.0,4.0,11.0,14.0,24.0,9.0,26.0,10.0,13.0,8.0,56.0,23.0,20.0,39.0,31.0,16.0,19.0,28.0,17.0,59.0,65.0,119.0,7.0,44.0,63.0
212,0.0,3.0,2.0,1.0,6.0,5.0,8.0,13.0,4.0,10.0,12.0,46.0,9.0,24.0,17.0,27.0,22.0,23.0,21.0,20.0,11.0,25.0,61.0,15.0,49.0,32.0,42.0,59.0,18.0,35.0
261,0.0,2.0,5.0,3.0,8.0,4.0,1.0,13.0,7.0,18.0,14.0,15.0,6.0,38.0,12.0,37.0,9.0,172.0,28.0,29.0,35.0,25.0,32.0,11.0,27.0,34.0,66.0,16.0,10.0,21.0
310,0.0,1.0,2.0,3.0,7.0,5.0,4.0,20.0,18.0,10.0,13.0,19.0,6.0,39.0,11.0,14.0,15.0,36.0,109.0,29.0,8.0,22.0,26.0,48.0,37.0,25.0,183.0,12.0,31.0,98.0
359,0.0,3.0,1.0,8.0,4.0,5.0,6.0,2.0,10.0,7.0,13.0,35.0,12.0,20.0,19.0,48.0,18.0,14.0,22.0,16.0,15.0,34.0,36.0,26.0,39.0,24.0,93.0,9.0,60.0,23.0
408,0.0,1.0,3.0,2.0,17.0,5.0,4.0,10.0,8.0,6.0,15.0,19.0,7.0,23.0,18.0,26.0,12.0,16.0,49.0,22.0,9.0,21.0,34.0,32.0,20.0,37.0,81.0,14.0,110.0,97.0
457,0.0,1.0,5.0,2.0,4.0,3.0,7.0,39.0,12.0,29.0,14.0,20.0,6.0,24.0,8.0,50.0,23.0,47.0,11.0,36.0,10.0,9.0,43.0,19.0,26.0,18.0,78.0,17.0,13.0,40.0
506,1.0,0.0,3.0,2.0,4.0,13.0,16.0,8.0,19.0,5.0,11.0,7.0,10.0,48.0,23.0,9.0,14.0,6.0,24.0,44.0,50.0,20.0,33.0,30.0,69.0,32.0,133.0,36.0,49.0,12.0
