,NUPR1,DOCK1,TAF8,RP11-345K20.2,EEF1A2,CELF2-AS1,SLC4A3,RUFY2,HSBP1,FLNA,AGAP2,C17orf53,SH3BP4,YWHAQ,RP11-875O11.1,MTMR14,KLF13,WASL,CCNDBP1,AC117395.1,SLC35D2,BTN2A1,MRPS31P5,MRPS18B,C9orf116,CCL3,SMYD2,RP11-388C12.8,B4GALNT4,UBASH3B
11,130.0,3.0,0.0,29.0,9.0,26.0,5.0,19534.0,85.0,18.0,35.0,4.0,107.0,174.0,138.0,10.0,348.0,123.0,17.0,58.0,114.0,7.0,6005.0,127.0,133.0,311.0,23.0,132.0,327.0,75.0
60,7.0,119.0,12.0,19609.0,0.0,86.0,24.0,30.0,105.0,15.0,66.0,6.0,162.0,257.0,146.0,27.0,3342.0,163.0,74.0,75.0,313.0,233.0,7103.0,106.0,176.0,10415.0,417.0,47.0,1.0,56.0
109,12.0,2.0,9.0,239.0,187.0,290.0,32.0,19576.0,3.0,45.0,1282.0,1.0,289.0,330.0,44.0,71.0,3535.0,22474.0,131.0,246.0,174.0,1739.0,6872.0,6.0,20584.0,673.0,229.0,137.0,19668.0,37.0
158,11.0,13.0,2.0,100.0,15.0,184.0,140.0,19631.0,29.0,1.0,67.0,7.0,13624.0,16.0,145.0,12.0,523.0,33.0,181.0,14724.0,196.0,248.0,294.0,190.0,479.0,10344.0,207.0,289.0,14.0,21.0
207,5.0,52.0,15.0,58.0,253.0,100.0,234.0,19499.0,47.0,6.0,6552.0,172.0,263.0,16824.0,272.0,248.0,387.0,26.0,336.0,14737.0,371.0,109.0,5980.0,134.0,20565.0,10414.0,17828.0,1226.0,3.0,4563.0
256,4.0,9.0,11.0,35.0,5.0,60.0,121.0,19615.0,22.0,39.0,55.0,1.0,13687.0,21.0,142.0,93.0,370.0,233.0,137.0,14805.0,85.0,17.0,200.0,476.0,349.0,12492.0,114.0,168.0,272.0,141.0
305,13.0,19719.0,5.0,26.0,17.0,386.0,11.0,19653.0,79.0,165.0,5983.0,220.0,13692.0,14.0,170.0,16.0,3929.0,15.0,104.0,167.0,20194.0,21202.0,5361.0,21278.0,216.0,373.0,152.0,53.0,3.0,110.0
354,777.0,5.0,17.0,26.0,12.0,16.0,3.0,662.0,93.0,23.0,5579.0,4.0,117.0,16861.0,184.0,46.0,152.0,22466.0,77.0,87.0,529.0,21211.0,363.0,72.0,20583.0,10401.0,13.0,195.0,500.0,8.0
403,140.0,10.0,0.0,18.0,17.0,35.0,13620.0,19625.0,5.0,24.0,6494.0,15.0,111.0,8.0,6.0,27.0,4097.0,121.0,93.0,139.0,161.0,117.0,5978.0,144.0,326.0,503.0,162.0,404.0,596.0,3.0
452,80.0,4.0,74.0,46.0,40.0,50.0,1.0,621.0,73.0,44.0,36.0,3.0,127.0,29.0,186.0,458.0,53.0,98.0,2782.0,95.0,32.0,56.0,299.0,21299.0,96.0,613.0,48.0,177.0,11.0,8.0
501,7.0,0.0,21121.0,1.0,7727.0,135.0,66.0,19524.0,118.0,26.0,72.0,383.0,71.0,78.0,5.0,4.0,146.0,267.0,16.0,14861.0,195.0,13.0,49.0,421.0,171.0,225.0,17935.0,410.0,318.0,6884.0
550,5.0,0.0,44.0,19.0,3.0,139.0,47.0,19577.0,14.0,36.0,55.0,101.0,73.0,135.0,1.0,696.0,146.0,178.0,105.0,14843.0,35.0,300.0,97.0,131.0,220.0,10389.0,10.0,12429.0,219.0,4640.0
599,30.0,0.0,63.0,4.0,7.0,14.0,2.0,295.0,20.0,8.0,48.0,10250.0,49.0,129.0,1.0,839.0,134.0,158.0,374.0,78.0,50.0,215.0,274.0,42.0,111.0,10408.0,17837.0,272.0,398.0,4587.0
648,147.0,0.0,18.0,4.0,7.0,112.0,8.0,9.0,46.0,129.0,15.0,11963.0,43.0,16829.0,64.0,217.0,65.0,61.0,167.0,69.0,32.0,70.0,134.0,21284.0,77.0,12189.0,220.0,294.0,281.0,108.0
697,2.0,0.0,15.0,18.0,179.0,14.0,75.0,465.0,83.0,8.0,58.0,10.0,128.0,13.0,5.0,17.0,1.0,22479.0,187.0,106.0,70.0,71.0,111.0,76.0,209.0,10418.0,2889.0,102.0,19676.0,154.0
746,227.0,0.0,1.0,14.0,894.0,146.0,42.0,25.0,48.0,62.0,19.0,10233.0,50.0,3.0,4.0,26.0,90.0,115.0,116.0,63.0,36.0,230.0,5929.0,92.0,97.0,10391.0,11.0,87.0,7.0,485.0
795,18.0,1.0,5.0,13.0,86.0,71.0,305.0,374.0,38.0,47.0,6060.0,7.0,83.0,16845.0,3.0,12.0,65.0,135.0,80.0,14618.0,43.0,26.0,53.0,109.0,120.0,490.0,17821.0,12361.0,6.0,6525.0
844,7.0,1.0,17.0,10.0,2.0,75.0,13.0,210.0,38.0,39.0,20.0,12.0,48.0,344.0,6.0,12682.0,117.0,109.0,86.0,40.0,19.0,21198.0,163.0,166.0,80.0,10303.0,17815.0,369.0,119.0,4.0
893,2.0,5.0,0.0,14.0,17.0,110.0,83.0,264.0,4.0,78.0,58.0,13.0,26.0,244.0,19207.0,47.0,40.0,79.0,4410.0,168.0,19.0,21259.0,169.0,118.0,542.0,11574.0,1361.0,589.0,93.0,215.0
942,12.0,1.0,0.0,28.0,5.0,4.0,3.0,22.0,135.0,13.0,6447.0,352.0,58.0,169.0,9.0,2.0,166.0,187.0,210.0,14823.0,35.0,75.0,89.0,184.0,122.0,10348.0,211.0,269.0,19733.0,4630.0
991,0.0,3.0,14.0,19.0,12.0,26.0,63.0,5.0,136.0,13.0,5008.0,2.0,13639.0,16820.0,19201.0,45.0,107.0,178.0,160.0,59.0,77.0,137.0,41.0,21349.0,74.0,153.0,830.0,216.0,56.0,5813.0
1040,0.0,1.0,4.0,14.0,51.0,44.0,22.0,42.0,209.0,6467.0,71.0,5.0,43.0,2374.0,19218.0,12746.0,85.0,16.0,4416.0,59.0,20242.0,187.0,23.0,2827.0,376.0,183.0,60.0,259.0,264.0,5805.0
1089,0.0,19718.0,27.0,21.0,292.0,10.0,20.0,26.0,192.0,1909.0,5778.0,151.0,86.0,16831.0,19166.0,34.0,342.0,247.0,201.0,537.0,31.0,322.0,208.0,431.0,99.0,184.0,122.0,12356.0,19663.0,4935.0
1138,0.0,16.0,7.0,8.0,8421.0,43.0,3.0,5.0,10458.0,6384.0,6674.0,140.0,77.0,755.0,18760.0,12736.0,76.0,199.0,4378.0,73.0,36.0,153.0,79.0,826.0,152.0,146.0,920.0,17.0,692.0,81.0
1187,0.0,2.0,6.0,55.0,317.0,22.0,148.0,17.0,110.0,8986.0,6580.0,5.0,13.0,17759.0,18781.0,12785.0,590.0,92.0,4106.0,91.0,134.0,24.0,118.0,21363.0,20122.0,210.0,42.0,329.0,19752.0,45.0
1236,0.0,5.0,36.0,13.0,7777.0,58.0,6.0,426.0,11170.0,8968.0,5105.0,286.0,13676.0,4.0,71.0,12749.0,115.0,229.0,133.0,89.0,79.0,198.0,88.0,21349.0,387.0,187.0,7.0,567.0,671.0,43.0
1285,0.0,3.0,32.0,131.0,4.0,14.0,17.0,5.0,127.0,130.0,5980.0,312.0,49.0,23.0,22523.0,20.0,53.0,95.0,3940.0,13.0,178.0,580.0,54.0,21897.0,161.0,206.0,19.0,302.0,497.0,1539.0
1334,0.0,9.0,157.0,24.0,250.0,112.0,13609.0,21.0,769.0,101.0,6525.0,5.0,123.0,17226.0,19223.0,1.0,4431.0,317.0,3765.0,195.0,98.0,2115.0,142.0,21339.0,34.0,10376.0,568.0,8.0,19682.0,196.0
1383,1.0,17.0,32.0,28.0,34.0,29.0,12.0,87.0,436.0,22.0,6586.0,223.0,20.0,475.0,19222.0,8.0,145.0,20339.0,159.0,156.0,220.0,21215.0,168.0,173.0,20559.0,12284.0,202.0,25.0,398.0,5722.0
1432,0.0,20.0,32.0,12.0,174.0,26.0,13556.0,392.0,44.0,467.0,580.0,11.0,13638.0,51.0,186.0,224.0,261.0,217.0,4002.0,67.0,1615.0,72.0,197.0,2874.0,196.0,141.0,17920.0,173.0,19680.0,4579.0
1481,0.0,7.0,12.0,4.0,814.0,53.0,17.0,130.0,11145.0,6.0,5.0,1757.0,87.0,51.0,115.0,12713.0,200.0,22476.0,68.0,107.0,1536.0,89.0,114.0,22.0,127.0,10377.0,709.0,32.0,71.0,4524.0
