,hsa-miR-205,hsa-miR-934,hsa-miR-609,hsa-miR-148a,hsa-miR-30c,hsa-miR-223,hsa-miR-558,hsa-miR-210,hsa-miR-604,hsa-miR-34c-5p,hsa-miR-28-3p,hsa-miR-449b,hsa-miR-181c,hsa-miR-219-2-3p,hsa-miR-877,hsa-miR-616,hsa-miR-1288,hsa-miR-1246,hsa-miR-548a-3p,hsa-miR-548d-3p,hsa-miR-541,hsa-miR-601,hsa-miR-523,mcv-miR-M1-3p,hsa-miR-30a,hsa-miR-921,hsa-miR-331-3p,hsa-miR-31,hsa-miR-770-5p,hsa-miR-423-5p
948,0.0,9.0,2.0,1.0,15.0,3.0,4.0,35.0,25.0,90.0,76.0,56.0,20.0,10.0,74.0,17.0,7.0,28.0,5.0,66.0,146.0,272.0,122.0,43.0,68.0,210.0,37.0,61.0,19.0,24.0
997,0.0,5.0,4.0,6.0,2.0,39.0,1.0,44.0,21.0,33.0,22.0,3.0,18.0,17.0,11.0,7.0,40.0,8.0,14.0,48.0,16.0,15.0,24.0,27.0,9.0,162.0,29.0,13.0,58.0,109.0
1046,0.0,7.0,1.0,4.0,6.0,19.0,9.0,18.0,8.0,60.0,13.0,3.0,26.0,58.0,27.0,2.0,20.0,23.0,10.0,75.0,16.0,39.0,29.0,12.0,14.0,17.0,11.0,84.0,86.0,74.0
1095,0.0,8.0,1.0,13.0,2.0,4.0,5.0,27.0,7.0,32.0,26.0,23.0,55.0,16.0,6.0,15.0,28.0,9.0,3.0,21.0,40.0,10.0,41.0,47.0,12.0,217.0,20.0,38.0,87.0,78.0
1144,0.0,10.0,1.0,13.0,3.0,17.0,4.0,2.0,7.0,18.0,6.0,5.0,9.0,19.0,8.0,12.0,16.0,31.0,33.0,47.0,55.0,34.0,20.0,29.0,15.0,79.0,11.0,36.0,62.0,78.0
1193,0.0,5.0,1.0,9.0,4.0,11.0,3.0,18.0,42.0,7.0,16.0,6.0,67.0,23.0,8.0,2.0,58.0,17.0,24.0,10.0,38.0,19.0,14.0,30.0,35.0,103.0,25.0,15.0,43.0,48.0
1242,0.0,18.0,1.0,5.0,6.0,20.0,3.0,4.0,7.0,22.0,19.0,2.0,13.0,32.0,28.0,25.0,117.0,15.0,39.0,24.0,50.0,29.0,47.0,74.0,16.0,21.0,55.0,84.0,119.0,44.0
1291,0.0,10.0,8.0,22.0,6.0,1.0,11.0,39.0,12.0,72.0,27.0,5.0,21.0,13.0,9.0,20.0,65.0,2.0,25.0,47.0,58.0,19.0,29.0,15.0,14.0,50.0,24.0,3.0,98.0,66.0
1340,0.0,1.0,2.0,6.0,17.0,5.0,16.0,22.0,11.0,4.0,68.0,20.0,24.0,25.0,3.0,10.0,33.0,7.0,26.0,19.0,35.0,49.0,57.0,18.0,55.0,60.0,52.0,31.0,77.0,467.0
1389,0.0,3.0,2.0,7.0,9.0,8.0,24.0,14.0,12.0,99.0,4.0,11.0,19.0,27.0,1.0,18.0,22.0,6.0,26.0,23.0,109.0,15.0,52.0,57.0,29.0,16.0,17.0,5.0,197.0,30.0
1438,0.0,2.0,6.0,8.0,4.0,5.0,1.0,23.0,26.0,17.0,31.0,9.0,11.0,12.0,3.0,7.0,16.0,41.0,20.0,65.0,78.0,32.0,33.0,118.0,18.0,150.0,15.0,13.0,36.0,430.0
1487,0.0,2.0,3.0,6.0,5.0,1.0,15.0,10.0,13.0,8.0,17.0,20.0,35.0,14.0,4.0,19.0,27.0,34.0,46.0,22.0,16.0,89.0,51.0,37.0,26.0,45.0,21.0,25.0,54.0,41.0
1536,0.0,20.0,2.0,5.0,9.0,1.0,11.0,14.0,13.0,4.0,17.0,33.0,34.0,7.0,16.0,15.0,58.0,36.0,50.0,74.0,26.0,40.0,52.0,93.0,35.0,110.0,32.0,6.0,91.0,12.0
1585,0.0,11.0,1.0,9.0,12.0,2.0,18.0,3.0,23.0,15.0,5.0,6.0,8.0,19.0,4.0,14.0,411.0,10.0,76.0,40.0,22.0,83.0,32.0,88.0,78.0,20.0,53.0,34.0,33.0,7.0
1634,0.0,11.0,1.0,3.0,19.0,2.0,5.0,29.0,9.0,4.0,8.0,20.0,27.0,17.0,7.0,6.0,35.0,14.0,33.0,24.0,36.0,25.0,41.0,115.0,53.0,39.0,34.0,28.0,12.0,21.0
1683,0.0,15.0,1.0,2.0,8.0,3.0,5.0,17.0,6.0,7.0,12.0,14.0,16.0,13.0,9.0,47.0,56.0,29.0,53.0,65.0,82.0,18.0,27.0,486.0,64.0,70.0,23.0,10.0,11.0,31.0
1732,0.0,5.0,7.0,4.0,3.0,1.0,9.0,6.0,12.0,2.0,32.0,14.0,29.0,13.0,16.0,15.0,38.0,18.0,21.0,45.0,63.0,31.0,24.0,72.0,26.0,43.0,27.0,36.0,59.0,19.0
1781,0.0,20.0,1.0,2.0,12.0,4.0,13.0,6.0,7.0,9.0,42.0,16.0,46.0,35.0,3.0,10.0,5.0,14.0,51.0,82.0,25.0,63.0,167.0,64.0,19.0,21.0,24.0,8.0,60.0,17.0
1830,0.0,4.0,2.0,1.0,5.0,3.0,9.0,10.0,27.0,7.0,32.0,16.0,21.0,6.0,13.0,23.0,85.0,11.0,14.0,108.0,24.0,51.0,43.0,60.0,41.0,128.0,73.0,8.0,46.0,68.0
1879,0.0,6.0,2.0,1.0,5.0,4.0,7.0,98.0,26.0,25.0,10.0,11.0,51.0,8.0,3.0,14.0,34.0,15.0,93.0,175.0,30.0,22.0,78.0,467.0,47.0,13.0,17.0,19.0,39.0,21.0
1928,0.0,3.0,2.0,1.0,22.0,4.0,11.0,5.0,15.0,8.0,14.0,18.0,16.0,6.0,10.0,20.0,29.0,38.0,36.0,23.0,24.0,30.0,32.0,55.0,27.0,25.0,56.0,9.0,43.0,39.0
1977,0.0,4.0,6.0,3.0,18.0,17.0,8.0,2.0,43.0,22.0,1.0,21.0,10.0,57.0,28.0,5.0,11.0,27.0,9.0,20.0,16.0,15.0,31.0,87.0,68.0,58.0,62.0,486.0,39.0,61.0
2026,0.0,1.0,9.0,5.0,3.0,16.0,8.0,2.0,20.0,42.0,7.0,22.0,21.0,53.0,37.0,4.0,25.0,30.0,23.0,12.0,6.0,31.0,14.0,26.0,15.0,32.0,38.0,445.0,13.0,18.0
2075,0.0,2.0,1.0,6.0,9.0,16.0,3.0,4.0,14.0,17.0,8.0,11.0,24.0,26.0,61.0,7.0,10.0,33.0,44.0,15.0,5.0,86.0,43.0,18.0,34.0,13.0,62.0,460.0,19.0,36.0
2124,0.0,2.0,4.0,1.0,18.0,24.0,14.0,3.0,12.0,71.0,25.0,7.0,8.0,50.0,39.0,5.0,40.0,20.0,6.0,66.0,47.0,87.0,30.0,34.0,70.0,10.0,22.0,439.0,62.0,15.0
2173,0.0,5.0,19.0,13.0,2.0,7.0,3.0,1.0,34.0,20.0,6.0,21.0,35.0,10.0,72.0,14.0,75.0,39.0,17.0,29.0,4.0,63.0,16.0,22.0,37.0,23.0,36.0,40.0,32.0,33.0
2222,0.0,10.0,8.0,7.0,2.0,9.0,5.0,1.0,21.0,75.0,4.0,6.0,12.0,55.0,37.0,3.0,44.0,30.0,105.0,190.0,20.0,78.0,27.0,13.0,25.0,71.0,42.0,482.0,28.0,19.0
2271,0.0,11.0,7.0,1.0,19.0,88.0,2.0,5.0,13.0,111.0,9.0,10.0,23.0,53.0,34.0,3.0,41.0,30.0,6.0,14.0,4.0,17.0,21.0,8.0,78.0,258.0,20.0,65.0,31.0,49.0
2320,0.0,5.0,7.0,1.0,2.0,19.0,12.0,6.0,29.0,16.0,4.0,8.0,15.0,106.0,37.0,3.0,11.0,17.0,25.0,27.0,10.0,57.0,22.0,34.0,13.0,75.0,103.0,471.0,23.0,41.0
2369,0.0,1.0,8.0,13.0,11.0,3.0,75.0,15.0,14.0,39.0,5.0,19.0,6.0,12.0,27.0,2.0,4.0,16.0,18.0,30.0,17.0,45.0,10.0,78.0,72.0,20.0,23.0,126.0,101.0,26.0
2418,0.0,3.0,2.0,1.0,13.0,57.0,6.0,17.0,14.0,59.0,4.0,12.0,11.0,62.0,15.0,9.0,21.0,18.0,22.0,19.0,5.0,16.0,52.0,32.0,58.0,8.0,25.0,86.0,23.0,54.0
2467,0.0,1.0,14.0,2.0,4.0,5.0,41.0,3.0,13.0,19.0,27.0,75.0,26.0,29.0,37.0,35.0,20.0,54.0,22.0,8.0,11.0,16.0,36.0,6.0,23.0,7.0,49.0,18.0,58.0,68.0
2516,0.0,2.0,5.0,1.0,9.0,14.0,7.0,6.0,12.0,451.0,44.0,95.0,15.0,19.0,28.0,27.0,16.0,32.0,17.0,8.0,22.0,42.0,4.0,11.0,37.0,25.0,53.0,77.0,50.0,18.0
2565,0.0,3.0,4.0,2.0,1.0,5.0,33.0,6.0,8.0,38.0,91.0,89.0,32.0,11.0,10.0,96.0,48.0,43.0,105.0,30.0,22.0,20.0,26.0,17.0,13.0,95.0,46.0,27.0,12.0,28.0
2614,0.0,2.0,4.0,1.0,3.0,8.0,15.0,11.0,5.0,37.0,491.0,40.0,52.0,46.0,13.0,32.0,6.0,50.0,26.0,14.0,9.0,24.0,12.0,20.0,10.0,23.0,33.0,92.0,62.0,25.0
2663,0.0,3.0,8.0,2.0,1.0,10.0,5.0,7.0,6.0,26.0,80.0,48.0,22.0,19.0,21.0,16.0,4.0,25.0,84.0,31.0,36.0,12.0,20.0,11.0,28.0,88.0,32.0,56.0,44.0,63.0
2712,0.0,1.0,6.0,4.0,2.0,7.0,9.0,8.0,3.0,34.0,24.0,53.0,5.0,47.0,27.0,72.0,19.0,38.0,37.0,58.0,42.0,17.0,23.0,10.0,11.0,73.0,89.0,56.0,35.0,48.0
2761,0.0,2.0,4.0,3.0,1.0,5.0,14.0,12.0,34.0,38.0,47.0,66.0,8.0,10.0,9.0,33.0,7.0,22.0,6.0,15.0,44.0,52.0,20.0,25.0,11.0,35.0,24.0,67.0,18.0,39.0
2810,0.0,1.0,12.0,2.0,7.0,6.0,22.0,3.0,13.0,11.0,25.0,52.0,27.0,20.0,21.0,38.0,23.0,44.0,60.0,26.0,24.0,18.0,8.0,4.0,40.0,14.0,28.0,72.0,74.0,32.0
2859,0.0,3.0,2.0,1.0,4.0,9.0,16.0,6.0,14.0,38.0,24.0,54.0,17.0,12.0,8.0,43.0,22.0,32.0,45.0,19.0,37.0,39.0,10.0,30.0,64.0,11.0,26.0,31.0,51.0,7.0
2908,0.0,1.0,2.0,4.0,5.0,6.0,15.0,3.0,9.0,21.0,48.0,55.0,11.0,25.0,12.0,27.0,18.0,59.0,24.0,19.0,7.0,82.0,10.0,13.0,93.0,68.0,51.0,73.0,42.0,104.0
2957,0.0,1.0,4.0,2.0,6.0,3.0,5.0,21.0,23.0,26.0,22.0,17.0,18.0,33.0,7.0,50.0,24.0,61.0,11.0,12.0,9.0,42.0,54.0,29.0,15.0,27.0,78.0,39.0,16.0,51.0
3006,0.0,2.0,8.0,1.0,11.0,5.0,6.0,7.0,19.0,24.0,32.0,18.0,9.0,26.0,31.0,34.0,15.0,56.0,3.0,14.0,28.0,29.0,38.0,17.0,10.0,35.0,30.0,13.0,60.0,77.0
3055,0.0,4.0,1.0,3.0,5.0,6.0,13.0,2.0,15.0,68.0,7.0,32.0,8.0,9.0,24.0,54.0,20.0,50.0,22.0,60.0,85.0,21.0,11.0,27.0,12.0,79.0,63.0,14.0,23.0,18.0
3104,0.0,1.0,3.0,2.0,5.0,4.0,7.0,6.0,17.0,15.0,13.0,9.0,11.0,26.0,19.0,53.0,84.0,55.0,30.0,65.0,98.0,10.0,25.0,28.0,16.0,27.0,23.0,463.0,37.0,453.0
3153,0.0,1.0,2.0,4.0,12.0,9.0,19.0,3.0,44.0,17.0,13.0,30.0,22.0,11.0,10.0,45.0,36.0,52.0,8.0,18.0,32.0,46.0,20.0,31.0,94.0,14.0,80.0,49.0,37.0,482.0
3202,0.0,3.0,1.0,2.0,7.0,12.0,11.0,4.0,6.0,10.0,15.0,13.0,17.0,8.0,9.0,36.0,18.0,30.0,23.0,19.0,86.0,94.0,21.0,26.0,60.0,29.0,39.0,14.0,25.0,96.0
3251,0.0,2.0,4.0,1.0,3.0,8.0,24.0,6.0,26.0,15.0,17.0,40.0,9.0,16.0,20.0,33.0,10.0,57.0,13.0,12.0,56.0,29.0,23.0,27.0,11.0,7.0,93.0,69.0,47.0,66.0
3300,0.0,2.0,1.0,3.0,8.0,16.0,4.0,9.0,29.0,21.0,6.0,41.0,23.0,7.0,24.0,42.0,45.0,83.0,63.0,14.0,10.0,64.0,40.0,44.0,46.0,38.0,11.0,5.0,97.0,37.0
3349,0.0,3.0,1.0,4.0,6.0,2.0,21.0,5.0,14.0,11.0,7.0,10.0,12.0,22.0,54.0,33.0,56.0,44.0,16.0,17.0,20.0,31.0,28.0,23.0,40.0,103.0,43.0,48.0,118.0,57.0
3398,0.0,1.0,2.0,7.0,6.0,3.0,10.0,4.0,20.0,8.0,9.0,14.0,5.0,11.0,23.0,18.0,15.0,49.0,73.0,13.0,39.0,43.0,21.0,25.0,54.0,34.0,33.0,26.0,28.0,125.0
3447,0.0,3.0,19.0,16.0,1.0,4.0,7.0,2.0,9.0,5.0,24.0,27.0,326.0,11.0,99.0,37.0,57.0,26.0,8.0,83.0,23.0,60.0,50.0,17.0,6.0,67.0,87.0,77.0,25.0,22.0
3496,0.0,6.0,3.0,24.0,7.0,5.0,2.0,8.0,10.0,1.0,23.0,21.0,75.0,11.0,20.0,47.0,13.0,33.0,4.0,17.0,30.0,37.0,48.0,55.0,22.0,12.0,60.0,15.0,65.0,40.0
3545,0.0,2.0,9.0,7.0,1.0,5.0,8.0,3.0,43.0,4.0,14.0,61.0,110.0,15.0,22.0,235.0,52.0,18.0,11.0,27.0,13.0,17.0,90.0,31.0,32.0,54.0,76.0,21.0,16.0,26.0
3594,0.0,3.0,1.0,57.0,2.0,8.0,4.0,10.0,5.0,7.0,30.0,44.0,115.0,22.0,6.0,63.0,16.0,19.0,11.0,23.0,24.0,106.0,37.0,56.0,14.0,217.0,49.0,31.0,39.0,86.0
3643,0.0,1.0,3.0,39.0,6.0,4.0,2.0,10.0,5.0,7.0,13.0,20.0,405.0,11.0,47.0,33.0,37.0,24.0,8.0,15.0,22.0,25.0,56.0,43.0,36.0,235.0,96.0,50.0,28.0,55.0
3692,0.0,2.0,7.0,15.0,5.0,4.0,3.0,10.0,9.0,1.0,8.0,61.0,58.0,11.0,24.0,60.0,25.0,38.0,6.0,22.0,13.0,41.0,31.0,42.0,40.0,19.0,100.0,34.0,37.0,49.0
3741,0.0,1.0,5.0,19.0,3.0,7.0,2.0,6.0,14.0,4.0,33.0,9.0,60.0,47.0,56.0,73.0,37.0,22.0,10.0,20.0,23.0,17.0,59.0,25.0,12.0,40.0,84.0,44.0,32.0,104.0
3790,0.0,2.0,4.0,18.0,3.0,27.0,12.0,5.0,11.0,1.0,9.0,44.0,94.0,22.0,7.0,97.0,25.0,10.0,41.0,49.0,70.0,96.0,21.0,32.0,30.0,59.0,129.0,34.0,55.0,84.0
3839,0.0,2.0,1.0,9.0,5.0,15.0,10.0,7.0,3.0,6.0,8.0,24.0,339.0,22.0,19.0,282.0,20.0,14.0,40.0,63.0,26.0,23.0,30.0,93.0,51.0,28.0,94.0,18.0,48.0,36.0
3888,0.0,11.0,1.0,7.0,19.0,10.0,3.0,2.0,41.0,5.0,55.0,73.0,132.0,8.0,22.0,44.0,21.0,118.0,4.0,20.0,32.0,56.0,18.0,34.0,119.0,78.0,107.0,9.0,23.0,49.0
3937,0.0,1.0,9.0,13.0,33.0,4.0,3.0,7.0,43.0,38.0,8.0,10.0,28.0,35.0,12.0,21.0,25.0,98.0,22.0,27.0,80.0,2.0,57.0,59.0,40.0,51.0,64.0,14.0,90.0,88.0
3986,0.0,1.0,3.0,21.0,24.0,4.0,2.0,10.0,53.0,7.0,6.0,17.0,5.0,31.0,45.0,13.0,51.0,63.0,115.0,32.0,44.0,9.0,58.0,14.0,65.0,219.0,12.0,56.0,30.0,52.0
4035,0.0,1.0,2.0,3.0,20.0,16.0,11.0,19.0,34.0,10.0,14.0,57.0,12.0,8.0,120.0,30.0,92.0,67.0,110.0,25.0,9.0,18.0,69.0,38.0,27.0,7.0,37.0,24.0,291.0,41.0
4084,0.0,2.0,1.0,16.0,7.0,3.0,14.0,21.0,64.0,5.0,18.0,45.0,59.0,20.0,39.0,6.0,23.0,34.0,43.0,9.0,48.0,10.0,54.0,40.0,11.0,25.0,38.0,26.0,299.0,438.0
4133,0.0,2.0,24.0,6.0,13.0,5.0,1.0,34.0,44.0,4.0,21.0,43.0,22.0,49.0,12.0,8.0,56.0,23.0,25.0,9.0,29.0,3.0,60.0,45.0,10.0,90.0,27.0,31.0,41.0,79.0
4182,0.0,1.0,8.0,2.0,18.0,6.0,4.0,3.0,40.0,5.0,15.0,21.0,14.0,25.0,108.0,13.0,119.0,115.0,190.0,59.0,41.0,9.0,31.0,19.0,26.0,24.0,30.0,87.0,42.0,38.0
4231,0.0,4.0,3.0,1.0,7.0,10.0,5.0,35.0,77.0,31.0,16.0,48.0,11.0,25.0,55.0,18.0,67.0,21.0,54.0,15.0,97.0,8.0,37.0,22.0,26.0,17.0,12.0,9.0,83.0,44.0
4280,0.0,1.0,2.0,3.0,13.0,8.0,5.0,29.0,105.0,7.0,11.0,59.0,32.0,15.0,31.0,22.0,14.0,40.0,98.0,9.0,57.0,6.0,135.0,93.0,24.0,51.0,18.0,38.0,87.0,12.0
4329,0.0,1.0,2.0,23.0,14.0,11.0,7.0,42.0,118.0,6.0,24.0,35.0,20.0,43.0,12.0,15.0,37.0,28.0,70.0,4.0,32.0,9.0,80.0,22.0,10.0,21.0,3.0,34.0,71.0,30.0
4378,0.0,1.0,4.0,3.0,8.0,2.0,15.0,9.0,73.0,29.0,16.0,74.0,27.0,41.0,58.0,5.0,51.0,19.0,40.0,23.0,25.0,21.0,101.0,20.0,17.0,44.0,38.0,18.0,43.0,24.0
4427,0.0,3.0,6.0,2.0,4.0,9.0,7.0,11.0,17.0,19.0,58.0,18.0,16.0,46.0,12.0,231.0,36.0,59.0,79.0,75.0,20.0,5.0,30.0,68.0,27.0,1.0,32.0,56.0,77.0,14.0
4476,0.0,7.0,10.0,1.0,22.0,13.0,2.0,6.0,15.0,28.0,37.0,42.0,69.0,17.0,4.0,297.0,32.0,12.0,49.0,75.0,8.0,5.0,25.0,59.0,67.0,11.0,76.0,3.0,34.0,9.0
4525,0.0,17.0,1.0,6.0,7.0,3.0,5.0,9.0,12.0,36.0,30.0,27.0,18.0,41.0,8.0,268.0,46.0,13.0,43.0,62.0,71.0,2.0,39.0,77.0,60.0,4.0,51.0,28.0,37.0,10.0
4574,0.0,9.0,4.0,3.0,21.0,8.0,2.0,17.0,18.0,39.0,32.0,27.0,10.0,31.0,44.0,288.0,58.0,19.0,22.0,94.0,7.0,6.0,81.0,20.0,93.0,1.0,36.0,28.0,295.0,11.0
4623,0.0,12.0,1.0,6.0,48.0,4.0,3.0,7.0,58.0,26.0,89.0,68.0,30.0,11.0,20.0,276.0,419.0,29.0,44.0,71.0,27.0,2.0,34.0,61.0,450.0,8.0,28.0,42.0,16.0,24.0
4672,0.0,23.0,4.0,19.0,3.0,7.0,1.0,5.0,17.0,53.0,20.0,12.0,9.0,35.0,8.0,264.0,21.0,42.0,82.0,62.0,54.0,2.0,27.0,78.0,72.0,6.0,14.0,36.0,28.0,18.0
4721,0.0,1.0,8.0,3.0,6.0,37.0,2.0,10.0,68.0,44.0,49.0,52.0,14.0,28.0,7.0,277.0,47.0,26.0,72.0,89.0,12.0,9.0,18.0,86.0,35.0,4.0,23.0,46.0,39.0,19.0
4770,0.0,11.0,1.0,4.0,26.0,5.0,3.0,31.0,14.0,97.0,13.0,50.0,19.0,12.0,24.0,271.0,81.0,9.0,103.0,45.0,84.0,17.0,40.0,115.0,70.0,2.0,32.0,6.0,39.0,7.0
4819,0.0,5.0,3.0,2.0,10.0,4.0,1.0,7.0,16.0,13.0,56.0,72.0,27.0,12.0,23.0,276.0,73.0,47.0,29.0,69.0,31.0,11.0,24.0,498.0,55.0,6.0,41.0,14.0,81.0,15.0
4868,0.0,7.0,1.0,2.0,11.0,9.0,3.0,19.0,23.0,21.0,52.0,40.0,34.0,27.0,8.0,147.0,95.0,64.0,255.0,49.0,10.0,4.0,43.0,12.0,86.0,6.0,20.0,15.0,35.0,18.0
