,hsa-miR-205,hsa-miR-934,hsa-miR-609,hsa-miR-148a,hsa-miR-30c,hsa-miR-223,hsa-miR-558,hsa-miR-210,hsa-miR-604,hsa-miR-34c-5p,hsa-miR-28-3p,hsa-miR-449b,hsa-miR-181c,hsa-miR-219-2-3p,hsa-miR-877,hsa-miR-616,hsa-miR-1288,hsa-miR-1246,hsa-miR-548a-3p,hsa-miR-548d-3p,hsa-miR-541,hsa-miR-601,hsa-miR-523,mcv-miR-M1-3p,hsa-miR-30a,hsa-miR-921,hsa-miR-331-3p,hsa-miR-31,hsa-miR-770-5p,hsa-miR-423-5p
17,0.0,1.0,10.0,20.0,6.0,14.0,7.0,2.0,4.0,31.0,35.0,18.0,26.0,9.0,50.0,112.0,44.0,62.0,78.0,64.0,61.0,283.0,5.0,493.0,47.0,107.0,108.0,17.0,27.0,469.0
66,0.0,11.0,17.0,2.0,4.0,23.0,16.0,8.0,5.0,9.0,49.0,44.0,3.0,80.0,15.0,50.0,36.0,88.0,112.0,62.0,19.0,145.0,18.0,51.0,34.0,81.0,39.0,47.0,14.0,59.0
115,0.0,1.0,4.0,14.0,2.0,9.0,20.0,6.0,3.0,15.0,28.0,10.0,13.0,50.0,33.0,12.0,19.0,29.0,187.0,190.0,57.0,112.0,11.0,113.0,17.0,292.0,24.0,91.0,25.0,31.0
164,0.0,3.0,1.0,8.0,20.0,38.0,76.0,7.0,5.0,25.0,16.0,9.0,31.0,54.0,23.0,14.0,26.0,18.0,59.0,10.0,50.0,118.0,21.0,19.0,71.0,81.0,36.0,69.0,97.0,40.0
213,0.0,1.0,4.0,32.0,3.0,2.0,106.0,29.0,6.0,39.0,22.0,31.0,50.0,45.0,38.0,26.0,13.0,23.0,100.0,30.0,61.0,81.0,74.0,62.0,9.0,11.0,27.0,51.0,37.0,67.0
262,0.0,4.0,2.0,3.0,1.0,11.0,18.0,56.0,6.0,5.0,23.0,73.0,40.0,38.0,31.0,43.0,52.0,17.0,82.0,162.0,37.0,96.0,8.0,77.0,16.0,24.0,13.0,34.0,27.0,54.0
311,0.0,2.0,1.0,24.0,3.0,52.0,17.0,65.0,8.0,28.0,19.0,6.0,22.0,32.0,36.0,7.0,20.0,14.0,93.0,70.0,5.0,101.0,40.0,29.0,33.0,15.0,80.0,46.0,26.0,47.0
360,0.0,2.0,3.0,5.0,1.0,16.0,7.0,11.0,4.0,25.0,8.0,17.0,43.0,82.0,45.0,53.0,35.0,33.0,93.0,196.0,22.0,28.0,9.0,23.0,12.0,51.0,52.0,102.0,36.0,62.0
409,0.0,1.0,2.0,3.0,4.0,75.0,5.0,11.0,9.0,17.0,16.0,36.0,25.0,41.0,15.0,64.0,57.0,88.0,82.0,53.0,10.0,85.0,18.0,42.0,37.0,60.0,26.0,50.0,44.0,101.0
458,0.0,3.0,2.0,1.0,4.0,45.0,21.0,37.0,8.0,6.0,63.0,33.0,34.0,67.0,12.0,22.0,15.0,35.0,55.0,59.0,29.0,90.0,23.0,32.0,38.0,7.0,19.0,432.0,49.0,62.0
507,0.0,4.0,2.0,3.0,24.0,6.0,8.0,29.0,45.0,13.0,95.0,57.0,25.0,11.0,18.0,32.0,41.0,16.0,5.0,76.0,160.0,274.0,114.0,17.0,110.0,64.0,52.0,443.0,19.0,60.0
556,0.0,3.0,4.0,1.0,67.0,7.0,6.0,40.0,5.0,18.0,98.0,29.0,34.0,22.0,102.0,24.0,13.0,9.0,12.0,35.0,183.0,103.0,78.0,17.0,54.0,45.0,41.0,445.0,53.0,32.0
605,0.0,6.0,1.0,2.0,10.0,5.0,4.0,11.0,25.0,37.0,98.0,26.0,29.0,28.0,31.0,17.0,15.0,12.0,39.0,9.0,160.0,192.0,66.0,13.0,51.0,319.0,61.0,75.0,42.0,38.0
654,0.0,2.0,7.0,1.0,23.0,5.0,4.0,8.0,24.0,21.0,22.0,53.0,19.0,15.0,94.0,18.0,13.0,11.0,16.0,57.0,50.0,271.0,112.0,51.0,97.0,31.0,49.0,82.0,29.0,25.0
703,0.0,12.0,1.0,4.0,29.0,11.0,2.0,42.0,9.0,24.0,62.0,6.0,50.0,15.0,55.0,5.0,19.0,20.0,14.0,41.0,182.0,54.0,154.0,314.0,51.0,48.0,25.0,74.0,56.0,13.0
752,0.0,4.0,2.0,1.0,13.0,7.0,6.0,37.0,79.0,36.0,105.0,32.0,40.0,11.0,74.0,9.0,20.0,17.0,8.0,43.0,103.0,70.0,96.0,15.0,45.0,26.0,56.0,48.0,16.0,41.0
801,0.0,7.0,2.0,3.0,17.0,34.0,25.0,20.0,16.0,68.0,12.0,21.0,14.0,33.0,26.0,50.0,27.0,11.0,38.0,6.0,195.0,283.0,57.0,48.0,78.0,221.0,49.0,473.0,23.0,19.0
850,0.0,7.0,8.0,1.0,34.0,6.0,3.0,5.0,20.0,14.0,64.0,21.0,32.0,11.0,33.0,17.0,15.0,13.0,4.0,88.0,70.0,89.0,95.0,118.0,119.0,94.0,91.0,50.0,48.0,49.0
899,0.0,5.0,3.0,1.0,25.0,2.0,4.0,31.0,10.0,28.0,483.0,18.0,21.0,7.0,38.0,69.0,23.0,13.0,16.0,19.0,105.0,280.0,48.0,98.0,102.0,78.0,37.0,24.0,14.0,29.0
