,Akt_pS473,RAD51,GATA3,PTEN,Chk1,Akt,CDK1,TFRC,Rab25,Chk1_pS345,PRAS40_pT246,p14 Arf(BetA300-340A),p62 Lck ligand,Notch1,Transglutaminase,MEK1_pS217_S221,IRS1,p27_pT157,c-Myc,VEGFR2,MAPK_pT202_Y204,E-Cadherin,4E-BP1_pT70,4E-BP1_pS65,PI3K-p110-alpha,MSH6,HER3,Bap1 c-4,Caveolin-1,4E-BP1_pT37_T46
0,0.0,5.0,8.0,53.0,20.0,12.0,10.0,7.0,44.0,31.0,3.0,86.0,28.0,37.0,16.0,33.0,6.0,9.0,15.0,118.0,1.0,14.0,49.0,17.0,39.0,91.0,13.0,161.0,48.0,22.0
49,0.0,13.0,1.0,6.0,25.0,53.0,163.0,2.0,7.0,16.0,41.0,3.0,73.0,19.0,4.0,60.0,18.0,116.0,98.0,62.0,9.0,91.0,44.0,82.0,15.0,75.0,11.0,8.0,36.0,38.0
98,0.0,1.0,22.0,24.0,9.0,5.0,8.0,105.0,20.0,53.0,15.0,11.0,12.0,21.0,6.0,94.0,30.0,91.0,4.0,37.0,2.0,70.0,26.0,107.0,16.0,52.0,7.0,14.0,85.0,115.0
147,0.0,2.0,1.0,4.0,10.0,11.0,71.0,5.0,27.0,17.0,13.0,25.0,19.0,7.0,9.0,32.0,3.0,15.0,6.0,56.0,12.0,42.0,26.0,37.0,58.0,68.0,23.0,63.0,130.0,55.0
196,0.0,5.0,1.0,6.0,19.0,8.0,57.0,4.0,29.0,2.0,11.0,3.0,114.0,17.0,22.0,50.0,30.0,55.0,7.0,31.0,9.0,26.0,21.0,58.0,39.0,76.0,120.0,13.0,28.0,105.0
245,0.0,2.0,8.0,1.0,7.0,58.0,6.0,12.0,14.0,16.0,10.0,22.0,67.0,68.0,56.0,66.0,13.0,20.0,99.0,70.0,4.0,44.0,27.0,108.0,18.0,48.0,3.0,17.0,11.0,127.0
294,0.0,5.0,7.0,1.0,9.0,26.0,43.0,2.0,28.0,17.0,14.0,3.0,135.0,56.0,13.0,23.0,4.0,19.0,38.0,16.0,8.0,46.0,30.0,133.0,12.0,79.0,54.0,11.0,32.0,100.0
343,0.0,1.0,3.0,32.0,7.0,9.0,18.0,4.0,14.0,2.0,15.0,13.0,35.0,21.0,70.0,5.0,83.0,29.0,10.0,31.0,6.0,30.0,51.0,40.0,11.0,52.0,50.0,8.0,12.0,67.0
392,0.0,6.0,4.0,16.0,23.0,79.0,3.0,5.0,25.0,2.0,10.0,1.0,73.0,83.0,7.0,53.0,12.0,41.0,17.0,64.0,8.0,43.0,15.0,37.0,22.0,50.0,18.0,19.0,48.0,11.0
441,0.0,4.0,2.0,21.0,5.0,1.0,41.0,19.0,8.0,10.0,11.0,49.0,25.0,15.0,17.0,33.0,22.0,44.0,68.0,31.0,3.0,70.0,43.0,37.0,26.0,9.0,29.0,92.0,12.0,60.0
490,5.0,2.0,0.0,3.0,90.0,6.0,12.0,19.0,1.0,10.0,23.0,9.0,37.0,52.0,20.0,13.0,46.0,8.0,21.0,53.0,18.0,75.0,4.0,34.0,17.0,26.0,83.0,91.0,58.0,15.0
539,0.0,1.0,4.0,60.0,102.0,9.0,36.0,8.0,6.0,16.0,18.0,11.0,19.0,65.0,10.0,2.0,37.0,5.0,29.0,17.0,7.0,64.0,47.0,3.0,34.0,93.0,54.0,31.0,28.0,71.0
588,1.0,2.0,0.0,6.0,53.0,25.0,12.0,4.0,3.0,18.0,20.0,39.0,154.0,124.0,14.0,5.0,16.0,10.0,19.0,46.0,66.0,17.0,51.0,13.0,118.0,85.0,38.0,127.0,23.0,70.0
637,17.0,0.0,3.0,24.0,43.0,2.0,6.0,4.0,1.0,15.0,18.0,34.0,52.0,45.0,37.0,61.0,26.0,10.0,30.0,8.0,85.0,49.0,40.0,28.0,22.0,125.0,12.0,99.0,33.0,65.0
686,1.0,2.0,4.0,12.0,90.0,3.0,15.0,21.0,0.0,6.0,5.0,36.0,24.0,8.0,22.0,55.0,89.0,101.0,43.0,9.0,16.0,39.0,93.0,51.0,25.0,42.0,14.0,19.0,23.0,121.0
735,2.0,1.0,4.0,3.0,111.0,6.0,29.0,7.0,0.0,44.0,11.0,89.0,31.0,9.0,8.0,39.0,102.0,22.0,53.0,10.0,5.0,14.0,16.0,81.0,52.0,94.0,12.0,41.0,42.0,28.0
784,8.0,0.0,3.0,12.0,27.0,2.0,18.0,7.0,1.0,15.0,10.0,98.0,30.0,48.0,26.0,103.0,44.0,34.0,72.0,19.0,5.0,38.0,6.0,9.0,20.0,77.0,36.0,80.0,139.0,23.0
833,3.0,2.0,0.0,42.0,7.0,4.0,13.0,44.0,1.0,5.0,51.0,26.0,11.0,76.0,15.0,59.0,30.0,23.0,84.0,50.0,9.0,27.0,22.0,18.0,102.0,24.0,37.0,48.0,17.0,29.0
882,5.0,0.0,2.0,67.0,101.0,4.0,16.0,21.0,1.0,62.0,127.0,10.0,6.0,54.0,33.0,27.0,44.0,36.0,13.0,72.0,7.0,40.0,17.0,32.0,28.0,24.0,64.0,38.0,45.0,55.0
931,1.0,0.0,2.0,61.0,9.0,3.0,13.0,58.0,4.0,55.0,157.0,96.0,8.0,24.0,62.0,125.0,86.0,10.0,69.0,28.0,15.0,153.0,21.0,27.0,87.0,23.0,92.0,118.0,29.0,148.0
980,0.0,2.0,1.0,5.0,21.0,30.0,31.0,137.0,18.0,57.0,4.0,86.0,8.0,32.0,46.0,27.0,22.0,12.0,15.0,3.0,75.0,20.0,26.0,50.0,80.0,23.0,16.0,129.0,59.0,39.0
1029,0.0,58.0,1.0,2.0,16.0,5.0,20.0,14.0,4.0,9.0,12.0,22.0,24.0,17.0,7.0,3.0,63.0,10.0,106.0,83.0,41.0,25.0,34.0,21.0,15.0,68.0,18.0,156.0,89.0,62.0
1078,0.0,11.0,10.0,2.0,12.0,20.0,8.0,9.0,6.0,1.0,7.0,128.0,3.0,57.0,32.0,5.0,73.0,30.0,133.0,33.0,96.0,15.0,22.0,56.0,43.0,17.0,47.0,38.0,63.0,50.0
1127,0.0,6.0,1.0,7.0,16.0,32.0,67.0,65.0,59.0,42.0,8.0,15.0,2.0,13.0,63.0,114.0,28.0,9.0,102.0,72.0,78.0,82.0,71.0,5.0,41.0,27.0,87.0,22.0,91.0,36.0
1176,0.0,9.0,1.0,4.0,20.0,22.0,40.0,102.0,7.0,125.0,12.0,70.0,5.0,17.0,15.0,2.0,26.0,23.0,10.0,14.0,71.0,3.0,8.0,30.0,57.0,29.0,132.0,45.0,75.0,77.0
1225,0.0,6.0,3.0,1.0,20.0,40.0,5.0,11.0,21.0,29.0,9.0,56.0,2.0,18.0,4.0,50.0,36.0,28.0,27.0,118.0,139.0,30.0,46.0,17.0,70.0,14.0,24.0,10.0,44.0,135.0
1274,0.0,5.0,4.0,1.0,8.0,50.0,13.0,35.0,116.0,90.0,2.0,30.0,66.0,9.0,81.0,70.0,36.0,136.0,80.0,20.0,53.0,16.0,33.0,48.0,73.0,7.0,102.0,11.0,42.0,63.0
1323,0.0,21.0,14.0,9.0,3.0,22.0,1.0,4.0,92.0,10.0,50.0,52.0,6.0,8.0,11.0,72.0,104.0,19.0,87.0,7.0,77.0,83.0,100.0,163.0,33.0,26.0,80.0,15.0,43.0,63.0
1372,0.0,14.0,7.0,1.0,31.0,18.0,8.0,15.0,26.0,37.0,2.0,50.0,4.0,3.0,46.0,27.0,53.0,33.0,16.0,52.0,146.0,6.0,28.0,68.0,29.0,20.0,40.0,25.0,34.0,47.0
1421,0.0,2.0,1.0,5.0,3.0,17.0,95.0,11.0,8.0,22.0,4.0,51.0,53.0,16.0,38.0,65.0,108.0,43.0,6.0,39.0,62.0,15.0,59.0,137.0,54.0,24.0,20.0,44.0,28.0,18.0
1470,4.0,2.0,0.0,19.0,1.0,37.0,15.0,14.0,3.0,11.0,27.0,8.0,5.0,7.0,46.0,12.0,6.0,80.0,40.0,36.0,91.0,53.0,64.0,45.0,30.0,9.0,104.0,43.0,65.0,77.0
1519,1.0,0.0,2.0,46.0,3.0,12.0,5.0,9.0,15.0,8.0,14.0,38.0,55.0,7.0,16.0,6.0,57.0,45.0,30.0,51.0,125.0,23.0,33.0,17.0,71.0,53.0,69.0,11.0,52.0,21.0
1568,1.0,0.0,8.0,78.0,4.0,5.0,2.0,14.0,3.0,44.0,13.0,17.0,11.0,35.0,112.0,7.0,6.0,127.0,126.0,16.0,135.0,27.0,60.0,9.0,69.0,15.0,20.0,25.0,30.0,43.0
1617,0.0,1.0,4.0,141.0,10.0,83.0,6.0,37.0,11.0,2.0,24.0,56.0,47.0,35.0,26.0,17.0,8.0,87.0,7.0,16.0,57.0,3.0,51.0,9.0,22.0,45.0,40.0,155.0,48.0,15.0
1666,0.0,1.0,4.0,15.0,6.0,28.0,12.0,3.0,7.0,23.0,10.0,30.0,18.0,22.0,13.0,29.0,43.0,134.0,8.0,21.0,157.0,9.0,144.0,33.0,38.0,16.0,58.0,17.0,11.0,20.0
1715,0.0,5.0,1.0,12.0,11.0,35.0,23.0,2.0,34.0,9.0,4.0,16.0,58.0,15.0,8.0,3.0,32.0,50.0,51.0,26.0,86.0,43.0,24.0,36.0,38.0,19.0,90.0,10.0,87.0,22.0
1764,2.0,0.0,1.0,36.0,3.0,6.0,35.0,9.0,22.0,21.0,7.0,13.0,76.0,12.0,11.0,4.0,83.0,151.0,5.0,113.0,25.0,71.0,81.0,47.0,16.0,57.0,28.0,8.0,53.0,26.0
1813,3.0,0.0,1.0,15.0,2.0,5.0,51.0,6.0,4.0,18.0,12.0,39.0,81.0,10.0,62.0,28.0,126.0,82.0,53.0,19.0,13.0,30.0,116.0,33.0,74.0,27.0,16.0,24.0,9.0,49.0
1862,5.0,0.0,2.0,17.0,1.0,16.0,12.0,15.0,130.0,27.0,7.0,21.0,6.0,26.0,50.0,3.0,30.0,162.0,14.0,42.0,43.0,133.0,46.0,62.0,20.0,11.0,19.0,8.0,55.0,45.0
1911,0.0,2.0,1.0,18.0,9.0,6.0,3.0,4.0,50.0,45.0,24.0,7.0,17.0,27.0,19.0,58.0,54.0,164.0,36.0,16.0,39.0,33.0,53.0,102.0,80.0,41.0,68.0,13.0,15.0,92.0
1960,0.0,3.0,4.0,7.0,12.0,13.0,11.0,10.0,16.0,111.0,36.0,9.0,1.0,81.0,25.0,34.0,14.0,42.0,15.0,83.0,20.0,105.0,24.0,17.0,23.0,37.0,27.0,136.0,107.0,72.0
2009,1.0,0.0,3.0,44.0,8.0,19.0,4.0,34.0,91.0,117.0,7.0,5.0,6.0,66.0,59.0,12.0,36.0,9.0,13.0,49.0,20.0,30.0,73.0,17.0,18.0,52.0,24.0,92.0,27.0,29.0
2058,0.0,3.0,9.0,8.0,2.0,32.0,48.0,50.0,18.0,51.0,71.0,4.0,6.0,14.0,20.0,22.0,76.0,5.0,87.0,12.0,13.0,27.0,59.0,28.0,1.0,69.0,68.0,133.0,135.0,31.0
2107,0.0,3.0,2.0,69.0,1.0,15.0,81.0,22.0,14.0,17.0,19.0,10.0,8.0,28.0,104.0,51.0,12.0,5.0,135.0,79.0,113.0,18.0,58.0,26.0,62.0,38.0,68.0,56.0,13.0,45.0
