,GABA,adenosine,DHAP/glyceraldehyde 3P,beta-alanine,pantothenate,cis/trans-hydroxyproline,niacinamide,alpha-glycerophosphocholine,N-carbamoyl-beta-alanine,glutamine,asparagine,urate,putrescine,hippurate,inosine,C18:0 LPC,C18:0 LPE,5-HIAA,serotonin,homocysteine,valerylcarnitine,C16:0 LPE,taurodeoxycholate,cytidine,oxalate,phosphocreatine,C34:2 DAG,inositol,creatinine,hypoxanthine
23,0.0,1.0,2.0,4.0,3.0,5.0,8.0,13.0,10.0,12.0,6.0,9.0,18.0,16.0,11.0,19.0,7.0,21.0,23.0,14.0,17.0,22.0,15.0,25.0,20.0,34.0,52.0,26.0,27.0,31.0
72,0.0,1.0,2.0,5.0,7.0,3.0,4.0,6.0,18.0,8.0,16.0,11.0,13.0,14.0,9.0,10.0,21.0,15.0,19.0,12.0,24.0,20.0,31.0,25.0,22.0,30.0,38.0,32.0,29.0,40.0
121,0.0,1.0,2.0,5.0,6.0,10.0,7.0,21.0,8.0,4.0,9.0,15.0,13.0,17.0,11.0,3.0,12.0,14.0,19.0,18.0,23.0,16.0,36.0,22.0,20.0,33.0,46.0,31.0,27.0,30.0
170,0.0,1.0,2.0,13.0,3.0,9.0,6.0,12.0,5.0,8.0,14.0,11.0,19.0,7.0,4.0,10.0,23.0,17.0,25.0,15.0,18.0,16.0,26.0,31.0,27.0,20.0,43.0,29.0,24.0,30.0
219,0.0,1.0,2.0,3.0,6.0,14.0,7.0,10.0,8.0,4.0,13.0,17.0,27.0,12.0,9.0,11.0,21.0,16.0,32.0,5.0,23.0,15.0,24.0,19.0,28.0,29.0,25.0,20.0,26.0,37.0
268,0.0,2.0,1.0,5.0,3.0,4.0,6.0,7.0,8.0,14.0,20.0,12.0,19.0,11.0,9.0,24.0,21.0,10.0,23.0,17.0,13.0,18.0,26.0,16.0,28.0,42.0,22.0,15.0,31.0,30.0
317,1.0,0.0,2.0,5.0,3.0,4.0,11.0,12.0,6.0,9.0,10.0,16.0,29.0,15.0,7.0,20.0,8.0,13.0,25.0,14.0,19.0,22.0,31.0,24.0,26.0,18.0,38.0,42.0,23.0,33.0
366,0.0,1.0,3.0,4.0,2.0,7.0,5.0,6.0,8.0,12.0,11.0,13.0,15.0,16.0,10.0,17.0,20.0,14.0,21.0,9.0,26.0,19.0,22.0,25.0,18.0,41.0,32.0,33.0,27.0,29.0
415,0.0,3.0,1.0,5.0,2.0,10.0,4.0,9.0,6.0,8.0,11.0,14.0,22.0,17.0,16.0,12.0,13.0,7.0,19.0,15.0,29.0,30.0,32.0,20.0,18.0,31.0,25.0,35.0,27.0,33.0
464,0.0,3.0,2.0,9.0,1.0,6.0,4.0,14.0,5.0,13.0,12.0,8.0,20.0,17.0,16.0,11.0,15.0,18.0,24.0,21.0,10.0,23.0,27.0,32.0,7.0,25.0,38.0,22.0,31.0,47.0
