,OR2T2_AMP,WNK1_MUT,CHD1_MUT,GSTT1_AMP,MIR1208_AMP,UNC13C_DEL,LOC727677_AMP,MIR4735_AMP,MIR1207_AMP,POU5F1B_AMP,LOC391322_AMP,PRB1_AMP,GSTTP2_AMP,TP53_MUT,PIK3R4_MUT,GALNT13_DEL,MIR1295A_AMP,OR2T35_AMP,MYC_AMP,MIR1205_AMP,SCAPER_DEL,SMARCA4_MUT,ESPNP_DEL,LOC100507410_AMP,MIR1206_AMP,MTMR11_MUT,CDKAL1_DEL,FAM84B_AMP,GORAB_AMP,MIR1295B_AMP
32,293.0,50.0,8.0,7.0,6.0,196.0,13.0,132.0,73.0,120.0,23.0,22138.0,0.0,278.0,43.0,44.0,581.0,334.0,27.0,217.0,289.0,109.0,594.0,65.0,3.0,2.0,422.0,175.0,32.0,42.0
81,128.0,606.0,17.0,90.0,5.0,20.0,8.0,60.0,3.0,4.0,2.0,1786.0,82.0,7.0,793.0,204.0,509.0,453.0,99.0,6.0,1059.0,61.0,265.0,45.0,26.0,16.0,10832.0,131.0,705.0,508.0
130,56.0,0.0,11.0,32.0,1215.0,23.0,12.0,75.0,60.0,4.0,47.0,308.0,119.0,94.0,124.0,214.0,28.0,243.0,48.0,16065.0,189.0,17140.0,6942.0,19.0,106.0,51.0,272.0,68.0,24.0,78.0
179,332.0,235.0,9.0,290.0,27.0,7.0,0.0,16410.0,52.0,1.0,67.0,1548.0,317.0,2.0,141.0,210.0,94.0,99.0,62.0,190.0,901.0,5.0,51.0,714.0,45.0,22.0,10896.0,103.0,17.0,24.0
228,6.0,16.0,57.0,153.0,9.0,68.0,2.0,5.0,3.0,52.0,41.0,1873.0,179.0,90.0,1719.0,989.0,93.0,1487.0,799.0,2583.0,474.0,17.0,2179.0,33.0,107.0,44.0,1225.0,629.0,45.0,391.0
277,8.0,10.0,14.0,0.0,396.0,6.0,47.0,38.0,33.0,151.0,7.0,1010.0,2.0,59.0,16.0,361.0,20.0,62.0,14706.0,224.0,696.0,160.0,2929.0,147.0,16063.0,32.0,339.0,526.0,81.0,68.0
326,131.0,1.0,8.0,19.0,39.0,172.0,200.0,67.0,10.0,20.0,112.0,1305.0,37.0,25.0,45.0,12.0,154.0,147.0,11.0,3.0,34.0,74.0,6881.0,15957.0,16.0,274.0,392.0,288.0,19435.0,659.0
375,22.0,8.0,0.0,2525.0,19.0,5.0,39.0,3.0,36.0,9.0,85.0,1676.0,58.0,64.0,377.0,17.0,126.0,417.0,18.0,7.0,45.0,568.0,1221.0,20.0,16058.0,420.0,1395.0,24.0,907.0,16532.0
424,103.0,60.0,9.0,1207.0,64.0,1.0,15.0,145.0,101.0,89.0,2456.0,22357.0,141.0,215.0,35.0,116.0,233.0,230.0,168.0,179.0,44.0,3.0,7234.0,91.0,16067.0,16.0,3029.0,36.0,82.0,76.0
473,104.0,0.0,57.0,223.0,27.0,43.0,32.0,5.0,24.0,38.0,180.0,103.0,49.0,23.0,21.0,212.0,149.0,664.0,9.0,25.0,1030.0,44.0,29.0,17.0,195.0,2.0,320.0,36.0,938.0,16513.0
522,24.0,5.0,0.0,11.0,14.0,12.0,379.0,4.0,54.0,20.0,195.0,22356.0,200.0,3647.0,1997.0,20230.0,50.0,1.0,10.0,124.0,156.0,583.0,19.0,16047.0,16118.0,1035.0,86.0,726.0,70.0,67.0
571,5.0,3.0,0.0,1.0,130.0,2.0,10.0,7.0,195.0,41.0,159.0,22369.0,144.0,36.0,16636.0,60.0,69.0,11.0,161.0,566.0,42.0,24.0,33.0,16033.0,22.0,16838.0,178.0,35.0,68.0,270.0
620,6.0,0.0,1328.0,88.0,977.0,41.0,18.0,16423.0,69.0,22311.0,1054.0,22097.0,316.0,16.0,2717.0,7.0,58.0,10.0,72.0,16106.0,45.0,1.0,597.0,16036.0,107.0,1781.0,239.0,56.0,27.0,53.0
669,10.0,0.0,3.0,35.0,17.0,5.0,54.0,9.0,55.0,44.0,1422.0,184.0,2311.0,198.0,56.0,170.0,270.0,42.0,2556.0,1350.0,52.0,8.0,443.0,1352.0,155.0,31.0,834.0,295.0,85.0,271.0
718,5.0,3.0,6.0,715.0,25.0,4.0,1.0,23.0,17.0,16.0,313.0,15714.0,127.0,7.0,2.0,24.0,21.0,1492.0,9.0,6796.0,235.0,28.0,10.0,67.0,36.0,10214.0,12229.0,42.0,57.0,202.0
767,3.0,21.0,0.0,19.0,41.0,24.0,14.0,16.0,8.0,15032.0,130.0,170.0,22.0,228.0,42.0,381.0,44.0,4.0,2.0,6.0,70.0,29.0,7.0,16040.0,155.0,335.0,47.0,45.0,154.0,27.0
