,Caveolin-1,YAP_pS127,EGFR,VEGFR2,Annexin 1,beta-Catenin,VAV1,TAZ,EGFR_pY1068,Akt_pS473,Bcl-2,MDMX_MDM4(BetIHC-00108),Stathmin,p62 Lck ligand,CD49b,GSK3-alpha-beta,Heregulin,Src_pY416,beta-Catenin_pT41_S45,alpha-Catenin,Rb_pS807_S811,Chk1_pS345,4E-BP1,Src,Fibronectin,PAI-1,C-Raf(BD610151),B-Raf_pS445,Cyclin_E1,Bax
4,4.0,0.0,2.0,7.0,3.0,5.0,8.0,24.0,1.0,9.0,13.0,11.0,16.0,19.0,12.0,14.0,17.0,20.0,10.0,26.0,18.0,42.0,28.0,6.0,117.0,43.0,62.0,22.0,29.0,30.0
53,2.0,0.0,1.0,5.0,3.0,8.0,4.0,52.0,7.0,10.0,14.0,9.0,6.0,22.0,11.0,12.0,65.0,48.0,21.0,15.0,13.0,16.0,80.0,20.0,56.0,32.0,40.0,76.0,49.0,58.0
102,2.0,1.0,4.0,3.0,9.0,7.0,0.0,34.0,6.0,5.0,11.0,14.0,8.0,32.0,10.0,17.0,19.0,13.0,25.0,30.0,45.0,15.0,53.0,20.0,24.0,27.0,18.0,61.0,35.0,28.0
151,2.0,0.0,3.0,4.0,6.0,7.0,1.0,19.0,13.0,8.0,12.0,23.0,22.0,21.0,16.0,15.0,66.0,10.0,26.0,5.0,11.0,9.0,14.0,17.0,56.0,37.0,78.0,30.0,42.0,85.0
200,0.0,1.0,6.0,2.0,7.0,3.0,5.0,29.0,8.0,13.0,17.0,21.0,27.0,54.0,15.0,11.0,16.0,14.0,9.0,52.0,4.0,24.0,28.0,80.0,20.0,81.0,72.0,53.0,36.0,10.0
249,3.0,0.0,1.0,2.0,6.0,5.0,8.0,58.0,4.0,10.0,14.0,62.0,16.0,75.0,18.0,17.0,24.0,7.0,9.0,45.0,12.0,26.0,33.0,11.0,36.0,94.0,23.0,22.0,15.0,30.0
298,1.0,0.0,7.0,2.0,4.0,5.0,3.0,26.0,6.0,17.0,14.0,19.0,8.0,33.0,11.0,21.0,13.0,22.0,12.0,10.0,15.0,18.0,127.0,23.0,40.0,24.0,103.0,29.0,20.0,9.0
347,0.0,3.0,2.0,1.0,6.0,7.0,4.0,36.0,5.0,11.0,12.0,16.0,19.0,31.0,13.0,9.0,15.0,18.0,22.0,79.0,8.0,26.0,29.0,41.0,14.0,21.0,56.0,32.0,17.0,24.0
396,0.0,1.0,6.0,2.0,11.0,3.0,4.0,20.0,5.0,8.0,25.0,18.0,9.0,73.0,27.0,10.0,15.0,14.0,7.0,16.0,12.0,19.0,32.0,63.0,17.0,52.0,13.0,30.0,26.0,23.0
445,2.0,0.0,3.0,6.0,10.0,5.0,1.0,13.0,7.0,8.0,15.0,9.0,12.0,14.0,24.0,17.0,4.0,30.0,21.0,34.0,11.0,16.0,27.0,35.0,31.0,25.0,49.0,59.0,29.0,20.0
494,0.0,3.0,4.0,6.0,2.0,1.0,11.0,16.0,8.0,12.0,21.0,5.0,13.0,15.0,9.0,19.0,7.0,22.0,14.0,10.0,18.0,39.0,24.0,20.0,28.0,71.0,25.0,27.0,42.0,23.0
