,XBP1,4E-BP1,AMPK_pT172,Rictor_pT1135,IRS1,VAV1,Akt_pS473,alpha-Catenin,RSK1-2-3,YAP_pS127,STAT5-alpha,A-Raf_pS299,Transglutaminase,Claudin-7,Syk,PAI-1,VEGFR2,Bcl-2,PRDX1,Bax,C-Raf(BD610151),Porin,CD49b,C-Raf_pS338,FRA1,Acetyl-a-Tubulin (Lys40),Collagen_VI,Stathmin,4E-BP1_pT37_T46,E-Cadherin
1180,1.0,0.0,14.0,7.0,3.0,8.0,37.0,26.0,2.0,12.0,15.0,13.0,16.0,41.0,33.0,74.0,45.0,54.0,19.0,36.0,85.0,18.0,11.0,38.0,27.0,34.0,49.0,55.0,5.0,20.0
1229,1.0,0.0,7.0,11.0,82.0,3.0,2.0,9.0,16.0,12.0,4.0,6.0,18.0,8.0,30.0,143.0,37.0,103.0,49.0,28.0,21.0,20.0,54.0,23.0,65.0,64.0,17.0,22.0,36.0,24.0
1278,0.0,2.0,1.0,9.0,12.0,6.0,60.0,13.0,20.0,8.0,3.0,35.0,15.0,37.0,19.0,16.0,4.0,41.0,5.0,66.0,97.0,87.0,36.0,91.0,27.0,52.0,24.0,32.0,148.0,95.0
1327,0.0,2.0,1.0,5.0,6.0,10.0,13.0,7.0,12.0,4.0,37.0,3.0,21.0,79.0,51.0,97.0,135.0,38.0,8.0,29.0,14.0,26.0,16.0,18.0,85.0,118.0,34.0,36.0,24.0,106.0
1376,0.0,2.0,1.0,16.0,40.0,13.0,6.0,15.0,8.0,9.0,88.0,3.0,73.0,4.0,14.0,114.0,101.0,89.0,66.0,31.0,47.0,45.0,74.0,64.0,30.0,80.0,17.0,32.0,27.0,10.0
1425,0.0,1.0,8.0,2.0,6.0,15.0,17.0,5.0,14.0,38.0,79.0,3.0,48.0,7.0,34.0,52.0,16.0,136.0,4.0,104.0,59.0,26.0,55.0,22.0,91.0,87.0,39.0,13.0,73.0,9.0
1474,0.0,7.0,3.0,1.0,10.0,2.0,25.0,5.0,20.0,40.0,44.0,36.0,4.0,14.0,118.0,22.0,53.0,48.0,16.0,21.0,28.0,6.0,84.0,13.0,12.0,26.0,59.0,30.0,15.0,93.0
1523,0.0,3.0,14.0,5.0,25.0,1.0,4.0,15.0,34.0,17.0,28.0,6.0,40.0,2.0,12.0,29.0,20.0,7.0,8.0,9.0,42.0,39.0,161.0,56.0,82.0,26.0,48.0,10.0,19.0,46.0
1572,0.0,5.0,1.0,2.0,17.0,6.0,8.0,29.0,13.0,64.0,22.0,28.0,21.0,7.0,25.0,39.0,52.0,40.0,20.0,53.0,31.0,55.0,27.0,41.0,38.0,11.0,72.0,150.0,60.0,57.0
1621,0.0,1.0,37.0,6.0,2.0,3.0,9.0,4.0,52.0,7.0,26.0,12.0,48.0,10.0,24.0,11.0,22.0,5.0,39.0,35.0,92.0,44.0,53.0,73.0,45.0,20.0,30.0,19.0,15.0,40.0
