,EP300_MUT,ADAM5_DEL,ADAM3A_DEL,SIRPB1_AMP,FMN2_AMP,ZNF438_DEL,OR2T11_AMP,FAM190A_DEL,MCEE_AMP,ZBTB20_AMP,SLC7A5P2_DEL,LPA_AMP,HLA-H_DEL,OR51A4_DEL,HERC2P2_AMP,RBFOX1_DEL,OR52N1_DEL,LOC100190986_DEL,NPIPL3_DEL,AATK_AMP,SORD_AMP,MACROD2_DEL,PRH1-PRR4_DEL,TOP2B_MUT,LOC100271836_DEL,OR52N5_DEL,ADCY8_DEL,LRRC37A_AMP,LINC00202_AMP,MGAM_DEL
31,0.0,2.0,4.0,6.0,24.0,71.0,3.0,9.0,76.0,5.0,18.0,10.0,7.0,26.0,57.0,78.0,36.0,39.0,40.0,14.0,82.0,51.0,668.0,287.0,49.0,42.0,17.0,12.0,48.0,61.0
80,0.0,2.0,3.0,1.0,26.0,30.0,10.0,27.0,29.0,17.0,15.0,6.0,47.0,55.0,36.0,12.0,22.0,19.0,20.0,56.0,178.0,61.0,75.0,152.0,23.0,24.0,46.0,74.0,88.0,48.0
129,0.0,3.0,4.0,1.0,8.0,110.0,2.0,6.0,15.0,28.0,12.0,10.0,9.0,23.0,59.0,27.0,32.0,36.0,37.0,25.0,747.0,24.0,65.0,290.0,34.0,22.0,68.0,11.0,94.0,79.0
178,0.0,1.0,2.0,14.0,16.0,27.0,6.0,21.0,57.0,60.0,9.0,3.0,5.0,30.0,123.0,36.0,29.0,17.0,18.0,43.0,13.0,74.0,38.0,166.0,24.0,31.0,39.0,20.0,48.0,34.0
227,0.0,3.0,2.0,1.0,24.0,35.0,6.0,12.0,42.0,11.0,16.0,4.0,7.0,15.0,74.0,23.0,50.0,34.0,33.0,19.0,639.0,8.0,37.0,247.0,43.0,58.0,25.0,26.0,57.0,56.0
276,0.0,3.0,5.0,1.0,16.0,6.0,7.0,11.0,46.0,9.0,13.0,4.0,69.0,15.0,19.0,2.0,26.0,25.0,24.0,20.0,55.0,83.0,18617.0,391.0,34.0,27.0,45.0,84.0,38.0,30.0
325,0.0,2.0,3.0,1.0,7.0,41.0,4.0,23.0,17.0,5.0,15.0,6.0,8.0,12.0,31.0,46.0,42.0,13.0,14.0,29.0,95.0,32.0,66.0,317.0,22.0,44.0,63.0,18.0,53.0,36.0
374,0.0,1.0,3.0,9.0,4.0,196.0,2.0,18.0,19.0,8.0,20.0,7.0,6.0,60.0,1577.0,10.0,49.0,29.0,28.0,61.0,85.0,34.0,27.0,166.0,43.0,88.0,158.0,117.0,76.0,163.0
423,0.0,3.0,7.0,12.0,26.0,15.0,2.0,9.0,18.0,30.0,14.0,11.0,1.0,68.0,70.0,16.0,6.0,28.0,27.0,39.0,50.0,44.0,32.0,152.0,38.0,5.0,58.0,22.0,23.0,24.0
472,0.0,3.0,4.0,1.0,24.0,66.0,2.0,8.0,17.0,19.0,18.0,26.0,31.0,16.0,45.0,21.0,13.0,38.0,37.0,25.0,32.0,63.0,20.0,854.0,47.0,15.0,28.0,6.0,44.0,9.0
521,1.0,3.0,4.0,0.0,2.0,7.0,6.0,42.0,29.0,17.0,25.0,116.0,16.0,9717.0,13.0,11.0,12.0,40.0,39.0,15.0,82.0,24.0,5.0,46.0,44.0,23.0,128.0,403.0,61.0,60.0
570,1.0,2.0,4.0,0.0,40.0,5.0,9.0,18.0,3.0,15.0,35.0,39.0,6.0,80.0,7.0,19.0,117.0,27.0,28.0,10.0,49.0,50.0,12.0,22.0,36.0,179.0,53.0,30.0,34.0,37.0
619,1.0,0.0,2.0,3.0,6.0,4.0,7.0,8.0,9.0,12.0,15.0,43.0,56.0,63.0,11.0,13.0,37.0,26.0,25.0,30.0,18.0,73.0,49.0,23.0,31.0,47.0,126.0,325.0,38.0,119.0
668,0.0,1.0,3.0,2.0,6.0,5.0,24.0,18.0,9.0,21.0,23.0,64.0,34.0,29.0,11.0,14.0,103.0,31.0,30.0,15.0,60.0,4.0,10.0,17.0,37.0,223.0,43.0,52.0,22.0,8.0
717,0.0,1.0,3.0,2.0,18.0,4.0,17.0,20.0,6.0,12.0,23.0,47.0,42.0,86.0,10.0,26.0,36.0,40.0,39.0,9.0,24.0,19.0,5.0,16.0,38.0,50.0,37.0,48.0,28.0,11.0
766,2.0,0.0,1.0,4.0,6.0,3.0,5.0,70.0,7.0,56.0,9.0,15.0,23.0,47.0,14.0,36.0,22.0,16.0,17.0,21.0,58.0,34.0,45.0,48.0,26.0,44.0,40.0,53.0,30.0,91.0
815,0.0,1.0,2.0,4.0,3.0,5.0,10.0,27.0,13.0,20.0,59.0,44.0,21.0,65.0,7.0,30.0,15.0,114.0,115.0,6.0,17.0,14.0,11.0,8.0,130.0,16.0,51.0,40.0,19.0,29.0
864,0.0,1.0,2.0,4.0,3.0,5.0,10.0,15.0,20.0,9.0,17.0,42.0,41.0,39.0,7.0,6.0,16.0,29.0,28.0,30.0,181.0,11.0,36.0,19.0,31.0,23.0,33.0,95.0,47.0,8.0
913,1.0,3.0,4.0,2.0,75.0,8.0,11.0,94.0,12.0,0.0,10.0,166.0,54.0,96.0,5.0,33.0,27.0,22.0,23.0,26.0,40.0,66.0,37.0,14.0,28.0,39.0,25.0,46.0,21.0,52.0
962,1.0,2.0,3.0,0.0,18.0,7.0,10.0,6.0,8.0,5.0,27.0,26.0,4.0,17.0,14.0,20.0,15.0,49.0,48.0,16.0,9.0,32.0,13.0,40.0,53.0,24.0,31.0,52.0,28.0,38.0
1011,0.0,2.0,3.0,1.0,15.0,11.0,14.0,7.0,18.0,25.0,22.0,8.0,5.0,9.0,10.0,4.0,31.0,33.0,32.0,30.0,12.0,26.0,762.0,80.0,44.0,59.0,39.0,72.0,98.0,48.0
1060,0.0,1.0,2.0,6.0,4.0,7.0,17.0,15.0,48.0,13.0,9.0,25.0,22.0,5.0,3.0,27.0,18.0,10.0,11.0,21.0,26.0,23.0,30.0,50.0,14.0,36.0,56.0,318.0,66.0,40.0
1109,0.0,1.0,2.0,4.0,3.0,17.0,9.0,24.0,45.0,46.0,8.0,22.0,74.0,33.0,12.0,5.0,6.0,19.0,20.0,34.0,26.0,52.0,127.0,48.0,35.0,14.0,15.0,11.0,25.0,27.0
1158,2.0,0.0,1.0,3.0,5.0,10.0,43.0,28.0,23.0,16.0,15.0,9.0,32.0,31.0,7.0,8.0,12.0,17.0,18.0,48.0,6.0,4.0,115.0,41.0,30.0,13.0,53.0,118.0,19.0,22.0
1207,0.0,2.0,3.0,9.0,1.0,5.0,34.0,37.0,12.0,51.0,13.0,15.0,7.0,10.0,4.0,8.0,60.0,29.0,28.0,19.0,11.0,6.0,78.0,32.0,44.0,90.0,16.0,116.0,21.0,25.0
1256,2.0,0.0,1.0,3.0,6.0,7.0,17.0,13.0,19.0,10.0,30.0,9.0,4.0,8.0,5.0,14.0,234.0,49.0,50.0,27.0,28.0,35.0,34.0,38.0,62.0,361.0,57.0,504.0,45.0,16.0
1305,0.0,1.0,2.0,4.0,3.0,5.0,10.0,9.0,26.0,163.0,18.0,23.0,11.0,19.0,25.0,6.0,24.0,16.0,17.0,59.0,7.0,8.0,14.0,52.0,22.0,30.0,100.0,134.0,53.0,82.0
1354,0.0,2.0,8.0,9.0,3.0,1.0,14.0,44.0,30.0,19.0,12.0,32.0,7.0,16.0,6.0,5.0,24.0,20.0,21.0,23.0,42.0,4.0,73.0,58.0,33.0,35.0,26.0,188.0,31.0,10.0
1403,2.0,0.0,1.0,12.0,3.0,5.0,35.0,9.0,4.0,7.0,10.0,6.0,16.0,15.0,8.0,11.0,43.0,26.0,25.0,21.0,19.0,20.0,83.0,44.0,22.0,108.0,61.0,18.0,14.0,240.0
1452,0.0,1.0,2.0,7.0,3.0,5.0,41.0,11.0,21.0,25.0,10.0,13.0,20.0,16.0,40.0,43.0,14.0,28.0,27.0,15.0,4.0,9.0,54.0,63.0,39.0,18.0,17.0,285.0,38.0,36.0
1501,0.0,2.0,7.0,9.0,3.0,10.0,6.0,8.0,4.0,13.0,15.0,12.0,1.0,21.0,17.0,89.0,14.0,29.0,30.0,41.0,141.0,20.0,5.0,28.0,32.0,19.0,62.0,24.0,67.0,47.0
1550,5.0,0.0,2.0,3.0,46.0,44.0,9.0,1.0,8.0,10.0,14.0,15.0,4.0,6.0,7.0,23.0,28.0,38.0,39.0,17.0,98.0,24.0,27.0,109.0,37.0,51.0,41.0,48.0,253.0,66.0
1599,2.0,0.0,1.0,4.0,3.0,32.0,15.0,5.0,10.0,6.0,26.0,16.0,7.0,14.0,28.0,63.0,8.0,53.0,54.0,11.0,49.0,12.0,13.0,30.0,60.0,9.0,42.0,40.0,107.0,56.0
1648,0.0,1.0,2.0,11.0,12.0,13.0,24.0,4.0,18.0,21.0,10.0,17.0,15.0,16.0,3.0,30.0,5.0,8.0,9.0,26.0,77.0,25.0,19.0,40.0,14.0,7.0,127.0,103.0,96.0,174.0
1697,0.0,1.0,2.0,4.0,5.0,7.0,24.0,9.0,6.0,3.0,16.0,13.0,8.0,11.0,14.0,47.0,12.0,30.0,31.0,23.0,10.0,20.0,62.0,40.0,32.0,19.0,27.0,45.0,77.0,57.0
1746,0.0,1.0,5.0,4.0,12.0,21.0,7.0,3.0,8.0,9.0,14.0,11.0,2.0,20.0,54.0,29.0,25.0,33.0,32.0,6.0,19.0,10.0,15.0,31.0,46.0,38.0,78.0,13.0,92.0,39.0
