,BSPRY,TSTD1,ITGB6,SYTL1,C10orf54,EVPL,ARHGAP27,CASP10,DSG2,ZBED2,ELOVL7,FAM110C,RP11-511B23.3,NUP62CL,GJB4,MAPK8IP1,DYRK3,PDZRN3,ENPP1,TMEM238,ANKRD30B,SPRR2A,DDR2,KRT16P2,VAMP8,GALNT3,ZCCHC24,MLK4,TUBB2A,XXbac-BPG252P9.10
7,2.0,4.0,9.0,0.0,7.0,16.0,1.0,74.0,11989.0,22.0,14.0,16488.0,5255.0,8382.0,16211.0,4723.0,363.0,12491.0,21.0,52.0,135.0,104.0,15.0,332.0,16689.0,166.0,26.0,17523.0,132.0,96.0
56,11.0,70.0,58.0,1.0,3.0,29.0,9.0,13152.0,12009.0,15.0,102.0,16554.0,5253.0,78.0,16219.0,4697.0,17571.0,5.0,35.0,7711.0,11929.0,2.0,20.0,10361.0,16691.0,12836.0,19633.0,17499.0,745.0,16.0
105,2.0,1.0,12838.0,0.0,14.0,11578.0,17.0,13139.0,94.0,19.0,589.0,16535.0,5204.0,28.0,16206.0,4675.0,82.0,21.0,23169.0,8.0,10.0,13.0,15.0,75.0,16677.0,122.0,19661.0,17528.0,262.0,22.0
154,3.0,33.0,15.0,4.0,0.0,11652.0,112.0,97.0,11952.0,10.0,39.0,16489.0,5225.0,40.0,16242.0,4698.0,29.0,7.0,23200.0,71.0,115.0,1.0,16.0,10364.0,54.0,67.0,19634.0,183.0,314.0,2.0
203,5.0,17338.0,10.0,6.0,1.0,3.0,9883.0,13175.0,59.0,4.0,39.0,16492.0,5254.0,63.0,16219.0,353.0,47.0,11.0,53.0,271.0,216.0,0.0,24.0,10388.0,16684.0,12877.0,19638.0,17523.0,605.0,2.0
252,6.0,244.0,12834.0,0.0,1.0,3.0,155.0,14.0,56.0,5.0,51.0,16475.0,23.0,9.0,16204.0,4712.0,81.0,13.0,22212.0,7709.0,65.0,95.0,10.0,276.0,532.0,145.0,19652.0,16.0,20971.0,17.0
301,1.0,17321.0,5.0,10.0,27.0,0.0,9810.0,139.0,17.0,3.0,11.0,63.0,7.0,89.0,16241.0,4703.0,17623.0,31.0,23133.0,7695.0,87.0,119.0,132.0,163.0,16795.0,62.0,19657.0,17465.0,415.0,16.0
350,22.0,17340.0,5.0,4.0,6.0,0.0,9826.0,13169.0,8.0,2.0,14.0,39.0,32.0,99.0,16224.0,96.0,17576.0,12511.0,350.0,7695.0,65.0,165.0,17352.0,10367.0,16694.0,58.0,31.0,17535.0,197.0,22934.0
399,2.0,43.0,1.0,10.0,13.0,0.0,63.0,110.0,79.0,4.0,21842.0,17.0,3.0,87.0,16185.0,12.0,17548.0,12513.0,80.0,7704.0,48.0,15345.0,111.0,10330.0,16663.0,72.0,19583.0,17513.0,32.0,36.0
448,40.0,17.0,3.0,2.0,0.0,1.0,9755.0,58.0,11942.0,174.0,21851.0,64.0,38.0,104.0,16209.0,37.0,138.0,12485.0,23153.0,7755.0,9.0,15374.0,8.0,10356.0,16687.0,12851.0,19644.0,17529.0,270.0,73.0
