,GSTTP1_AMP,CDC73_AMP,SIRPB1_AMP,CERS6_DEL,HLA-DRB6_AMP,GSTTP2_AMP,KIAA0125_AMP,DPP6_DEL,SESTD1_AMP,HERC2P2_AMP,ADAM6_AMP,MYH1_MUT,HLA-DRB1_AMP,NF1P2_AMP,POTEB_AMP,OR51A4_DEL,OR51A2_DEL,USP32P2_DEL,GSTM1_DEL,LPA_AMP,NRXN1_DEL,EP300_MUT,ARHGEF5_AMP,LOC643650_DEL,BTNL3_DEL,APOBEC3A_B_DEL,NAALADL2_DEL,MYO3B_MUT,BMPR2_AMP,FRMPD2P1_AMP
29,7.0,20.0,1.0,5.0,0.0,19.0,2.0,31.0,9.0,24.0,3.0,16.0,4.0,14.0,13.0,65.0,180.0,15.0,56.0,29.0,40.0,35.0,112.0,12.0,41.0,8.0,45.0,189.0,30.0,145.0
78,13.0,17.0,5.0,3.0,2.0,57.0,87.0,10.0,9.0,115.0,68.0,23.0,4.0,129.0,128.0,12.0,69.0,46.0,48.0,14.0,19.0,24.0,70.0,8.0,88.0,71.0,6.0,118.0,28.0,200.0
127,16.0,65.0,0.0,13.0,44.0,17.0,3.0,132.0,1.0,150.0,2.0,9.0,72.0,224.0,223.0,41.0,24.0,10.0,7.0,52.0,58.0,30.0,225.0,22.0,12.0,11.0,5.0,92.0,34.0,535.0
176,13.0,8.0,9.0,5.0,10.0,160.0,17.0,1188.0,1.0,2.0,29.0,4.0,20.0,47.0,46.0,19.0,7.0,33.0,40.0,171.0,165.0,68.0,57.0,61.0,121.0,72.0,14.0,21.0,81.0,1745.0
225,10.0,189.0,0.0,25.0,52.0,64.0,21.0,28.0,110.0,123.0,18.0,42.0,11.0,2.0,1.0,46.0,88.0,5.0,51.0,114.0,13.0,17.0,4443.0,14.0,54.0,312.0,115.0,9.0,3.0,22.0
274,14.0,7.0,5.0,6.0,4.0,73.0,1.0,205.0,0.0,3.0,2.0,13.0,10.0,44.0,43.0,12.0,15.0,169.0,349.0,35.0,831.0,51.0,18.0,67.0,22.0,11.0,9.0,1688.0,28.0,856.0
323,10.0,66.0,3.0,13.0,24.0,2.0,6.0,112.0,0.0,1.0,7.0,9.0,45.0,78.0,79.0,80.0,17.0,47.0,146.0,54.0,41.0,20.0,77.0,42.0,5.0,32.0,4.0,56.0,30.0,211.0
372,13.0,9.0,1.0,2.0,31.0,6.0,4.0,98.0,0.0,95.0,3.0,21.0,80.0,66.0,65.0,51.0,43.0,35.0,19.0,34.0,147.0,17.0,44.0,23.0,7.0,24.0,61.0,63.0,15.0,99.0
421,102.0,61.0,3.0,6.0,14.0,291.0,36.0,78.0,15.0,10.0,55.0,22.0,21.0,153.0,152.0,92.0,39.0,5.0,2223.0,28.0,96.0,16.0,42.0,44.0,4.0,99.0,2.0,104.0,145.0,461.0
470,21.0,45.0,19.0,4.0,27.0,243.0,6.0,17.0,0.0,137.0,8.0,9.0,35.0,132.0,133.0,51.0,5.0,40.0,440.0,115.0,281.0,110.0,42.0,25.0,1.0,77.0,24.0,97.0,23.0,79.0
