,HAEMATOPOIETIC,OESOPHAGUS,THYROID,SOFT_TISSUE,BONE,STOMACH,GANGLIA,AERODIGESTIVE,ENDOMETRIUM,PROSTATE,SALIVARY,LARGE_INTESTINE,PANCREAS,BREAST,LUNG,LIVER,SKIN,URINARY,KIDNEY,OVARY,NERVOUS,PLEURA,BILIARY
43,1.0,0.0,2.0,3.0,4.0,5.0,6.0,8.0,12.0,7.0,9.0,10.0,17.0,11.0,13.0,16.0,14.0,20.0,18.0,15.0,19.0,21.0,22.0
92,0.0,5.0,1.0,2.0,3.0,4.0,6.0,7.0,11.0,8.0,10.0,9.0,12.0,13.0,14.0,20.0,15.0,22.0,21.0,16.0,17.0,18.0,19.0
141,2.0,1.0,3.0,4.0,5.0,0.0,9.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,18.0,22.0,16.0,17.0,19.0,20.0
190,1.0,0.0,6.0,2.0,3.0,4.0,8.0,5.0,10.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
239,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,19.0,22.0,17.0,18.0,20.0,21.0
288,3.0,1.0,4.0,5.0,6.0,0.0,2.0,7.0,9.0,10.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
337,0.0,5.0,1.0,2.0,3.0,4.0,6.0,7.0,10.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
386,1.0,0.0,2.0,3.0,4.0,9.0,5.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,22.0,19.0,16.0,17.0,18.0,20.0,21.0
435,1.0,0.0,7.0,2.0,3.0,4.0,5.0,6.0,11.0,8.0,10.0,9.0,12.0,13.0,14.0,20.0,21.0,17.0,22.0,15.0,16.0,18.0,19.0
484,2.0,0.0,3.0,4.0,1.0,12.0,6.0,7.0,17.0,5.0,8.0,11.0,19.0,18.0,22.0,14.0,21.0,20.0,13.0,15.0,10.0,16.0,9.0
