,hsa-miR-1307,hsa-miR-631,hsa-miR-296-5p,hsa-miR-517b,hsa-miR-205,hsa-miR-302a,hsa-miR-761,hsa-miR-24,hsa-miR-548f,hsa-miR-944,hsa-miR-432,hsa-miR-451,hsa-miR-143,hsa-miR-891a,hsa-miR-370,hsa-miR-604,hsa-miR-520g,ebv-miR-BART22,hsa-miR-1910,hsa-miR-656,hcmv-miR-UL70-5p,hsa-miR-513b,hsa-miR-671-5p,hsa-miR-744,hsa-miR-518b,hsa-miR-766,hsa-miR-320d,hsa-miR-31,hsa-miR-323-5p,hsa-miR-148a
19,12.0,116.0,22.0,29.0,141.0,8.0,148.0,0.0,378.0,350.0,50.0,30.0,100.0,49.0,614.0,65.0,96.0,83.0,105.0,32.0,77.0,512.0,327.0,2.0,48.0,87.0,591.0,61.0,91.0,121.0
68,92.0,74.0,23.0,60.0,30.0,16.0,73.0,1.0,187.0,112.0,100.0,36.0,80.0,66.0,37.0,81.0,544.0,253.0,93.0,104.0,28.0,22.0,146.0,2.0,52.0,75.0,629.0,568.0,131.0,379.0
117,30.0,56.0,23.0,36.0,52.0,19.0,34.0,579.0,212.0,288.0,37.0,18.0,385.0,303.0,59.0,39.0,111.0,340.0,82.0,107.0,121.0,556.0,337.0,29.0,69.0,267.0,626.0,92.0,94.0,378.0
166,54.0,46.0,23.0,84.0,102.0,27.0,109.0,12.0,179.0,45.0,29.0,91.0,75.0,340.0,56.0,196.0,72.0,48.0,41.0,312.0,86.0,135.0,108.0,365.0,80.0,359.0,627.0,40.0,144.0,104.0
215,17.0,61.0,23.0,37.0,91.0,19.0,31.0,591.0,7.0,49.0,66.0,9.0,154.0,134.0,30.0,202.0,27.0,248.0,96.0,89.0,217.0,534.0,271.0,0.0,57.0,92.0,570.0,80.0,81.0,112.0
264,432.0,65.0,56.0,552.0,50.0,133.0,268.0,586.0,199.0,35.0,72.0,29.0,105.0,291.0,155.0,127.0,23.0,136.0,44.0,347.0,10.0,557.0,281.0,144.0,551.0,102.0,596.0,568.0,77.0,96.0
313,32.0,57.0,31.0,104.0,396.0,9.0,26.0,37.0,12.0,143.0,93.0,25.0,83.0,90.0,39.0,75.0,100.0,79.0,103.0,112.0,72.0,130.0,85.0,50.0,61.0,345.0,589.0,56.0,48.0,501.0
362,13.0,47.0,10.0,73.0,12.0,28.0,364.0,1.0,20.0,156.0,70.0,43.0,112.0,105.0,152.0,74.0,36.0,255.0,80.0,139.0,15.0,556.0,127.0,5.0,72.0,52.0,568.0,99.0,170.0,65.0
411,20.0,54.0,33.0,19.0,139.0,24.0,21.0,13.0,61.0,28.0,90.0,3.0,46.0,299.0,74.0,134.0,44.0,14.0,89.0,124.0,91.0,555.0,37.0,40.0,50.0,92.0,0.0,146.0,67.0,101.0
460,6.0,45.0,33.0,41.0,37.0,22.0,55.0,58.0,1.0,269.0,161.0,17.0,121.0,147.0,131.0,29.0,21.0,248.0,28.0,87.0,9.0,559.0,320.0,14.0,2.0,109.0,75.0,113.0,123.0,384.0
509,20.0,24.0,70.0,176.0,31.0,15.0,367.0,40.0,91.0,272.0,54.0,37.0,389.0,34.0,603.0,223.0,103.0,6.0,52.0,115.0,19.0,85.0,96.0,369.0,105.0,113.0,627.0,160.0,38.0,135.0
558,1.0,46.0,42.0,18.0,59.0,56.0,50.0,54.0,191.0,16.0,117.0,101.0,72.0,108.0,100.0,73.0,150.0,89.0,64.0,81.0,32.0,74.0,10.0,359.0,104.0,354.0,51.0,152.0,82.0,382.0
607,18.0,49.0,65.0,12.0,62.0,97.0,40.0,11.0,39.0,31.0,56.0,518.0,131.0,25.0,157.0,58.0,136.0,94.0,80.0,42.0,60.0,85.0,14.0,347.0,552.0,342.0,110.0,23.0,125.0,36.0
656,36.0,38.0,83.0,18.0,14.0,151.0,356.0,68.0,203.0,5.0,520.0,512.0,87.0,55.0,52.0,23.0,20.0,140.0,84.0,107.0,298.0,54.0,82.0,88.0,86.0,75.0,627.0,150.0,139.0,380.0
705,42.0,29.0,39.0,73.0,32.0,88.0,7.0,574.0,219.0,21.0,114.0,510.0,381.0,56.0,83.0,77.0,99.0,161.0,124.0,9.0,40.0,18.0,55.0,353.0,547.0,102.0,622.0,626.0,76.0,375.0
754,3.0,34.0,37.0,9.0,105.0,89.0,129.0,22.0,195.0,107.0,33.0,144.0,57.0,126.0,609.0,170.0,150.0,251.0,47.0,23.0,113.0,8.0,2.0,141.0,553.0,106.0,84.0,571.0,58.0,387.0
