,hsa-miR-196b,hsa-miR-125a-3p,hsa-miR-877,hsa-miR-223,hsa-miR-628-5p,hsa-miR-574-5p,hsa-miR-34c-5p,hsa-miR-199b-5p,hsa-miR-548d-3p,hsa-miR-550,hsa-miR-197,hsa-miR-759,hsa-miR-1286,hsa-miR-453,hsa-miR-641,hsa-miR-891a,hsa-miR-590-5p,hsa-miR-578,hsa-miR-1254,hsa-miR-661,hsa-miR-27b,hsa-miR-140-5p,hsa-miR-551b,hsa-miR-636,hsa-miR-340,hsa-miR-635,hsa-miR-892a,hsa-miR-921,hsa-miR-744,hsa-miR-548a-3p
16,0.0,1.0,14.0,11.0,5.0,12.0,20.0,6.0,4.0,2.0,15.0,24.0,43.0,46.0,17.0,7.0,9.0,33.0,18.0,26.0,10.0,19.0,129.0,25.0,190.0,28.0,35.0,198.0,104.0,27.0
65,1.0,0.0,21.0,2.0,19.0,8.0,10.0,3.0,5.0,15.0,32.0,278.0,63.0,42.0,4.0,25.0,13.0,78.0,14.0,34.0,24.0,7.0,251.0,73.0,23.0,49.0,125.0,233.0,20.0,29.0
114,2.0,0.0,11.0,12.0,4.0,1.0,3.0,8.0,5.0,85.0,6.0,64.0,21.0,25.0,19.0,7.0,24.0,38.0,9.0,39.0,10.0,23.0,34.0,37.0,15.0,17.0,32.0,73.0,46.0,33.0
163,1.0,0.0,8.0,4.0,2.0,5.0,17.0,6.0,36.0,19.0,13.0,91.0,61.0,28.0,18.0,3.0,9.0,157.0,49.0,26.0,7.0,12.0,106.0,16.0,140.0,52.0,30.0,224.0,176.0,14.0
212,0.0,1.0,16.0,15.0,3.0,13.0,38.0,10.0,8.0,14.0,5.0,96.0,6.0,41.0,17.0,4.0,72.0,12.0,30.0,35.0,34.0,9.0,175.0,27.0,85.0,44.0,42.0,106.0,23.0,293.0
261,1.0,0.0,4.0,3.0,2.0,6.0,13.0,5.0,8.0,61.0,9.0,85.0,16.0,11.0,21.0,7.0,14.0,66.0,15.0,26.0,12.0,10.0,18.0,46.0,71.0,54.0,22.0,231.0,48.0,102.0
310,4.0,0.0,1.0,5.0,3.0,53.0,54.0,12.0,112.0,56.0,2.0,36.0,138.0,33.0,55.0,6.0,10.0,43.0,7.0,163.0,46.0,47.0,60.0,11.0,122.0,27.0,9.0,75.0,30.0,68.0
359,0.0,2.0,5.0,11.0,6.0,1.0,36.0,4.0,12.0,23.0,9.0,69.0,17.0,24.0,28.0,3.0,13.0,31.0,10.0,25.0,38.0,7.0,104.0,8.0,55.0,21.0,19.0,140.0,37.0,58.0
408,0.0,1.0,33.0,7.0,8.0,3.0,17.0,23.0,16.0,28.0,5.0,133.0,32.0,134.0,14.0,2.0,11.0,99.0,24.0,22.0,10.0,4.0,69.0,21.0,91.0,25.0,152.0,62.0,9.0,58.0
457,0.0,1.0,17.0,10.0,11.0,51.0,73.0,28.0,30.0,35.0,2.0,56.0,16.0,12.0,68.0,4.0,14.0,138.0,24.0,5.0,96.0,7.0,347.0,32.0,52.0,27.0,18.0,198.0,29.0,82.0
506,0.0,1.0,2.0,5.0,3.0,75.0,42.0,36.0,28.0,8.0,4.0,13.0,30.0,32.0,16.0,29.0,10.0,24.0,56.0,22.0,26.0,61.0,79.0,91.0,6.0,97.0,17.0,14.0,59.0,34.0
555,0.0,1.0,4.0,21.0,2.0,70.0,47.0,10.0,25.0,15.0,22.0,68.0,14.0,35.0,16.0,37.0,49.0,3.0,82.0,20.0,102.0,12.0,159.0,226.0,101.0,23.0,8.0,55.0,9.0,63.0
604,0.0,1.0,2.0,4.0,3.0,50.0,9.0,13.0,107.0,30.0,7.0,6.0,28.0,43.0,27.0,70.0,10.0,36.0,110.0,33.0,18.0,25.0,96.0,154.0,12.0,61.0,23.0,82.0,39.0,20.0
653,1.0,0.0,3.0,5.0,2.0,64.0,11.0,10.0,58.0,37.0,8.0,22.0,108.0,52.0,38.0,33.0,14.0,9.0,29.0,15.0,35.0,84.0,236.0,128.0,7.0,59.0,6.0,18.0,20.0,42.0
702,0.0,1.0,7.0,4.0,3.0,8.0,97.0,6.0,15.0,52.0,5.0,10.0,17.0,28.0,34.0,18.0,14.0,16.0,89.0,38.0,57.0,39.0,43.0,87.0,37.0,35.0,11.0,91.0,13.0,25.0
751,0.0,1.0,3.0,6.0,2.0,44.0,14.0,4.0,16.0,13.0,8.0,24.0,52.0,51.0,27.0,102.0,7.0,11.0,67.0,10.0,31.0,25.0,108.0,76.0,23.0,21.0,17.0,101.0,35.0,48.0
800,0.0,1.0,5.0,2.0,3.0,149.0,21.0,8.0,54.0,42.0,12.0,61.0,30.0,14.0,31.0,63.0,20.0,27.0,28.0,15.0,68.0,36.0,48.0,53.0,9.0,35.0,4.0,66.0,10.0,229.0
849,0.0,1.0,6.0,7.0,3.0,76.0,9.0,2.0,133.0,43.0,15.0,59.0,23.0,25.0,40.0,75.0,13.0,17.0,68.0,70.0,12.0,22.0,166.0,50.0,18.0,30.0,10.0,24.0,21.0,48.0
898,0.0,1.0,9.0,12.0,3.0,167.0,27.0,10.0,21.0,34.0,11.0,14.0,37.0,31.0,51.0,28.0,8.0,17.0,22.0,24.0,26.0,15.0,32.0,103.0,16.0,106.0,5.0,114.0,33.0,18.0
947,0.0,1.0,6.0,4.0,2.0,17.0,22.0,13.0,61.0,15.0,20.0,32.0,60.0,50.0,59.0,52.0,9.0,5.0,37.0,14.0,11.0,49.0,51.0,102.0,7.0,18.0,34.0,92.0,98.0,27.0
996,0.0,1.0,11.0,8.0,14.0,22.0,4.0,51.0,24.0,15.0,18.0,26.0,20.0,21.0,39.0,23.0,57.0,5.0,6.0,87.0,99.0,40.0,29.0,100.0,80.0,10.0,28.0,37.0,115.0,3.0
1045,0.0,1.0,19.0,9.0,5.0,2.0,53.0,20.0,32.0,10.0,26.0,70.0,6.0,3.0,11.0,17.0,54.0,40.0,13.0,107.0,42.0,46.0,84.0,38.0,16.0,14.0,21.0,63.0,75.0,50.0
1094,3.0,0.0,15.0,8.0,26.0,13.0,10.0,9.0,45.0,16.0,5.0,70.0,14.0,2.0,7.0,35.0,31.0,4.0,21.0,85.0,69.0,24.0,32.0,63.0,20.0,19.0,27.0,11.0,81.0,28.0
1143,0.0,1.0,9.0,4.0,20.0,5.0,3.0,33.0,30.0,8.0,21.0,12.0,7.0,17.0,32.0,39.0,22.0,6.0,61.0,197.0,27.0,95.0,14.0,66.0,70.0,11.0,106.0,16.0,75.0,25.0
1192,0.0,3.0,48.0,2.0,13.0,5.0,7.0,12.0,34.0,16.0,35.0,15.0,1.0,6.0,66.0,23.0,187.0,4.0,9.0,152.0,109.0,84.0,39.0,41.0,25.0,38.0,8.0,11.0,144.0,30.0
1241,0.0,1.0,14.0,6.0,11.0,2.0,17.0,72.0,18.0,26.0,16.0,12.0,8.0,21.0,15.0,24.0,29.0,10.0,28.0,60.0,319.0,58.0,4.0,23.0,43.0,9.0,74.0,7.0,37.0,20.0
1290,0.0,1.0,13.0,3.0,17.0,6.0,16.0,9.0,29.0,12.0,15.0,25.0,8.0,26.0,11.0,31.0,114.0,2.0,5.0,128.0,168.0,36.0,10.0,115.0,22.0,14.0,30.0,76.0,21.0,37.0
1339,0.0,1.0,10.0,4.0,17.0,2.0,12.0,43.0,24.0,21.0,3.0,20.0,36.0,15.0,8.0,9.0,56.0,6.0,7.0,95.0,42.0,127.0,62.0,51.0,34.0,18.0,80.0,13.0,40.0,11.0
1388,0.0,1.0,41.0,3.0,20.0,7.0,5.0,14.0,17.0,26.0,38.0,15.0,12.0,8.0,35.0,46.0,106.0,2.0,9.0,74.0,96.0,57.0,89.0,34.0,36.0,4.0,50.0,22.0,65.0,31.0
1437,0.0,1.0,12.0,3.0,19.0,48.0,8.0,33.0,39.0,67.0,25.0,11.0,6.0,4.0,52.0,15.0,82.0,7.0,5.0,109.0,10.0,93.0,40.0,13.0,59.0,20.0,49.0,9.0,77.0,181.0
1486,3.0,0.0,6.0,32.0,2.0,13.0,44.0,37.0,17.0,1.0,50.0,66.0,20.0,10.0,9.0,24.0,147.0,15.0,21.0,11.0,25.0,78.0,4.0,16.0,194.0,47.0,22.0,181.0,8.0,35.0
1535,1.0,0.0,8.0,7.0,3.0,4.0,25.0,9.0,18.0,2.0,97.0,29.0,12.0,13.0,36.0,35.0,47.0,24.0,85.0,30.0,6.0,16.0,14.0,21.0,42.0,54.0,106.0,33.0,10.0,38.0
