,hsa-miR-142-5p,hsa-let-7e,hsa-miR-24,hsa-miR-574-5p,hsa-miR-130a,hsa-miR-21,hsa-miR-663,hsa-miR-135b,hsa-miR-10a,hsa-miR-222,hsa-miR-22,hsa-miR-147b,hsa-miR-31,hsa-miR-216a,hsa-miR-223,hsa-miR-579,hsa-miR-92a,hsa-miR-219-2-3p,hsa-miR-149,hsa-miR-193a-5p,hsa-miR-378,hsa-miR-150,hsa-miR-766,hsa-miR-210,hsa-miR-1302,hsa-miR-29c,hsa-miR-151-3p,hsa-miR-187,hsa-miR-422a,hcmv-miR-US5-1
1145,0.0,1.0,2.0,37.0,3.0,12.0,5.0,13.0,72.0,24.0,34.0,99.0,7.0,4.0,41.0,14.0,95.0,11.0,9.0,255.0,78.0,16.0,156.0,8.0,32.0,6.0,238.0,10.0,67.0,278.0
1194,1.0,0.0,11.0,7.0,5.0,10.0,16.0,19.0,30.0,23.0,2.0,12.0,13.0,6.0,62.0,58.0,15.0,3.0,4.0,267.0,199.0,513.0,57.0,151.0,166.0,40.0,340.0,406.0,392.0,488.0
1243,1.0,0.0,4.0,9.0,7.0,13.0,14.0,3.0,17.0,24.0,12.0,39.0,25.0,2.0,18.0,20.0,23.0,6.0,8.0,49.0,22.0,331.0,32.0,16.0,178.0,5.0,255.0,141.0,116.0,70.0
1292,0.0,1.0,7.0,5.0,2.0,9.0,10.0,15.0,13.0,11.0,8.0,12.0,4.0,131.0,25.0,80.0,21.0,6.0,3.0,22.0,20.0,166.0,23.0,16.0,231.0,36.0,127.0,97.0,75.0,56.0
1341,1.0,0.0,2.0,7.0,14.0,27.0,15.0,6.0,13.0,5.0,9.0,10.0,3.0,105.0,33.0,370.0,63.0,26.0,8.0,12.0,135.0,37.0,19.0,4.0,223.0,29.0,159.0,77.0,67.0,24.0
1390,1.0,0.0,2.0,4.0,5.0,9.0,12.0,17.0,61.0,13.0,3.0,79.0,8.0,30.0,108.0,44.0,24.0,11.0,48.0,19.0,49.0,161.0,118.0,28.0,36.0,6.0,167.0,20.0,25.0,45.0
1439,0.0,1.0,2.0,4.0,10.0,12.0,5.0,118.0,40.0,6.0,15.0,34.0,27.0,9.0,29.0,119.0,3.0,62.0,16.0,24.0,22.0,170.0,66.0,35.0,14.0,46.0,23.0,50.0,168.0,68.0
1488,0.0,1.0,2.0,8.0,5.0,4.0,3.0,28.0,14.0,7.0,15.0,58.0,9.0,6.0,11.0,75.0,91.0,76.0,63.0,83.0,129.0,32.0,107.0,53.0,350.0,102.0,283.0,459.0,96.0,67.0
1537,1.0,0.0,2.0,6.0,16.0,4.0,3.0,5.0,60.0,93.0,11.0,53.0,9.0,41.0,48.0,7.0,26.0,101.0,20.0,137.0,24.0,55.0,10.0,47.0,43.0,242.0,165.0,500.0,84.0,134.0
1586,0.0,2.0,4.0,13.0,1.0,3.0,5.0,10.0,19.0,8.0,15.0,136.0,212.0,40.0,32.0,9.0,24.0,45.0,164.0,17.0,235.0,12.0,6.0,275.0,11.0,55.0,263.0,186.0,509.0,251.0
1635,1.0,0.0,2.0,6.0,5.0,3.0,21.0,23.0,54.0,206.0,4.0,106.0,7.0,136.0,283.0,24.0,49.0,150.0,96.0,16.0,17.0,12.0,14.0,105.0,8.0,141.0,50.0,31.0,13.0,64.0
1684,1.0,2.0,0.0,4.0,7.0,3.0,13.0,8.0,58.0,5.0,6.0,9.0,17.0,24.0,11.0,22.0,38.0,325.0,16.0,15.0,135.0,45.0,23.0,85.0,10.0,28.0,117.0,12.0,37.0,232.0
1733,0.0,1.0,2.0,3.0,4.0,5.0,38.0,17.0,23.0,6.0,44.0,8.0,59.0,20.0,61.0,96.0,28.0,62.0,32.0,27.0,39.0,36.0,7.0,147.0,142.0,134.0,14.0,149.0,114.0,50.0
1782,1.0,0.0,6.0,8.0,7.0,2.0,9.0,4.0,11.0,5.0,23.0,56.0,19.0,3.0,132.0,147.0,20.0,38.0,166.0,16.0,74.0,57.0,22.0,12.0,17.0,18.0,467.0,531.0,280.0,62.0
1831,0.0,1.0,3.0,9.0,4.0,2.0,6.0,10.0,24.0,5.0,20.0,13.0,11.0,231.0,17.0,7.0,34.0,18.0,53.0,73.0,97.0,32.0,21.0,14.0,19.0,180.0,103.0,388.0,23.0,151.0
