,PLEURA,HAEMATOPOIETIC,NERVOUS,LARGE_INTESTINE,OVARY,LIVER,URINARY,LUNG,OESOPHAGUS,PANCREAS,BREAST,STOMACH,SKIN,GANGLIA,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,ENDOMETRIUM,BILIARY
47,0.0,1.0,6.0,3.0,2.0,12.0,4.0,5.0,11.0,7.0,9.0,8.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
96,0.0,2.0,1.0,3.0,4.0,5.0,10.0,6.0,7.0,11.0,8.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
145,0.0,2.0,4.0,3.0,1.0,7.0,5.0,6.0,12.0,8.0,11.0,9.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,0.0,1.0,8.0,2.0,11.0,4.0,6.0,5.0,12.0,10.0,7.0,9.0,3.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
243,16.0,0.0,10.0,3.0,4.0,5.0,2.0,9.0,12.0,7.0,8.0,11.0,6.0,13.0,14.0,15.0,17.0,18.0,1.0,19.0,20.0,21.0,22.0
292,0.0,2.0,4.0,9.0,7.0,12.0,11.0,3.0,10.0,13.0,5.0,6.0,8.0,14.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
341,0.0,1.0,3.0,5.0,2.0,7.0,4.0,8.0,12.0,9.0,11.0,10.0,6.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,0.0,1.0,7.0,4.0,3.0,6.0,2.0,5.0,11.0,10.0,9.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
439,0.0,1.0,5.0,2.0,4.0,3.0,6.0,7.0,10.0,11.0,8.0,12.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
488,0.0,2.0,6.0,3.0,4.0,5.0,9.0,7.0,13.0,11.0,10.0,12.0,8.0,14.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
537,1.0,0.0,4.0,5.0,6.0,7.0,19.0,3.0,2.0,9.0,10.0,20.0,8.0,11.0,12.0,14.0,21.0,15.0,16.0,17.0,18.0,13.0,22.0
586,1.0,0.0,2.0,3.0,4.0,5.0,8.0,9.0,6.0,10.0,11.0,20.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
635,0.0,2.0,6.0,7.0,1.0,12.0,5.0,8.0,4.0,9.0,10.0,3.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
684,0.0,2.0,4.0,5.0,7.0,6.0,1.0,9.0,8.0,11.0,10.0,3.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
733,1.0,0.0,3.0,5.0,2.0,4.0,8.0,7.0,9.0,6.0,11.0,20.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
782,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,9.0,10.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
831,0.0,1.0,4.0,3.0,2.0,8.0,7.0,9.0,5.0,6.0,10.0,20.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
880,0.0,1.0,5.0,2.0,3.0,11.0,7.0,6.0,9.0,10.0,8.0,20.0,4.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
929,1.0,2.0,4.0,3.0,5.0,6.0,8.0,11.0,7.0,10.0,12.0,0.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
978,21.0,0.0,2.0,1.0,3.0,4.0,5.0,6.0,9.0,8.0,7.0,20.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,22.0
1027,15.0,1.0,2.0,3.0,4.0,7.0,8.0,10.0,6.0,11.0,5.0,9.0,0.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1076,0.0,1.0,2.0,3.0,4.0,10.0,7.0,9.0,8.0,11.0,6.0,12.0,5.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1125,21.0,0.0,1.0,7.0,8.0,4.0,20.0,2.0,5.0,9.0,3.0,6.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,22.0
1174,0.0,1.0,2.0,5.0,3.0,6.0,9.0,12.0,7.0,11.0,8.0,10.0,4.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1223,0.0,1.0,3.0,2.0,6.0,5.0,11.0,9.0,4.0,12.0,7.0,8.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1272,15.0,0.0,1.0,2.0,8.0,7.0,5.0,9.0,3.0,10.0,4.0,11.0,6.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1321,0.0,2.0,3.0,6.0,4.0,9.0,10.0,7.0,12.0,8.0,5.0,11.0,1.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,0.0,2.0,4.0,5.0,6.0,10.0,11.0,12.0,8.0,9.0,13.0,3.0,7.0,14.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1419,0.0,1.0,2.0,7.0,5.0,3.0,20.0,9.0,8.0,11.0,4.0,10.0,6.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
