,PROSTATE,OESOPHAGUS,STOMACH,LARGE_INTESTINE,HAEMATOPOIETIC,OVARY,KIDNEY,AERODIGESTIVE,URINARY,THYROID,SALIVARY,ENDOMETRIUM,PLEURA,PANCREAS,LUNG,BILIARY,LIVER,BREAST,SOFT_TISSUE,BONE,SKIN,GANGLIA,NERVOUS
43,0.0,3.0,1.0,8.0,5.0,4.0,6.0,9.0,2.0,7.0,10.0,11.0,12.0,17.0,14.0,13.0,15.0,16.0,18.0,21.0,19.0,22.0,20.0
92,0.0,1.0,6.0,12.0,2.0,8.0,9.0,3.0,7.0,10.0,4.0,11.0,5.0,16.0,22.0,13.0,14.0,15.0,17.0,21.0,18.0,19.0,20.0
141,0.0,1.0,12.0,2.0,9.0,10.0,8.0,3.0,11.0,13.0,6.0,4.0,5.0,20.0,7.0,14.0,19.0,16.0,18.0,15.0,17.0,22.0,21.0
190,0.0,1.0,13.0,8.0,3.0,2.0,9.0,4.0,7.0,10.0,11.0,5.0,6.0,18.0,22.0,12.0,15.0,17.0,16.0,14.0,19.0,21.0,20.0
239,4.0,5.0,13.0,7.0,1.0,0.0,8.0,10.0,6.0,9.0,11.0,2.0,3.0,14.0,18.0,12.0,19.0,16.0,15.0,17.0,20.0,22.0,21.0
288,0.0,7.0,13.0,2.0,9.0,8.0,3.0,5.0,1.0,4.0,6.0,10.0,11.0,20.0,18.0,12.0,19.0,15.0,14.0,17.0,16.0,22.0,21.0
337,4.0,6.0,0.0,8.0,2.0,1.0,7.0,9.0,5.0,13.0,10.0,3.0,11.0,19.0,18.0,12.0,14.0,16.0,15.0,17.0,20.0,21.0,22.0
386,4.0,6.0,0.0,9.0,2.0,1.0,7.0,10.0,5.0,8.0,13.0,3.0,11.0,14.0,18.0,12.0,19.0,15.0,16.0,17.0,20.0,21.0,22.0
435,11.0,4.0,0.0,5.0,1.0,13.0,6.0,8.0,3.0,7.0,9.0,2.0,10.0,14.0,22.0,12.0,16.0,18.0,17.0,15.0,19.0,20.0,21.0
484,0.0,1.0,3.0,5.0,6.0,14.0,7.0,2.0,4.0,8.0,9.0,10.0,12.0,11.0,17.0,13.0,18.0,15.0,19.0,16.0,20.0,21.0,22.0
533,0.0,1.0,12.0,2.0,9.0,10.0,8.0,3.0,11.0,13.0,6.0,4.0,5.0,16.0,7.0,14.0,15.0,20.0,18.0,19.0,17.0,22.0,21.0
582,0.0,6.0,11.0,7.0,10.0,2.0,4.0,1.0,14.0,5.0,12.0,3.0,8.0,16.0,9.0,15.0,13.0,19.0,22.0,17.0,18.0,21.0,20.0
631,0.0,1.0,12.0,2.0,9.0,10.0,8.0,3.0,11.0,13.0,6.0,4.0,5.0,20.0,7.0,14.0,15.0,19.0,18.0,16.0,17.0,22.0,21.0
680,0.0,1.0,12.0,2.0,9.0,10.0,8.0,3.0,11.0,13.0,6.0,4.0,5.0,17.0,7.0,14.0,15.0,16.0,20.0,21.0,19.0,18.0,22.0
729,3.0,0.0,13.0,4.0,1.0,11.0,10.0,5.0,12.0,9.0,7.0,6.0,2.0,19.0,8.0,14.0,15.0,18.0,16.0,17.0,22.0,21.0,20.0
778,4.0,1.0,0.0,5.0,2.0,6.0,7.0,9.0,13.0,8.0,11.0,10.0,3.0,17.0,14.0,12.0,15.0,16.0,19.0,18.0,20.0,22.0,21.0
