,CES1P1_DEL,LCE3C_DEL,TP53_MUT,LCE3B_DEL,HLA-H_DEL,UGT2B17_DEL,FHIT_DEL,SORD_AMP,ZBTB20_AMP,SIRPB1_AMP,GSTTP2_DEL,FFAR3_DEL,GOLPH3_AMP,GSTT1_DEL,LOC391322_DEL,PCCB_DEL,LOC284260_DEL,AMY2A_AMP,RBFOX1_DEL,CADM2_DEL,SFMBT1_AMP,CDH13_DEL,ARSB_DEL,NRXN3_DEL,ME3_DEL,LPA_AMP,GSTTP1_AMP,NRAS_MUT,TTN_MUT,EFHA2_DEL
815,0.0,3.0,2.0,8.0,35.0,11.0,17.0,5.0,1.0,12.0,24.0,6.0,23.0,26.0,27.0,86.0,34.0,30.0,9.0,70.0,20.0,29.0,15.0,59.0,21.0,7.0,94.0,36.0,13.0,68.0
864,0.0,5.0,1.0,8.0,6.0,21.0,7.0,20.0,25.0,2.0,46.0,3.0,27.0,11.0,10.0,42.0,127.0,9.0,26.0,28.0,47.0,39.0,14.0,12.0,18.0,4.0,13.0,36.0,88.0,56.0
913,0.0,3.0,22.0,4.0,8.0,18.0,5.0,50.0,40.0,23.0,56.0,2.0,31.0,63.0,64.0,99.0,17.0,6.0,14.0,7.0,10.0,41.0,15.0,584.0,11.0,1.0,13.0,36.0,66.0,32.0
962,1.0,14.0,0.0,12.0,18.0,6.0,9.0,3.0,5.0,32.0,58.0,33.0,36.0,129.0,128.0,649.0,27.0,28.0,7.0,44.0,8.0,92.0,43.0,48.0,11.0,10.0,25.0,30.0,78.0,26.0
1011,0.0,10.0,98.0,12.0,2.0,15.0,13.0,74.0,21.0,23.0,5.0,1.0,25.0,3.0,4.0,69.0,22.0,105.0,45.0,43.0,29.0,16.0,93.0,26.0,108.0,342.0,52.0,11.0,70.0,14.0
1060,0.0,1.0,12.0,2.0,7.0,3.0,6.0,89.0,166.0,11.0,10.0,51.0,9.0,4.0,5.0,62.0,60.0,272.0,97.0,8.0,18.0,34.0,30.0,40.0,29.0,101.0,55.0,21.0,31.0,26.0
1109,2.0,0.0,336.0,1.0,21.0,8.0,3.0,4.0,11.0,5.0,10.0,12.0,14.0,6.0,7.0,92.0,57.0,117.0,62.0,13.0,17.0,9.0,43.0,40.0,37.0,388.0,82.0,16.0,32.0,27.0
1158,0.0,1.0,42.0,2.0,50.0,7.0,3.0,15.0,92.0,6.0,18.0,4.0,20.0,10.0,11.0,223.0,110.0,133.0,29.0,22.0,41.0,14.0,66.0,28.0,44.0,12.0,31.0,16.0,5.0,94.0
1207,0.0,7.0,84.0,6.0,5.0,12.0,3.0,124.0,30.0,25.0,8.0,11.0,9.0,2.0,1.0,73.0,23.0,139.0,43.0,16.0,17.0,4.0,66.0,19.0,123.0,400.0,89.0,14.0,20.0,51.0
1256,0.0,6.0,62.0,8.0,4.0,3.0,7.0,17.0,12.0,21.0,5.0,11.0,16.0,2.0,1.0,46.0,43.0,75.0,41.0,15.0,18.0,9.0,64.0,32.0,33.0,198.0,84.0,13.0,19.0,58.0
1305,2.0,4.0,699.0,8.0,6.0,30.0,5.0,1294.0,20.0,118.0,3.0,13.0,10.0,1.0,0.0,85.0,48.0,49.0,179.0,18.0,11.0,9.0,170.0,16.0,19.0,31.0,86.0,23.0,106.0,77.0
1354,0.0,8.0,24.0,17.0,36.0,9.0,4.0,66.0,33.0,22.0,3.0,12.0,10.0,1.0,2.0,64.0,23.0,40.0,48.0,14.0,18.0,49.0,63.0,80.0,58.0,67.0,27.0,30.0,25.0,41.0
1403,0.0,3.0,260.0,6.0,13.0,5.0,7.0,11.0,21.0,59.0,4.0,9.0,61.0,1.0,2.0,41.0,34.0,44.0,16.0,92.0,51.0,12.0,115.0,18.0,38.0,86.0,50.0,39.0,17.0,22.0
1452,3.0,14.0,88.0,56.0,0.0,9.0,5.0,4.0,77.0,8.0,7.0,13.0,18.0,1.0,2.0,99.0,39.0,45.0,26.0,22.0,64.0,6.0,119.0,50.0,54.0,124.0,92.0,10.0,31.0,11.0
1501,3.0,2.0,23.0,7.0,0.0,13.0,227.0,4.0,1.0,5.0,9.0,14.0,44.0,25.0,24.0,47.0,10.0,48.0,154.0,34.0,20.0,38.0,11.0,8.0,55.0,12.0,37.0,35.0,6.0,36.0
1550,1.0,0.0,5.0,2.0,27.0,6.0,17.0,73.0,7.0,4.0,43.0,15.0,48.0,618.0,619.0,12.0,18.0,28.0,207.0,11.0,22.0,96.0,36.0,10.0,37.0,3.0,106.0,14.0,21.0,29.0
1599,0.0,1.0,21.0,3.0,38.0,26.0,22.0,2.0,27.0,4.0,10.0,7.0,15.0,13.0,14.0,25.0,30.0,11.0,109.0,6.0,24.0,9.0,205.0,20.0,93.0,5.0,49.0,61.0,8.0,32.0
1648,0.0,1.0,11.0,2.0,333.0,12.0,9.0,29.0,19.0,4.0,31.0,8.0,21.0,28.0,27.0,13.0,6.0,14.0,48.0,22.0,54.0,25.0,20.0,7.0,34.0,3.0,79.0,33.0,5.0,65.0
1697,0.0,2.0,4.0,1.0,40.0,13.0,161.0,23.0,100.0,5.0,11.0,33.0,10.0,18.0,17.0,6.0,3.0,21.0,168.0,54.0,64.0,20.0,102.0,14.0,57.0,22.0,76.0,27.0,15.0,60.0
1746,0.0,1.0,79.0,3.0,6.0,7.0,907.0,10.0,33.0,17.0,16.0,4.0,15.0,18.0,19.0,27.0,5.0,23.0,102.0,9.0,30.0,20.0,12.0,35.0,67.0,24.0,26.0,114.0,2.0,34.0
1795,1.0,0.0,9.0,2.0,12.0,16.0,94.0,17.0,5.0,3.0,26.0,6.0,15.0,37.0,38.0,10.0,4.0,13.0,238.0,7.0,14.0,806.0,20.0,23.0,93.0,8.0,41.0,21.0,11.0,30.0
