,OR51A2_DEL,NAALADL2_DEL,FLNA_MUT,LARGE_DEL,SIGLEC14_DEL,KRT16P2_AMP,DPP6_DEL,HLA-DRB6_AMP,HLA-DRB1_AMP,SIRPB1_AMP,KIAA0125_AMP,MECOM_AMP,SNTG1_DEL,NRXN1_DEL,GSTTP2_AMP,TTTY22_DEL,DEFA3_AMP,UPK3B_AMP,HERC2P2_AMP,AMY2A_DEL,FAM66A_DEL,ADAM6_AMP,TNRC6B_MUT,PAX5_DEL,ARHGEF5_AMP,GSTTP2_DEL,MYEOV_AMP,RNF103-CHMP3_DEL,RMND5A_DEL,TRIM64B_DEL
2430,0.0,11.0,64.0,3.0,34.0,2.0,1.0,505.0,1282.0,12.0,1155.0,4.0,5.0,18.0,13.0,69.0,28.0,142.0,295.0,27.0,8.0,2067.0,44.0,6.0,75.0,686.0,23.0,36.0,37.0,38.0
2479,46.0,41.0,7.0,5.0,4.0,63.0,27.0,0.0,1.0,17.0,66.0,32.0,108.0,10.0,14.0,141.0,45.0,40.0,16.0,22.0,19.0,137.0,30.0,93.0,33.0,9103.0,18.0,2.0,3.0,64.0
2528,21.0,41.0,24.0,26.0,0.0,30.0,20.0,3.0,13.0,9.0,2.0,22.0,113.0,29.0,1.0,40.0,42.0,352.0,105.0,125.0,7.0,4.0,43.0,168.0,245.0,538.0,23.0,5.0,6.0,79.0
2577,5.0,9.0,10.0,12.0,3.0,35.0,0.0,7.0,8.0,25.0,27.0,17.0,50.0,13.0,4.0,83.0,19.0,52.0,16.0,98.0,6.0,34.0,53.0,75.0,24.0,838.0,29.0,2.0,1.0,48.0
2626,136.0,5.0,4.0,116.0,2.0,14.0,12.0,16.0,3.0,353.0,44.0,43.0,9.0,8.0,6.0,56.0,117.0,13.0,45.0,62.0,7.0,88.0,20.0,121.0,701.0,796.0,35.0,0.0,1.0,21.0
2675,31.0,23.0,10.0,14.0,2.0,34.0,11.0,1.0,0.0,30.0,40.0,18.0,111.0,5.0,6.0,57.0,16.0,38.0,74.0,64.0,9.0,93.0,32.0,317.0,42.0,194.0,53.0,4.0,3.0,24.0
2724,13.0,35.0,19.0,26.0,1.0,39.0,21.0,2.0,3.0,18.0,4.0,27.0,34.0,23.0,0.0,66.0,16.0,185.0,31.0,42.0,12.0,8.0,60.0,32.0,24.0,550.0,37.0,9.0,10.0,53.0
2773,21.0,0.0,5.0,24.0,3.0,1593.0,29.0,6.0,9.0,41.0,23.0,13.0,6598.0,135.0,25.0,123.0,12.0,27.0,91.0,306.0,4.0,49.0,22.0,77.0,14.0,2005.0,17.0,8.0,7.0,20.0
2822,40.0,23.0,1.0,5.0,13.0,44.0,46.0,2.0,6.0,19.0,111.0,21.0,20.0,10.0,0.0,119.0,14.0,85.0,8.0,555.0,18.0,305.0,30.0,201.0,16.0,14180.0,60.0,4.0,3.0,32.0
2871,8.0,203.0,7.0,11.0,0.0,32.0,10.0,1.0,4.0,21.0,17.0,142.0,330.0,14.0,6.0,118.0,15.0,120.0,47.0,61.0,19.0,24.0,46.0,380.0,33.0,10242.0,502.0,3.0,2.0,20.0
2920,65.0,7.0,16.0,12.0,1.0,14.0,6.0,0.0,2.0,48.0,34.0,8.0,44.0,22.0,13.0,67.0,15.0,19.0,70.0,54.0,9.0,31.0,35.0,396.0,47.0,413.0,20.0,5.0,4.0,60.0
2969,13.0,1.0,2.0,10.0,56.0,11.0,18.0,3.0,9.0,16.0,21.0,34.0,5.0,4.0,20.0,7.0,52.0,30.0,0.0,22.0,88.0,37.0,23.0,15.0,8.0,237.0,27.0,167.0,168.0,210.0
3018,0.0,10.0,1.0,11.0,28.0,12.0,72.0,412.0,829.0,2.0,19.0,14.0,9.0,27.0,5.0,7.0,41.0,3.0,4.0,8.0,763.0,39.0,24.0,17.0,34.0,43.0,59.0,54.0,55.0,189.0
3067,0.0,26.0,9.0,1.0,5.0,50.0,15.0,23.0,27.0,13.0,14.0,11.0,6.0,12.0,4.0,2.0,39.0,84.0,3.0,76.0,30.0,34.0,38.0,8.0,100.0,215.0,51.0,31.0,32.0,106.0
3116,1.0,0.0,20.0,12.0,23.0,10.0,25.0,36.0,175.0,11.0,39.0,16.0,2.0,26.0,31.0,6.0,41.0,17.0,22.0,19.0,77.0,34.0,33.0,15.0,54.0,4.0,37.0,67.0,68.0,58.0
3165,1.0,10.0,12.0,35.0,16.0,6.0,4.0,34.0,40.0,71.0,5.0,9.0,22.0,21.0,36.0,72.0,99.0,38.0,0.0,13.0,15.0,11.0,20.0,2.0,28.0,43.0,24.0,7.0,8.0,125.0
3214,303.0,4.0,1.0,202.0,45.0,13.0,25.0,283.0,34.0,22.0,94.0,67.0,24.0,86.0,9.0,41.0,253.0,3.0,2.0,36.0,75.0,307.0,8.0,7.0,63.0,54.0,10.0,21.0,20.0,37.0
3263,6.0,1.0,0.0,4.0,47.0,2.0,5.0,175.0,296.0,255.0,19.0,20.0,11.0,30.0,10.0,7.0,27.0,8.0,21.0,12.0,29.0,43.0,35.0,18.0,9.0,14.0,53.0,22.0,23.0,49.0
3312,0.0,5.0,12.0,4.0,50.0,6.0,7.0,21.0,30.0,14.0,24.0,16.0,25.0,17.0,2.0,3.0,60.0,73.0,1.0,29.0,83.0,31.0,81.0,23.0,380.0,327.0,20.0,52.0,53.0,66.0
3361,8.0,36.0,15.0,6.0,87.0,2.0,0.0,104.0,170.0,150.0,39.0,3.0,12.0,35.0,10.0,18.0,52.0,14.0,1.0,5.0,604.0,56.0,42.0,21.0,34.0,46.0,224.0,114.0,115.0,103.0
3410,26.0,0.0,11.0,4.0,3.0,61.0,2.0,17.0,32.0,49.0,18.0,20.0,34.0,55.0,1.0,10.0,29.0,46.0,13.0,59.0,202.0,21.0,165.0,39.0,8.0,395.0,28.0,105.0,104.0,94.0
3459,2.0,0.0,1.0,6.0,3.0,26.0,44.0,8.0,47.0,4.0,13.0,11.0,19.0,29.0,14.0,75.0,21.0,10.0,56.0,36.0,41.0,23.0,34.0,15.0,28.0,7.0,99.0,16.0,17.0,39.0
3508,0.0,1.0,5.0,26.0,8.0,21.0,12.0,19.0,82.0,7.0,4.0,22.0,2.0,15.0,3.0,23.0,20.0,9.0,37.0,490.0,57.0,6.0,68.0,27.0,55.0,203.0,176.0,17.0,16.0,25.0
