,MIR133A2_AMP,SLC17A9_AMP,DIDO1_AMP,EP300_MUT,C20orf151_AMP,NTSR1_AMP,TSSC1_DEL,MIR941-3_AMP,LOC100127888_AMP,POLD3_AMP,FAM65C_AMP,LOC63930_AMP,PMEPA1_AMP,C20orf195_AMP,COL9A3_AMP,GID8_AMP,TMEM123_AMP,FAM92A1P2_DEL,KRAS.G12_13_MUT,PSPC1_DEL,LOC100506384_AMP,FAM74A1_AMP,RNF169_AMP,HAR1B_AMP,HAR1A_AMP,CHRDL2_AMP,CEBPB_AMP,LINC00421_DEL,DLG2_AMP,SLCO4A1_AMP
518,90.0,34.0,17.0,519.0,106.0,27.0,121.0,16767.0,93.0,490.0,1477.0,21643.0,160.0,22998.0,86.0,55.0,425.0,24.0,147.0,195.0,626.0,41.0,722.0,199.0,139.0,13892.0,21.0,450.0,483.0,14.0
567,15439.0,39.0,154.0,16580.0,138.0,12.0,3.0,124.0,1192.0,720.0,17350.0,21947.0,22397.0,235.0,84.0,22037.0,18317.0,196.0,171.0,10646.0,15781.0,608.0,36.0,23894.0,23895.0,431.0,2242.0,308.0,17441.0,12922.0
616,1148.0,21930.0,422.0,4.0,5.0,66.0,125.0,180.0,16822.0,18079.0,107.0,805.0,22503.0,22925.0,3.0,433.0,18329.0,8.0,2.0,254.0,15778.0,17.0,1626.0,0.0,219.0,715.0,18041.0,435.0,16.0,12851.0
665,25.0,0.0,42.0,20.0,10.0,9.0,282.0,242.0,16881.0,18050.0,310.0,21933.0,22502.0,22937.0,30.0,502.0,18315.0,3807.0,24134.0,326.0,175.0,15.0,28.0,22955.0,22956.0,13916.0,89.0,718.0,17430.0,264.0
714,87.0,6.0,13.0,1060.0,16819.0,243.0,15.0,346.0,109.0,193.0,16824.0,140.0,14890.0,106.0,413.0,59.0,50.0,24.0,90.0,274.0,194.0,450.0,84.0,21995.0,21978.0,18052.0,315.0,495.0,17.0,333.0
763,73.0,23.0,17215.0,1489.0,121.0,145.0,25.0,19913.0,67.0,16659.0,297.0,69.0,14943.0,23459.0,11.0,14510.0,252.0,1174.0,399.0,222.0,14196.0,1056.0,1008.0,190.0,688.0,303.0,16560.0,19803.0,0.0,17701.0
812,61.0,43.0,333.0,479.0,32.0,14759.0,2.0,16874.0,16873.0,11.0,17363.0,21719.0,107.0,23045.0,73.0,59.0,18331.0,1227.0,481.0,225.0,0.0,15389.0,13929.0,231.0,22975.0,365.0,17965.0,18583.0,626.0,6.0
861,14442.0,26.0,17792.0,2.0,59.0,14758.0,0.0,16862.0,36.0,20.0,17387.0,1423.0,101.0,23036.0,18216.0,176.0,18365.0,57.0,24134.0,10620.0,98.0,25.0,14157.0,192.0,22963.0,13895.0,11.0,155.0,1400.0,4.0
910,14443.0,2.0,17900.0,79.0,17351.0,145.0,780.0,16868.0,40.0,884.0,914.0,176.0,24.0,22927.0,19.0,50.0,18313.0,2782.0,651.0,115.0,96.0,515.0,13922.0,23427.0,420.0,14015.0,17962.0,18563.0,17.0,15.0
959,62.0,49.0,17946.0,0.0,17371.0,115.0,1532.0,164.0,16825.0,18072.0,17356.0,22002.0,22.0,22967.0,35.0,678.0,230.0,1153.0,93.0,17.0,118.0,15441.0,13950.0,23891.0,8.0,750.0,18100.0,86.0,251.0,237.0
1008,20.0,151.0,28.0,121.0,21.0,327.0,8416.0,5.0,270.0,18083.0,739.0,32.0,205.0,182.0,18231.0,78.0,13.0,244.0,685.0,110.0,15810.0,694.0,14190.0,23893.0,6.0,1751.0,17958.0,102.0,12.0,12853.0
1057,13298.0,22649.0,1.0,563.0,18.0,15442.0,180.0,10.0,4594.0,342.0,522.0,70.0,98.0,6.0,17073.0,394.0,138.0,25.0,1791.0,93.0,326.0,62.0,18415.0,21860.0,8.0,17474.0,1418.0,4.0,16428.0,45.0
