,MIR133A2_AMP,SLC17A9_AMP,DIDO1_AMP,EP300_MUT,C20orf151_AMP,NTSR1_AMP,TSSC1_DEL,MIR941-3_AMP,LOC100127888_AMP,POLD3_AMP,FAM65C_AMP,LOC63930_AMP,PMEPA1_AMP,C20orf195_AMP,COL9A3_AMP,GID8_AMP,TMEM123_AMP,FAM92A1P2_DEL,KRAS.G12_13_MUT,PSPC1_DEL,LOC100506384_AMP,FAM74A1_AMP,RNF169_AMP,HAR1B_AMP,HAR1A_AMP,CHRDL2_AMP,CEBPB_AMP,LINC00421_DEL,DLG2_AMP,SLCO4A1_AMP
4193,14464.0,21944.0,410.0,16542.0,17347.0,14773.0,7.0,35.0,1296.0,205.0,161.0,21716.0,74.0,1860.0,66.0,322.0,18322.0,197.0,18.0,3.0,323.0,581.0,690.0,290.0,2469.0,13996.0,18083.0,9.0,2.0,588.0
4242,14471.0,1292.0,272.0,1602.0,35.0,14754.0,700.0,16797.0,16805.0,104.0,10.0,21714.0,22495.0,140.0,17275.0,355.0,2.0,377.0,97.0,307.0,42.0,240.0,13912.0,22916.0,22939.0,2362.0,166.0,4.0,816.0,323.0
4291,153.0,1.0,106.0,349.0,5.0,226.0,431.0,12.0,16857.0,18063.0,4.0,217.0,80.0,22922.0,203.0,22097.0,2186.0,2188.0,325.0,20.0,25.0,147.0,13914.0,600.0,22949.0,14018.0,62.0,27.0,2281.0,12814.0
4340,103.0,29.0,109.0,133.0,2.0,101.0,203.0,369.0,16856.0,18029.0,5.0,23.0,119.0,23040.0,18241.0,301.0,18303.0,484.0,24134.0,2327.0,15767.0,15388.0,291.0,819.0,22972.0,808.0,75.0,36.0,17414.0,1870.0
4389,163.0,0.0,67.0,1114.0,10.0,14738.0,463.0,23.0,16809.0,17.0,29.0,8.0,106.0,9.0,1.0,22044.0,18353.0,131.0,24134.0,140.0,24.0,79.0,247.0,441.0,68.0,312.0,101.0,19031.0,573.0,156.0
4438,427.0,21957.0,219.0,798.0,58.0,42.0,914.0,1235.0,162.0,239.0,278.0,21950.0,22532.0,23039.0,3.0,31.0,69.0,3781.0,2.0,12.0,59.0,1094.0,25.0,40.0,22972.0,14011.0,88.0,17.0,17415.0,115.0
4487,311.0,21949.0,17900.0,16.0,17357.0,5.0,411.0,93.0,4.0,43.0,17362.0,21832.0,22528.0,7.0,1.0,28.0,18331.0,1321.0,24134.0,11.0,393.0,15398.0,189.0,50.0,22968.0,108.0,14.0,105.0,81.0,9.0
4536,14448.0,21659.0,17857.0,1725.0,311.0,4.0,13.0,15844.0,6.0,17803.0,56.0,141.0,166.0,47.0,3.0,18.0,8.0,2007.0,23.0,171.0,16182.0,158.0,1610.0,23042.0,559.0,252.0,7.0,134.0,17492.0,44.0
4585,57.0,21708.0,536.0,90.0,205.0,70.0,4.0,16775.0,6.0,40.0,22.0,8.0,22462.0,3.0,10.0,1017.0,49.0,3039.0,440.0,28.0,16205.0,15363.0,519.0,321.0,22899.0,13978.0,98.0,149.0,17542.0,11.0
4634,17.0,21709.0,324.0,27.0,17099.0,14770.0,161.0,16796.0,62.0,258.0,475.0,21703.0,22455.0,5.0,1937.0,74.0,18431.0,4192.0,24134.0,116.0,90.0,117.0,746.0,22.0,22909.0,169.0,2318.0,197.0,17550.0,12942.0
4683,47.0,21728.0,17828.0,227.0,17072.0,12.0,104.0,16783.0,3.0,143.0,72.0,1250.0,203.0,0.0,602.0,54.0,18397.0,4196.0,24134.0,542.0,16171.0,15352.0,513.0,90.0,22928.0,191.0,18063.0,15.0,17503.0,16.0
4732,4.0,21732.0,464.0,17.0,17323.0,139.0,259.0,16774.0,11.0,58.0,149.0,21725.0,22457.0,13.0,17737.0,93.0,18297.0,519.0,35.0,268.0,186.0,247.0,141.0,6.0,22924.0,67.0,18055.0,332.0,17557.0,12789.0
4781,12.0,21722.0,297.0,65.0,368.0,514.0,96.0,16805.0,23.0,69.0,63.0,29.0,89.0,84.0,17258.0,22138.0,18446.0,110.0,24134.0,1217.0,16214.0,14435.0,102.0,2131.0,22920.0,5.0,19.0,19030.0,17544.0,117.0
4830,48.0,1254.0,327.0,2.0,17090.0,111.0,438.0,58.0,73.0,8.0,17095.0,59.0,130.0,46.0,80.0,38.0,102.0,3987.0,322.0,10338.0,716.0,15.0,53.0,22930.0,218.0,13997.0,18091.0,977.0,177.0,36.0
4879,86.0,21710.0,140.0,2.0,17079.0,36.0,4.0,16797.0,379.0,612.0,17082.0,5.0,80.0,95.0,17265.0,55.0,18419.0,59.0,24134.0,15.0,16217.0,1351.0,0.0,22892.0,41.0,14.0,181.0,19049.0,17518.0,12905.0
