,PKC-alpha,Gab2,XBP1,c-Jun_pS73,RAD51,AMPK_alpha,p70S6K_pT389,4E-BP1_pS65,Bax,Rictor_pT1135,Caspase-7_cleavedD198,TFRC,HSP70,GSK-3-BETA,PKC-delta_pS664,JNK2,Smac,GSK3_pS9,YB-1_pS102,CDK1,N-Cadherin,MSH6,ADAR1,GAPDH,Paxillin,GSK3-alpha-beta,PDCD4,Beclin,beta-Catenin,c-Kit
0,3.0,0.0,5.0,31.0,1.0,7.0,11.0,21.0,8.0,10.0,4.0,17.0,115.0,12.0,30.0,32.0,69.0,61.0,108.0,19.0,46.0,28.0,39.0,26.0,13.0,62.0,125.0,47.0,70.0,42.0
49,2.0,0.0,16.0,8.0,4.0,1.0,6.0,15.0,19.0,10.0,3.0,12.0,5.0,24.0,49.0,33.0,138.0,80.0,28.0,27.0,9.0,53.0,124.0,21.0,155.0,63.0,29.0,22.0,37.0,14.0
98,6.0,1.0,8.0,3.0,0.0,10.0,2.0,15.0,69.0,5.0,26.0,52.0,39.0,30.0,19.0,41.0,12.0,108.0,47.0,17.0,4.0,14.0,121.0,38.0,31.0,46.0,97.0,25.0,68.0,66.0
147,7.0,0.0,2.0,11.0,6.0,1.0,8.0,5.0,44.0,12.0,3.0,4.0,10.0,47.0,17.0,16.0,53.0,118.0,30.0,85.0,35.0,15.0,60.0,25.0,50.0,125.0,59.0,14.0,32.0,86.0
196,5.0,2.0,1.0,9.0,12.0,3.0,0.0,10.0,30.0,16.0,6.0,7.0,42.0,83.0,32.0,21.0,49.0,158.0,79.0,90.0,23.0,15.0,66.0,43.0,38.0,20.0,25.0,45.0,4.0,17.0
245,9.0,3.0,4.0,11.0,10.0,2.0,0.0,7.0,17.0,6.0,15.0,1.0,24.0,137.0,45.0,8.0,38.0,46.0,71.0,5.0,56.0,156.0,60.0,67.0,13.0,119.0,50.0,12.0,134.0,41.0
294,7.0,1.0,0.0,3.0,4.0,8.0,5.0,6.0,28.0,11.0,49.0,56.0,10.0,29.0,41.0,117.0,48.0,12.0,96.0,34.0,15.0,53.0,109.0,2.0,9.0,23.0,63.0,149.0,52.0,71.0
343,1.0,3.0,0.0,12.0,9.0,23.0,2.0,4.0,21.0,5.0,10.0,8.0,16.0,110.0,13.0,15.0,49.0,58.0,38.0,6.0,30.0,7.0,160.0,20.0,14.0,48.0,159.0,54.0,52.0,28.0
392,9.0,0.0,1.0,45.0,15.0,2.0,3.0,5.0,41.0,20.0,7.0,6.0,17.0,64.0,27.0,144.0,10.0,12.0,38.0,82.0,14.0,40.0,120.0,18.0,4.0,42.0,37.0,52.0,56.0,83.0
441,3.0,1.0,0.0,4.0,7.0,9.0,2.0,46.0,48.0,16.0,6.0,20.0,53.0,11.0,5.0,10.0,25.0,8.0,55.0,79.0,12.0,43.0,154.0,36.0,45.0,119.0,26.0,116.0,84.0,24.0
