,GABA,inositol,glutamine,C34:4 PC,DHAP/glyceraldehyde 3P,beta-alanine,guanosine,N-carbamoyl-beta-alanine,niacinamide,alpha-glycerophosphocholine,UMP,adenosine,serine,valerylcarnitine,C18:0 LPE,3-phosphoglycerate,C36:4 PC-B,1-methylnicotinamide,carnitine,acetylcholine,C16:0 LPE,C34:2 DAG,butyrylcarnitine/isobutyrylcarnitine,C18:0 LPC,C22:6 LPC,C22:6 LPE,SDMA/ADMA,C22:6 CE,putrescine,cytidine
24,0.0,2.0,15.0,1.0,5.0,14.0,4.0,7.0,17.0,10.0,12.0,6.0,3.0,27.0,21.0,32.0,20.0,9.0,26.0,13.0,22.0,19.0,51.0,24.0,52.0,56.0,28.0,48.0,25.0,8.0
73,0.0,1.0,10.0,2.0,36.0,4.0,13.0,5.0,17.0,11.0,44.0,14.0,3.0,22.0,26.0,19.0,8.0,20.0,30.0,16.0,25.0,7.0,54.0,53.0,24.0,50.0,15.0,28.0,21.0,6.0
122,0.0,1.0,6.0,2.0,3.0,4.0,11.0,8.0,20.0,15.0,44.0,16.0,7.0,23.0,26.0,21.0,13.0,12.0,22.0,9.0,25.0,18.0,52.0,30.0,24.0,27.0,49.0,17.0,29.0,5.0
171,0.0,2.0,10.0,1.0,9.0,6.0,5.0,4.0,16.0,17.0,13.0,21.0,3.0,28.0,32.0,33.0,7.0,25.0,27.0,18.0,11.0,24.0,56.0,31.0,15.0,30.0,41.0,20.0,26.0,8.0
220,2.0,0.0,5.0,1.0,6.0,4.0,10.0,3.0,19.0,16.0,13.0,18.0,11.0,23.0,9.0,21.0,8.0,15.0,22.0,12.0,27.0,29.0,56.0,25.0,26.0,28.0,33.0,31.0,32.0,7.0
269,0.0,1.0,45.0,2.0,7.0,14.0,6.0,3.0,17.0,11.0,41.0,19.0,4.0,22.0,16.0,20.0,9.0,13.0,21.0,10.0,26.0,5.0,50.0,24.0,25.0,49.0,18.0,28.0,51.0,35.0
318,1.0,0.0,3.0,2.0,7.0,5.0,40.0,8.0,16.0,13.0,9.0,12.0,4.0,29.0,23.0,17.0,6.0,10.0,28.0,14.0,22.0,25.0,51.0,20.0,21.0,24.0,49.0,27.0,46.0,37.0
367,0.0,2.0,9.0,1.0,10.0,8.0,6.0,4.0,20.0,13.0,43.0,11.0,5.0,24.0,27.0,34.0,17.0,14.0,22.0,18.0,26.0,28.0,23.0,50.0,25.0,54.0,33.0,31.0,32.0,7.0
416,0.0,3.0,9.0,1.0,15.0,5.0,4.0,2.0,50.0,19.0,11.0,21.0,6.0,29.0,7.0,33.0,14.0,13.0,28.0,10.0,25.0,8.0,51.0,30.0,31.0,26.0,41.0,20.0,27.0,18.0
465,2.0,1.0,3.0,0.0,39.0,7.0,9.0,4.0,16.0,5.0,46.0,14.0,8.0,22.0,20.0,29.0,17.0,28.0,21.0,10.0,27.0,11.0,49.0,25.0,26.0,24.0,50.0,15.0,19.0,6.0
514,38.0,0.0,3.0,4.0,2.0,1.0,5.0,10.0,25.0,20.0,35.0,17.0,15.0,6.0,12.0,21.0,26.0,9.0,30.0,18.0,8.0,27.0,22.0,24.0,31.0,14.0,51.0,29.0,52.0,42.0
563,5.0,1.0,2.0,0.0,4.0,20.0,7.0,47.0,3.0,18.0,10.0,9.0,45.0,14.0,6.0,15.0,26.0,19.0,28.0,54.0,24.0,13.0,21.0,23.0,49.0,25.0,17.0,46.0,60.0,11.0
612,1.0,0.0,4.0,8.0,6.0,20.0,2.0,11.0,10.0,7.0,46.0,12.0,41.0,3.0,9.0,13.0,25.0,17.0,28.0,54.0,23.0,26.0,19.0,21.0,22.0,24.0,15.0,27.0,57.0,5.0
661,6.0,2.0,4.0,1.0,11.0,12.0,3.0,25.0,9.0,22.0,13.0,21.0,35.0,0.0,10.0,30.0,23.0,8.0,18.0,45.0,16.0,24.0,17.0,28.0,15.0,19.0,26.0,49.0,53.0,5.0
710,4.0,0.0,2.0,6.0,7.0,5.0,1.0,12.0,14.0,18.0,36.0,13.0,47.0,3.0,23.0,20.0,25.0,17.0,19.0,53.0,10.0,26.0,30.0,31.0,22.0,24.0,16.0,29.0,50.0,11.0
759,1.0,2.0,3.0,0.0,5.0,12.0,7.0,15.0,10.0,13.0,6.0,9.0,45.0,8.0,4.0,32.0,14.0,22.0,21.0,17.0,28.0,23.0,24.0,53.0,27.0,30.0,25.0,16.0,58.0,11.0
808,2.0,1.0,3.0,4.0,5.0,6.0,0.0,15.0,8.0,9.0,41.0,12.0,46.0,11.0,22.0,17.0,23.0,10.0,28.0,16.0,21.0,24.0,19.0,61.0,20.0,50.0,48.0,27.0,62.0,7.0
857,0.0,1.0,2.0,4.0,6.0,5.0,7.0,14.0,11.0,10.0,43.0,13.0,47.0,3.0,9.0,19.0,27.0,52.0,20.0,15.0,25.0,28.0,21.0,23.0,24.0,26.0,16.0,50.0,29.0,8.0
906,0.0,4.0,1.0,6.0,8.0,11.0,3.0,13.0,5.0,17.0,41.0,19.0,12.0,2.0,10.0,14.0,26.0,21.0,18.0,27.0,24.0,9.0,22.0,48.0,49.0,25.0,16.0,52.0,53.0,7.0
955,1.0,0.0,6.0,25.0,7.0,10.0,3.0,14.0,5.0,17.0,40.0,9.0,44.0,8.0,2.0,30.0,29.0,49.0,23.0,18.0,13.0,19.0,24.0,27.0,28.0,22.0,26.0,50.0,51.0,4.0
1004,1.0,0.0,5.0,8.0,15.0,2.0,17.0,4.0,26.0,9.0,10.0,22.0,7.0,3.0,31.0,23.0,6.0,11.0,34.0,20.0,14.0,19.0,27.0,29.0,30.0,32.0,37.0,56.0,25.0,36.0
1053,1.0,0.0,44.0,14.0,39.0,2.0,36.0,15.0,8.0,3.0,4.0,7.0,42.0,13.0,12.0,18.0,11.0,6.0,21.0,16.0,10.0,26.0,19.0,23.0,24.0,25.0,17.0,47.0,20.0,9.0
