,GABA,inositol,glutamine,C34:4 PC,DHAP/glyceraldehyde 3P,beta-alanine,guanosine,N-carbamoyl-beta-alanine,niacinamide,alpha-glycerophosphocholine,UMP,adenosine,serine,valerylcarnitine,C18:0 LPE,3-phosphoglycerate,C36:4 PC-B,1-methylnicotinamide,carnitine,acetylcholine,C16:0 LPE,C34:2 DAG,butyrylcarnitine/isobutyrylcarnitine,C18:0 LPC,C22:6 LPC,C22:6 LPE,SDMA/ADMA,C22:6 CE,putrescine,cytidine
1102,4.0,1.0,45.0,15.0,7.0,0.0,13.0,12.0,19.0,2.0,35.0,29.0,5.0,3.0,6.0,18.0,14.0,24.0,23.0,30.0,8.0,16.0,33.0,17.0,28.0,21.0,38.0,55.0,52.0,22.0
1151,3.0,0.0,44.0,10.0,7.0,15.0,12.0,1.0,6.0,5.0,18.0,16.0,48.0,2.0,13.0,31.0,8.0,23.0,20.0,29.0,40.0,9.0,42.0,30.0,24.0,19.0,21.0,36.0,22.0,35.0
1200,1.0,0.0,11.0,2.0,5.0,4.0,3.0,14.0,10.0,9.0,6.0,12.0,15.0,8.0,23.0,19.0,25.0,13.0,20.0,17.0,22.0,7.0,30.0,48.0,52.0,24.0,21.0,28.0,51.0,36.0
1249,1.0,5.0,7.0,12.0,14.0,0.0,2.0,6.0,17.0,10.0,4.0,21.0,3.0,9.0,8.0,32.0,22.0,16.0,25.0,52.0,18.0,27.0,23.0,28.0,29.0,30.0,26.0,20.0,24.0,15.0
1298,3.0,0.0,7.0,12.0,10.0,2.0,35.0,5.0,9.0,13.0,8.0,21.0,1.0,4.0,24.0,29.0,14.0,11.0,18.0,55.0,23.0,26.0,17.0,19.0,22.0,25.0,28.0,27.0,51.0,38.0
1347,5.0,1.0,45.0,4.0,9.0,0.0,6.0,2.0,13.0,16.0,35.0,10.0,3.0,8.0,7.0,20.0,28.0,19.0,21.0,14.0,26.0,29.0,22.0,24.0,25.0,27.0,33.0,12.0,32.0,38.0
1396,0.0,1.0,46.0,4.0,5.0,6.0,50.0,15.0,10.0,7.0,8.0,21.0,3.0,2.0,25.0,13.0,11.0,32.0,27.0,18.0,9.0,23.0,56.0,28.0,16.0,22.0,29.0,17.0,26.0,39.0
1445,2.0,0.0,44.0,1.0,5.0,7.0,11.0,17.0,12.0,9.0,10.0,15.0,46.0,3.0,4.0,19.0,26.0,28.0,20.0,14.0,24.0,6.0,52.0,22.0,23.0,25.0,16.0,27.0,58.0,13.0
1494,0.0,3.0,5.0,1.0,4.0,7.0,2.0,8.0,17.0,15.0,38.0,14.0,41.0,21.0,13.0,20.0,25.0,18.0,29.0,57.0,12.0,26.0,58.0,22.0,30.0,24.0,23.0,28.0,19.0,6.0
1543,1.0,0.0,4.0,2.0,8.0,12.0,11.0,16.0,13.0,5.0,10.0,3.0,9.0,7.0,29.0,28.0,14.0,45.0,26.0,50.0,20.0,43.0,27.0,25.0,22.0,49.0,23.0,40.0,47.0,6.0
1592,2.0,0.0,8.0,7.0,5.0,1.0,3.0,9.0,18.0,20.0,4.0,14.0,13.0,22.0,29.0,32.0,11.0,21.0,23.0,58.0,15.0,25.0,24.0,6.0,28.0,30.0,27.0,17.0,31.0,42.0
1641,2.0,0.0,42.0,7.0,6.0,4.0,1.0,8.0,20.0,5.0,46.0,15.0,40.0,14.0,13.0,30.0,29.0,17.0,11.0,59.0,16.0,21.0,26.0,9.0,23.0,25.0,28.0,19.0,24.0,37.0
1690,1.0,0.0,16.0,2.0,3.0,5.0,4.0,7.0,19.0,20.0,14.0,6.0,11.0,17.0,23.0,32.0,9.0,26.0,28.0,52.0,10.0,49.0,29.0,12.0,24.0,22.0,30.0,13.0,27.0,8.0
1739,0.0,1.0,9.0,8.0,6.0,3.0,5.0,2.0,18.0,12.0,11.0,4.0,15.0,25.0,28.0,21.0,13.0,32.0,23.0,19.0,27.0,30.0,24.0,26.0,49.0,29.0,33.0,7.0,22.0,10.0
1788,0.0,2.0,5.0,4.0,11.0,3.0,1.0,7.0,10.0,12.0,15.0,19.0,13.0,25.0,16.0,21.0,29.0,32.0,23.0,52.0,6.0,30.0,24.0,26.0,27.0,28.0,33.0,31.0,22.0,39.0
1837,0.0,1.0,5.0,2.0,8.0,4.0,6.0,3.0,17.0,15.0,41.0,11.0,9.0,24.0,28.0,31.0,18.0,16.0,22.0,60.0,13.0,25.0,23.0,7.0,27.0,29.0,26.0,19.0,54.0,42.0
1886,8.0,0.0,16.0,4.0,12.0,3.0,2.0,7.0,19.0,5.0,1.0,11.0,10.0,30.0,23.0,47.0,6.0,49.0,28.0,20.0,25.0,36.0,29.0,9.0,31.0,40.0,33.0,24.0,27.0,34.0
1935,1.0,0.0,5.0,7.0,4.0,6.0,9.0,2.0,15.0,13.0,3.0,16.0,8.0,26.0,29.0,32.0,11.0,31.0,21.0,61.0,10.0,23.0,24.0,28.0,47.0,30.0,25.0,17.0,22.0,39.0
1984,3.0,0.0,2.0,5.0,6.0,11.0,9.0,1.0,10.0,20.0,42.0,22.0,7.0,4.0,8.0,30.0,15.0,29.0,24.0,21.0,16.0,19.0,25.0,27.0,28.0,12.0,26.0,17.0,23.0,35.0
2033,3.0,0.0,2.0,10.0,11.0,14.0,15.0,1.0,29.0,28.0,13.0,26.0,7.0,4.0,16.0,32.0,25.0,17.0,22.0,57.0,6.0,27.0,21.0,18.0,24.0,20.0,31.0,30.0,23.0,37.0
2082,0.0,4.0,2.0,5.0,3.0,6.0,37.0,1.0,28.0,21.0,43.0,11.0,8.0,10.0,20.0,29.0,17.0,24.0,7.0,55.0,22.0,16.0,27.0,46.0,47.0,18.0,19.0,14.0,25.0,35.0
2131,0.0,1.0,3.0,5.0,7.0,11.0,2.0,4.0,18.0,9.0,35.0,24.0,6.0,29.0,14.0,12.0,31.0,15.0,27.0,21.0,25.0,22.0,28.0,32.0,23.0,30.0,16.0,17.0,26.0,41.0
2180,1.0,0.0,4.0,5.0,37.0,2.0,7.0,3.0,19.0,15.0,13.0,18.0,46.0,6.0,25.0,20.0,27.0,9.0,21.0,16.0,24.0,12.0,51.0,22.0,23.0,26.0,17.0,28.0,29.0,35.0
2229,0.0,1.0,2.0,5.0,16.0,8.0,3.0,4.0,19.0,20.0,42.0,18.0,7.0,9.0,12.0,21.0,27.0,11.0,22.0,17.0,25.0,28.0,52.0,23.0,32.0,26.0,24.0,10.0,31.0,13.0
2278,0.0,1.0,2.0,3.0,6.0,9.0,13.0,4.0,18.0,12.0,11.0,14.0,5.0,8.0,26.0,20.0,28.0,10.0,32.0,51.0,25.0,29.0,21.0,23.0,24.0,27.0,33.0,31.0,19.0,15.0
2327,4.0,0.0,1.0,2.0,36.0,7.0,8.0,3.0,15.0,12.0,9.0,14.0,10.0,5.0,24.0,31.0,26.0,11.0,19.0,17.0,23.0,27.0,18.0,21.0,22.0,25.0,16.0,28.0,29.0,35.0
2376,2.0,0.0,6.0,12.0,3.0,16.0,5.0,1.0,21.0,23.0,15.0,10.0,8.0,13.0,14.0,31.0,20.0,11.0,27.0,24.0,30.0,19.0,28.0,25.0,47.0,22.0,29.0,18.0,26.0,41.0
2425,0.0,1.0,4.0,5.0,2.0,8.0,37.0,3.0,16.0,12.0,14.0,15.0,11.0,7.0,24.0,19.0,26.0,10.0,20.0,52.0,23.0,27.0,30.0,22.0,54.0,25.0,21.0,6.0,29.0,35.0
2474,4.0,0.0,3.0,8.0,5.0,19.0,1.0,11.0,12.0,2.0,37.0,15.0,43.0,18.0,22.0,17.0,24.0,50.0,27.0,56.0,21.0,25.0,48.0,28.0,20.0,23.0,13.0,7.0,57.0,6.0
2523,4.0,1.0,9.0,2.0,3.0,8.0,0.0,20.0,18.0,5.0,15.0,17.0,11.0,24.0,27.0,21.0,29.0,52.0,22.0,50.0,26.0,30.0,23.0,10.0,25.0,28.0,33.0,6.0,32.0,14.0
2572,0.0,3.0,12.0,2.0,47.0,10.0,1.0,7.0,13.0,4.0,6.0,17.0,44.0,19.0,24.0,14.0,26.0,15.0,29.0,55.0,23.0,27.0,20.0,21.0,22.0,25.0,16.0,9.0,18.0,42.0
2621,0.0,2.0,1.0,7.0,11.0,5.0,4.0,33.0,20.0,19.0,3.0,9.0,42.0,22.0,27.0,21.0,29.0,18.0,16.0,52.0,26.0,30.0,32.0,24.0,25.0,28.0,44.0,13.0,54.0,6.0
2670,0.0,1.0,4.0,2.0,7.0,20.0,3.0,12.0,17.0,5.0,37.0,13.0,43.0,30.0,24.0,19.0,26.0,55.0,16.0,60.0,23.0,27.0,18.0,21.0,31.0,25.0,22.0,29.0,15.0,11.0
2719,1.0,0.0,3.0,4.0,5.0,21.0,2.0,13.0,9.0,7.0,39.0,8.0,46.0,30.0,25.0,19.0,27.0,48.0,14.0,15.0,24.0,11.0,18.0,31.0,23.0,26.0,22.0,29.0,17.0,6.0
2768,0.0,1.0,3.0,2.0,6.0,20.0,4.0,16.0,12.0,5.0,9.0,13.0,41.0,19.0,23.0,30.0,25.0,15.0,28.0,58.0,22.0,10.0,47.0,18.0,21.0,24.0,14.0,27.0,17.0,8.0
2817,1.0,0.0,7.0,3.0,6.0,8.0,2.0,18.0,14.0,10.0,42.0,17.0,16.0,23.0,11.0,20.0,27.0,56.0,49.0,59.0,26.0,5.0,22.0,4.0,25.0,13.0,24.0,9.0,21.0,36.0
2866,0.0,2.0,9.0,6.0,1.0,8.0,5.0,15.0,3.0,13.0,7.0,14.0,43.0,23.0,27.0,21.0,29.0,57.0,32.0,53.0,26.0,30.0,22.0,24.0,25.0,28.0,33.0,11.0,51.0,4.0
2915,0.0,2.0,4.0,3.0,38.0,12.0,1.0,14.0,19.0,11.0,6.0,20.0,34.0,23.0,28.0,29.0,27.0,46.0,50.0,52.0,9.0,24.0,22.0,10.0,26.0,15.0,18.0,16.0,48.0,13.0
2964,1.0,0.0,9.0,6.0,3.0,5.0,10.0,16.0,4.0,13.0,12.0,21.0,46.0,15.0,8.0,30.0,7.0,18.0,14.0,51.0,24.0,27.0,29.0,59.0,23.0,26.0,25.0,28.0,57.0,36.0
3013,3.0,0.0,9.0,14.0,2.0,4.0,5.0,13.0,17.0,19.0,1.0,7.0,11.0,29.0,24.0,33.0,15.0,25.0,27.0,20.0,30.0,51.0,28.0,32.0,16.0,23.0,48.0,18.0,26.0,46.0
3062,2.0,0.0,1.0,14.0,6.0,12.0,13.0,3.0,19.0,11.0,4.0,15.0,7.0,32.0,5.0,34.0,29.0,17.0,30.0,22.0,21.0,52.0,18.0,24.0,23.0,20.0,36.0,16.0,49.0,40.0
3111,1.0,0.0,9.0,15.0,12.0,6.0,16.0,2.0,3.0,14.0,4.0,20.0,10.0,26.0,5.0,7.0,13.0,23.0,24.0,54.0,30.0,21.0,25.0,28.0,29.0,31.0,33.0,17.0,22.0,44.0
3160,1.0,0.0,11.0,3.0,4.0,28.0,6.0,17.0,9.0,13.0,19.0,5.0,7.0,27.0,18.0,8.0,16.0,10.0,26.0,20.0,31.0,33.0,35.0,29.0,30.0,52.0,38.0,12.0,47.0,25.0
3209,1.0,0.0,12.0,3.0,7.0,6.0,15.0,4.0,10.0,8.0,9.0,20.0,46.0,27.0,5.0,33.0,14.0,22.0,25.0,18.0,31.0,28.0,26.0,29.0,30.0,23.0,38.0,16.0,24.0,43.0
3258,2.0,0.0,3.0,22.0,1.0,4.0,8.0,13.0,30.0,17.0,11.0,5.0,44.0,34.0,14.0,6.0,21.0,26.0,28.0,19.0,33.0,18.0,29.0,23.0,31.0,56.0,41.0,12.0,27.0,42.0
3307,1.0,0.0,12.0,2.0,7.0,5.0,49.0,11.0,9.0,15.0,14.0,20.0,16.0,3.0,13.0,4.0,31.0,23.0,25.0,56.0,35.0,29.0,26.0,33.0,34.0,36.0,48.0,19.0,24.0,47.0
3356,0.0,1.0,4.0,15.0,9.0,25.0,12.0,10.0,7.0,14.0,5.0,3.0,43.0,8.0,13.0,6.0,30.0,20.0,22.0,57.0,28.0,31.0,23.0,26.0,27.0,29.0,36.0,32.0,21.0,42.0
3405,1.0,0.0,4.0,5.0,13.0,8.0,7.0,3.0,11.0,15.0,2.0,6.0,46.0,24.0,9.0,19.0,10.0,20.0,22.0,16.0,53.0,26.0,23.0,60.0,25.0,48.0,17.0,28.0,30.0,35.0
3454,0.0,2.0,45.0,7.0,6.0,1.0,8.0,11.0,4.0,13.0,14.0,10.0,5.0,12.0,23.0,19.0,25.0,50.0,20.0,15.0,9.0,26.0,30.0,21.0,22.0,24.0,17.0,28.0,29.0,38.0
3503,0.0,1.0,12.0,3.0,4.0,2.0,13.0,17.0,9.0,15.0,10.0,7.0,8.0,6.0,31.0,32.0,22.0,24.0,25.0,49.0,14.0,20.0,26.0,29.0,30.0,28.0,16.0,18.0,57.0,38.0
3552,0.0,3.0,7.0,8.0,9.0,6.0,5.0,26.0,21.0,22.0,2.0,4.0,1.0,24.0,12.0,47.0,40.0,46.0,18.0,23.0,42.0,11.0,25.0,13.0,28.0,41.0,20.0,10.0,17.0,32.0
3601,3.0,2.0,13.0,6.0,9.0,0.0,1.0,19.0,5.0,22.0,10.0,11.0,4.0,12.0,14.0,32.0,21.0,24.0,25.0,31.0,7.0,20.0,26.0,30.0,17.0,29.0,27.0,18.0,47.0,16.0
3650,0.0,3.0,12.0,20.0,2.0,1.0,7.0,24.0,8.0,21.0,10.0,5.0,4.0,6.0,15.0,30.0,22.0,19.0,18.0,54.0,14.0,23.0,17.0,50.0,28.0,16.0,26.0,27.0,48.0,9.0
3699,0.0,1.0,43.0,12.0,3.0,7.0,9.0,4.0,5.0,14.0,6.0,10.0,11.0,2.0,13.0,30.0,24.0,21.0,22.0,49.0,28.0,20.0,23.0,26.0,27.0,15.0,17.0,16.0,50.0,40.0
3748,0.0,2.0,10.0,18.0,5.0,3.0,1.0,8.0,9.0,19.0,11.0,12.0,4.0,27.0,22.0,32.0,17.0,24.0,25.0,51.0,14.0,16.0,26.0,30.0,23.0,20.0,49.0,15.0,52.0,7.0
3797,0.0,4.0,8.0,10.0,2.0,1.0,6.0,16.0,3.0,23.0,14.0,9.0,7.0,5.0,22.0,46.0,18.0,50.0,20.0,53.0,15.0,13.0,19.0,17.0,24.0,29.0,28.0,27.0,21.0,12.0
3846,0.0,1.0,15.0,12.0,11.0,2.0,7.0,48.0,4.0,6.0,3.0,5.0,10.0,16.0,13.0,19.0,26.0,29.0,21.0,56.0,24.0,14.0,30.0,9.0,23.0,25.0,18.0,28.0,20.0,38.0
3895,2.0,5.0,44.0,6.0,3.0,1.0,11.0,10.0,8.0,14.0,9.0,0.0,4.0,28.0,12.0,17.0,23.0,16.0,13.0,49.0,21.0,24.0,27.0,19.0,20.0,22.0,15.0,26.0,55.0,34.0
3944,1.0,0.0,4.0,23.0,6.0,9.0,2.0,16.0,18.0,5.0,34.0,3.0,43.0,32.0,7.0,33.0,20.0,25.0,27.0,21.0,30.0,8.0,28.0,17.0,22.0,24.0,29.0,12.0,26.0,11.0
3993,1.0,0.0,4.0,7.0,2.0,10.0,3.0,18.0,6.0,13.0,42.0,12.0,45.0,30.0,14.0,19.0,25.0,11.0,52.0,16.0,15.0,26.0,5.0,22.0,23.0,24.0,21.0,28.0,20.0,36.0
4042,4.0,0.0,2.0,24.0,1.0,3.0,38.0,13.0,9.0,10.0,44.0,5.0,48.0,30.0,8.0,19.0,25.0,18.0,20.0,56.0,23.0,26.0,6.0,22.0,15.0,7.0,51.0,28.0,29.0,35.0
4091,3.0,0.0,6.0,5.0,11.0,1.0,8.0,17.0,9.0,12.0,48.0,2.0,37.0,30.0,4.0,32.0,21.0,16.0,28.0,22.0,25.0,20.0,13.0,31.0,23.0,15.0,29.0,18.0,27.0,10.0
4140,3.0,0.0,4.0,5.0,6.0,8.0,1.0,12.0,16.0,13.0,45.0,19.0,49.0,32.0,14.0,21.0,9.0,7.0,31.0,17.0,27.0,29.0,22.0,25.0,26.0,28.0,23.0,10.0,15.0,11.0
4189,0.0,1.0,21.0,6.0,4.0,2.0,10.0,9.0,23.0,13.0,38.0,19.0,22.0,7.0,41.0,46.0,39.0,11.0,25.0,16.0,34.0,37.0,5.0,18.0,15.0,40.0,14.0,29.0,49.0,28.0
4238,1.0,0.0,3.0,5.0,39.0,2.0,6.0,16.0,11.0,19.0,8.0,21.0,50.0,12.0,15.0,33.0,13.0,23.0,53.0,7.0,22.0,20.0,14.0,29.0,30.0,28.0,25.0,17.0,24.0,38.0
4287,1.0,0.0,6.0,2.0,3.0,7.0,4.0,14.0,13.0,9.0,42.0,5.0,45.0,30.0,12.0,18.0,24.0,10.0,29.0,48.0,22.0,25.0,19.0,21.0,50.0,23.0,20.0,28.0,17.0,35.0
4336,1.0,0.0,3.0,2.0,9.0,8.0,4.0,16.0,18.0,17.0,11.0,6.0,43.0,31.0,13.0,20.0,27.0,30.0,22.0,10.0,25.0,28.0,23.0,49.0,24.0,26.0,51.0,29.0,21.0,37.0
4385,1.0,0.0,3.0,9.0,4.0,2.0,12.0,13.0,10.0,6.0,5.0,29.0,49.0,11.0,28.0,30.0,8.0,20.0,23.0,16.0,27.0,17.0,7.0,25.0,26.0,21.0,50.0,14.0,22.0,36.0
4434,1.0,0.0,2.0,5.0,6.0,20.0,35.0,15.0,7.0,10.0,9.0,3.0,43.0,12.0,24.0,17.0,25.0,14.0,18.0,49.0,23.0,8.0,28.0,21.0,22.0,52.0,13.0,26.0,27.0,33.0
4483,3.0,1.0,0.0,9.0,4.0,2.0,10.0,13.0,12.0,17.0,15.0,29.0,14.0,6.0,25.0,19.0,11.0,53.0,30.0,18.0,24.0,27.0,49.0,59.0,23.0,26.0,16.0,28.0,51.0,8.0
4532,0.0,2.0,1.0,8.0,9.0,7.0,36.0,11.0,18.0,16.0,41.0,29.0,43.0,15.0,12.0,20.0,4.0,52.0,23.0,19.0,27.0,13.0,30.0,25.0,26.0,45.0,17.0,28.0,22.0,5.0
4581,2.0,1.0,11.0,4.0,8.0,0.0,13.0,27.0,5.0,25.0,7.0,23.0,43.0,20.0,6.0,14.0,10.0,48.0,22.0,51.0,26.0,16.0,21.0,57.0,19.0,45.0,28.0,29.0,50.0,15.0
4630,11.0,0.0,5.0,3.0,12.0,10.0,2.0,17.0,4.0,14.0,40.0,18.0,42.0,7.0,25.0,19.0,8.0,47.0,22.0,16.0,24.0,9.0,28.0,56.0,48.0,58.0,15.0,26.0,21.0,13.0
4679,10.0,3.0,2.0,1.0,0.0,5.0,14.0,4.0,18.0,15.0,17.0,9.0,45.0,30.0,16.0,20.0,6.0,49.0,22.0,51.0,26.0,11.0,23.0,25.0,50.0,27.0,19.0,28.0,21.0,7.0
4728,6.0,0.0,1.0,5.0,4.0,12.0,13.0,2.0,18.0,19.0,46.0,22.0,42.0,26.0,3.0,31.0,8.0,55.0,24.0,20.0,28.0,11.0,25.0,29.0,21.0,17.0,15.0,16.0,23.0,37.0
4777,2.0,7.0,3.0,5.0,16.0,1.0,11.0,20.0,6.0,0.0,8.0,31.0,43.0,9.0,10.0,32.0,17.0,48.0,24.0,21.0,30.0,18.0,25.0,28.0,29.0,27.0,19.0,45.0,22.0,36.0
4826,9.0,1.0,3.0,2.0,5.0,0.0,37.0,12.0,18.0,10.0,42.0,21.0,45.0,11.0,13.0,30.0,7.0,22.0,24.0,47.0,28.0,16.0,25.0,20.0,14.0,19.0,17.0,15.0,23.0,35.0
4875,9.0,0.0,2.0,4.0,12.0,3.0,14.0,7.0,11.0,18.0,17.0,20.0,10.0,13.0,29.0,21.0,15.0,54.0,24.0,53.0,28.0,5.0,25.0,27.0,47.0,30.0,33.0,31.0,23.0,8.0
