,FLNB_MUT,ZNF705G_AMP,RGPD4_AMP,LOC100130700_AMP,RB1_MUT,HS3ST3A1_DEL,HLA-DQB1_DEL,CDC73_AMP,RNF103-CHMP3_DEL,DEFB4B_DEL,LOC100506776_DEL,LPA_AMP,CES1_AMP,ODF3B_DEL,POTEB_DEL,MUC20_AMP,CNTN5_DEL,LOC100133267_DEL,UPK3B_AMP,DHRS4L2_DEL,SLC25A37_AMP,GALNTL6_DEL,OR2T11_AMP,MSTO2P_AMP,PCDHA10_DEL,HLA-H_DEL,ATP9A_AMP,LINGO2_DEL,RBFOX1_DEL,HCG4B_DEL
1111,0.0,45.0,101.0,25.0,67.0,22.0,74.0,81.0,56.0,31.0,20916.0,70.0,17477.0,72.0,85.0,58.0,10412.0,53.0,78.0,775.0,75.0,35.0,95.0,62.0,9593.0,90.0,110.0,83.0,9445.0,97.0
1160,27.0,42.0,97.0,13.0,67.0,76.0,15.0,38.0,17.0,23.0,20916.0,68.0,64.0,2267.0,28.0,105.0,10416.0,121.0,19191.0,35.0,88.0,93.0,147.0,100.0,70.0,164.0,131.0,115.0,137.0,127.0
1209,0.0,28.0,97.0,12.0,16614.0,11.0,35.0,94.0,78.0,72.0,20916.0,65.0,53.0,55.0,76.0,81.0,71.0,56.0,43.0,89.0,49.0,108.0,142.0,117.0,13.0,57.0,15610.0,141.0,51.0,133.0
1258,24.0,22.0,45.0,15469.0,60.0,35.0,37.0,28.0,77.0,19.0,20915.0,96.0,48.0,26.0,644.0,79.0,100.0,41.0,19189.0,58.0,94.0,85.0,126.0,102.0,9591.0,134.0,86.0,50.0,73.0,95.0
1307,16182.0,8.0,12607.0,26.0,63.0,56.0,117.0,34.0,62.0,20521.0,9.0,42.0,36.0,2258.0,41.0,53.0,10409.0,27.0,19199.0,55.0,90.0,129.0,99.0,64.0,9595.0,61.0,107.0,148.0,143.0,108.0
1356,16180.0,20.0,52.0,15466.0,3.0,9.0,12.0,48.0,39.0,4.0,45.0,91.0,63.0,2253.0,37.0,70.0,40.0,14.0,19186.0,41.0,33.0,117.0,110.0,69.0,9593.0,87.0,114.0,56.0,100.0,120.0
1405,11.0,38.0,54.0,24.0,27.0,36.0,56.0,20.0,28.0,73.0,20935.0,67.0,44.0,2261.0,35.0,55.0,81.0,66.0,19186.0,1.0,48.0,94.0,139.0,88.0,9572.0,109.0,77.0,59.0,112.0,107.0
1454,16182.0,19.0,49.0,6.0,20.0,18.0,29.0,26.0,126.0,39.0,47.0,53.0,17475.0,2257.0,33.0,83.0,10405.0,136.0,19186.0,68.0,133.0,110.0,111.0,113.0,9613.0,48.0,132.0,85.0,148.0,127.0
1503,0.0,58.0,50.0,9.0,8.0,21.0,12.0,23120.0,41.0,47.0,35.0,89.0,59.0,2266.0,645.0,52.0,43.0,158.0,19187.0,51.0,123.0,64.0,53.0,94.0,88.0,79.0,102.0,3606.0,109.0,111.0
1552,2.0,97.0,106.0,6.0,16610.0,63.0,55.0,23135.0,69.0,20526.0,101.0,87.0,62.0,28.0,647.0,64.0,10414.0,20695.0,89.0,778.0,38.0,142.0,91.0,61.0,1.0,128.0,15613.0,3573.0,99.0,6783.0
1601,6.0,153.0,125.0,48.0,16605.0,8071.0,56.0,21.0,8.0,42.0,46.0,93.0,17478.0,43.0,646.0,88.0,147.0,151.0,19189.0,755.0,22064.0,97.0,103.0,66.0,2.0,73.0,15611.0,102.0,99.0,120.0
1650,16186.0,43.0,89.0,22.0,16610.0,81.0,62.0,126.0,31.0,27.0,20918.0,58.0,15.0,2262.0,60.0,71.0,54.0,41.0,110.0,768.0,14.0,79.0,68.0,59.0,9594.0,93.0,15615.0,133.0,115.0,88.0
1699,16177.0,43.0,39.0,21.0,16597.0,8060.0,115.0,87.0,0.0,40.0,20927.0,54.0,99.0,2250.0,76.0,73.0,10384.0,140.0,78.0,742.0,22055.0,103.0,57.0,56.0,72.0,63.0,34.0,144.0,102.0,6748.0
1748,11.0,121.0,32.0,15439.0,4.0,90.0,26.0,37.0,16.0,30.0,20931.0,57.0,46.0,72.0,56.0,80.0,76.0,134.0,73.0,784.0,2.0,102.0,96.0,83.0,0.0,50.0,15861.0,154.0,116.0,59.0
1797,0.0,76.0,53.0,15442.0,19.0,14.0,73.0,46.0,10.0,16.0,44.0,49.0,41.0,107.0,78.0,75.0,118.0,143.0,19186.0,33.0,18.0,74.0,124.0,56.0,9616.0,68.0,15609.0,168.0,135.0,77.0
1846,0.0,54.0,38.0,12.0,72.0,66.0,20.0,46.0,81.0,52.0,33.0,79.0,96.0,153.0,55.0,133.0,91.0,129.0,19180.0,779.0,22024.0,45.0,53.0,97.0,9582.0,106.0,15617.0,147.0,137.0,80.0
1895,14.0,18.0,125.0,54.0,0.0,72.0,83.0,56.0,16.0,82.0,20896.0,68.0,19.0,74.0,23.0,93.0,104.0,90.0,19192.0,775.0,59.0,135.0,108.0,76.0,7.0,103.0,15618.0,122.0,115.0,121.0
1944,19.0,98.0,5.0,18.0,16607.0,8070.0,38.0,23117.0,52.0,28.0,25.0,104.0,17478.0,60.0,7.0,110.0,105.0,27.0,19182.0,769.0,31.0,147.0,65.0,42.0,9612.0,134.0,15611.0,123.0,46.0,97.0
1993,16190.0,41.0,54.0,15441.0,16613.0,21.0,538.0,70.0,97.0,10.0,20934.0,56.0,17474.0,57.0,43.0,101.0,58.0,63.0,29.0,31.0,90.0,105.0,141.0,64.0,9591.0,87.0,14.0,80.0,27.0,75.0
2042,0.0,42.0,53.0,15473.0,16612.0,81.0,100.0,74.0,20377.0,136.0,4.0,69.0,59.0,68.0,18.0,55.0,93.0,20696.0,62.0,534.0,96.0,49.0,182.0,151.0,9577.0,120.0,15621.0,50.0,101.0,159.0
2091,16191.0,47.0,34.0,15475.0,26.0,38.0,54.0,75.0,78.0,3.0,20936.0,57.0,17475.0,110.0,18.0,97.0,33.0,88.0,60.0,77.0,72.0,29.0,137.0,91.0,62.0,40.0,27.0,3599.0,44.0,74.0
2140,16185.0,73.0,53.0,15469.0,32.0,8075.0,28.0,23120.0,38.0,40.0,20916.0,96.0,17481.0,2259.0,6.0,57.0,125.0,20693.0,37.0,801.0,140.0,70.0,87.0,131.0,5.0,63.0,103.0,165.0,75.0,71.0
2189,16185.0,29.0,66.0,15444.0,45.0,73.0,59.0,44.0,70.0,159.0,76.0,62.0,52.0,4.0,20.0,82.0,61.0,136.0,30.0,8.0,22044.0,80.0,126.0,15453.0,9577.0,65.0,15611.0,120.0,108.0,78.0
2238,16182.0,19.0,21.0,8.0,16604.0,84.0,55.0,73.0,19876.0,54.0,20935.0,45.0,14.0,2257.0,42.0,95.0,10405.0,68.0,103.0,46.0,125.0,97.0,141.0,108.0,9614.0,57.0,4.0,3606.0,93.0,100.0
2287,16183.0,39.0,99.0,34.0,16606.0,26.0,35.0,50.0,141.0,73.0,10.0,62.0,2.0,52.0,4.0,95.0,151.0,90.0,124.0,800.0,89.0,68.0,186.0,103.0,9615.0,118.0,15611.0,54.0,88.0,106.0
2336,16182.0,24.0,20.0,4.0,3.0,109.0,799.0,91.0,8.0,61.0,13.0,46.0,17477.0,65.0,38.0,93.0,116.0,102.0,19186.0,62.0,82.0,100.0,64.0,15455.0,9617.0,90.0,15611.0,77.0,114.0,107.0
2385,10.0,21.0,28.0,20.0,1.0,133.0,807.0,48.0,109.0,178.0,66.0,86.0,25.0,33.0,30.0,75.0,42.0,57.0,51.0,804.0,39.0,85.0,90.0,83.0,63.0,98.0,15621.0,89.0,61.0,91.0
