,Claudin-7,E-Cadherin,Rab25,Shc_pY317,VHL,EGFR_pY1068,HER2_pY1248,PAI-1,P-Cadherin,Syk,Akt,VAV1,4E-BP1_pS65,RSK1-2-3,ADAR1,MIG-6,4E-BP1_pT37_T46,EGFR,alpha-Catenin,HER2,4E-BP1_pT70,HER3,YAP_pS127,PKC-alpha,Paxillin,beta-Catenin,PRAS40_pT246,eEF2,C-Raf(BD610151),B-Raf
4,1.0,0.0,2.0,3.0,4.0,6.0,5.0,10.0,7.0,13.0,9.0,17.0,16.0,20.0,58.0,15.0,14.0,52.0,8.0,18.0,50.0,11.0,26.0,21.0,37.0,51.0,22.0,19.0,44.0,55.0
53,0.0,1.0,4.0,3.0,2.0,5.0,6.0,9.0,8.0,7.0,11.0,12.0,10.0,19.0,34.0,14.0,18.0,13.0,15.0,24.0,21.0,17.0,20.0,30.0,31.0,57.0,62.0,78.0,44.0,124.0
102,0.0,1.0,2.0,3.0,4.0,6.0,5.0,9.0,7.0,11.0,13.0,10.0,8.0,15.0,32.0,24.0,14.0,12.0,16.0,46.0,19.0,29.0,30.0,23.0,34.0,80.0,17.0,21.0,20.0,71.0
151,0.0,1.0,2.0,5.0,3.0,6.0,4.0,9.0,7.0,8.0,24.0,11.0,10.0,13.0,18.0,14.0,17.0,21.0,15.0,16.0,51.0,31.0,43.0,28.0,39.0,38.0,12.0,33.0,19.0,108.0
200,0.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,8.0,7.0,12.0,11.0,10.0,14.0,30.0,15.0,25.0,26.0,19.0,17.0,16.0,38.0,58.0,20.0,22.0,18.0,24.0,36.0,13.0,71.0
249,0.0,1.0,5.0,3.0,2.0,6.0,9.0,13.0,4.0,8.0,10.0,16.0,7.0,12.0,21.0,15.0,14.0,11.0,27.0,32.0,31.0,36.0,37.0,28.0,35.0,17.0,30.0,25.0,20.0,56.0
298,0.0,3.0,1.0,2.0,5.0,4.0,9.0,7.0,6.0,8.0,11.0,20.0,10.0,13.0,26.0,18.0,17.0,16.0,12.0,22.0,23.0,33.0,35.0,21.0,25.0,28.0,29.0,15.0,98.0,115.0
347,0.0,2.0,1.0,3.0,4.0,8.0,6.0,5.0,7.0,15.0,13.0,20.0,9.0,14.0,11.0,12.0,16.0,24.0,21.0,22.0,17.0,18.0,49.0,10.0,27.0,57.0,33.0,25.0,46.0,56.0
396,0.0,3.0,4.0,2.0,1.0,5.0,7.0,6.0,8.0,10.0,19.0,14.0,12.0,13.0,16.0,15.0,20.0,36.0,17.0,9.0,18.0,32.0,64.0,24.0,29.0,53.0,58.0,23.0,31.0,96.0
445,1.0,0.0,2.0,4.0,3.0,6.0,7.0,9.0,5.0,8.0,10.0,26.0,14.0,11.0,13.0,88.0,47.0,15.0,23.0,36.0,58.0,17.0,80.0,12.0,45.0,20.0,19.0,48.0,25.0,56.0
