,hsa-miR-148a,hsa-miR-581,hsa-miR-604,hsa-miR-29c,hsa-miR-331-5p,hsa-miR-615-3p,hsa-miR-187,hsa-miR-935,hsa-miR-609,hsv1-miR-H2-3p,hsa-miR-449b,hcmv-miR-US25-1,hsa-miR-300,hsa-miR-220a,hsa-miR-378,hsa-miR-558,hsa-miR-597,hsa-miR-125a-3p,hsa-miR-649,hsa-miR-623,hsa-miR-557,hsa-miR-34a,hcmv-miR-UL70-3p,hsa-miR-541,hsa-miR-934,hsa-miR-1284,hsa-miR-766,hsa-miR-497,hsa-miR-1247,hsa-miR-563
15,0.0,47.0,19.0,2.0,3.0,1.0,8.0,17.0,29.0,5.0,4.0,20.0,34.0,24.0,6.0,44.0,38.0,71.0,11.0,18.0,35.0,16.0,131.0,94.0,26.0,15.0,7.0,41.0,45.0,33.0
64,1.0,21.0,6.0,5.0,7.0,10.0,27.0,2.0,0.0,80.0,3.0,4.0,14.0,25.0,26.0,15.0,49.0,52.0,18.0,24.0,70.0,74.0,131.0,187.0,20.0,42.0,13.0,45.0,40.0,34.0
113,0.0,13.0,18.0,1.0,2.0,5.0,8.0,16.0,3.0,21.0,7.0,20.0,4.0,38.0,6.0,99.0,17.0,85.0,26.0,28.0,55.0,57.0,132.0,126.0,30.0,23.0,10.0,79.0,14.0,58.0
162,0.0,8.0,6.0,16.0,3.0,1.0,14.0,7.0,4.0,2.0,12.0,47.0,5.0,79.0,31.0,21.0,23.0,99.0,59.0,45.0,18.0,13.0,119.0,54.0,35.0,15.0,20.0,22.0,51.0,37.0
211,0.0,6.0,40.0,17.0,4.0,2.0,14.0,5.0,3.0,11.0,1.0,9.0,41.0,38.0,27.0,12.0,22.0,26.0,75.0,29.0,31.0,23.0,148.0,49.0,16.0,37.0,54.0,93.0,58.0,18.0
260,0.0,14.0,52.0,4.0,8.0,2.0,6.0,1.0,11.0,53.0,19.0,21.0,3.0,65.0,15.0,26.0,56.0,64.0,13.0,55.0,40.0,5.0,157.0,175.0,89.0,33.0,12.0,30.0,9.0,7.0
309,5.0,10.0,6.0,8.0,0.0,1.0,4.0,12.0,2.0,19.0,16.0,23.0,20.0,52.0,44.0,9.0,37.0,189.0,11.0,18.0,28.0,34.0,121.0,284.0,95.0,41.0,57.0,62.0,24.0,3.0
358,1.0,15.0,4.0,0.0,8.0,22.0,5.0,21.0,2.0,18.0,3.0,6.0,28.0,25.0,30.0,136.0,10.0,126.0,12.0,23.0,103.0,37.0,182.0,226.0,27.0,187.0,24.0,108.0,107.0,39.0
407,1.0,27.0,25.0,8.0,0.0,2.0,4.0,21.0,3.0,26.0,6.0,12.0,5.0,49.0,14.0,31.0,20.0,45.0,22.0,18.0,13.0,72.0,325.0,138.0,42.0,11.0,19.0,68.0,16.0,9.0
456,5.0,2.0,19.0,1.0,12.0,17.0,4.0,27.0,35.0,31.0,0.0,48.0,58.0,68.0,40.0,13.0,64.0,92.0,75.0,49.0,37.0,10.0,175.0,46.0,8.0,16.0,11.0,39.0,23.0,14.0
505,9.0,8.0,4.0,6.0,11.0,1.0,12.0,19.0,36.0,2.0,21.0,55.0,65.0,5.0,75.0,58.0,86.0,43.0,14.0,31.0,15.0,17.0,173.0,0.0,49.0,46.0,18.0,28.0,52.0,7.0
554,0.0,9.0,3.0,20.0,4.0,1.0,19.0,13.0,8.0,6.0,59.0,22.0,25.0,28.0,73.0,55.0,27.0,24.0,18.0,16.0,17.0,15.0,29.0,30.0,31.0,66.0,108.0,21.0,69.0,43.0
603,0.0,18.0,4.0,6.0,3.0,23.0,9.0,13.0,1.0,2.0,10.0,17.0,24.0,53.0,111.0,41.0,5.0,14.0,22.0,16.0,21.0,27.0,32.0,20.0,49.0,7.0,25.0,8.0,80.0,61.0
652,0.0,1.0,2.0,44.0,4.0,19.0,21.0,15.0,6.0,10.0,69.0,33.0,26.0,23.0,124.0,39.0,3.0,8.0,139.0,14.0,7.0,9.0,47.0,16.0,5.0,24.0,62.0,37.0,71.0,40.0
701,0.0,3.0,6.0,10.0,16.0,15.0,7.0,9.0,5.0,1.0,40.0,34.0,18.0,17.0,50.0,45.0,28.0,35.0,44.0,66.0,52.0,33.0,62.0,2.0,49.0,4.0,20.0,54.0,72.0,43.0
750,0.0,5.0,7.0,10.0,2.0,3.0,4.0,12.0,33.0,1.0,17.0,31.0,22.0,28.0,108.0,44.0,51.0,49.0,26.0,20.0,15.0,13.0,43.0,9.0,29.0,34.0,27.0,55.0,62.0,71.0
799,0.0,10.0,1.0,21.0,2.0,4.0,3.0,8.0,28.0,5.0,110.0,14.0,11.0,9.0,165.0,48.0,20.0,19.0,12.0,13.0,96.0,22.0,35.0,6.0,24.0,30.0,130.0,59.0,39.0,68.0
848,0.0,9.0,19.0,15.0,2.0,4.0,5.0,13.0,3.0,6.0,17.0,145.0,16.0,74.0,128.0,46.0,18.0,22.0,51.0,44.0,1.0,8.0,140.0,12.0,301.0,14.0,75.0,34.0,49.0,92.0
897,8.0,36.0,1.0,3.0,25.0,47.0,5.0,10.0,16.0,15.0,38.0,7.0,20.0,30.0,12.0,52.0,54.0,19.0,49.0,6.0,11.0,4.0,78.0,117.0,26.0,9.0,42.0,21.0,76.0,44.0
946,0.0,1.0,2.0,8.0,10.0,4.0,11.0,9.0,41.0,5.0,12.0,35.0,25.0,19.0,13.0,54.0,18.0,6.0,126.0,24.0,14.0,7.0,56.0,3.0,32.0,16.0,21.0,28.0,49.0,180.0
995,0.0,7.0,4.0,3.0,2.0,23.0,1.0,60.0,37.0,6.0,42.0,8.0,5.0,14.0,47.0,40.0,59.0,24.0,41.0,257.0,26.0,43.0,69.0,64.0,35.0,11.0,38.0,86.0,13.0,36.0
1044,0.0,1.0,8.0,2.0,13.0,3.0,4.0,27.0,10.0,22.0,34.0,24.0,5.0,68.0,56.0,6.0,16.0,23.0,7.0,30.0,32.0,9.0,15.0,42.0,11.0,84.0,122.0,47.0,18.0,20.0
1093,5.0,0.0,12.0,11.0,18.0,29.0,38.0,34.0,1.0,86.0,4.0,14.0,33.0,17.0,52.0,8.0,9.0,43.0,35.0,20.0,55.0,71.0,39.0,6.0,2.0,74.0,57.0,26.0,16.0,62.0
1142,0.0,1.0,2.0,5.0,4.0,8.0,3.0,18.0,7.0,27.0,17.0,15.0,38.0,13.0,19.0,11.0,52.0,6.0,39.0,47.0,72.0,26.0,80.0,54.0,33.0,97.0,66.0,73.0,9.0,51.0
1191,0.0,3.0,5.0,14.0,9.0,4.0,19.0,23.0,1.0,44.0,15.0,10.0,25.0,7.0,57.0,11.0,22.0,24.0,12.0,38.0,94.0,18.0,79.0,2.0,8.0,54.0,29.0,27.0,6.0,66.0
1240,2.0,3.0,9.0,5.0,6.0,20.0,8.0,44.0,0.0,28.0,24.0,72.0,31.0,45.0,43.0,1.0,12.0,115.0,11.0,22.0,17.0,13.0,106.0,7.0,16.0,4.0,64.0,60.0,10.0,51.0
1289,4.0,0.0,14.0,6.0,11.0,29.0,17.0,25.0,2.0,13.0,91.0,8.0,15.0,44.0,51.0,47.0,5.0,19.0,28.0,10.0,186.0,1.0,39.0,16.0,9.0,88.0,89.0,12.0,3.0,46.0
1338,2.0,6.0,4.0,5.0,8.0,3.0,21.0,10.0,0.0,11.0,14.0,12.0,20.0,25.0,24.0,83.0,53.0,7.0,17.0,48.0,180.0,91.0,16.0,1.0,28.0,40.0,47.0,82.0,35.0,13.0
1387,7.0,0.0,4.0,16.0,36.0,22.0,11.0,13.0,1.0,47.0,17.0,31.0,12.0,26.0,38.0,2.0,20.0,14.0,18.0,25.0,19.0,75.0,51.0,8.0,145.0,32.0,151.0,50.0,3.0,64.0
1436,7.0,1.0,25.0,4.0,22.0,23.0,15.0,28.0,0.0,37.0,131.0,9.0,10.0,3.0,34.0,44.0,24.0,18.0,8.0,48.0,164.0,45.0,12.0,5.0,82.0,17.0,42.0,29.0,13.0,32.0
1485,0.0,1.0,4.0,16.0,11.0,10.0,35.0,13.0,2.0,12.0,15.0,6.0,8.0,3.0,29.0,26.0,117.0,19.0,5.0,67.0,84.0,51.0,27.0,173.0,109.0,40.0,85.0,82.0,31.0,37.0
1534,9.0,17.0,14.0,12.0,13.0,18.0,48.0,35.0,6.0,16.0,50.0,1.0,10.0,5.0,31.0,79.0,0.0,21.0,8.0,23.0,39.0,96.0,22.0,104.0,65.0,76.0,41.0,160.0,120.0,67.0
1583,0.0,15.0,3.0,7.0,17.0,31.0,23.0,10.0,2.0,1.0,19.0,4.0,33.0,12.0,38.0,22.0,57.0,26.0,9.0,49.0,20.0,18.0,6.0,122.0,112.0,21.0,64.0,47.0,27.0,51.0
1632,1.0,0.0,10.0,20.0,28.0,25.0,13.0,42.0,36.0,55.0,9.0,8.0,16.0,39.0,18.0,3.0,19.0,34.0,49.0,35.0,2.0,21.0,14.0,88.0,112.0,26.0,159.0,60.0,121.0,58.0
