,KIAA0125_AMP,SMARCA2_DEL,PTPRD_DEL,LPA_AMP,ADAM6_AMP,CDC73_DEL,USP32P1_AMP,SLC25A37_AMP,USP32P2_DEL,KRT16P2_AMP,MRGPRX1_DEL,GALNTL6_DEL,TAG_DEL,ARHGAP22_DEL,TTTY22_DEL,LGALS9C_DEL,FAM106CP_AMP,CCDC144A_AMP,LOC284395_DEL,PSG9_DEL,RBM33_AMP,PCCB_DEL,OR2T34_AMP,SLC14A2_DEL,BTNL3_DEL,LAMA1_MUT,SGCZ_DEL,TMEM132D_DEL,BRAF_MUT,MAPK10_DEL
29,5.0,1.0,75.0,12.0,9.0,0.0,13.0,19.0,16.0,7.0,8.0,109.0,46.0,4.0,6.0,68.0,29.0,30.0,63.0,49.0,44.0,3.0,2.0,26.0,66.0,125.0,22471.0,28.0,39.0,50.0
78,12.0,5.0,29.0,47.0,18.0,11.0,21.0,16.0,6.0,0.0,14.0,36.0,19.0,9.0,1.0,10.0,40.0,39.0,65.0,63.0,336.0,7.0,2.0,32.0,48.0,55.0,25.0,17.0,75.0,27.0
127,1.0,5.0,16.0,14.0,7.0,2.0,9.0,6.0,13.0,3.0,4.0,51.0,143.0,11.0,8.0,22.0,21.0,20.0,85.0,32.0,82.0,71.0,0.0,26.0,72.0,60.0,7224.0,18.0,138.0,12.0
176,10.0,1.0,52.0,2.0,15.0,6.0,0.0,9.0,17.0,3.0,18.0,22.0,110.0,14.0,8.0,33.0,12.0,11.0,84.0,60.0,641.0,30.0,5.0,16.0,43.0,35.0,7910.0,24.0,25.0,23.0
225,13.0,0.0,17.0,2.0,32.0,9.0,3.0,10.0,21.0,5.0,8.0,157.0,4.0,6.0,43.0,51.0,12.0,11.0,64.0,76.0,343.0,23.0,7.0,19.0,12661.0,28.0,23668.0,42.0,118.0,62.0
274,5.0,1.0,159.0,66.0,23.0,0.0,8.0,4.0,6.0,2.0,18.0,21.0,27.0,20.0,11.0,10.0,34.0,33.0,85.0,99.0,216.0,79.0,9.0,80.0,68.0,12.0,1164.0,48.0,76.0,25.0
323,0.0,8.0,33.0,4.0,12.0,2.0,23.0,14.0,6.0,9.0,35.0,79.0,233.0,31.0,3.0,13.0,24.0,25.0,71.0,21.0,572.0,1.0,7.0,16.0,224.0,27.0,4370.0,41.0,28.0,63.0
372,3.0,2.0,47.0,267.0,17.0,0.0,43.0,31.0,33.0,6.0,15.0,32.0,2227.0,59.0,1.0,7.0,110.0,109.0,710.0,35.0,1340.0,51.0,5.0,11.0,274.0,50.0,704.0,39.0,227.0,10.0
421,0.0,6.0,43.0,256.0,3.0,1.0,24.0,19.0,10.0,4.0,5.0,427.0,36.0,9.0,2.0,15.0,121.0,120.0,397.0,12.0,59.0,8.0,16.0,14.0,308.0,18.0,463.0,11.0,20.0,7.0
470,0.0,3.0,8.0,21.0,4.0,5.0,10.0,17.0,15.0,2.0,19.0,100.0,33.0,7.0,16.0,32.0,29.0,28.0,225.0,22.0,30.0,14.0,1.0,23.0,67.0,34.0,23641.0,20.0,124.0,9.0
519,1.0,4.0,0.0,18.0,2.0,12.0,8.0,10.0,51.0,17.0,13.0,40.0,37.0,33.0,27.0,271.0,7.0,6.0,21.0,69.0,50.0,25.0,28.0,24.0,80.0,22.0,20.0,304.0,346.0,426.0
568,1.0,5.0,0.0,3.0,2.0,20.0,11.0,6.0,22.0,16.0,4.0,13.0,55.0,29.0,24.0,35.0,30.0,31.0,41.0,8.0,69.0,34.0,12.0,18.0,21.0,10.0,7.0,228.0,67.0,9.0
617,0.0,4.0,1.0,57.0,2.0,36.0,5.0,3.0,8.0,16.0,6.0,15.0,7.0,30.0,10.0,23.0,12.0,11.0,21.0,50.0,34.0,42.0,17.0,80.0,22.0,14.0,28.0,58.0,27.0,32.0
666,0.0,4.0,1.0,7.0,2.0,36.0,13.0,14.0,64.0,28.0,6.0,25.0,46.0,43.0,18.0,267.0,30.0,31.0,27.0,20.0,35.0,63.0,54.0,21.0,47.0,17.0,39.0,106.0,5.0,51.0
715,0.0,4.0,3.0,9.0,1.0,6.0,11.0,7.0,20.0,10.0,51.0,28.0,32.0,12.0,8.0,55.0,18.0,19.0,16.0,23.0,60.0,25.0,42.0,15.0,30.0,5.0,13.0,21.0,50.0,24.0
764,10.0,18.0,4.0,3.0,6.0,33.0,0.0,19.0,7.0,13.0,8.0,42.0,9.0,22.0,64.0,14.0,1.0,2.0,36.0,20.0,182.0,17.0,83.0,38.0,52.0,34.0,27.0,24.0,37.0,67.0
813,13.0,4.0,25.0,124.0,23.0,2.0,61.0,5.0,143.0,8.0,3.0,15304.0,39.0,22.0,0.0,54.0,226.0,225.0,116.0,7.0,17452.0,1.0,18.0,38.0,227.0,9.0,468.0,11.0,20.0,10.0
862,0.0,9.0,1.0,5.0,2.0,83.0,21.0,10.0,47.0,19.0,4.0,7.0,8.0,22.0,28.0,135.0,55.0,54.0,27.0,30.0,6.0,11.0,32.0,26.0,3.0,24.0,13.0,20.0,126.0,18.0
911,0.0,4.0,3.0,10.0,2.0,22.0,6.0,1.0,7.0,12.0,35.0,27.0,19.0,39.0,25.0,8.0,16.0,15.0,26.0,30.0,20.0,60.0,76.0,111.0,11.0,9.0,5.0,63.0,23.0,14.0
960,1.0,8.0,4.0,13.0,3.0,55.0,2.0,0.0,12.0,9.0,5.0,59.0,341.0,18.0,43.0,21.0,7.0,6.0,17.0,22.0,23.0,124.0,47.0,16.0,20.0,11.0,56.0,41.0,14.0,27.0
1009,0.0,1.0,7.0,11.0,3.0,16.0,91.0,9.0,18.0,44.0,71.0,4.0,246.0,58.0,36.0,45.0,90.0,92.0,13.0,129.0,5.0,23.0,12.0,24.0,8.0,41.0,15.0,28.0,31.0,59.0
1058,0.0,5.0,4.0,10.0,1.0,14.0,30.0,3.0,8.0,31.0,20.0,6.0,12.0,99.0,35.0,13.0,93.0,92.0,26.0,29.0,9.0,285.0,15.0,191.0,2.0,83.0,7.0,25.0,199.0,64.0
1107,10.0,4.0,11.0,0.0,26.0,91.0,6.0,1.0,9.0,7.0,19.0,13.0,16.0,12.0,130.0,17.0,21.0,22.0,27.0,95.0,15.0,24.0,8.0,65.0,28.0,39.0,84.0,71.0,18.0,54.0
1156,10.0,0.0,2.0,5.0,21.0,4.0,22.0,1.0,54.0,3.0,16.0,14.0,8.0,7.0,26.0,15.0,64.0,65.0,13.0,3568.0,11.0,37.0,6.0,116.0,80.0,17.0,89.0,161.0,172.0,1196.0
1205,0.0,2.0,22.0,6.0,1.0,35.0,8.0,19.0,10.0,3.0,20.0,4.0,13.0,5.0,14.0,62.0,24.0,23.0,11.0,58.0,125.0,64.0,17.0,80.0,9.0,57.0,30.0,12.0,39.0,140.0
1254,12.0,1.0,5.0,2.0,28.0,59.0,3.0,7.0,24.0,6.0,23.0,0.0,75.0,17.0,4.0,40.0,16.0,15.0,76.0,205.0,52.0,55.0,8.0,102.0,197.0,119.0,103.0,19.0,10.0,44.0
1303,4.0,2.0,6.0,3.0,13.0,25.0,19.0,11.0,10.0,5.0,14.0,1.0,150.0,16.0,7.0,21.0,54.0,55.0,9.0,52.0,17.0,22.0,20.0,73.0,12.0,26.0,0.0,106.0,18.0,113.0
1352,0.0,13.0,4.0,17.0,3.0,62.0,10.0,6.0,2.0,7.0,20.0,5.0,16.0,19.0,22.0,8.0,28.0,29.0,15.0,168.0,31.0,49.0,1.0,42.0,9.0,21.0,11.0,23.0,35.0,48.0
1401,0.0,13.0,2.0,3.0,5.0,33.0,22.0,11.0,14.0,9.0,7.0,1.0,178.0,12.0,30.0,23.0,55.0,56.0,19.0,80.0,8.0,35.0,6.0,166.0,18.0,32.0,4.0,108.0,104.0,87.0
1450,3.0,4.0,2.0,6.0,7.0,34.0,12.0,8.0,15.0,10.0,21.0,0.0,134.0,60.0,45.0,27.0,38.0,37.0,22.0,41.0,19.0,77.0,1.0,31.0,16.0,20.0,5.0,167.0,59.0,55.0
1499,1.0,2.0,4.0,247.0,0.0,19.0,8.0,7.0,3.0,6.0,13.0,62.0,35.0,10.0,39.0,9.0,18.0,17.0,52.0,31.0,11.0,5.0,73.0,53.0,16.0,77.0,753.0,21.0,20.0,43.0
1548,6.0,0.0,9.0,49.0,7.0,35.0,27.0,8.0,13.0,4.0,5.0,59.0,61.0,2.0,40.0,32.0,67.0,68.0,62.0,52.0,12.0,1.0,31.0,24.0,43.0,85.0,482.0,10.0,33.0,11.0
1597,17.0,6.0,26.0,16.0,29.0,1.0,13.0,12.0,108.0,31.0,18.0,39.0,342.0,10.0,14.0,75.0,21.0,22.0,51.0,78.0,3.0,7.0,127.0,69.0,70.0,104.0,8369.0,15.0,8.0,173.0
1646,0.0,2.0,1.0,35.0,4.0,8.0,14.0,21.0,5.0,23.0,6.0,60.0,101.0,9.0,62.0,20.0,13.0,15.0,51.0,33.0,17.0,3.0,61.0,27.0,220.0,31.0,160.0,55.0,25.0,56.0
1695,2.0,1.0,3.0,15.0,8.0,63.0,25.0,5.0,11.0,22.0,7.0,84.0,4.0,20.0,56.0,35.0,54.0,55.0,120.0,38.0,52.0,0.0,26.0,53.0,28.0,204.0,110.0,18.0,14.0,47.0
1744,0.0,4.0,9.0,26.0,3.0,23.0,19.0,2.0,13.0,11.0,6.0,16.0,150.0,5.0,64.0,20.0,40.0,39.0,55.0,18.0,10.0,1.0,37.0,59.0,24.0,60.0,41.0,14.0,46.0,35.0
1793,0.0,2.0,8.0,57.0,1.0,42.0,16.0,10.0,14.0,9.0,17.0,7.0,52.0,5.0,28.0,41.0,33.0,34.0,55.0,13.0,36.0,4.0,22.0,102.0,18.0,85.0,93.0,6.0,12.0,117.0
1842,4.0,0.0,15.0,529.0,6.0,1.0,95.0,3.0,26.0,12.0,10.0,42.0,190.0,11.0,14.0,49.0,267.0,268.0,275.0,30.0,32.0,2.0,23.0,19.0,99.0,127.0,797.0,5.0,29.0,31.0
1891,2.0,0.0,4.0,84.0,5.0,22.0,7.0,1.0,28.0,15.0,11.0,37.0,12.0,18.0,17.0,46.0,21.0,20.0,34.0,87.0,14.0,3.0,67.0,95.0,25.0,42.0,56.0,13.0,93.0,177.0
1940,2.0,1.0,3.0,9.0,8.0,28.0,0.0,12.0,7.0,14.0,11.0,1446.0,20.0,13.0,165.0,17.0,6.0,5.0,57.0,24.0,27.0,10.0,86.0,51.0,91.0,80.0,184.0,32.0,33.0,36.0
1989,13.0,5.0,1.0,0.0,21.0,11.0,3.0,23.0,16.0,30.0,10.0,24.0,6.0,14.0,43.0,60.0,2.0,4.0,15.0,124.0,17.0,45.0,54.0,34.0,35.0,73.0,25.0,137.0,33.0,2610.0
2038,9.0,17.0,8.0,0.0,32.0,3.0,23.0,6.0,2.0,31.0,4.0,20.0,22.0,19.0,11.0,21.0,24.0,25.0,5.0,29.0,30.0,37.0,411.0,36.0,28.0,149.0,1.0,48.0,10.0,103.0
2087,12.0,13.0,14.0,0.0,15.0,1.0,30.0,62.0,5.0,42.0,39.0,17.0,10.0,35.0,8.0,3.0,29.0,31.0,11.0,9.0,58.0,97.0,59.0,48.0,7.0,261.0,52.0,16.0,18.0,55.0
2136,7.0,10.0,2.0,0.0,11.0,6.0,38.0,46.0,1.0,51.0,4.0,8.0,31.0,14.0,60.0,24.0,39.0,40.0,13.0,30.0,9.0,29.0,58.0,72.0,3.0,70.0,27.0,20.0,5.0,107.0
2185,9.0,19.0,30.0,0.0,34.0,15.0,38.0,2.0,1.0,70.0,3.0,387.0,6.0,57.0,10.0,16.0,39.0,37.0,100.0,28.0,493.0,35.0,68.0,74.0,41.0,66.0,29.0,124.0,5.0,72.0
2234,0.0,12.0,15.0,4.0,1.0,9.0,24.0,49.0,2.0,50.0,8.0,11.0,16.0,48.0,44.0,25.0,23.0,22.0,31.0,10.0,13.0,18.0,66.0,29.0,21.0,5.0,7.0,208.0,3.0,141.0
2283,9.0,2.0,6.0,0.0,24.0,3.0,42.0,47.0,7.0,61.0,20.0,60.0,17.0,55.0,30.0,33.0,41.0,40.0,15.0,12.0,16.0,1.0,56.0,26.0,11.0,38.0,18.0,34.0,13.0,73.0
2332,19.0,9.0,38.0,1.0,39.0,2.0,8.0,55.0,0.0,40.0,26.0,15.0,81.0,43.0,35.0,4.0,7.0,6.0,12.0,13.0,33.0,119.0,1215.0,64.0,3.0,63.0,31.0,51.0,271.0,71.0
2381,3.0,14.0,54.0,0.0,7.0,2.0,13.0,74.0,1.0,32.0,5.0,18.0,38.0,19.0,15.0,20.0,11.0,12.0,25.0,9.0,42.0,34.0,39.0,26.0,21.0,92.0,10.0,37.0,52.0,95.0
2430,0.0,4.0,24.0,2.0,1.0,8.0,12.0,33.0,3.0,20.0,37.0,71.0,32.0,5.0,42.0,21.0,13.0,11.0,10.0,16.0,102.0,14.0,173.0,26.0,17.0,46.0,6.0,35.0,19.0,1310.0
2479,0.0,22.0,29.0,15.0,2.0,8.0,21.0,7.0,4.0,46.0,6.0,11.0,1.0,153.0,24.0,3.0,59.0,60.0,10.0,27.0,20.0,189.0,66.0,154.0,40.0,33.0,18.0,41.0,53.0,26.0
2528,6.0,2.0,18.0,264.0,19.0,0.0,58.0,1.0,15.0,14.0,20.0,11.0,35.0,63.0,12.0,16.0,167.0,168.0,77.0,54.0,30.0,379.0,23.0,112.0,71.0,29.0,44.0,25.0,9.0,28.0
2577,0.0,22.0,12.0,18.0,3.0,1.0,5.0,9.0,6.0,97.0,15.0,16.0,40.0,56.0,27.0,24.0,25.0,26.0,10.0,72.0,2.0,223.0,34.0,65.0,44.0,49.0,51.0,30.0,39.0,46.0
2626,12.0,2.0,10.0,1.0,48.0,8.0,23.0,19.0,36.0,175.0,25.0,0.0,74.0,258.0,13.0,40.0,22.0,24.0,28.0,29.0,4.0,906.0,61.0,220.0,63.0,108.0,3.0,109.0,88.0,51.0
2675,13.0,6.0,5.0,2.0,43.0,9.0,4.0,8.0,1.0,121.0,12.0,3.0,7.0,6446.0,82.0,0.0,21.0,20.0,32.0,44.0,57.0,393.0,37.0,99.0,19.0,41.0,23.0,212.0,52.0,14.0
2724,1.0,3.0,4.0,41.0,12.0,0.0,11.0,20.0,78.0,17.0,27.0,34.0,19.0,47.0,16.0,18.0,26.0,25.0,15.0,81.0,7.0,125.0,52.0,164.0,91.0,40.0,142.0,158.0,1409.0,157.0
2773,3.0,7.0,8.0,42.0,6.0,5.0,22.0,13.0,1.0,26.0,10.0,2.0,24.0,238.0,56.0,0.0,58.0,57.0,17.0,117.0,4.0,533.0,27.0,108.0,11.0,39.0,25.0,67.0,33.0,16.0
2822,0.0,1.0,4.0,75.0,3.0,7.0,8.0,46.0,6.0,14.0,32.0,2.0,47.0,70.0,40.0,5.0,12.0,13.0,18.0,44.0,10.0,7724.0,128.0,2113.0,9.0,41.0,50.0,23.0,58.0,24.0
2871,14.0,9.0,0.0,198.0,52.0,2.0,8.0,27.0,7.0,24.0,47.0,3.0,10.0,172.0,22.0,6.0,29.0,30.0,12.0,64.0,1.0,101.0,40.0,286.0,61.0,102.0,19.0,443.0,58.0,44.0
2920,0.0,9.0,7.0,11.0,2.0,5.0,29.0,16.0,15.0,51.0,20.0,10.0,4.0,425.0,40.0,12.0,103.0,102.0,32.0,120.0,3.0,173.0,42.0,192.0,6.0,35.0,75.0,117.0,21.0,17.0
2969,6.0,3.0,8.0,36.0,4.0,7.0,41.0,31.0,49.0,11.0,45.0,18.0,25.0,28.0,0.0,111.0,42.0,40.0,157.0,1.0,348.0,152.0,48.0,27.0,26.0,63.0,58.0,44.0,14.0,47.0
3018,1.0,3.0,0.0,2.0,8.0,13.0,16.0,9.0,706.0,238.0,23.0,5.0,236.0,141.0,6.0,8962.0,35.0,36.0,39.0,22.0,55.0,60.0,34.0,26.0,158.0,119.0,11.0,97.0,623.0,21.0
3067,3.0,9.0,18.0,4.0,14.0,2.0,24.0,35.0,1410.0,29.0,47.0,0.0,6.0,70.0,5.0,2418.0,53.0,54.0,65.0,133.0,52.0,12.0,211.0,62.0,131.0,16.0,1.0,1032.0,41.0,298.0
3116,0.0,13.0,2.0,29.0,4.0,3.0,24.0,134.0,71.0,27.0,15.0,9.0,136.0,26.0,5.0,227.0,55.0,54.0,35.0,14.0,45.0,73.0,7.0,8.0,50.0,10.0,1.0,51.0,30.0,43.0
3165,2.0,4.0,7.0,32.0,5.0,14.0,12.0,22.0,121.0,19.0,11.0,6.0,39.0,23.0,3.0,330.0,35.0,34.0,29.0,37.0,56.0,112.0,43.0,8.0,101.0,18.0,1.0,9.0,33.0,15.0
3214,3.0,2.0,0.0,4.0,13.0,5.0,26.0,7.0,105.0,24.0,32.0,8.0,14.0,33.0,9.0,279.0,69.0,68.0,28.0,31.0,59.0,84.0,12.0,16.0,87.0,99.0,10.0,135.0,76.0,30.0
3263,35.0,1.0,17.0,4.0,168.0,0.0,10.0,14.0,7.0,26.0,16.0,243.0,6.0,30.0,34.0,2.0,27.0,28.0,94.0,13.0,69.0,656.0,42.0,29.0,227.0,24.0,3.0,314.0,161.0,32.0
3312,0.0,2.0,6.0,10.0,3.0,7.0,16.0,34.0,66.0,20.0,5.0,4.0,151.0,24.0,8.0,179.0,43.0,44.0,54.0,14.0,30.0,49.0,36.0,28.0,12.0,23.0,1.0,187.0,271.0,48.0
3361,1.0,4.0,6.0,5.0,2.0,12.0,11.0,72.0,64.0,14.0,15.0,0.0,24.0,83.0,7.0,237.0,44.0,45.0,37.0,10.0,34.0,8.0,31.0,47.0,9.0,48.0,3.0,89.0,54.0,49.0
3410,0.0,5.0,11.0,1.0,4.0,30.0,28.0,36.0,8.0,31.0,43.0,2.0,113.0,24.0,9.0,34.0,77.0,76.0,62.0,10.0,224.0,20.0,12.0,17.0,7.0,67.0,3.0,66.0,38.0,32.0
3459,9.0,6.0,8.0,3.0,22.0,103.0,0.0,11.0,7.0,15.0,13.0,16.0,4.0,80.0,23.0,20.0,1.0,2.0,133.0,18.0,60.0,28.0,10.0,46.0,57.0,79.0,663.0,596.0,152.0,29.0
3508,9.0,5.0,8.0,1.0,21.0,12.0,0.0,11.0,26.0,10.0,4.0,31.0,6.0,13.0,115.0,56.0,2.0,3.0,16.0,147.0,129.0,66.0,77.0,25.0,476.0,45.0,4300.0,477.0,1182.0,354.0
3557,4.0,10.0,5.0,1.0,6.0,31.0,0.0,40.0,26.0,7.0,11.0,32.0,9.0,29.0,37.0,55.0,3.0,2.0,53.0,20.0,65.0,19.0,23.0,60.0,64.0,39.0,59.0,22.0,16.0,17.0
3606,50.0,3.0,8.0,5.0,254.0,4.0,0.0,27.0,44.0,12.0,31.0,9.0,21.0,38.0,10.0,19.0,1.0,2.0,30.0,141.0,189.0,74.0,20.0,85.0,100.0,22.0,15.0,43.0,64.0,32.0
3655,11.0,4.0,6.0,3.0,18.0,35.0,0.0,93.0,10.0,15.0,32.0,19.0,14.0,12.0,26.0,24.0,2.0,1.0,22.0,49.0,25.0,41.0,51.0,61.0,21.0,20.0,593.0,665.0,43.0,42.0
3704,5.0,4.0,19.0,3.0,13.0,16.0,0.0,28.0,9.0,14.0,10.0,31.0,17.0,18.0,20.0,29.0,2.0,1.0,22.0,143.0,55.0,21.0,42.0,77.0,40.0,34.0,242.0,30.0,165.0,71.0
3753,9.0,6.0,30.0,0.0,32.0,10.0,1.0,17.0,18.0,19.0,39.0,45.0,26.0,68.0,28.0,25.0,5.0,4.0,72.0,49.0,760.0,7.0,203.0,180.0,20.0,48.0,833.0,37.0,60.0,13.0
3802,19.0,8.0,15.0,1.0,45.0,11.0,0.0,54.0,9.0,10.0,6.0,5.0,4.0,17.0,32.0,27.0,2.0,3.0,26.0,41.0,20.0,63.0,37.0,76.0,24.0,52.0,53.0,30.0,67.0,23.0
3851,7.0,4.0,6.0,3.0,10.0,14.0,0.0,41.0,11.0,17.0,16.0,23.0,8.0,12.0,47.0,18.0,1.0,2.0,21.0,37.0,56.0,43.0,29.0,35.0,20.0,15.0,489.0,25.0,49.0,30.0
3900,1.0,9.0,12.0,0.0,5.0,17.0,2.0,115.0,14.0,26.0,25.0,29.0,13.0,15.0,21.0,30.0,7.0,6.0,40.0,23.0,116.0,42.0,38.0,54.0,64.0,158.0,133.0,35.0,138.0,19.0
