,OESOPHAGUS,KIDNEY,AERODIGESTIVE,PANCREAS,ENDOMETRIUM,PROSTATE,THYROID,PLEURA,STOMACH,URINARY,GANGLIA,OVARY,LARGE_INTESTINE,SALIVARY,BILIARY,SOFT_TISSUE,BONE,LUNG,HAEMATOPOIETIC,NERVOUS,BREAST,LIVER,SKIN
45,0.0,2.0,10.0,5.0,1.0,3.0,8.0,13.0,4.0,6.0,7.0,17.0,9.0,11.0,15.0,16.0,12.0,20.0,14.0,19.0,18.0,21.0,22.0
94,0.0,2.0,3.0,6.0,1.0,5.0,4.0,13.0,7.0,8.0,10.0,9.0,11.0,12.0,14.0,15.0,19.0,17.0,16.0,20.0,18.0,21.0,22.0
143,0.0,2.0,3.0,5.0,1.0,8.0,4.0,13.0,6.0,9.0,11.0,10.0,7.0,12.0,14.0,15.0,18.0,17.0,16.0,20.0,19.0,21.0,22.0
192,0.0,10.0,3.0,5.0,1.0,2.0,4.0,12.0,7.0,16.0,8.0,9.0,6.0,11.0,13.0,14.0,15.0,19.0,17.0,20.0,18.0,21.0,22.0
241,0.0,2.0,3.0,6.0,1.0,4.0,5.0,14.0,7.0,8.0,10.0,9.0,11.0,13.0,15.0,12.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
290,0.0,2.0,13.0,5.0,1.0,3.0,4.0,14.0,6.0,7.0,10.0,8.0,11.0,12.0,15.0,20.0,16.0,19.0,9.0,17.0,18.0,21.0,22.0
339,0.0,2.0,4.0,1.0,3.0,6.0,5.0,12.0,7.0,8.0,9.0,16.0,10.0,11.0,13.0,14.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
388,0.0,2.0,3.0,6.0,1.0,4.0,5.0,14.0,7.0,16.0,8.0,9.0,10.0,12.0,15.0,11.0,13.0,19.0,17.0,20.0,18.0,21.0,22.0
437,0.0,9.0,3.0,5.0,1.0,2.0,4.0,13.0,6.0,7.0,10.0,8.0,11.0,12.0,15.0,16.0,17.0,18.0,14.0,19.0,20.0,21.0,22.0
486,0.0,2.0,4.0,5.0,9.0,6.0,3.0,10.0,14.0,13.0,7.0,1.0,8.0,12.0,11.0,16.0,18.0,21.0,15.0,19.0,20.0,17.0,22.0
535,1.0,0.0,5.0,2.0,9.0,4.0,3.0,6.0,13.0,12.0,7.0,11.0,8.0,14.0,10.0,15.0,16.0,18.0,17.0,20.0,21.0,19.0,22.0
584,2.0,1.0,4.0,0.0,7.0,5.0,3.0,6.0,8.0,9.0,11.0,10.0,12.0,14.0,16.0,13.0,15.0,17.0,20.0,19.0,18.0,21.0,22.0
633,0.0,2.0,4.0,1.0,8.0,7.0,6.0,5.0,3.0,9.0,11.0,10.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
682,1.0,4.0,12.0,0.0,2.0,6.0,3.0,5.0,8.0,9.0,7.0,10.0,11.0,13.0,15.0,16.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
731,1.0,3.0,6.0,0.0,2.0,5.0,4.0,13.0,7.0,8.0,10.0,9.0,16.0,11.0,14.0,15.0,12.0,17.0,18.0,20.0,19.0,21.0,22.0
780,3.0,1.0,5.0,0.0,4.0,7.0,11.0,6.0,2.0,8.0,10.0,9.0,14.0,12.0,15.0,16.0,13.0,20.0,17.0,19.0,18.0,21.0,22.0
829,2.0,1.0,4.0,0.0,3.0,8.0,6.0,5.0,7.0,9.0,11.0,10.0,12.0,14.0,16.0,13.0,15.0,18.0,17.0,20.0,19.0,21.0,22.0
878,2.0,1.0,4.0,0.0,12.0,6.0,5.0,3.0,8.0,18.0,7.0,9.0,10.0,11.0,14.0,16.0,13.0,15.0,17.0,20.0,19.0,21.0,22.0
927,1.0,2.0,3.0,0.0,5.0,10.0,6.0,4.0,7.0,11.0,12.0,8.0,9.0,13.0,15.0,16.0,14.0,18.0,17.0,19.0,20.0,21.0,22.0
976,2.0,0.0,12.0,1.0,5.0,3.0,11.0,4.0,7.0,8.0,10.0,9.0,6.0,13.0,15.0,20.0,14.0,17.0,16.0,18.0,19.0,21.0,22.0
1025,1.0,5.0,0.0,2.0,3.0,6.0,4.0,11.0,7.0,15.0,9.0,14.0,10.0,8.0,12.0,13.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
1074,1.0,0.0,5.0,2.0,3.0,4.0,10.0,14.0,6.0,20.0,7.0,8.0,9.0,12.0,15.0,11.0,13.0,17.0,21.0,16.0,18.0,19.0,22.0
