,PCDH1,ELF3,KIF2A,NTN4,RP5-914P20.5,FKBP2,HAUS1,F2RL1,SVIL,EPB41L1,USP34,WHSC1L1,RP11-680F8.3,HSPA1A,TRGV5P,LINC00511,ORC1,DMRTA1,MKRN2,SHANK2,HTRA2,ITPRIPL1,PPIE,CD59,TAB1,FA2H,HLA-V,PTHLH,WASL,TFAP2A
11,141.0,32.0,0.0,65.0,44.0,5.0,35.0,21390.0,2.0,248.0,16713.0,30.0,5161.0,289.0,345.0,7.0,129.0,9.0,12706.0,287.0,47.0,106.0,16332.0,140.0,166.0,102.0,1302.0,1.0,222.0,120.0
60,1.0,55.0,16.0,19.0,10.0,86.0,33.0,43.0,11.0,7138.0,112.0,89.0,613.0,21295.0,153.0,41.0,9.0,3.0,12697.0,83.0,72.0,20.0,13.0,104.0,141.0,23.0,7.0,4962.0,102.0,29.0
109,0.0,7.0,29.0,15.0,5.0,9.0,123.0,51.0,3.0,7141.0,16.0,39.0,105.0,21301.0,192.0,26.0,20.0,1.0,175.0,5514.0,13.0,16954.0,14.0,5444.0,9790.0,31.0,12.0,8.0,103.0,67.0
158,17.0,1.0,18.0,3.0,4.0,64.0,10.0,24.0,5.0,7125.0,55.0,28.0,60.0,21074.0,127.0,8.0,13.0,19.0,543.0,5508.0,57.0,89.0,730.0,56.0,192.0,53.0,190.0,81.0,59.0,27.0
207,18.0,4.0,49.0,74.0,97.0,0.0,52.0,165.0,70.0,7089.0,111.0,14.0,830.0,158.0,91.0,13.0,32.0,5.0,137.0,114.0,96.0,69.0,16289.0,4270.0,3.0,26.0,7.0,105.0,146.0,10.0
256,0.0,4.0,2.0,19.0,1.0,131.0,230.0,82.0,61.0,7153.0,189.0,64.0,68.0,382.0,144.0,18.0,194.0,104.0,108.0,295.0,52.0,46.0,58.0,99.0,8.0,140.0,7.0,5824.0,109.0,20816.0
305,6.0,5.0,11.0,24.0,111.0,114.0,1.0,76.0,63.0,7176.0,170.0,61.0,71.0,21191.0,50.0,23.0,55.0,0.0,218.0,40.0,10.0,8.0,100.0,5475.0,332.0,85.0,27.0,21.0,108.0,112.0
354,27.0,170.0,14.0,167.0,7656.0,2.0,160.0,25.0,9.0,39.0,7.0,20.0,4067.0,21304.0,122.0,21.0,46.0,60.0,92.0,329.0,17269.0,315.0,65.0,118.0,140.0,126.0,87.0,1.0,22531.0,213.0
403,57.0,2.0,21.0,5.0,0.0,9.0,42.0,77.0,52.0,7154.0,83.0,14.0,7.0,198.0,190.0,53.0,168.0,44.0,160.0,106.0,16.0,40.0,82.0,17.0,10.0,61.0,141.0,217.0,18.0,50.0
452,52.0,6.0,10.0,3.0,1066.0,15.0,24.0,56.0,36.0,7132.0,51.0,32.0,58.0,189.0,134.0,8.0,42.0,5.0,12799.0,5488.0,80.0,46.0,103.0,45.0,93.0,50.0,131.0,120.0,94.0,23.0
501,21839.0,2.0,10.0,19.0,4.0,3.0,45.0,0.0,22.0,7135.0,30.0,83.0,77.0,28.0,152.0,78.0,57.0,13.0,6.0,108.0,32.0,105.0,16284.0,50.0,9762.0,185.0,11.0,125.0,12.0,1192.0
550,53.0,1.0,57.0,18.0,14.0,0.0,67.0,20.0,22.0,502.0,975.0,34.0,24.0,21298.0,164.0,6.0,13.0,3.0,180.0,50.0,12.0,64.0,1001.0,35.0,43.0,138.0,21260.0,5695.0,117.0,303.0
599,21779.0,70.0,25.0,3.0,106.0,50.0,19.0,23.0,15.0,9.0,205.0,57.0,30.0,1.0,14.0,11872.0,66.0,231.0,138.0,5498.0,2.0,72.0,16300.0,36.0,151.0,127.0,33.0,4948.0,37.0,20806.0
648,82.0,5.0,0.0,2.0,7664.0,1.0,13.0,30.0,11.0,122.0,143.0,157.0,169.0,48.0,36.0,3.0,6.0,202.0,12674.0,29.0,9.0,77.0,338.0,61.0,17.0,87.0,204.0,97.0,140.0,201.0
697,15.0,3.0,52.0,22.0,1.0,93.0,100.0,11.0,12.0,7267.0,16713.0,71.0,49.0,155.0,36.0,13.0,206.0,6.0,104.0,140.0,21.0,136.0,16317.0,115.0,29.0,98.0,0.0,61.0,196.0,20720.0
746,21722.0,25.0,2.0,17.0,6.0,72.0,15.0,47.0,112.0,9687.0,136.0,35.0,60.0,145.0,160.0,14.0,50.0,86.0,71.0,266.0,9.0,131.0,16319.0,88.0,91.0,10685.0,23.0,7629.0,171.0,119.0
795,21716.0,1.0,0.0,63.0,175.0,45.0,23.0,30.0,22.0,12.0,83.0,32.0,50.0,3.0,6.0,17.0,143.0,20.0,93.0,261.0,58.0,101.0,16315.0,177.0,9.0,88.0,71.0,140.0,173.0,220.0
844,15.0,20.0,17.0,0.0,5.0,3.0,53.0,63.0,97.0,10056.0,95.0,6.0,10.0,70.0,46.0,193.0,472.0,9.0,157.0,170.0,18.0,68.0,16306.0,139.0,4441.0,167.0,12.0,7566.0,64.0,130.0
