,KRAS_MUT,NRAS_MUT,BRAF_MUT,KANK1_AMP,OR2T29_AMP,ANKS1B_DEL,DMBT1_DEL,GRIN2A_DEL,GRIN2B_DEL,TMEM230_DEL,GRIN2D_DEL,WDR91_DEL,ZCCHC4_DEL,GRIK4_DEL,ZBTB44_DEL,FOXN3-AS2_DEL,CCDC113_DEL,SETD2_DEL,ABR_DEL,MRPL18_DEL,LINC00339_DEL,MED4_DEL,STXBP6_DEL,TIMM21_DEL,NDUFAF4_DEL,CHMP4A_DEL,CCDC59_DEL,THYN1_DEL,MRPL15_DEL,RANGRF_DEL
34,20.0,1.0,3.0,2.0,15018.0,32.0,19.0,105.0,104.0,102.0,101.0,108.0,79.0,109.0,58.0,106.0,57.0,60.0,117.0,59.0,72.0,78.0,73.0,74.0,52.0,61.0,62.0,76.0,75.0,71.0
83,0.0,4.0,5.0,19.0,15016.0,2.0,6.0,61.0,78.0,77.0,76.0,74.0,73.0,59.0,71.0,79.0,70.0,69.0,43.0,68.0,187.0,64.0,124.0,167.0,65.0,62.0,63.0,104.0,123.0,186.0
132,0.0,2.0,4.0,19.0,15015.0,10.0,1.0,41.0,49.0,78.0,59.0,77.0,76.0,45.0,74.0,43.0,73.0,72.0,46.0,71.0,196.0,68.0,81.0,62.0,69.0,66.0,67.0,64.0,63.0,123.0
181,0.0,42.0,40.0,15.0,21.0,11545.0,5452.0,45.0,46.0,49.0,67.0,53.0,55.0,50.0,58.0,48.0,61.0,62.0,64.0,65.0,44.0,63.0,52.0,54.0,51.0,59.0,60.0,57.0,56.0,47.0
230,0.0,37.0,3.0,31.0,4.0,20.0,5451.0,53.0,47.0,69.0,56.0,55.0,59.0,46.0,61.0,45.0,62.0,63.0,48.0,64.0,49.0,54.0,50.0,52.0,67.0,60.0,68.0,58.0,57.0,44.0
279,0.0,1.0,32.0,13246.0,15012.0,19.0,3.0,46.0,45.0,44.0,43.0,42.0,58.0,52.0,73.0,51.0,69.0,68.0,54.0,74.0,48.0,61.0,72.0,65.0,62.0,57.0,60.0,63.0,64.0,55.0
328,1.0,27.0,3.0,13247.0,15014.0,11545.0,0.0,47.0,48.0,49.0,50.0,52.0,58.0,91.0,64.0,44.0,66.0,43.0,70.0,67.0,62.0,45.0,63.0,55.0,57.0,68.0,59.0,53.0,54.0,61.0
377,0.0,40.0,1.0,13253.0,15033.0,11.0,18.0,52.0,51.0,50.0,49.0,56.0,63.0,62.0,74.0,53.0,85.0,83.0,55.0,82.0,67.0,78.0,68.0,69.0,79.0,76.0,77.0,72.0,70.0,66.0
426,0.0,39.0,2.0,3.0,15018.0,17.0,5454.0,43.0,42.0,41.0,48.0,57.0,58.0,49.0,59.0,56.0,76.0,74.0,50.0,73.0,122.0,67.0,100.0,61.0,70.0,64.0,65.0,63.0,62.0,164.0
475,0.0,44.0,39.0,4.0,15016.0,11551.0,5454.0,47.0,46.0,54.0,63.0,70.0,67.0,50.0,66.0,48.0,71.0,64.0,52.0,62.0,56.0,57.0,68.0,65.0,58.0,69.0,55.0,59.0,61.0,53.0
524,15.0,13.0,1.0,13233.0,15046.0,11551.0,4.0,42.0,61.0,63.0,84.0,64.0,83.0,44.0,82.0,43.0,81.0,80.0,45.0,79.0,69.0,76.0,70.0,71.0,77.0,74.0,75.0,73.0,72.0,68.0
573,0.0,19.0,38.0,13251.0,15047.0,11551.0,15.0,46.0,45.0,44.0,62.0,63.0,64.0,48.0,65.0,47.0,83.0,82.0,49.0,81.0,70.0,78.0,71.0,72.0,79.0,76.0,77.0,84.0,73.0,69.0
622,6.0,3.0,25.0,33.0,15046.0,1.0,17.0,59.0,49.0,48.0,46.0,45.0,44.0,53.0,58.0,52.0,60.0,61.0,55.0,78.0,63.0,75.0,65.0,66.0,76.0,73.0,74.0,70.0,69.0,112.0
671,0.0,38.0,4.0,33.0,35.0,3.0,5456.0,45.0,43.0,42.0,41.0,60.0,61.0,47.0,76.0,46.0,75.0,73.0,59.0,72.0,124.0,67.0,123.0,101.0,68.0,65.0,66.0,64.0,62.0,186.0
720,0.0,1.0,16535.0,13242.0,15011.0,14.0,23.0,50.0,49.0,48.0,47.0,46.0,70.0,52.0,61.0,51.0,78.0,77.0,53.0,76.0,65.0,73.0,66.0,67.0,74.0,80.0,72.0,71.0,69.0,64.0
769,0.0,2.0,5.0,13251.0,15044.0,1.0,7.0,72.0,94.0,70.0,45.0,48.0,46.0,98.0,47.0,97.0,49.0,69.0,44.0,51.0,60.0,66.0,61.0,62.0,67.0,50.0,65.0,64.0,63.0,59.0
818,0.0,4.0,1.0,13245.0,16.0,19.0,30.0,112.0,111.0,109.0,85.0,84.0,83.0,114.0,60.0,113.0,57.0,56.0,116.0,55.0,82.0,50.0,61.0,59.0,51.0,46.0,49.0,45.0,44.0,62.0
867,0.0,3.0,27.0,13250.0,15042.0,4.0,14.0,48.0,56.0,67.0,57.0,76.0,75.0,44.0,74.0,43.0,72.0,71.0,46.0,70.0,59.0,66.0,60.0,61.0,68.0,64.0,65.0,63.0,62.0,102.0
916,0.0,3.0,2.0,13248.0,15016.0,18.0,1.0,77.0,95.0,75.0,53.0,51.0,50.0,99.0,49.0,76.0,47.0,54.0,101.0,45.0,64.0,57.0,66.0,74.0,65.0,70.0,72.0,69.0,68.0,63.0
965,15987.0,2.0,16538.0,13250.0,15030.0,16.0,5453.0,75.0,114.0,74.0,55.0,52.0,42.0,99.0,43.0,98.0,44.0,45.0,100.0,53.0,65.0,50.0,68.0,69.0,49.0,72.0,51.0,71.0,70.0,61.0
1014,0.0,38.0,1.0,24.0,15017.0,11545.0,5455.0,50.0,61.0,70.0,62.0,77.0,76.0,44.0,75.0,43.0,73.0,72.0,45.0,79.0,53.0,67.0,60.0,42.0,68.0,65.0,66.0,64.0,63.0,55.0
1063,0.0,2.0,1.0,31.0,15017.0,11547.0,18.0,60.0,62.0,80.0,77.0,76.0,75.0,44.0,81.0,59.0,72.0,69.0,45.0,68.0,184.0,64.0,186.0,127.0,65.0,84.0,63.0,126.0,199.0,183.0
1112,1.0,3.0,0.0,4.0,7.0,11556.0,5451.0,42.0,48.0,50.0,52.0,46.0,55.0,51.0,56.0,49.0,72.0,70.0,93.0,66.0,112.0,63.0,110.0,57.0,65.0,61.0,62.0,60.0,58.0,183.0
1161,1.0,3.0,0.0,13250.0,22.0,11558.0,5451.0,57.0,48.0,47.0,45.0,44.0,43.0,58.0,80.0,51.0,60.0,78.0,54.0,77.0,112.0,74.0,61.0,62.0,75.0,67.0,68.0,64.0,63.0,123.0
1210,0.0,2.0,37.0,15.0,15018.0,3.0,5457.0,100.0,99.0,98.0,76.0,77.0,115.0,102.0,54.0,101.0,53.0,47.0,103.0,45.0,66.0,50.0,69.0,70.0,55.0,58.0,57.0,72.0,71.0,65.0
1259,0.0,1.0,40.0,13250.0,7.0,30.0,19.0,80.0,107.0,78.0,57.0,54.0,50.0,101.0,47.0,100.0,49.0,52.0,102.0,55.0,68.0,76.0,69.0,70.0,60.0,74.0,75.0,73.0,72.0,67.0
1308,0.0,1.0,2.0,13251.0,3.0,11548.0,17.0,80.0,79.0,78.0,77.0,76.0,74.0,54.0,81.0,72.0,73.0,71.0,45.0,70.0,184.0,66.0,125.0,126.0,68.0,84.0,65.0,124.0,166.0,183.0
1357,0.0,2.0,1.0,13253.0,27.0,11549.0,33.0,45.0,44.0,43.0,42.0,41.0,58.0,47.0,59.0,46.0,77.0,76.0,57.0,75.0,62.0,70.0,63.0,64.0,71.0,67.0,68.0,66.0,65.0,61.0
1406,1.0,2.0,0.0,13252.0,15044.0,18.0,5456.0,68.0,52.0,48.0,53.0,45.0,46.0,70.0,54.0,92.0,56.0,57.0,95.0,55.0,60.0,62.0,61.0,63.0,59.0,65.0,64.0,47.0,66.0,67.0
1455,0.0,37.0,3.0,13248.0,6.0,11546.0,1.0,76.0,94.0,61.0,55.0,54.0,53.0,99.0,48.0,98.0,45.0,44.0,101.0,56.0,43.0,62.0,71.0,69.0,60.0,66.0,63.0,67.0,68.0,73.0
1504,0.0,3.0,2.0,33.0,1.0,12.0,17.0,45.0,44.0,51.0,59.0,70.0,60.0,48.0,79.0,46.0,78.0,77.0,49.0,75.0,62.0,72.0,63.0,66.0,73.0,69.0,71.0,68.0,67.0,103.0
