,HAEMATOPOIETIC,GANGLIA,URINARY,NERVOUS,SKIN,PANCREAS,LUNG,STOMACH,OVARY,LIVER,BREAST,LARGE_INTESTINE,OESOPHAGUS,AERODIGESTIVE,PROSTATE,PLEURA,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,ENDOMETRIUM,BILIARY
47,0.0,12.0,2.0,3.0,1.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
96,1.0,2.0,0.0,3.0,6.0,4.0,5.0,9.0,8.0,11.0,10.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
145,0.0,12.0,1.0,3.0,6.0,5.0,4.0,7.0,10.0,11.0,9.0,2.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,1.0,0.0,2.0,4.0,3.0,5.0,6.0,11.0,7.0,8.0,10.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
243,1.0,0.0,2.0,4.0,7.0,3.0,6.0,8.0,5.0,12.0,11.0,9.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
292,0.0,12.0,2.0,1.0,3.0,4.0,6.0,9.0,5.0,8.0,10.0,7.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
341,0.0,1.0,2.0,3.0,5.0,6.0,7.0,10.0,8.0,11.0,4.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,0.0,1.0,2.0,3.0,5.0,4.0,8.0,7.0,6.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
439,1.0,0.0,3.0,5.0,2.0,4.0,7.0,6.0,8.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
488,1.0,12.0,2.0,3.0,5.0,4.0,6.0,11.0,7.0,0.0,10.0,8.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
537,1.0,0.0,2.0,3.0,8.0,4.0,6.0,12.0,9.0,11.0,7.0,5.0,10.0,14.0,15.0,16.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
586,2.0,1.0,3.0,4.0,6.0,5.0,10.0,8.0,11.0,14.0,9.0,13.0,12.0,15.0,16.0,17.0,7.0,18.0,0.0,19.0,20.0,21.0,22.0
635,1.0,0.0,2.0,3.0,5.0,4.0,6.0,11.0,8.0,12.0,7.0,13.0,9.0,14.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
684,2.0,3.0,1.0,6.0,7.0,8.0,9.0,5.0,11.0,12.0,10.0,13.0,4.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
733,0.0,12.0,1.0,2.0,5.0,3.0,4.0,9.0,8.0,7.0,6.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
782,1.0,0.0,2.0,4.0,3.0,5.0,8.0,12.0,6.0,9.0,7.0,11.0,10.0,14.0,15.0,16.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
831,3.0,0.0,4.0,6.0,5.0,7.0,9.0,10.0,11.0,13.0,8.0,12.0,14.0,15.0,16.0,17.0,1.0,18.0,2.0,19.0,20.0,21.0,22.0
880,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
929,2.0,0.0,4.0,6.0,3.0,5.0,7.0,10.0,11.0,9.0,13.0,12.0,14.0,15.0,16.0,17.0,8.0,18.0,1.0,19.0,20.0,21.0,22.0
978,2.0,1.0,3.0,4.0,5.0,6.0,11.0,13.0,9.0,10.0,12.0,8.0,7.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
1027,1.0,0.0,2.0,4.0,3.0,5.0,8.0,10.0,7.0,12.0,9.0,6.0,13.0,14.0,15.0,16.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
1076,2.0,3.0,4.0,6.0,0.0,7.0,9.0,8.0,10.0,11.0,12.0,5.0,13.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
1125,0.0,1.0,2.0,4.0,3.0,6.0,8.0,12.0,9.0,11.0,7.0,5.0,13.0,14.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,2.0,1.0,3.0,7.0,4.0,5.0,10.0,11.0,13.0,6.0,8.0,9.0,14.0,15.0,16.0,17.0,12.0,18.0,0.0,19.0,20.0,21.0,22.0
1223,1.0,2.0,4.0,6.0,3.0,7.0,11.0,9.0,14.0,8.0,13.0,5.0,12.0,15.0,16.0,17.0,10.0,18.0,0.0,19.0,20.0,21.0,22.0
1272,1.0,2.0,3.0,5.0,4.0,9.0,12.0,8.0,10.0,13.0,14.0,6.0,11.0,15.0,16.0,17.0,7.0,18.0,0.0,19.0,20.0,21.0,22.0
1321,1.0,0.0,3.0,4.0,2.0,5.0,7.0,9.0,6.0,12.0,8.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,1.0,0.0,3.0,6.0,4.0,7.0,8.0,10.0,9.0,2.0,12.0,5.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1419,2.0,0.0,3.0,5.0,4.0,6.0,7.0,10.0,12.0,11.0,8.0,9.0,13.0,15.0,16.0,17.0,14.0,18.0,1.0,19.0,20.0,21.0,22.0
