,MEK1_pS217_S221,Akt_pS473,A-Raf_pS299,Annexin_VII,GAPDH,VAV1,Bcl-2,MIG-6,GATA3,Src,CDK1,p70S6K_pT389,Claudin-7,VHL,SHP-2_pY542,AR,PDK1_pS241,Gab2,FOXO3a,4E-BP1,XBP1,PDK1,p38_MAPK,Shc_pY317,PREX1,EGFR_pY1068,VEGFR2,p38_pT180_Y182,p62 Lck ligand,PRDX1
4,0.0,1.0,2.0,29.0,105.0,14.0,12.0,37.0,6.0,51.0,7.0,22.0,64.0,5.0,25.0,44.0,3.0,83.0,15.0,112.0,39.0,9.0,96.0,47.0,87.0,106.0,123.0,43.0,101.0,35.0
53,5.0,1.0,13.0,24.0,8.0,0.0,7.0,47.0,58.0,2.0,3.0,51.0,11.0,4.0,10.0,54.0,36.0,87.0,6.0,49.0,133.0,21.0,69.0,19.0,74.0,63.0,41.0,53.0,27.0,110.0
102,0.0,5.0,4.0,7.0,2.0,13.0,3.0,19.0,49.0,9.0,140.0,30.0,8.0,15.0,26.0,79.0,34.0,130.0,29.0,18.0,16.0,10.0,38.0,23.0,25.0,31.0,147.0,124.0,74.0,24.0
151,0.0,6.0,3.0,4.0,5.0,16.0,17.0,7.0,2.0,40.0,8.0,13.0,23.0,20.0,25.0,151.0,12.0,38.0,29.0,158.0,134.0,18.0,14.0,19.0,118.0,61.0,111.0,70.0,22.0,39.0
200,0.0,2.0,1.0,5.0,4.0,88.0,3.0,7.0,17.0,95.0,10.0,25.0,11.0,20.0,33.0,77.0,160.0,94.0,12.0,119.0,62.0,39.0,134.0,6.0,108.0,35.0,67.0,41.0,36.0,9.0
249,0.0,3.0,2.0,11.0,23.0,10.0,1.0,31.0,33.0,17.0,133.0,27.0,4.0,9.0,8.0,19.0,52.0,12.0,50.0,61.0,44.0,39.0,107.0,68.0,80.0,48.0,109.0,95.0,148.0,145.0
298,1.0,0.0,11.0,2.0,100.0,15.0,4.0,7.0,23.0,139.0,10.0,25.0,6.0,3.0,54.0,76.0,24.0,75.0,49.0,61.0,106.0,135.0,136.0,12.0,40.0,37.0,30.0,19.0,50.0,29.0
347,1.0,0.0,15.0,9.0,28.0,5.0,2.0,24.0,12.0,27.0,8.0,46.0,16.0,26.0,13.0,11.0,4.0,87.0,25.0,99.0,23.0,43.0,90.0,6.0,47.0,81.0,33.0,83.0,85.0,41.0
396,0.0,3.0,9.0,12.0,13.0,7.0,46.0,50.0,10.0,27.0,2.0,4.0,23.0,16.0,1.0,25.0,21.0,117.0,6.0,51.0,28.0,35.0,76.0,19.0,41.0,81.0,47.0,116.0,120.0,31.0
445,0.0,4.0,2.0,1.0,35.0,14.0,6.0,27.0,3.0,59.0,43.0,7.0,11.0,8.0,22.0,62.0,9.0,81.0,5.0,76.0,96.0,45.0,128.0,30.0,23.0,53.0,64.0,84.0,17.0,32.0
494,2.0,0.0,1.0,3.0,23.0,5.0,4.0,8.0,29.0,10.0,99.0,56.0,6.0,11.0,72.0,19.0,7.0,9.0,88.0,37.0,84.0,103.0,31.0,14.0,27.0,20.0,12.0,17.0,32.0,97.0
543,2.0,0.0,4.0,8.0,19.0,52.0,12.0,1.0,15.0,41.0,31.0,75.0,7.0,17.0,64.0,14.0,9.0,6.0,99.0,26.0,48.0,38.0,58.0,16.0,113.0,3.0,13.0,60.0,132.0,96.0
592,0.0,1.0,2.0,14.0,13.0,25.0,10.0,4.0,110.0,6.0,15.0,9.0,3.0,20.0,98.0,21.0,17.0,12.0,32.0,36.0,22.0,33.0,37.0,5.0,11.0,85.0,28.0,84.0,19.0,156.0
641,2.0,0.0,1.0,13.0,3.0,7.0,5.0,15.0,37.0,4.0,30.0,102.0,10.0,20.0,12.0,42.0,65.0,21.0,8.0,95.0,28.0,16.0,44.0,43.0,56.0,45.0,17.0,105.0,99.0,141.0
690,0.0,1.0,2.0,6.0,3.0,8.0,13.0,12.0,49.0,48.0,16.0,94.0,26.0,4.0,10.0,39.0,81.0,9.0,128.0,89.0,51.0,40.0,14.0,35.0,101.0,30.0,5.0,18.0,34.0,57.0
739,2.0,0.0,4.0,10.0,3.0,5.0,11.0,1.0,72.0,7.0,23.0,40.0,6.0,12.0,125.0,103.0,16.0,42.0,51.0,50.0,66.0,83.0,54.0,34.0,8.0,14.0,52.0,41.0,27.0,95.0
788,0.0,2.0,9.0,13.0,4.0,11.0,6.0,8.0,7.0,10.0,78.0,17.0,1.0,5.0,45.0,19.0,50.0,42.0,80.0,77.0,29.0,110.0,26.0,27.0,31.0,15.0,112.0,20.0,16.0,49.0
837,2.0,0.0,4.0,5.0,1.0,6.0,8.0,3.0,16.0,11.0,7.0,14.0,56.0,39.0,37.0,28.0,29.0,40.0,12.0,45.0,95.0,46.0,20.0,10.0,44.0,27.0,22.0,61.0,35.0,53.0
886,1.0,0.0,2.0,11.0,9.0,28.0,8.0,14.0,29.0,3.0,70.0,141.0,15.0,4.0,89.0,47.0,17.0,19.0,21.0,91.0,12.0,55.0,18.0,76.0,95.0,75.0,10.0,63.0,59.0,54.0
935,1.0,0.0,4.0,6.0,81.0,80.0,5.0,3.0,15.0,66.0,12.0,40.0,2.0,8.0,11.0,35.0,132.0,34.0,44.0,18.0,19.0,110.0,16.0,27.0,77.0,37.0,30.0,17.0,10.0,46.0
984,1.0,0.0,8.0,2.0,131.0,7.0,9.0,19.0,5.0,96.0,17.0,16.0,107.0,97.0,27.0,20.0,18.0,94.0,26.0,29.0,6.0,14.0,58.0,53.0,10.0,52.0,11.0,76.0,12.0,15.0
1033,1.0,3.0,7.0,35.0,26.0,16.0,15.0,12.0,94.0,65.0,69.0,2.0,17.0,20.0,10.0,88.0,11.0,25.0,22.0,36.0,47.0,0.0,75.0,6.0,49.0,29.0,23.0,28.0,13.0,97.0
1082,1.0,6.0,5.0,36.0,10.0,0.0,14.0,63.0,4.0,86.0,57.0,11.0,50.0,53.0,15.0,115.0,100.0,3.0,44.0,65.0,35.0,23.0,18.0,8.0,2.0,28.0,70.0,21.0,17.0,24.0
1131,0.0,3.0,1.0,4.0,21.0,52.0,31.0,34.0,15.0,13.0,5.0,42.0,14.0,9.0,6.0,11.0,27.0,24.0,7.0,26.0,18.0,98.0,56.0,58.0,25.0,10.0,2.0,38.0,33.0,54.0
1180,3.0,13.0,1.0,0.0,4.0,39.0,12.0,27.0,5.0,56.0,50.0,10.0,2.0,9.0,14.0,148.0,36.0,7.0,11.0,6.0,46.0,76.0,40.0,24.0,51.0,135.0,22.0,18.0,58.0,20.0
1229,0.0,5.0,133.0,2.0,45.0,36.0,42.0,59.0,137.0,46.0,24.0,31.0,4.0,19.0,17.0,8.0,21.0,7.0,54.0,44.0,51.0,28.0,11.0,10.0,153.0,25.0,35.0,14.0,94.0,26.0
1278,6.0,0.0,1.0,11.0,5.0,21.0,7.0,10.0,26.0,20.0,107.0,31.0,9.0,3.0,126.0,89.0,47.0,117.0,62.0,24.0,96.0,12.0,33.0,8.0,2.0,4.0,53.0,49.0,22.0,108.0
1327,4.0,12.0,0.0,14.0,36.0,1.0,33.0,5.0,79.0,9.0,91.0,15.0,3.0,56.0,50.0,47.0,13.0,17.0,7.0,70.0,24.0,2.0,34.0,51.0,35.0,11.0,18.0,6.0,23.0,16.0
1376,15.0,7.0,0.0,2.0,42.0,13.0,67.0,83.0,6.0,8.0,22.0,1.0,3.0,78.0,5.0,74.0,25.0,26.0,128.0,10.0,47.0,12.0,114.0,24.0,4.0,21.0,130.0,23.0,58.0,9.0
1425,0.0,2.0,3.0,1.0,51.0,8.0,12.0,32.0,26.0,76.0,5.0,48.0,7.0,38.0,29.0,80.0,34.0,145.0,24.0,88.0,60.0,39.0,68.0,6.0,35.0,30.0,25.0,21.0,77.0,117.0
1474,4.0,0.0,2.0,6.0,46.0,1.0,20.0,31.0,17.0,3.0,21.0,19.0,135.0,121.0,64.0,109.0,16.0,29.0,115.0,5.0,79.0,38.0,15.0,37.0,30.0,61.0,120.0,8.0,154.0,12.0
1523,8.0,0.0,3.0,7.0,20.0,1.0,2.0,21.0,34.0,13.0,4.0,24.0,66.0,128.0,19.0,77.0,133.0,5.0,153.0,27.0,31.0,154.0,15.0,37.0,57.0,52.0,41.0,23.0,25.0,12.0
