,MEK1_pS217_S221,Akt_pS473,A-Raf_pS299,Annexin_VII,GAPDH,VAV1,Bcl-2,MIG-6,GATA3,Src,CDK1,p70S6K_pT389,Claudin-7,VHL,SHP-2_pY542,AR,PDK1_pS241,Gab2,FOXO3a,4E-BP1,XBP1,PDK1,p38_MAPK,Shc_pY317,PREX1,EGFR_pY1068,VEGFR2,p38_pT180_Y182,p62 Lck ligand,PRDX1
1572,6.0,0.0,9.0,2.0,7.0,3.0,1.0,56.0,63.0,61.0,4.0,81.0,84.0,18.0,5.0,23.0,22.0,25.0,64.0,50.0,12.0,36.0,42.0,89.0,16.0,26.0,106.0,48.0,105.0,37.0
1621,0.0,9.0,1.0,32.0,17.0,4.0,2.0,46.0,8.0,7.0,3.0,5.0,77.0,101.0,12.0,6.0,10.0,125.0,22.0,30.0,50.0,45.0,28.0,24.0,112.0,79.0,33.0,11.0,116.0,66.0
1670,11.0,0.0,10.0,2.0,8.0,35.0,14.0,18.0,3.0,5.0,1.0,13.0,58.0,76.0,6.0,33.0,42.0,50.0,122.0,16.0,4.0,19.0,79.0,22.0,20.0,88.0,21.0,12.0,119.0,43.0
1719,2.0,5.0,0.0,4.0,3.0,7.0,11.0,87.0,8.0,9.0,1.0,17.0,106.0,35.0,109.0,15.0,14.0,28.0,60.0,10.0,29.0,53.0,43.0,74.0,13.0,135.0,115.0,45.0,42.0,22.0
1768,1.0,6.0,5.0,7.0,29.0,0.0,4.0,54.0,11.0,2.0,26.0,3.0,10.0,35.0,51.0,22.0,40.0,43.0,27.0,49.0,12.0,77.0,38.0,16.0,62.0,20.0,95.0,23.0,70.0,18.0
1817,0.0,3.0,1.0,4.0,17.0,2.0,28.0,26.0,5.0,10.0,24.0,22.0,36.0,57.0,41.0,88.0,101.0,40.0,52.0,12.0,6.0,25.0,48.0,64.0,42.0,86.0,132.0,11.0,35.0,15.0
1866,0.0,3.0,5.0,4.0,6.0,18.0,2.0,53.0,1.0,15.0,8.0,9.0,126.0,31.0,32.0,17.0,23.0,84.0,20.0,79.0,16.0,118.0,22.0,41.0,106.0,138.0,143.0,11.0,50.0,52.0
1915,2.0,0.0,10.0,15.0,3.0,8.0,1.0,6.0,28.0,7.0,4.0,63.0,99.0,61.0,83.0,44.0,31.0,26.0,27.0,37.0,34.0,150.0,55.0,86.0,11.0,54.0,50.0,25.0,9.0,24.0
1964,0.0,1.0,3.0,6.0,5.0,2.0,35.0,45.0,7.0,9.0,18.0,17.0,126.0,56.0,4.0,64.0,34.0,84.0,117.0,129.0,31.0,69.0,11.0,10.0,61.0,134.0,41.0,13.0,72.0,12.0
2013,1.0,0.0,5.0,3.0,8.0,2.0,18.0,10.0,22.0,6.0,76.0,4.0,72.0,71.0,9.0,123.0,16.0,110.0,37.0,31.0,24.0,29.0,30.0,117.0,15.0,104.0,133.0,7.0,43.0,58.0
2062,0.0,2.0,11.0,1.0,3.0,13.0,43.0,25.0,14.0,8.0,18.0,10.0,26.0,21.0,5.0,9.0,70.0,105.0,16.0,53.0,123.0,151.0,22.0,23.0,17.0,38.0,140.0,50.0,20.0,122.0
2111,3.0,1.0,2.0,0.0,4.0,68.0,16.0,5.0,17.0,24.0,21.0,7.0,56.0,122.0,15.0,123.0,63.0,8.0,10.0,41.0,33.0,9.0,13.0,90.0,6.0,89.0,163.0,79.0,47.0,51.0
2160,1.0,0.0,6.0,4.0,5.0,2.0,8.0,14.0,44.0,63.0,51.0,3.0,113.0,15.0,97.0,13.0,49.0,127.0,76.0,59.0,56.0,98.0,9.0,136.0,23.0,80.0,152.0,32.0,58.0,31.0
2209,0.0,1.0,2.0,7.0,26.0,6.0,8.0,4.0,58.0,31.0,13.0,3.0,46.0,24.0,17.0,14.0,64.0,27.0,37.0,22.0,34.0,80.0,5.0,117.0,98.0,53.0,115.0,28.0,52.0,41.0
2258,0.0,2.0,5.0,3.0,1.0,11.0,34.0,7.0,66.0,19.0,4.0,27.0,24.0,23.0,6.0,8.0,85.0,28.0,63.0,53.0,33.0,64.0,21.0,72.0,51.0,107.0,13.0,70.0,77.0,17.0
2307,0.0,1.0,10.0,4.0,3.0,2.0,13.0,16.0,12.0,7.0,23.0,6.0,72.0,69.0,8.0,14.0,15.0,38.0,30.0,42.0,85.0,40.0,27.0,43.0,77.0,107.0,49.0,47.0,41.0,28.0
2356,0.0,1.0,19.0,25.0,14.0,4.0,5.0,6.0,28.0,3.0,156.0,2.0,7.0,40.0,21.0,24.0,56.0,105.0,8.0,86.0,9.0,146.0,16.0,99.0,29.0,55.0,115.0,34.0,121.0,38.0
2405,0.0,1.0,9.0,6.0,22.0,10.0,8.0,48.0,3.0,28.0,20.0,2.0,72.0,65.0,14.0,12.0,46.0,136.0,7.0,11.0,71.0,17.0,61.0,66.0,77.0,85.0,153.0,37.0,49.0,58.0
2454,5.0,0.0,2.0,12.0,39.0,28.0,6.0,38.0,3.0,4.0,9.0,109.0,18.0,72.0,78.0,58.0,8.0,7.0,23.0,11.0,10.0,63.0,64.0,52.0,25.0,86.0,83.0,81.0,24.0,85.0
2503,5.0,0.0,3.0,8.0,9.0,52.0,32.0,18.0,2.0,24.0,12.0,39.0,31.0,21.0,4.0,26.0,7.0,11.0,6.0,34.0,15.0,19.0,74.0,87.0,37.0,58.0,91.0,51.0,33.0,46.0
2552,6.0,0.0,1.0,13.0,47.0,17.0,3.0,26.0,9.0,16.0,8.0,5.0,45.0,12.0,37.0,2.0,4.0,11.0,137.0,32.0,21.0,110.0,44.0,48.0,41.0,14.0,29.0,59.0,35.0,145.0
2601,14.0,0.0,8.0,12.0,2.0,3.0,32.0,30.0,48.0,10.0,1.0,7.0,11.0,9.0,50.0,41.0,6.0,5.0,60.0,4.0,43.0,122.0,24.0,125.0,35.0,27.0,22.0,110.0,163.0,31.0
2650,33.0,0.0,18.0,5.0,13.0,1.0,110.0,46.0,6.0,9.0,7.0,31.0,68.0,73.0,51.0,12.0,2.0,10.0,49.0,34.0,67.0,114.0,24.0,47.0,17.0,102.0,153.0,106.0,23.0,37.0
2699,5.0,0.0,1.0,25.0,6.0,4.0,37.0,106.0,8.0,32.0,15.0,43.0,3.0,33.0,91.0,16.0,9.0,14.0,22.0,19.0,34.0,17.0,138.0,116.0,41.0,11.0,29.0,79.0,18.0,47.0
2748,11.0,0.0,1.0,7.0,4.0,23.0,79.0,8.0,3.0,35.0,14.0,2.0,16.0,12.0,49.0,15.0,6.0,50.0,41.0,28.0,24.0,9.0,64.0,56.0,82.0,146.0,38.0,29.0,101.0,144.0
2797,5.0,0.0,2.0,1.0,10.0,3.0,31.0,140.0,62.0,32.0,13.0,6.0,92.0,18.0,67.0,38.0,8.0,4.0,28.0,14.0,9.0,12.0,24.0,27.0,81.0,26.0,23.0,54.0,59.0,58.0
2846,4.0,0.0,1.0,45.0,67.0,6.0,8.0,16.0,56.0,9.0,21.0,5.0,11.0,63.0,40.0,15.0,36.0,13.0,39.0,17.0,29.0,14.0,81.0,136.0,124.0,105.0,46.0,44.0,96.0,37.0
2895,1.0,0.0,65.0,6.0,5.0,44.0,16.0,12.0,22.0,13.0,21.0,4.0,18.0,3.0,52.0,50.0,32.0,10.0,43.0,36.0,37.0,119.0,34.0,26.0,17.0,85.0,24.0,98.0,38.0,108.0
2944,0.0,2.0,5.0,3.0,1.0,7.0,15.0,4.0,6.0,80.0,9.0,11.0,28.0,24.0,56.0,25.0,20.0,86.0,16.0,57.0,97.0,34.0,41.0,14.0,127.0,59.0,135.0,39.0,138.0,33.0
2993,0.0,5.0,1.0,6.0,10.0,11.0,13.0,15.0,2.0,47.0,18.0,16.0,22.0,23.0,4.0,14.0,50.0,20.0,76.0,49.0,36.0,41.0,48.0,99.0,53.0,40.0,21.0,55.0,3.0,122.0
3042,1.0,50.0,0.0,3.0,10.0,2.0,23.0,15.0,5.0,14.0,13.0,22.0,19.0,26.0,4.0,110.0,6.0,12.0,75.0,42.0,86.0,11.0,34.0,57.0,9.0,59.0,61.0,20.0,37.0,53.0
3091,0.0,34.0,12.0,1.0,2.0,3.0,98.0,6.0,4.0,80.0,16.0,118.0,8.0,39.0,19.0,18.0,9.0,11.0,31.0,69.0,22.0,5.0,65.0,71.0,70.0,58.0,24.0,32.0,62.0,96.0
3140,1.0,0.0,3.0,5.0,12.0,9.0,36.0,13.0,4.0,44.0,2.0,23.0,89.0,79.0,48.0,8.0,10.0,43.0,22.0,38.0,96.0,82.0,6.0,129.0,62.0,59.0,68.0,29.0,87.0,149.0
3189,1.0,6.0,3.0,8.0,60.0,2.0,16.0,11.0,0.0,22.0,76.0,13.0,78.0,18.0,102.0,31.0,19.0,47.0,4.0,27.0,103.0,64.0,77.0,43.0,30.0,119.0,96.0,79.0,115.0,113.0
3238,0.0,2.0,26.0,5.0,44.0,1.0,15.0,30.0,3.0,10.0,8.0,11.0,95.0,14.0,4.0,37.0,36.0,22.0,7.0,119.0,101.0,33.0,19.0,106.0,48.0,17.0,46.0,13.0,6.0,20.0
3287,0.0,23.0,4.0,19.0,8.0,1.0,3.0,10.0,15.0,16.0,13.0,2.0,29.0,6.0,37.0,28.0,27.0,11.0,5.0,56.0,62.0,24.0,7.0,95.0,17.0,14.0,9.0,20.0,25.0,50.0
3336,0.0,6.0,2.0,1.0,16.0,5.0,4.0,11.0,3.0,54.0,7.0,30.0,14.0,8.0,10.0,18.0,12.0,33.0,44.0,37.0,77.0,43.0,17.0,47.0,40.0,56.0,29.0,58.0,45.0,19.0
3385,0.0,1.0,107.0,3.0,52.0,2.0,45.0,79.0,5.0,40.0,11.0,18.0,20.0,10.0,46.0,12.0,56.0,84.0,138.0,65.0,129.0,60.0,29.0,73.0,7.0,69.0,25.0,34.0,94.0,39.0
3434,3.0,0.0,1.0,2.0,24.0,5.0,14.0,7.0,4.0,27.0,6.0,12.0,19.0,20.0,32.0,9.0,10.0,53.0,43.0,23.0,17.0,30.0,143.0,26.0,92.0,155.0,16.0,64.0,79.0,77.0
3483,1.0,0.0,3.0,2.0,4.0,35.0,16.0,59.0,24.0,8.0,7.0,40.0,5.0,10.0,27.0,82.0,75.0,12.0,55.0,6.0,11.0,88.0,17.0,20.0,61.0,98.0,52.0,64.0,28.0,41.0
3532,1.0,0.0,2.0,3.0,13.0,30.0,16.0,14.0,4.0,60.0,9.0,36.0,20.0,106.0,5.0,131.0,10.0,21.0,73.0,112.0,113.0,6.0,45.0,136.0,25.0,28.0,7.0,23.0,124.0,57.0
3581,2.0,0.0,1.0,4.0,3.0,10.0,5.0,70.0,6.0,8.0,101.0,156.0,9.0,20.0,32.0,81.0,36.0,18.0,120.0,15.0,7.0,54.0,33.0,50.0,49.0,34.0,13.0,115.0,72.0,27.0
3630,3.0,0.0,1.0,6.0,17.0,5.0,32.0,18.0,23.0,4.0,62.0,69.0,2.0,22.0,37.0,35.0,40.0,9.0,105.0,10.0,79.0,59.0,54.0,16.0,97.0,85.0,46.0,61.0,36.0,86.0
3679,0.0,1.0,6.0,4.0,101.0,17.0,16.0,9.0,8.0,7.0,21.0,74.0,19.0,10.0,52.0,65.0,2.0,18.0,127.0,32.0,90.0,82.0,50.0,33.0,56.0,3.0,14.0,63.0,23.0,25.0
3728,1.0,0.0,2.0,3.0,66.0,4.0,26.0,27.0,14.0,61.0,6.0,5.0,10.0,17.0,44.0,108.0,7.0,9.0,22.0,70.0,15.0,23.0,30.0,25.0,58.0,21.0,45.0,41.0,83.0,64.0
3777,0.0,1.0,2.0,13.0,8.0,6.0,5.0,9.0,7.0,55.0,67.0,15.0,10.0,36.0,19.0,31.0,33.0,107.0,4.0,57.0,28.0,120.0,96.0,81.0,37.0,14.0,22.0,35.0,74.0,29.0
3826,0.0,5.0,1.0,2.0,4.0,24.0,14.0,91.0,3.0,25.0,9.0,44.0,30.0,72.0,11.0,57.0,6.0,8.0,15.0,12.0,61.0,70.0,48.0,28.0,129.0,23.0,26.0,69.0,17.0,36.0
3875,2.0,1.0,5.0,0.0,94.0,14.0,3.0,37.0,33.0,92.0,30.0,22.0,11.0,112.0,44.0,4.0,39.0,12.0,53.0,32.0,151.0,93.0,20.0,13.0,42.0,35.0,16.0,40.0,10.0,7.0
3924,5.0,1.0,0.0,3.0,21.0,18.0,2.0,20.0,121.0,15.0,42.0,38.0,6.0,8.0,24.0,9.0,61.0,19.0,59.0,23.0,106.0,16.0,130.0,65.0,31.0,86.0,27.0,94.0,11.0,77.0
3973,10.0,8.0,13.0,48.0,0.0,57.0,2.0,6.0,7.0,30.0,9.0,1.0,3.0,4.0,44.0,20.0,63.0,83.0,77.0,80.0,16.0,5.0,23.0,38.0,34.0,19.0,47.0,64.0,42.0,45.0
4022,40.0,0.0,6.0,17.0,3.0,5.0,43.0,2.0,97.0,11.0,54.0,19.0,16.0,1.0,12.0,7.0,15.0,64.0,157.0,39.0,67.0,4.0,129.0,55.0,30.0,38.0,88.0,125.0,10.0,79.0
4071,2.0,8.0,0.0,6.0,3.0,9.0,4.0,10.0,53.0,23.0,39.0,33.0,83.0,11.0,16.0,7.0,17.0,51.0,36.0,12.0,96.0,1.0,22.0,28.0,81.0,78.0,71.0,55.0,50.0,14.0
4120,2.0,0.0,1.0,18.0,3.0,4.0,6.0,7.0,30.0,10.0,94.0,16.0,42.0,5.0,22.0,12.0,158.0,33.0,35.0,23.0,72.0,15.0,63.0,105.0,113.0,36.0,54.0,124.0,43.0,97.0
4169,4.0,0.0,2.0,9.0,3.0,14.0,7.0,6.0,33.0,36.0,49.0,8.0,29.0,10.0,12.0,1.0,35.0,24.0,13.0,47.0,67.0,64.0,83.0,90.0,38.0,92.0,73.0,155.0,42.0,48.0
4218,5.0,3.0,4.0,11.0,0.0,19.0,1.0,29.0,37.0,2.0,136.0,6.0,7.0,21.0,13.0,30.0,104.0,43.0,146.0,25.0,65.0,46.0,49.0,79.0,145.0,56.0,14.0,81.0,97.0,94.0
4267,9.0,2.0,1.0,13.0,0.0,6.0,4.0,54.0,49.0,10.0,3.0,119.0,8.0,14.0,51.0,23.0,21.0,59.0,42.0,47.0,74.0,41.0,112.0,36.0,93.0,7.0,100.0,116.0,79.0,30.0
4316,0.0,1.0,2.0,8.0,3.0,14.0,21.0,4.0,13.0,16.0,19.0,7.0,10.0,9.0,24.0,12.0,66.0,23.0,54.0,6.0,37.0,81.0,39.0,65.0,28.0,20.0,29.0,56.0,36.0,86.0
4365,7.0,1.0,0.0,9.0,10.0,89.0,2.0,11.0,137.0,20.0,120.0,12.0,4.0,5.0,13.0,3.0,28.0,88.0,21.0,65.0,106.0,17.0,45.0,35.0,54.0,6.0,59.0,109.0,15.0,141.0
4414,3.0,0.0,1.0,7.0,6.0,50.0,13.0,24.0,45.0,2.0,49.0,19.0,84.0,68.0,4.0,5.0,74.0,35.0,10.0,21.0,39.0,29.0,15.0,59.0,123.0,11.0,62.0,20.0,58.0,17.0
4463,1.0,0.0,2.0,15.0,8.0,10.0,32.0,6.0,26.0,14.0,48.0,38.0,49.0,3.0,18.0,34.0,36.0,54.0,17.0,7.0,29.0,13.0,74.0,22.0,64.0,52.0,76.0,16.0,104.0,62.0
4512,3.0,0.0,6.0,1.0,2.0,48.0,5.0,15.0,59.0,18.0,68.0,12.0,13.0,7.0,11.0,4.0,22.0,28.0,51.0,44.0,8.0,21.0,47.0,20.0,37.0,9.0,115.0,25.0,98.0,123.0
4561,1.0,0.0,2.0,8.0,3.0,5.0,6.0,9.0,4.0,12.0,13.0,34.0,42.0,48.0,19.0,17.0,43.0,57.0,138.0,7.0,28.0,59.0,74.0,45.0,26.0,49.0,106.0,107.0,146.0,133.0
4610,0.0,1.0,3.0,25.0,9.0,28.0,22.0,49.0,5.0,11.0,36.0,17.0,24.0,2.0,7.0,16.0,27.0,8.0,93.0,10.0,85.0,21.0,6.0,66.0,47.0,4.0,52.0,62.0,32.0,81.0
4659,2.0,0.0,4.0,3.0,1.0,42.0,11.0,14.0,25.0,19.0,9.0,28.0,66.0,7.0,94.0,8.0,34.0,32.0,62.0,5.0,41.0,146.0,46.0,114.0,59.0,18.0,20.0,30.0,60.0,98.0
4708,1.0,0.0,21.0,2.0,9.0,44.0,3.0,11.0,14.0,5.0,10.0,18.0,39.0,24.0,6.0,12.0,45.0,47.0,22.0,4.0,26.0,55.0,16.0,62.0,63.0,35.0,66.0,57.0,116.0,153.0
4757,1.0,0.0,4.0,8.0,7.0,19.0,6.0,5.0,36.0,23.0,31.0,2.0,38.0,10.0,24.0,25.0,13.0,9.0,14.0,3.0,58.0,47.0,61.0,126.0,20.0,12.0,119.0,15.0,60.0,121.0
4806,0.0,1.0,8.0,17.0,7.0,10.0,15.0,47.0,6.0,19.0,9.0,80.0,56.0,18.0,50.0,2.0,3.0,81.0,11.0,38.0,12.0,44.0,32.0,102.0,48.0,5.0,37.0,130.0,93.0,62.0
4855,0.0,1.0,7.0,13.0,4.0,70.0,3.0,8.0,10.0,11.0,20.0,31.0,34.0,5.0,6.0,23.0,39.0,17.0,27.0,2.0,12.0,28.0,24.0,21.0,110.0,42.0,57.0,47.0,74.0,79.0
