,CPSF6,NUPR1,ITGB5,WASL,CTSL,ELF3,SHISA4,PPIC,FLI1,ORC1,CEP152,RP11-680F8.3,S100A16,NCAPH,WWTR1,EPHX1,SLC25A19,ITPRIPL1,PERP,THRB,CXCL16,TMEM2,AGAP2,NTN4,HAUS1,RIOK1,VASN,LEPREL1,CAP2,NUAK1
11,18.0,1.0,11.0,6.0,12.0,0.0,38.0,16.0,24.0,13.0,4.0,40.0,31.0,9.0,334.0,23.0,8.0,7.0,14.0,49.0,10.0,60.0,6171.0,5408.0,15.0,21.0,3461.0,14652.0,20998.0,5381.0
60,2.0,3.0,30.0,7.0,6.0,0.0,19.0,5.0,15.0,17.0,14.0,4.0,23.0,10.0,182.0,37.0,98.0,1.0,11.0,22.0,43.0,50.0,6061.0,24.0,57.0,229.0,415.0,14888.0,34.0,41.0
109,0.0,5.0,41.0,14.0,6.0,8.0,17.0,18.0,1.0,13.0,25.0,37.0,30.0,22.0,15.0,32.0,76.0,4.0,23199.0,56.0,10675.0,2.0,38.0,5302.0,50.0,78.0,51.0,130.0,60.0,64.0
158,4.0,3.0,1.0,28.0,20.0,2.0,50.0,15.0,21.0,9.0,3042.0,23.0,22.0,52.0,91.0,17476.0,38.0,0.0,25.0,875.0,29.0,7.0,39.0,5431.0,40.0,12.0,66.0,10.0,20996.0,34.0
207,16.0,1.0,38.0,12.0,29.0,0.0,114.0,20.0,5.0,11.0,9.0,32.0,41.0,14.0,6.0,17470.0,51.0,3.0,22.0,48.0,49.0,61.0,34.0,6521.0,66.0,105.0,65.0,53.0,43.0,6285.0
256,5.0,4.0,10.0,9.0,16.0,2.0,45.0,13.0,6.0,19.0,12.0,11.0,23.0,8.0,225.0,42.0,142.0,1.0,18.0,38.0,22.0,41.0,39.0,49.0,27.0,29.0,74.0,14894.0,40.0,5452.0
305,3.0,1.0,17.0,4.0,20.0,2.0,17175.0,9.0,5.0,8.0,13.0,21.0,25.0,11.0,14419.0,34.0,139.0,0.0,22.0,33.0,10.0,19922.0,6197.0,15.0,75.0,27.0,2996.0,14659.0,63.0,44.0
354,40.0,1.0,30.0,8.0,19.0,0.0,17173.0,13.0,5.0,18.0,16.0,14.0,34.0,25.0,14383.0,37.0,706.0,3.0,24.0,22.0,10.0,45.0,56.0,27.0,49.0,7.0,47.0,17.0,35.0,65.0
403,3.0,1.0,26.0,33.0,24.0,0.0,232.0,13.0,19.0,10.0,3595.0,40.0,30.0,11.0,102.0,54.0,84.0,5.0,25.0,72.0,23.0,22.0,57.0,5328.0,67.0,17.0,18.0,14769.0,70.0,5431.0
452,18.0,2.0,8.0,5.0,30.0,0.0,61.0,15.0,21.0,12.0,4064.0,35.0,15471.0,6.0,68.0,16.0,203.0,3.0,62.0,59.0,83.0,19914.0,75.0,5974.0,11249.0,7.0,85.0,94.0,47.0,6057.0
