,NQO1,AC074389.9,THAP8,SMO,NSMCE4A,TUBA1A,C7orf13,GPR176,C12orf23,HEG1,ZNF135,ZNF793,BEX4,MED12L,SH3BP1,PAX8,RP4-639F20.1,HAVCR1P1,PGBD5,S100P,KHDRBS3,NPPB,C1RL-AS1,EMB,MARCKS,DIRAS2,PCSK1N,CCDC149,RP3-441A12.1,ZNF91
1138,0.0,9.0,54.0,26.0,6.0,4.0,18716.0,97.0,2.0,124.0,246.0,7957.0,89.0,78.0,18.0,523.0,10.0,21.0,166.0,35.0,428.0,201.0,382.0,413.0,744.0,12.0,8718.0,254.0,137.0,1485.0
1187,2.0,4.0,27.0,59.0,130.0,327.0,3.0,138.0,605.0,20.0,8.0,8000.0,71.0,15.0,43.0,13428.0,254.0,25.0,1.0,14896.0,291.0,6.0,4988.0,490.0,286.0,20235.0,0.0,15034.0,21103.0,1169.0
1236,0.0,1.0,33.0,8.0,22.0,10.0,60.0,176.0,150.0,52.0,388.0,629.0,9509.0,53.0,221.0,17809.0,268.0,200.0,18.0,13.0,470.0,9.0,86.0,529.0,632.0,18421.0,850.0,226.0,24.0,11706.0
1285,1.0,0.0,10.0,2.0,76.0,3.0,29.0,22.0,13.0,24.0,407.0,11744.0,9272.0,102.0,107.0,17839.0,137.0,116.0,16011.0,13134.0,177.0,11.0,485.0,582.0,157.0,71.0,163.0,21.0,20777.0,199.0
1334,0.0,4.0,78.0,16.0,363.0,153.0,72.0,18.0,301.0,323.0,415.0,9112.0,5.0,22.0,1.0,640.0,511.0,474.0,42.0,14914.0,192.0,100.0,156.0,551.0,175.0,419.0,447.0,14991.0,348.0,9905.0
1383,0.0,2.0,79.0,65.0,148.0,178.0,35.0,1413.0,8.0,188.0,259.0,997.0,574.0,63.0,9663.0,13434.0,3.0,171.0,13.0,1985.0,229.0,105.0,214.0,433.0,430.0,22.0,11.0,15041.0,399.0,1095.0
1432,0.0,115.0,28.0,225.0,19948.0,12.0,231.0,306.0,6.0,65.0,144.0,9545.0,7189.0,60.0,229.0,165.0,5.0,22.0,1079.0,1136.0,464.0,11.0,169.0,296.0,22835.0,9.0,1276.0,8.0,21113.0,9756.0
1481,10.0,29.0,31.0,26.0,5.0,0.0,73.0,6.0,109.0,12.0,44.0,7.0,94.0,1104.0,18.0,13.0,53.0,131.0,25.0,111.0,135.0,642.0,5156.0,208.0,22.0,88.0,1.0,288.0,232.0,11647.0
1530,12.0,104.0,58.0,37.0,1.0,25.0,215.0,22.0,106.0,38.0,2.0,0.0,9044.0,62.0,9.0,13412.0,15233.0,379.0,203.0,176.0,180.0,17.0,333.0,179.0,155.0,77.0,8.0,15006.0,21134.0,321.0
1579,5.0,15.0,31.0,13.0,3.0,4.0,131.0,60.0,42.0,99.0,6.0,12.0,474.0,635.0,0.0,248.0,237.0,34.0,507.0,149.0,16.0,247.0,5182.0,298.0,81.0,128.0,39.0,154.0,66.0,11610.0
