,FAM190A_DEL,BRAF_MUT,BRAF.V600E_MUT,SGCZ_DEL,ME3_DEL,FLT1_MUT,FARS2_DEL,PAPPA_MUT,ZNF705G_AMP,SCN3B_DEL,CACNA2D3_DEL,PAXIP1_MUT,VPS13B_MUT,DIP2C_MUT,RGPD4_AMP,TRIM37_MUT,NOMO3_AMP,EGFR_MUT,LRRTM4_DEL,ACOT11_DEL,SNORA70E_AMP,MTUS2_MUT,GUSBP3_DEL,MAST4_DEL,SPACA5_AMP,NFKB1_DEL,KSR2_DEL,MBP_DEL,PSG5_DEL,MIER3_DEL
28,8.0,5.0,56.0,24.0,19854.0,1186.0,14.0,16395.0,1232.0,12192.0,1259.0,16553.0,792.0,16552.0,2339.0,1014.0,643.0,1351.0,1140.0,860.0,238.0,35.0,11731.0,4071.0,15209.0,39.0,332.0,719.0,533.0,569.0
77,2048.0,187.0,0.0,1.0,54.0,342.0,2.0,986.0,15869.0,213.0,12291.0,16613.0,16458.0,16570.0,518.0,279.0,14159.0,16525.0,7692.0,5646.0,692.0,16565.0,11741.0,3363.0,1228.0,10583.0,36.0,3167.0,27.0,4377.0
126,36.0,115.0,0.0,237.0,468.0,290.0,1130.0,1331.0,15794.0,205.0,12221.0,709.0,522.0,568.0,7.0,14.0,14426.0,13.0,7619.0,164.0,327.0,151.0,332.0,3499.0,2298.0,10611.0,5919.0,695.0,12035.0,387.0
175,32.0,139.0,17.0,40.0,9.0,42.0,20134.0,16372.0,896.0,0.0,12192.0,1343.0,36.0,2328.0,66.0,3.0,1107.0,16474.0,7710.0,1130.0,353.0,136.0,11733.0,4282.0,542.0,10605.0,50.0,1034.0,414.0,6587.0
224,53.0,165.0,1.0,718.0,6.0,17.0,70.0,1129.0,15769.0,12110.0,12112.0,16617.0,1801.0,16616.0,90.0,0.0,14309.0,37.0,9279.0,458.0,579.0,69.0,202.0,4100.0,15212.0,11194.0,292.0,24.0,1203.0,39.0
273,27.0,575.0,308.0,490.0,25.0,637.0,662.0,16377.0,1152.0,318.0,12199.0,1244.0,562.0,775.0,647.0,4.0,14418.0,1633.0,7580.0,0.0,15580.0,16554.0,478.0,3577.0,2224.0,10659.0,186.0,3192.0,12069.0,4418.0
322,1760.0,165.0,20127.0,1.0,143.0,16546.0,20134.0,16365.0,15888.0,12197.0,12175.0,1796.0,16453.0,445.0,13402.0,623.0,14435.0,166.0,2244.0,239.0,323.0,366.0,11742.0,2422.0,855.0,10612.0,6085.0,195.0,792.0,189.0
371,1.0,3.0,40.0,5505.0,8.0,16529.0,19898.0,787.0,961.0,260.0,12281.0,2313.0,138.0,16567.0,11.0,9.0,35.0,109.0,7572.0,7.0,256.0,821.0,11733.0,1326.0,1420.0,1235.0,2994.0,52.0,11989.0,4344.0
420,46.0,13.0,20204.0,96.0,0.0,16551.0,20188.0,1982.0,15833.0,382.0,12189.0,16635.0,31.0,347.0,316.0,55.0,14424.0,16482.0,924.0,5726.0,114.0,16570.0,11811.0,3710.0,15257.0,255.0,516.0,1039.0,12018.0,4356.0
469,11.0,16953.0,167.0,12.0,23.0,1918.0,145.0,682.0,1074.0,103.0,12120.0,16576.0,16421.0,16553.0,451.0,4.0,149.0,1304.0,1501.0,5552.0,15524.0,491.0,0.0,99.0,461.0,509.0,84.0,210.0,1063.0,576.0
518,2116.0,142.0,11.0,278.0,6.0,819.0,269.0,16381.0,40.0,13.0,178.0,961.0,204.0,16642.0,3.0,16460.0,14447.0,120.0,7603.0,6463.0,262.0,16576.0,1950.0,1.0,2344.0,57.0,5830.0,3968.0,88.0,5180.0
567,1516.0,0.0,20182.0,26.0,219.0,185.0,614.0,610.0,6.0,12229.0,1557.0,534.0,5.0,16634.0,1923.0,84.0,1376.0,2205.0,1579.0,72.0,15635.0,16567.0,2244.0,641.0,97.0,118.0,613.0,3048.0,12051.0,4340.0
616,0.0,2.0,1.0,74.0,9.0,12352.0,65.0,367.0,22020.0,168.0,1326.0,44.0,3.0,364.0,34.0,755.0,2105.0,8140.0,11.0,32.0,94.0,1175.0,2527.0,71.0,847.0,12.0,198.0,4735.0,41.0,5437.0
665,24.0,30.0,21271.0,20433.0,0.0,978.0,1.0,1280.0,5.0,161.0,27.0,371.0,35.0,8810.0,468.0,11442.0,2339.0,7922.0,7723.0,222.0,21677.0,1001.0,70.0,2753.0,39.0,49.0,6870.0,3676.0,10743.0,5949.0
