,niacinamide,C56:5 TAG,GABA,beta-alanine,C18:0 LPE,isocitrate,adenosine,pantothenate,serotonin,alpha-glycerophosphocholine,C34:2 DAG,putrescine,alpha-glycerophosphate,DHAP/glyceraldehyde 3P,glutamine,UMP,C18:0 LPC,inositol,C36:4 PC-B,cystathionine,cis/trans-hydroxyproline,phosphocreatine,C22:6 LPE,C34:4 PC,malondialdehyde,2-deoxycytidine,oxalate,valerylcarnitine,acetylcholine,alpha-hydroxybutyrate
2815,0.0,1.0,2.0,20.0,4.0,9.0,12.0,5.0,7.0,10.0,15.0,17.0,6.0,25.0,11.0,21.0,31.0,3.0,24.0,29.0,22.0,16.0,36.0,27.0,23.0,8.0,32.0,28.0,14.0,42.0
2864,1.0,0.0,4.0,3.0,5.0,6.0,17.0,12.0,13.0,2.0,19.0,25.0,7.0,29.0,18.0,21.0,15.0,10.0,8.0,16.0,30.0,11.0,35.0,28.0,9.0,24.0,38.0,32.0,26.0,27.0
2913,1.0,0.0,7.0,4.0,13.0,9.0,14.0,6.0,3.0,12.0,23.0,25.0,2.0,21.0,10.0,11.0,8.0,15.0,24.0,5.0,28.0,19.0,33.0,27.0,16.0,34.0,56.0,35.0,17.0,32.0
2962,3.0,0.0,4.0,2.0,6.0,12.0,1.0,8.0,10.0,5.0,11.0,20.0,23.0,7.0,25.0,16.0,27.0,22.0,14.0,36.0,30.0,18.0,9.0,21.0,43.0,26.0,17.0,32.0,29.0,52.0
3011,0.0,2.0,6.0,3.0,8.0,27.0,1.0,5.0,16.0,9.0,4.0,25.0,13.0,20.0,24.0,7.0,33.0,12.0,19.0,10.0,17.0,38.0,11.0,22.0,29.0,30.0,21.0,35.0,34.0,32.0
3060,0.0,4.0,15.0,2.0,8.0,9.0,1.0,5.0,14.0,3.0,7.0,19.0,12.0,13.0,33.0,11.0,25.0,6.0,23.0,34.0,18.0,26.0,10.0,21.0,29.0,39.0,27.0,22.0,40.0,44.0
3109,0.0,2.0,10.0,7.0,12.0,36.0,1.0,5.0,6.0,9.0,8.0,20.0,21.0,11.0,17.0,18.0,26.0,23.0,31.0,13.0,3.0,27.0,4.0,14.0,19.0,30.0,33.0,49.0,29.0,44.0
3158,4.0,0.0,7.0,1.0,6.0,17.0,2.0,10.0,15.0,5.0,8.0,18.0,14.0,9.0,12.0,28.0,41.0,11.0,21.0,19.0,16.0,13.0,3.0,27.0,36.0,29.0,48.0,23.0,25.0,24.0
3207,1.0,2.0,11.0,10.0,6.0,18.0,0.0,4.0,9.0,8.0,5.0,17.0,13.0,7.0,12.0,16.0,44.0,30.0,26.0,23.0,14.0,15.0,3.0,32.0,21.0,47.0,31.0,40.0,25.0,36.0
3256,10.0,7.0,1.0,8.0,2.0,6.0,5.0,12.0,0.0,13.0,11.0,22.0,25.0,9.0,17.0,4.0,20.0,21.0,18.0,19.0,24.0,23.0,3.0,37.0,15.0,44.0,38.0,60.0,16.0,50.0
3305,2.0,1.0,4.0,3.0,5.0,52.0,0.0,23.0,21.0,6.0,15.0,13.0,9.0,14.0,17.0,7.0,38.0,22.0,35.0,11.0,36.0,27.0,12.0,8.0,30.0,18.0,16.0,34.0,44.0,33.0
3354,0.0,13.0,16.0,17.0,3.0,28.0,5.0,2.0,6.0,1.0,7.0,11.0,14.0,4.0,31.0,9.0,50.0,8.0,19.0,23.0,24.0,20.0,12.0,18.0,22.0,44.0,15.0,42.0,21.0,35.0
3403,2.0,0.0,1.0,9.0,3.0,10.0,11.0,6.0,4.0,36.0,12.0,16.0,7.0,8.0,17.0,15.0,45.0,5.0,26.0,27.0,23.0,20.0,21.0,13.0,25.0,47.0,28.0,14.0,24.0,43.0
3452,0.0,1.0,5.0,11.0,3.0,24.0,12.0,2.0,14.0,6.0,9.0,41.0,8.0,15.0,10.0,17.0,20.0,28.0,16.0,7.0,4.0,23.0,38.0,22.0,25.0,21.0,32.0,19.0,29.0,30.0
3501,0.0,1.0,4.0,16.0,5.0,13.0,2.0,3.0,17.0,8.0,12.0,6.0,15.0,25.0,10.0,27.0,11.0,7.0,20.0,53.0,18.0,21.0,40.0,9.0,30.0,14.0,36.0,26.0,47.0,23.0
3550,0.0,1.0,2.0,21.0,7.0,9.0,3.0,8.0,5.0,33.0,16.0,6.0,14.0,30.0,12.0,20.0,15.0,10.0,19.0,25.0,4.0,24.0,55.0,17.0,22.0,40.0,18.0,11.0,45.0,27.0
3599,0.0,4.0,13.0,19.0,2.0,5.0,3.0,1.0,9.0,16.0,7.0,11.0,8.0,15.0,22.0,18.0,35.0,6.0,23.0,31.0,24.0,29.0,52.0,12.0,25.0,20.0,27.0,10.0,34.0,21.0
3648,0.0,2.0,1.0,10.0,4.0,5.0,17.0,6.0,8.0,25.0,3.0,11.0,7.0,27.0,9.0,22.0,12.0,15.0,16.0,48.0,14.0,34.0,52.0,13.0,28.0,23.0,41.0,20.0,49.0,24.0
3697,1.0,0.0,6.0,5.0,4.0,11.0,9.0,2.0,3.0,12.0,23.0,14.0,8.0,25.0,10.0,16.0,41.0,37.0,17.0,28.0,13.0,7.0,18.0,46.0,21.0,49.0,31.0,15.0,26.0,20.0
3746,1.0,5.0,9.0,6.0,10.0,8.0,3.0,0.0,2.0,18.0,17.0,7.0,4.0,15.0,13.0,14.0,12.0,11.0,29.0,44.0,16.0,25.0,22.0,33.0,21.0,28.0,23.0,39.0,32.0,41.0
3795,1.0,0.0,3.0,7.0,4.0,16.0,2.0,5.0,14.0,9.0,6.0,8.0,13.0,19.0,26.0,20.0,35.0,12.0,11.0,44.0,10.0,17.0,39.0,28.0,22.0,40.0,18.0,24.0,37.0,25.0
3844,0.0,3.0,10.0,22.0,8.0,5.0,1.0,2.0,20.0,11.0,7.0,9.0,15.0,28.0,4.0,13.0,44.0,6.0,17.0,31.0,12.0,14.0,30.0,19.0,25.0,24.0,37.0,16.0,34.0,36.0
3893,0.0,1.0,2.0,14.0,6.0,13.0,17.0,3.0,8.0,12.0,5.0,4.0,16.0,51.0,26.0,15.0,27.0,10.0,9.0,20.0,7.0,11.0,48.0,32.0,19.0,23.0,52.0,33.0,35.0,31.0
3942,2.0,0.0,1.0,3.0,4.0,9.0,18.0,15.0,19.0,11.0,25.0,6.0,7.0,20.0,26.0,28.0,5.0,14.0,8.0,10.0,35.0,32.0,21.0,16.0,45.0,12.0,29.0,24.0,23.0,30.0
3991,5.0,1.0,0.0,8.0,2.0,14.0,9.0,21.0,32.0,13.0,22.0,3.0,15.0,19.0,31.0,18.0,4.0,16.0,11.0,7.0,10.0,26.0,25.0,6.0,23.0,46.0,27.0,49.0,17.0,20.0
4040,1.0,0.0,4.0,10.0,3.0,2.0,12.0,6.0,7.0,28.0,15.0,8.0,13.0,21.0,39.0,33.0,14.0,9.0,22.0,20.0,29.0,32.0,18.0,5.0,44.0,30.0,17.0,19.0,26.0,46.0
4089,6.0,0.0,2.0,21.0,1.0,13.0,42.0,15.0,11.0,7.0,23.0,20.0,3.0,5.0,9.0,18.0,16.0,30.0,12.0,4.0,31.0,47.0,8.0,27.0,51.0,41.0,10.0,19.0,39.0,17.0
4138,2.0,0.0,3.0,1.0,4.0,6.0,35.0,9.0,8.0,28.0,11.0,15.0,27.0,14.0,41.0,7.0,5.0,18.0,19.0,13.0,12.0,17.0,10.0,22.0,29.0,32.0,20.0,24.0,16.0,45.0
4187,3.0,0.0,2.0,5.0,1.0,8.0,23.0,14.0,21.0,6.0,18.0,7.0,20.0,12.0,11.0,47.0,4.0,15.0,16.0,9.0,22.0,45.0,34.0,19.0,40.0,25.0,33.0,10.0,29.0,36.0
4236,3.0,0.0,2.0,1.0,4.0,8.0,35.0,7.0,22.0,10.0,5.0,6.0,31.0,18.0,12.0,32.0,14.0,15.0,23.0,11.0,29.0,26.0,17.0,13.0,45.0,42.0,37.0,19.0,9.0,33.0
4285,4.0,1.0,0.0,6.0,2.0,5.0,29.0,27.0,12.0,16.0,23.0,3.0,15.0,25.0,35.0,30.0,11.0,18.0,8.0,10.0,39.0,13.0,21.0,22.0,28.0,19.0,20.0,9.0,14.0,31.0
4334,3.0,1.0,2.0,4.0,0.0,8.0,12.0,14.0,18.0,20.0,28.0,7.0,10.0,11.0,25.0,40.0,6.0,24.0,15.0,5.0,29.0,43.0,38.0,9.0,34.0,13.0,31.0,22.0,35.0,26.0
4383,3.0,0.0,1.0,5.0,2.0,4.0,22.0,18.0,6.0,12.0,20.0,7.0,33.0,14.0,9.0,26.0,24.0,17.0,11.0,10.0,42.0,25.0,28.0,8.0,44.0,15.0,39.0,16.0,21.0,38.0
4432,5.0,2.0,3.0,0.0,17.0,1.0,6.0,16.0,11.0,18.0,7.0,10.0,13.0,4.0,22.0,9.0,27.0,26.0,25.0,20.0,8.0,14.0,23.0,12.0,41.0,38.0,24.0,37.0,30.0,15.0
4481,0.0,1.0,2.0,4.0,6.0,16.0,11.0,14.0,17.0,10.0,7.0,3.0,19.0,5.0,8.0,15.0,24.0,13.0,23.0,18.0,9.0,21.0,31.0,12.0,20.0,28.0,36.0,58.0,48.0,25.0
4530,1.0,0.0,4.0,2.0,11.0,6.0,10.0,13.0,22.0,3.0,9.0,5.0,14.0,12.0,7.0,15.0,26.0,29.0,19.0,18.0,8.0,24.0,36.0,23.0,32.0,17.0,31.0,37.0,27.0,21.0
4579,1.0,0.0,2.0,3.0,9.0,7.0,10.0,12.0,11.0,6.0,4.0,20.0,17.0,5.0,18.0,36.0,15.0,19.0,13.0,28.0,8.0,23.0,22.0,35.0,25.0,14.0,29.0,44.0,55.0,16.0
4628,0.0,4.0,3.0,2.0,7.0,1.0,17.0,24.0,26.0,6.0,8.0,12.0,5.0,9.0,14.0,25.0,16.0,15.0,10.0,21.0,19.0,32.0,13.0,30.0,28.0,33.0,23.0,57.0,35.0,11.0
4677,3.0,0.0,4.0,1.0,6.0,2.0,9.0,19.0,16.0,5.0,11.0,12.0,13.0,17.0,10.0,23.0,18.0,14.0,29.0,22.0,8.0,7.0,24.0,26.0,34.0,25.0,20.0,28.0,35.0,36.0
4726,0.0,1.0,2.0,3.0,6.0,9.0,4.0,39.0,20.0,14.0,10.0,7.0,11.0,5.0,36.0,22.0,15.0,8.0,18.0,21.0,24.0,17.0,23.0,29.0,16.0,19.0,13.0,43.0,28.0,12.0
4775,2.0,0.0,1.0,6.0,10.0,5.0,3.0,11.0,8.0,9.0,4.0,13.0,17.0,18.0,12.0,30.0,28.0,14.0,23.0,26.0,7.0,19.0,25.0,16.0,41.0,34.0,29.0,44.0,56.0,40.0
4824,0.0,1.0,2.0,3.0,10.0,6.0,4.0,12.0,18.0,24.0,8.0,7.0,16.0,15.0,35.0,5.0,21.0,9.0,14.0,23.0,17.0,22.0,20.0,39.0,45.0,19.0,28.0,37.0,50.0,11.0
4873,2.0,1.0,0.0,4.0,12.0,3.0,7.0,23.0,26.0,6.0,9.0,5.0,10.0,18.0,16.0,21.0,11.0,14.0,25.0,15.0,8.0,28.0,19.0,13.0,41.0,22.0,20.0,34.0,51.0,32.0
