,Caveolin-1,PAI-1,Paxillin,4E-BP1_pS65,Akt,p27,ADAR1,Cyclin_D1,Collagen_VI,p27_pT157,PTEN,p62 Lck ligand,Rb,Akt_pS473,MAPK_pT202_Y204,Rb_pS807_S811,VEGFR2,Bax,NF2,PEA15,ACC1,RSK1-2-3,beta-Catenin,PDCD4,RAD51,Annexin_VII,MDM2_pS166,E-Cadherin,N-Cadherin,CD31
5,98.0,1.0,0.0,41.0,155.0,87.0,29.0,40.0,58.0,97.0,145.0,158.0,28.0,21.0,39.0,7.0,65.0,27.0,32.0,151.0,19.0,91.0,137.0,154.0,85.0,68.0,94.0,60.0,104.0,139.0
54,1.0,20.0,18.0,122.0,6.0,2.0,59.0,36.0,29.0,10.0,154.0,66.0,19.0,117.0,15.0,14.0,38.0,42.0,35.0,163.0,55.0,26.0,47.0,158.0,46.0,96.0,139.0,85.0,61.0,155.0
103,98.0,0.0,17.0,140.0,1.0,76.0,138.0,31.0,36.0,58.0,38.0,32.0,79.0,85.0,100.0,11.0,45.0,29.0,20.0,97.0,23.0,101.0,22.0,147.0,102.0,135.0,4.0,7.0,55.0,128.0
152,119.0,6.0,117.0,36.0,7.0,27.0,29.0,47.0,43.0,24.0,21.0,51.0,69.0,28.0,38.0,25.0,102.0,138.0,1.0,98.0,57.0,65.0,3.0,17.0,66.0,9.0,59.0,20.0,149.0,56.0
201,32.0,1.0,37.0,2.0,6.0,16.0,66.0,4.0,23.0,34.0,100.0,10.0,60.0,56.0,44.0,54.0,87.0,155.0,27.0,163.0,26.0,40.0,91.0,143.0,41.0,5.0,30.0,21.0,84.0,63.0
250,155.0,3.0,26.0,5.0,57.0,79.0,159.0,11.0,17.0,10.0,129.0,15.0,42.0,38.0,46.0,53.0,27.0,56.0,1.0,52.0,81.0,95.0,120.0,58.0,28.0,135.0,132.0,40.0,80.0,71.0
299,0.0,5.0,25.0,3.0,11.0,7.0,138.0,6.0,32.0,35.0,28.0,56.0,49.0,31.0,72.0,34.0,43.0,131.0,17.0,26.0,89.0,42.0,27.0,146.0,38.0,80.0,16.0,140.0,98.0,105.0
348,52.0,0.0,7.0,17.0,21.0,134.0,41.0,14.0,38.0,2.0,11.0,24.0,56.0,30.0,26.0,82.0,74.0,43.0,31.0,46.0,59.0,102.0,160.0,20.0,45.0,77.0,159.0,54.0,143.0,35.0
397,1.0,25.0,0.0,98.0,34.0,10.0,32.0,19.0,54.0,30.0,76.0,72.0,57.0,28.0,31.0,21.0,45.0,106.0,7.0,71.0,100.0,23.0,6.0,160.0,70.0,116.0,12.0,51.0,145.0,87.0
446,11.0,5.0,2.0,1.0,33.0,40.0,13.0,8.0,20.0,154.0,60.0,29.0,83.0,0.0,15.0,12.0,67.0,64.0,78.0,147.0,114.0,104.0,140.0,21.0,70.0,76.0,65.0,103.0,157.0,89.0
495,0.0,1.0,57.0,30.0,22.0,18.0,51.0,42.0,4.0,9.0,28.0,25.0,21.0,132.0,150.0,112.0,77.0,62.0,85.0,39.0,75.0,43.0,35.0,38.0,31.0,129.0,17.0,71.0,16.0,10.0
544,0.0,34.0,28.0,45.0,23.0,56.0,29.0,48.0,9.0,2.0,24.0,8.0,103.0,120.0,127.0,106.0,49.0,32.0,161.0,14.0,18.0,17.0,63.0,125.0,64.0,86.0,57.0,47.0,72.0,88.0
593,3.0,14.0,1.0,9.0,107.0,2.0,13.0,26.0,16.0,158.0,23.0,42.0,58.0,12.0,31.0,110.0,97.0,33.0,20.0,27.0,88.0,53.0,60.0,154.0,92.0,15.0,11.0,39.0,25.0,64.0
642,3.0,31.0,150.0,29.0,47.0,42.0,30.0,18.0,8.0,0.0,34.0,65.0,19.0,17.0,39.0,27.0,97.0,67.0,158.0,43.0,64.0,7.0,51.0,149.0,33.0,20.0,142.0,61.0,37.0,68.0
691,0.0,3.0,51.0,9.0,34.0,56.0,16.0,32.0,41.0,5.0,39.0,2.0,80.0,137.0,13.0,38.0,102.0,45.0,94.0,69.0,89.0,21.0,130.0,26.0,62.0,74.0,83.0,48.0,28.0,88.0
740,2.0,8.0,51.0,16.0,14.0,15.0,127.0,30.0,25.0,4.0,44.0,31.0,5.0,126.0,149.0,70.0,32.0,69.0,84.0,23.0,42.0,40.0,39.0,48.0,100.0,17.0,83.0,92.0,54.0,109.0
789,0.0,1.0,162.0,45.0,30.0,134.0,43.0,27.0,17.0,4.0,23.0,5.0,83.0,59.0,18.0,70.0,64.0,52.0,2.0,14.0,25.0,15.0,112.0,161.0,39.0,117.0,33.0,67.0,36.0,58.0
838,3.0,7.0,145.0,25.0,29.0,2.0,88.0,10.0,21.0,1.0,17.0,46.0,35.0,135.0,156.0,13.0,37.0,38.0,32.0,45.0,72.0,16.0,140.0,44.0,78.0,96.0,155.0,102.0,63.0,64.0
887,7.0,9.0,143.0,11.0,4.0,25.0,32.0,39.0,6.0,35.0,13.0,21.0,105.0,134.0,16.0,103.0,58.0,52.0,17.0,50.0,79.0,8.0,14.0,51.0,54.0,15.0,150.0,82.0,30.0,87.0
936,0.0,2.0,43.0,13.0,8.0,136.0,119.0,73.0,22.0,18.0,45.0,9.0,20.0,41.0,79.0,97.0,57.0,78.0,33.0,14.0,15.0,16.0,110.0,32.0,28.0,55.0,132.0,63.0,46.0,51.0
985,0.0,26.0,1.0,8.0,53.0,2.0,34.0,51.0,33.0,73.0,32.0,49.0,52.0,115.0,21.0,50.0,20.0,100.0,70.0,78.0,24.0,63.0,68.0,150.0,30.0,123.0,145.0,38.0,161.0,72.0
1034,3.0,144.0,0.0,26.0,127.0,4.0,6.0,77.0,22.0,138.0,27.0,9.0,73.0,29.0,98.0,162.0,60.0,20.0,32.0,149.0,53.0,67.0,50.0,146.0,33.0,54.0,16.0,107.0,38.0,68.0
1083,18.0,147.0,0.0,30.0,49.0,2.0,44.0,47.0,54.0,21.0,38.0,31.0,28.0,129.0,140.0,84.0,51.0,9.0,42.0,163.0,24.0,37.0,55.0,94.0,32.0,27.0,19.0,107.0,120.0,105.0
1132,3.0,147.0,0.0,42.0,136.0,8.0,137.0,34.0,46.0,5.0,35.0,11.0,65.0,135.0,21.0,86.0,45.0,14.0,154.0,31.0,36.0,20.0,23.0,146.0,83.0,71.0,51.0,94.0,1.0,75.0
1181,3.0,12.0,2.0,9.0,36.0,7.0,80.0,13.0,35.0,31.0,17.0,55.0,65.0,59.0,10.0,20.0,30.0,48.0,136.0,29.0,64.0,102.0,46.0,49.0,54.0,63.0,18.0,53.0,81.0,23.0
1230,9.0,145.0,0.0,11.0,69.0,4.0,16.0,45.0,22.0,150.0,110.0,36.0,20.0,54.0,155.0,109.0,42.0,18.0,152.0,120.0,25.0,33.0,68.0,85.0,41.0,100.0,19.0,98.0,59.0,94.0
1279,1.0,8.0,17.0,4.0,3.0,0.0,109.0,75.0,16.0,13.0,23.0,21.0,26.0,66.0,142.0,106.0,15.0,28.0,31.0,34.0,47.0,49.0,22.0,154.0,53.0,98.0,41.0,56.0,129.0,2.0
1328,63.0,20.0,0.0,126.0,97.0,133.0,38.0,162.0,47.0,74.0,30.0,145.0,18.0,76.0,40.0,90.0,80.0,7.0,138.0,156.0,35.0,61.0,55.0,159.0,37.0,19.0,34.0,48.0,23.0,98.0
1377,57.0,4.0,0.0,34.0,55.0,68.0,62.0,8.0,27.0,28.0,74.0,139.0,92.0,127.0,103.0,29.0,44.0,10.0,33.0,146.0,50.0,65.0,115.0,66.0,12.0,19.0,133.0,147.0,59.0,76.0
1426,125.0,118.0,0.0,20.0,41.0,147.0,81.0,65.0,39.0,70.0,31.0,145.0,113.0,136.0,163.0,7.0,16.0,18.0,21.0,50.0,98.0,55.0,34.0,24.0,14.0,42.0,153.0,27.0,150.0,94.0
1475,10.0,1.0,144.0,12.0,6.0,4.0,61.0,62.0,19.0,79.0,36.0,147.0,57.0,40.0,41.0,50.0,38.0,39.0,46.0,44.0,32.0,43.0,13.0,23.0,58.0,26.0,0.0,77.0,92.0,35.0
1524,104.0,1.0,161.0,82.0,7.0,133.0,2.0,70.0,22.0,9.0,29.0,144.0,40.0,114.0,60.0,16.0,14.0,35.0,75.0,44.0,113.0,41.0,57.0,17.0,63.0,26.0,80.0,31.0,69.0,33.0
1573,16.0,1.0,148.0,91.0,13.0,0.0,15.0,27.0,42.0,52.0,33.0,2.0,7.0,35.0,85.0,113.0,47.0,22.0,4.0,146.0,77.0,23.0,45.0,65.0,93.0,48.0,3.0,89.0,54.0,46.0
1622,4.0,1.0,31.0,11.0,3.0,10.0,16.0,48.0,14.0,65.0,32.0,54.0,18.0,77.0,25.0,41.0,34.0,51.0,142.0,49.0,36.0,82.0,89.0,29.0,83.0,68.0,134.0,2.0,127.0,35.0
1671,13.0,24.0,142.0,16.0,12.0,135.0,15.0,38.0,33.0,63.0,32.0,54.0,36.0,100.0,57.0,23.0,30.0,27.0,43.0,146.0,31.0,19.0,78.0,3.0,56.0,26.0,121.0,143.0,8.0,48.0
1720,13.0,2.0,55.0,26.0,18.0,6.0,102.0,29.0,77.0,14.0,38.0,47.0,51.0,7.0,37.0,5.0,48.0,129.0,148.0,44.0,76.0,58.0,56.0,116.0,69.0,11.0,43.0,52.0,36.0,65.0
1769,17.0,1.0,61.0,4.0,23.0,22.0,20.0,56.0,45.0,46.0,48.0,37.0,19.0,12.0,82.0,7.0,43.0,42.0,147.0,26.0,47.0,32.0,35.0,55.0,112.0,54.0,25.0,119.0,67.0,68.0
1818,61.0,36.0,151.0,15.0,18.0,159.0,93.0,42.0,22.0,158.0,30.0,156.0,35.0,54.0,45.0,14.0,16.0,63.0,37.0,62.0,50.0,91.0,41.0,150.0,78.0,17.0,129.0,87.0,74.0,57.0
1867,0.0,5.0,65.0,77.0,2.0,35.0,4.0,102.0,17.0,61.0,31.0,145.0,25.0,50.0,75.0,91.0,60.0,55.0,42.0,22.0,40.0,20.0,64.0,9.0,54.0,37.0,3.0,70.0,21.0,44.0
1916,14.0,8.0,157.0,119.0,5.0,30.0,19.0,72.0,10.0,75.0,24.0,161.0,44.0,28.0,66.0,0.0,90.0,104.0,43.0,20.0,125.0,34.0,68.0,6.0,96.0,113.0,40.0,103.0,45.0,12.0
1965,0.0,148.0,10.0,15.0,27.0,6.0,5.0,33.0,34.0,13.0,48.0,52.0,20.0,95.0,41.0,114.0,81.0,86.0,21.0,74.0,45.0,39.0,17.0,47.0,68.0,75.0,60.0,89.0,38.0,85.0
2014,33.0,145.0,1.0,85.0,56.0,84.0,14.0,16.0,53.0,150.0,45.0,49.0,7.0,3.0,12.0,54.0,59.0,29.0,50.0,8.0,25.0,4.0,132.0,144.0,20.0,36.0,55.0,75.0,39.0,23.0
