,SETD2,AR,Porin,E-Cadherin,Rictor_pT1135,GAPDH,RAD51,PTEN,PDCD4,G6PD,PDK1,GATA3,PRAS40_pT246,Cyclin_E1,YAP_pS127,Tuberin_pT1462,MAPK_pT202_Y204,Smac,Paxillin,PDK1_pS241,PEA15,Notch1,p90RSK_pT359_S363,p90RSK_pT573,p38_pT180_Y182,TSC1,p70S6K_pT389,NF2,PAI-1,PEA15_pS116
6,4.0,1.0,23.0,0.0,8.0,2.0,31.0,30.0,53.0,158.0,52.0,3.0,22.0,19.0,39.0,80.0,138.0,40.0,17.0,5.0,50.0,47.0,56.0,55.0,62.0,90.0,57.0,79.0,54.0,48.0
55,3.0,4.0,5.0,0.0,10.0,13.0,81.0,24.0,43.0,23.0,25.0,130.0,17.0,21.0,39.0,1.0,143.0,38.0,20.0,74.0,59.0,31.0,47.0,41.0,51.0,27.0,48.0,45.0,42.0,89.0
104,0.0,38.0,22.0,23.0,12.0,4.0,16.0,19.0,48.0,24.0,20.0,11.0,21.0,154.0,61.0,64.0,34.0,5.0,49.0,42.0,43.0,50.0,9.0,53.0,30.0,31.0,58.0,57.0,52.0,44.0
153,2.0,38.0,7.0,157.0,12.0,13.0,23.0,4.0,53.0,3.0,49.0,147.0,80.0,19.0,27.0,29.0,32.0,5.0,55.0,47.0,45.0,30.0,58.0,10.0,50.0,65.0,46.0,44.0,52.0,42.0
202,4.0,34.0,78.0,1.0,13.0,2.0,82.0,21.0,49.0,160.0,11.0,162.0,15.0,10.0,60.0,35.0,27.0,76.0,51.0,16.0,57.0,42.0,25.0,53.0,54.0,64.0,45.0,38.0,52.0,43.0
251,7.0,6.0,25.0,1.0,9.0,29.0,87.0,5.0,51.0,15.0,12.0,30.0,24.0,2.0,8.0,66.0,10.0,36.0,34.0,18.0,49.0,53.0,55.0,56.0,47.0,68.0,54.0,48.0,57.0,45.0
300,3.0,5.0,23.0,1.0,14.0,15.0,9.0,4.0,51.0,148.0,19.0,16.0,80.0,154.0,0.0,31.0,141.0,35.0,41.0,48.0,44.0,50.0,13.0,56.0,45.0,65.0,47.0,85.0,57.0,42.0
349,0.0,38.0,8.0,3.0,67.0,5.0,2.0,10.0,91.0,6.0,21.0,147.0,80.0,11.0,35.0,47.0,27.0,1.0,22.0,64.0,89.0,58.0,44.0,43.0,50.0,40.0,45.0,59.0,42.0,19.0
398,1.0,43.0,23.0,22.0,84.0,13.0,5.0,17.0,9.0,161.0,4.0,12.0,91.0,20.0,0.0,3.0,38.0,6.0,7.0,44.0,60.0,45.0,52.0,54.0,58.0,31.0,51.0,94.0,55.0,46.0
447,37.0,0.0,1.0,7.0,4.0,6.0,12.0,17.0,39.0,27.0,25.0,147.0,80.0,154.0,54.0,36.0,139.0,33.0,8.0,62.0,63.0,57.0,22.0,9.0,49.0,46.0,45.0,58.0,42.0,89.0
496,5.0,38.0,4.0,2.0,22.0,148.0,33.0,23.0,17.0,11.0,40.0,19.0,90.0,154.0,25.0,28.0,31.0,21.0,16.0,42.0,43.0,57.0,46.0,45.0,50.0,67.0,47.0,87.0,58.0,41.0
