,OVARY,LUNG,HAEMATOPOIETIC,SKIN,AERODIGESTIVE,LIVER,NERVOUS,BREAST,PANCREAS,OESOPHAGUS,THYROID,PLEURA,URINARY,LARGE_INTESTINE,SOFT_TISSUE,GANGLIA,STOMACH,BONE,ENDOMETRIUM,PROSTATE,KIDNEY,SALIVARY,BILIARY
42,0.0,1.0,3.0,4.0,15.0,2.0,11.0,6.0,5.0,7.0,8.0,9.0,10.0,13.0,17.0,14.0,18.0,12.0,16.0,19.0,20.0,21.0,22.0
91,0.0,1.0,5.0,3.0,2.0,6.0,12.0,9.0,4.0,8.0,10.0,15.0,7.0,13.0,18.0,14.0,17.0,16.0,11.0,19.0,20.0,21.0,22.0
140,0.0,2.0,5.0,3.0,4.0,6.0,12.0,11.0,1.0,9.0,8.0,10.0,7.0,16.0,20.0,13.0,14.0,18.0,17.0,15.0,19.0,21.0,22.0
189,3.0,5.0,0.0,7.0,4.0,8.0,6.0,13.0,1.0,2.0,11.0,12.0,10.0,17.0,9.0,14.0,19.0,16.0,15.0,20.0,18.0,21.0,22.0
238,1.0,4.0,5.0,0.0,2.0,6.0,12.0,10.0,3.0,9.0,8.0,17.0,7.0,14.0,13.0,15.0,16.0,11.0,18.0,20.0,19.0,21.0,22.0
287,3.0,4.0,2.0,0.0,5.0,8.0,16.0,6.0,1.0,10.0,9.0,11.0,7.0,12.0,13.0,14.0,18.0,15.0,17.0,20.0,19.0,21.0,22.0
336,1.0,3.0,4.0,6.0,5.0,15.0,17.0,2.0,0.0,8.0,19.0,7.0,9.0,10.0,12.0,13.0,18.0,11.0,14.0,20.0,16.0,21.0,22.0
385,5.0,1.0,0.0,2.0,8.0,6.0,17.0,3.0,4.0,11.0,9.0,10.0,7.0,12.0,18.0,13.0,15.0,14.0,16.0,20.0,19.0,21.0,22.0
434,3.0,0.0,2.0,5.0,4.0,8.0,15.0,7.0,1.0,9.0,10.0,12.0,6.0,14.0,18.0,11.0,16.0,13.0,17.0,19.0,20.0,21.0,22.0
483,3.0,4.0,2.0,5.0,1.0,7.0,10.0,8.0,0.0,18.0,17.0,9.0,6.0,11.0,14.0,15.0,16.0,12.0,13.0,19.0,20.0,21.0,22.0
532,0.0,3.0,2.0,9.0,7.0,5.0,6.0,1.0,12.0,11.0,8.0,4.0,14.0,10.0,20.0,13.0,16.0,17.0,15.0,18.0,19.0,21.0,22.0
581,1.0,0.0,2.0,6.0,7.0,3.0,8.0,4.0,12.0,13.0,11.0,5.0,9.0,14.0,10.0,18.0,17.0,15.0,16.0,19.0,20.0,21.0,22.0
630,0.0,4.0,1.0,8.0,17.0,7.0,2.0,5.0,11.0,6.0,20.0,3.0,9.0,10.0,15.0,12.0,16.0,14.0,13.0,18.0,19.0,21.0,22.0
679,0.0,2.0,1.0,7.0,6.0,4.0,16.0,5.0,11.0,8.0,17.0,3.0,9.0,10.0,13.0,20.0,15.0,14.0,12.0,19.0,18.0,21.0,22.0
728,1.0,0.0,3.0,9.0,5.0,8.0,11.0,2.0,14.0,6.0,10.0,7.0,4.0,12.0,16.0,15.0,13.0,18.0,17.0,20.0,19.0,21.0,22.0
777,1.0,0.0,2.0,7.0,10.0,6.0,11.0,3.0,18.0,9.0,12.0,5.0,8.0,4.0,16.0,13.0,15.0,14.0,17.0,20.0,19.0,21.0,22.0
826,1.0,2.0,0.0,11.0,8.0,4.0,10.0,3.0,9.0,7.0,6.0,12.0,13.0,5.0,16.0,18.0,15.0,14.0,17.0,20.0,19.0,21.0,22.0
875,1.0,0.0,2.0,7.0,9.0,6.0,8.0,3.0,10.0,16.0,11.0,4.0,5.0,12.0,18.0,15.0,14.0,13.0,17.0,20.0,19.0,21.0,22.0
924,3.0,0.0,2.0,5.0,17.0,4.0,7.0,1.0,10.0,9.0,8.0,6.0,12.0,14.0,16.0,11.0,15.0,13.0,18.0,20.0,19.0,21.0,22.0
973,4.0,0.0,2.0,7.0,6.0,1.0,5.0,3.0,14.0,8.0,10.0,9.0,15.0,12.0,13.0,17.0,11.0,16.0,18.0,19.0,20.0,21.0,22.0
1022,0.0,4.0,1.0,7.0,2.0,11.0,9.0,5.0,3.0,15.0,10.0,18.0,6.0,8.0,13.0,14.0,17.0,16.0,12.0,20.0,19.0,21.0,22.0
1071,2.0,6.0,0.0,5.0,3.0,1.0,4.0,7.0,8.0,14.0,15.0,13.0,9.0,12.0,11.0,19.0,18.0,16.0,10.0,20.0,17.0,21.0,22.0
1120,0.0,7.0,2.0,1.0,8.0,6.0,5.0,3.0,4.0,9.0,17.0,12.0,10.0,11.0,19.0,13.0,16.0,15.0,14.0,20.0,18.0,21.0,22.0
1169,0.0,4.0,1.0,2.0,5.0,3.0,6.0,11.0,9.0,8.0,7.0,19.0,10.0,12.0,13.0,18.0,14.0,15.0,17.0,20.0,16.0,21.0,22.0
1218,1.0,4.0,0.0,9.0,13.0,2.0,3.0,11.0,5.0,7.0,6.0,12.0,8.0,14.0,19.0,10.0,17.0,16.0,18.0,20.0,15.0,21.0,22.0
1267,2.0,3.0,4.0,7.0,0.0,1.0,14.0,13.0,6.0,11.0,12.0,9.0,10.0,15.0,17.0,5.0,16.0,8.0,18.0,20.0,19.0,21.0,22.0
1316,1.0,3.0,0.0,11.0,2.0,7.0,10.0,12.0,5.0,4.0,9.0,16.0,8.0,6.0,15.0,13.0,17.0,14.0,18.0,20.0,19.0,21.0,22.0
1365,4.0,3.0,6.0,2.0,0.0,5.0,8.0,13.0,1.0,7.0,10.0,17.0,14.0,11.0,9.0,16.0,12.0,15.0,18.0,20.0,19.0,21.0,22.0
1414,0.0,1.0,3.0,4.0,2.0,6.0,7.0,11.0,8.0,9.0,10.0,17.0,5.0,12.0,14.0,18.0,16.0,15.0,13.0,20.0,19.0,21.0,22.0
1463,0.0,3.0,1.0,2.0,5.0,7.0,6.0,11.0,12.0,4.0,8.0,18.0,13.0,9.0,10.0,17.0,15.0,16.0,14.0,19.0,20.0,21.0,22.0
1512,0.0,1.0,3.0,7.0,9.0,4.0,10.0,2.0,11.0,6.0,5.0,8.0,19.0,15.0,13.0,17.0,14.0,12.0,18.0,16.0,20.0,21.0,22.0
1561,1.0,3.0,0.0,11.0,9.0,4.0,10.0,6.0,8.0,7.0,5.0,2.0,14.0,16.0,12.0,19.0,13.0,15.0,18.0,17.0,21.0,20.0,22.0
1610,1.0,3.0,0.0,9.0,18.0,2.0,14.0,8.0,5.0,6.0,4.0,11.0,13.0,16.0,19.0,7.0,10.0,15.0,12.0,20.0,17.0,21.0,22.0
1659,1.0,0.0,2.0,9.0,6.0,3.0,8.0,11.0,12.0,5.0,4.0,13.0,10.0,18.0,14.0,17.0,15.0,16.0,7.0,20.0,19.0,21.0,22.0
1708,0.0,2.0,1.0,13.0,7.0,3.0,11.0,8.0,5.0,15.0,4.0,6.0,10.0,9.0,14.0,16.0,12.0,19.0,17.0,20.0,18.0,21.0,22.0
1757,3.0,2.0,4.0,11.0,7.0,0.0,10.0,5.0,1.0,15.0,6.0,8.0,13.0,17.0,12.0,19.0,9.0,16.0,14.0,20.0,18.0,21.0,22.0
1806,2.0,0.0,3.0,14.0,5.0,1.0,10.0,4.0,9.0,6.0,12.0,8.0,11.0,15.0,7.0,13.0,17.0,16.0,18.0,20.0,19.0,21.0,22.0
